province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
上海|上海,上海|上海,103.029495,103.49738,23.541437,73.558846,1.2368116,10.05412,274.55417,73.40801,103136.57,-0.14012624,-0.20435473
中国香港,九龙城区,31.004152,33.23088,6.3366094,24.566404,0.66885734,60.98927,288.9976,56.337452,102353.6,-7.49764,-3.0783002
中国香港,元朗,62.899944,80.85914,12.6426115,62.13794,1.2341313,37.82971,287.54,55.309338,101680.6,-7.6027207,-3.4295266
中国香港,大埔区,44.6819,50.18632,7.6675706,28.722311,0.939604,58.045742,288.67886,57.086063,101686.26,-9.158603,-3.5876768
中国香港,西貢,37.311344,39.812313,6.472443,21.270449,0.7867387,62.47694,288.6525,54.90845,102119.51,-9.344772,-4.3266273
內蒙古自治區|内蒙古自治区,乌兰察布市,52.86523,78.70635,29.791754,24.916924,1.386831,38.028732,260.025,53.973785,86324.15,3.9115183,0.7787397
內蒙古自治區|内蒙古自治区,乌海市,82.16858,138.94435,224.20357,58.72638,1.9458627,4.821865,268.4475,32.907494,86407.18,-3.3713918,1.6003876
內蒙古自治區|内蒙古自治区,兴安盟,10.450649,12.035818,5.617508,4.6580143,0.24500947,39.61056,251.76198,66.651535,95653.32,4.2703114,-5.357916
內蒙古自治區|内蒙古自治区,包头市,52.49894,73.77929,37.874454,22.889498,1.82858,37.6304,261.09708,43.299026,86010.445,2.1190794,1.5923514
內蒙古自治區|内蒙古自治区,呼伦贝尔市,5.7910323,6.7625136,6.5115147,4.0760865,0.21548085,43.275444,246.23616,73.21149,94140.234,3.0192676,-1.5738084
內蒙古自治區|内蒙古自治区,呼和浩特市,104.60956,161.63376,57.18268,43.060913,2.4475014,19.035294,262.36505,55.693684,87074.29,-0.39398223,-0.68942887
內蒙古自治區|内蒙古自治区,巴彦淖尔市,38.821568,44.290936,29.892855,15.833966,0.46066675,36.373543,263.6983,44.28458,87684.56,-0.51595825,1.7007198
內蒙古自治區|内蒙古自治区,赤峰市,22.670486,27.272959,15.606975,10.351824,0.49310383,40.959858,259.06876,58.339905,92565.01,4.8598356,-4.2664514
內蒙古自治區|内蒙古自治区,通辽市,26.864521,32.061436,13.3939085,11.659669,0.39749813,31.698195,253.11906,73.74096,98760.086,3.8322387,-5.8696384
內蒙古自治區|内蒙古自治区,鄂尔多斯市,77.555115,99.797035,54.089046,25.674206,1.0586164,21.949812,266.08865,61.61605,87381.28,-2.430263,0.783834
內蒙古自治區|内蒙古自治区,锡林郭勒盟,10.445231,12.36003,4.9368424,4.87723,0.23610465,45.671246,253.56833,77.792564,89543.51,3.3912072,0.8318858
內蒙古自治區|内蒙古自治区,阿拉善盟,15.788423,23.336535,17.02286,7.9257436,0.33689177,43.83243,265.42767,46.965633,87724.85,-2.4722817,1.2109549
北京|北京,北京|北京,186.94717,227.10114,61.098305,89.57755,3.486674,17.245789,270.1737,43.80023,98674.305,0.7694308,-5.7558274
吉林,吉林市,117.811646,127.9975,31.647253,39.13427,1.070466,26.475676,258.25214,89.29448,97632.38,-0.33273673,3.1880584
吉林,四平市,152.10106,189.43948,43.507275,50.15531,1.5827645,37.394783,249.13463,78.5175,100260.664,3.9823656,-4.9700713
吉林,延边朝鲜族自治州,42.462997,46.74092,14.5677395,15.925701,0.45329797,32.471355,258.8416,73.224464,94447.9,3.400873,0.330422
吉林,松原市,162.83028,205.38817,34.467594,59.045406,1.5944707,15.803915,247.61258,76.75734,100811.61,1.342183,-5.6759624
吉林,白城市,53.49907,60.32532,12.473196,22.266785,0.5615252,17.25632,247.69675,76.65179,101115.055,1.9778829,-6.8604093
吉林,白山市,62.82825,70.504974,20.737577,23.4479,0.649241,24.21379,259.84024,88.64019,92433.734,1.4712435,5.350713
