city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
上饶市,2013-01-01,62.31165,79.09434,29.606768,19.760695,0.72450566,44.217827,276.34335,52.328075,100141.336,-0.53294843,-0.38625392
上饶市,2013-01-02,75.11964,96.68293,25.910006,30.317078,0.87776273,32.252655,277.8915,63.042404,100430.3,-5.0008984,-5.338218
上饶市,2013-01-03,35.624226,50.221233,15.629087,17.392023,0.62740076,42.195473,272.69778,58.153973,101161.45,-5.054039,-6.912533
上饶市,2013-01-04,55.877407,59.328003,20.541912,26.873562,0.87351716,25.789352,271.50897,85.029884,100701.08,-3.4855592,-4.1317573
上饶市,2013-01-05,60.654457,63.113266,22.907162,29.15303,0.8818561,27.456633,272.38675,85.35058,100300.68,-2.4254847,-2.997076
上饶市,2013-01-06,64.65591,68.7571,28.281193,38.79441,1.0722735,25.281574,273.2885,88.72537,100303.44,-2.3837297,-2.6240532
上饶市,2013-01-07,71.90783,78.48776,28.829138,33.211617,1.0637254,28.570555,274.4043,86.50386,100185.01,-1.6581593,-1.8846391
上饶市,2013-01-08,113.642586,118.7313,38.307835,42.194847,1.2571192,26.34428,274.85486,74.28561,100231.88,-2.8274522,-3.140495
上饶市,2013-01-09,136.48506,154.56685,53.651024,56.391815,1.3813851,34.80425,275.09198,63.06838,100437.18,-4.1814604,-4.3653636
上饶市,2013-01-10,104.18933,116.06688,32.237988,40.032703,1.0323945,36.012226,276.1653,66.92314,100454.05,-5.9142523,-3.579367
上饶市,2013-01-11,97.92872,105.12676,24.183466,31.200165,0.85301864,30.9828,276.9224,74.03621,100375.11,-3.018045,-1.0966685
上饶市,2013-01-12,91.71209,103.4833,21.176083,21.688416,0.9011167,35.573135,278.94708,76.344505,100178.02,-2.582384,-1.9722619
上饶市,2013-01-13,70.83891,79.61392,19.041534,22.639006,0.8969946,37.192642,279.3111,88.708916,99770.25,-1.386666,-1.529316
上饶市,2013-01-14,61.702976,76.54291,20.16293,22.728436,1.0274267,43.50467,279.16354,77.25957,100124.73,-3.4840126,-2.2061167
上饶市,2013-01-15,86.854385,94.18744,22.97182,23.143871,0.8695798,36.65234,280.61438,64.69718,100161.49,-1.1194243,-0.16231005
上饶市,2013-01-16,108.62258,120.45888,28.192293,24.497751,1.1134337,41.8323,280.31955,71.02012,100343.12,-0.68201536,-2.3632126
上饶市,2013-01-17,138.89426,168.66074,34.069733,33.49099,1.1805593,37.24296,277.15524,60.52726,100986.625,-4.986348,-5.170742
上饶市,2013-01-18,66.955574,80.28276,18.003986,22.386301,0.6944603,40.410892,275.51447,48.15126,100988.52,-3.5390444,-2.7002099
上饶市,2013-01-19,74.88327,84.78176,17.113234,22.83258,0.70070285,45.195198,279.8859,46.146122,100345.586,-3.5968595,0.38092017
上饶市,2013-01-20,52.086143,69.76025,14.247883,16.512848,0.69584996,52.954666,285.83154,67.01515,100037.47,-1.5932798,2.4943602
上饶市,2013-01-21,76.78748,90.90656,19.591574,25.508831,1.058617,35.027092,282.3177,89.24006,100160.32,1.2347175,-2.0648293
上饶市,2013-01-22,93.37575,89.384476,27.34775,28.119406,1.2666112,28.623173,278.54483,76.82854,100358.06,-0.33589876,-2.8856719
上饶市,2013-01-23,108.345436,110.55715,25.26784,15.627495,1.0384902,44.177536,278.7165,72.691864,100137.03,-0.031099338,-0.98728436
上饶市,2013-01-24,124.98334,137.6504,28.51633,16.30295,1.0672312,43.951775,279.34708,78.01301,100029.01,0.6161363,-1.3011023
上饶市,2013-01-25,120.83977,137.22299,24.642075,22.06844,1.0323648,49.572662,278.99707,61.272636,100186.56,-1.9019506,-1.9809495
上饶市,2013-01-26,92.88579,113.335335,21.37266,16.46827,0.9620655,49.370895,280.7418,53.898075,100037.25,-0.5325339,-1.9222441
上饶市,2013-01-27,118.06683,142.4256,28.586477,27.609528,0.94884515,45.995285,280.86484,52.443924,100434.92,-2.7730272,-2.9570594
