city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
东营市,2013-01-01,66.74639,100.687225,38.965256,31.190153,1.2490406,31.555128,266.4758,64.73121,102264.59,6.321753,-5.012798
东营市,2013-01-02,18.449303,28.782976,17.880959,15.517761,0.7446772,47.0715,262.7884,60.367386,103658.5,7.435202,-5.4610834
东营市,2013-01-03,30.610538,41.44099,22.219227,24.047974,0.92273504,42.29356,264.042,62.08203,104133.336,6.008906,-4.0023937
东营市,2013-01-04,96.583,116.86227,78.3445,48.291096,1.8482274,27.890547,263.12497,60.158394,103439.01,4.7817264,0.18928875
东营市,2013-01-05,91.182175,104.86959,79.33019,47.561768,1.4038118,28.42402,264.61533,62.739204,102883.77,4.5629244,-0.8559817
东营市,2013-01-06,83.3478,101.741684,53.34647,41.02524,1.329197,37.050903,267.09482,78.6165,102876.86,2.2855918,-0.520224
东营市,2013-01-07,169.32832,198.8223,112.49376,63.993954,2.1656349,21.89676,267.26733,68.53371,102644.22,2.2483127,-1.1035324
东营市,2013-01-08,59.10796,74.48184,38.198082,28.393732,0.9291367,39.13865,268.41068,83.825096,102969.49,-0.22044173,-5.5277233
东营市,2013-01-09,49.792656,69.16473,35.099724,33.781414,1.0453271,34.43264,266.15445,58.626167,103166.35,4.8516946,-3.6167748
东营市,2013-01-10,165.19824,236.68631,146.62044,68.22417,2.8328707,16.609291,267.90903,64.85725,102972.836,1.6364574,2.8487525
东营市,2013-01-11,213.22198,291.43945,87.488205,62.296402,2.7579145,18.043682,271.19574,77.04975,102516.484,3.4939964,2.2308552
东营市,2013-01-12,202.87167,271.0137,95.83595,69.15682,3.038205,23.994146,271.16583,66.871086,102531.58,1.0524303,0.981022
东营市,2013-01-13,260.6564,342.1193,117.83207,84.102104,3.1977124,18.595764,272.70755,66.71609,102313.734,-0.065834165,0.9145819
东营市,2013-01-14,153.27748,204.57956,45.03839,45.89297,1.8922266,28.179695,270.5478,85.47552,102752.984,-2.7326913,-2.884072
东营市,2013-01-15,118.181,177.28659,77.400375,56.05293,2.0552084,15.062435,269.44424,81.60589,102611.16,0.87922466,0.77064997
东营市,2013-01-16,67.72806,88.402824,43.12171,26.475456,0.8454785,27.107906,268.8741,84.971954,103203.75,-1.6146829,-5.4778028
东营市,2013-01-17,40.913235,53.870735,29.257025,25.560316,0.69336927,40.07473,268.156,62.78733,103822.734,0.8470088,-4.5632796
东营市,2013-01-18,132.57184,195.07831,88.28397,59.112106,1.6051544,20.090466,270.46896,60.69493,103104.03,4.5391326,4.198703
东营市,2013-01-19,152.59494,193.69687,60.776123,52.122593,1.9038979,18.814697,272.0071,77.00877,102926.34,-2.4960177,-0.73938525
东营市,2013-01-20,106.50105,126.5642,49.957943,43.032055,1.1139783,12.266162,272.6793,92.48532,102897.33,-4.9815445,-1.1319453
东营市,2013-01-21,94.4662,110.825195,28.5949,33.376167,1.0950803,26.454319,271.37546,92.57714,102771.836,-2.1119893,-6.167641
东营市,2013-01-22,60.112053,70.633675,27.903334,21.447035,0.76283807,32.45235,269.294,73.56653,102943.36,-1.1803621,-4.312362
东营市,2013-01-23,189.80348,251.03206,129.3483,67.6791,3.0536563,13.498424,271.326,82.11204,101981.5,2.416842,2.6363394
东营市,2013-01-24,99.60703,127.85951,40.266346,40.61721,1.4799644,32.098885,270.27396,66.89822,102349.95,1.5000161,-5.369789
东营市,2013-01-25,26.834381,36.86654,21.958193,20.044697,0.6302275,51.95461,268.58963,71.161606,102450.78,-3.9720871,-2.5664878
东营市,2013-01-26,50.612415,67.4603,49.377014,27.4323,0.745556,46.628284,268.91806,79.377235,102771.3,-2.1397023,-1.2928159
东营市,2013-01-27,124.678444,166.41824,96.98002,48.803127,1.7298315,25.819868,269.6138,80.96474,102881.97,0.21892945,0.36549523
东营市,2013-01-28,259.13608,345.35413,133.7304,64.93059,2.9732153,15.684527,272.82227,90.94841,102233.89,1.4659656,1.6151305
东营市,2013-01-29,165.97517,235.09961,67.47274,49.67753,1.7741128,24.398521,272.66104,96.94595,102406.875,-2.3621697,-1.1869948
东营市,2013-01-30,268.8131,418.8846,140.40181,72.18468,2.8754911,16.079823,272.95346,96.19912,102563.68,-1.5908281,1.3010007
东营市,2013-01-31,136.5856,195.31493,78.96632,71.24364,2.3975666,11.131766,274.96667,98.672935,102198.65,-2.0124106,3.8753374
东营市,2013-02-01,95.67335,114.30718,44.69347,35.3162,1.8881013,25.460415,273.10797,78.573395,102563.164,1.1382095,-5.86104
东营市,2013-02-02,28.451498,44.094475,36.002808,24.52015,0.60448456,47.180622,270.84796,65.83055,103404.46,-1.2364637,-0.8396851
东营市,2013-02-03,53.42723,65.74672,43.734936,40.6881,0.9351791,22.690487,272.51663,88.24085,102308.945,-2.1370938,5.5352983
东营市,2013-02-04,52.89098,63.351242,30.815926,26.295103,0.7736673,35.668884,270.538,78.75588,102723.65,-1.5858997,-5.627451
东营市,2013-02-05,73.86965,91.63485,66.74914,41.5554,1.0260404,24.706287,269.39362,83.720314,102576.59,-0.21633266,0.78727025
东营市,2013-02-06,98.3918,116.221245,57.815727,35.70492,1.3140184,29.963606,269.06107,80.0773,102657.65,3.1148973,-5.50651
东营市,2013-02-07,12.351983,19.56576,13.507533,9.694355,0.39285198,67.2996,263.29135,56.64403,103677.18,1.5508149,-8.540266
东营市,2013-02-08,28.780989,38.750957,28.369038,18.038082,0.5749442,57.176052,265.2495,65.977715,103709.09,2.2831662,-2.4069655
东营市,2013-02-09,122.01004,163.74992,96.74657,43.287716,1.3259805,28.633842,268.30685,68.03097,102837.09,2.2305386,1.2181987
东营市,2013-02-10,49.766552,60.492588,32.269764,14.108541,0.5834945,59.050407,269.13318,79.106415,103143.82,-4.3999805,-4.8989573
东营市,2013-02-11,45.70216,58.77571,37.023277,22.796366,0.62983555,50.54155,269.48972,72.80859,103352.53,-3.3964338,1.0345321
东营市,2013-02-12,136.43692,170.86531,68.34323,38.950054,1.4388249,27.1541,270.6988,84.23098,102758.54,4.7994447,0.48003358
东营市,2013-02-13,134.09883,187.57196,84.73332,40.057415,1.4562626,28.394392,272.8517,62.01966,102396.46,3.583993,4.102791
