city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
临汾市,2013-01-01,30.539293,39.154087,29.288963,12.560419,1.01781,40.223415,264.39566,45.870926,90303.02,3.029266,-5.135597
临汾市,2013-01-02,26.735859,33.3352,25.97041,13.678775,0.86561525,40.067104,259.79398,39.320972,91331.25,1.1090053,-6.2464633
临汾市,2013-01-03,37.684383,46.68605,36.115055,15.753217,0.77111095,38.484653,258.94275,36.894573,91632.79,0.7476513,-3.097455
临汾市,2013-01-04,77.80723,90.247345,64.68863,21.536728,1.0805367,33.68126,262.43146,31.863798,90848.76,0.47893143,-0.16174625
临汾市,2013-01-05,93.00939,109.61306,75.44461,23.445826,1.2208021,27.88023,264.9474,33.38191,90558.94,1.3773884,-2.5990987
临汾市,2013-01-06,96.680565,113.32356,71.06696,26.05631,1.2244853,24.754702,266.18045,28.6208,90548.305,1.3392745,-1.3514526
临汾市,2013-01-07,97.259125,108.41624,60.837692,23.20217,1.1635443,24.798164,268.72433,28.912855,90402.34,1.9126877,-2.1805966
临汾市,2013-01-08,47.54691,56.083057,39.702663,17.122307,0.8054971,30.535975,267.42654,39.27679,90774.91,2.1187232,-4.789209
临汾市,2013-01-09,49.01442,58.046642,44.537212,17.965506,0.8872467,31.502623,266.38977,37.52144,90785.195,0.6659745,-0.6490402
临汾市,2013-01-10,162.43622,192.1226,96.101715,33.809105,1.9204062,22.42063,269.89337,43.831238,90510.195,1.1099938,2.7102537
临汾市,2013-01-11,83.91003,94.072,48.472424,19.08611,1.310712,33.754837,269.72568,41.726574,90632.414,3.9345284,-3.8019373
临汾市,2013-01-12,79.02881,94.50495,71.373405,25.148134,1.1670722,34.334393,272.2482,31.266394,90341.04,1.1452199,3.0229812
临汾市,2013-01-13,112.717064,130.96283,79.832825,26.35505,1.251842,29.954895,273.10843,37.37271,90155.09,0.33190787,-0.32996824
临汾市,2013-01-14,136.81442,159.41768,85.94899,29.248707,1.7160497,33.47253,273.1443,27.96364,90482.07,0.08987283,0.7400741
临汾市,2013-01-15,59.42481,68.354,33.70026,16.390013,1.0801002,29.840734,270.6204,42.85634,90598.88,3.5624053,-3.4416418
临汾市,2013-01-16,47.190735,55.72587,38.7568,16.98922,0.78014064,30.369127,270.85883,43.44003,90933.86,1.7843133,-3.263607
