city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
临沂市,2013-01-01,93.70721,186.75993,75.35826,54.781628,1.9742737,15.990638,268.06946,58.781403,100415.81,4.6793346,-4.1965933
临沂市,2013-01-02,26.218744,58.75187,45.017323,30.904612,1.5367678,39.59116,262.39822,46.260315,101723.69,2.447416,-7.184035
临沂市,2013-01-03,38.62095,70.46155,60.929283,41.734077,1.860618,34.43881,262.4358,52.522285,102184.23,1.637374,-6.092406
临沂市,2013-01-04,58.952553,107.511955,78.01772,55.53877,2.1637883,25.520409,263.50122,53.065563,101499.69,0.0970005,-2.7682076
临沂市,2013-01-05,112.48633,183.8395,133.328,79.34931,2.500589,17.842226,265.14066,46.888374,100990.48,1.4694732,-3.271738
临沂市,2013-01-06,149.90143,240.18791,142.57272,93.18407,3.2747366,12.007109,266.66483,53.106483,100956.59,0.1610038,-2.4201934
临沂市,2013-01-07,164.85393,279.6351,178.89682,104.19158,3.4909153,14.053743,268.80185,56.02987,100724.805,0.73302156,-0.9941571
临沂市,2013-01-08,176.4983,283.25925,146.37341,108.9354,3.6113873,11.463442,269.269,62.39112,100932.89,-0.1284847,-4.6862817
临沂市,2013-01-09,98.42279,157.40504,89.48313,68.53853,2.5200267,15.856163,267.48123,68.19187,101233.734,0.46268073,-4.207104
临沂市,2013-01-10,105.70561,194.57849,95.170334,70.56155,2.6733463,21.75553,268.72293,65.462105,101151.43,-0.502886,1.8168963
临沂市,2013-01-11,99.564125,169.21715,65.307724,65.93987,2.0915484,21.353989,271.90894,76.42467,100783.836,2.1571379,3.8595917
临沂市,2013-01-12,169.60521,287.56128,93.22204,87.73948,3.154478,19.934849,272.10788,63.124603,100752.164,-0.8384649,0.34979036
临沂市,2013-01-13,136.7782,230.82458,64.13528,75.550385,2.6945412,20.1852,272.8498,85.561745,100441.6,-1.6739485,0.98233956
临沂市,2013-01-14,205.70763,334.0752,76.96406,96.601494,4.365445,15.442113,271.35812,86.56119,100759.875,-1.4589583,-3.1905696
临沂市,2013-01-15,191.3441,291.11172,77.67617,70.65426,2.902493,17.01435,270.8722,92.16047,100723.65,-0.34326085,-0.29113603
临沂市,2013-01-16,151.50021,250.144,112.052505,71.98028,3.2287366,13.002286,270.12534,79.186935,101132.27,-1.1176449,-5.1482496
临沂市,2013-01-17,100.396126,172.25203,76.38723,62.02646,2.4026022,26.694155,267.9867,66.14126,101860.82,0.66421384,-5.3372817
临沂市,2013-01-18,132.90712,227.6502,93.15294,70.938484,2.6447635,24.822678,269.64624,57.063732,101416.375,2.8386269,2.136438
