city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
丹东市,2013-01-01,31.598013,41.674885,29.914902,16.5942,0.69633526,32.234577,255.20511,62.40062,98558.45,1.9497776,-5.6300673
丹东市,2013-01-02,24.513723,30.08754,22.137167,11.871278,0.61737263,38.54762,250.6487,58.142147,99757.31,3.7969797,-4.857195
丹东市,2013-01-03,31.75856,40.582214,26.25231,13.748477,0.6997679,35.09359,254.46497,61.166077,100403.92,2.1269083,-4.5614324
丹东市,2013-01-04,43.59554,58.86586,30.890572,21.751219,0.8216991,30.407465,258.30078,68.11769,99903.0,-0.5567983,-1.1569133
丹东市,2013-01-05,62.38081,75.82914,33.147697,23.075195,0.8576923,32.75165,259.69727,74.17711,99314.33,1.9427787,-3.271187
丹东市,2013-01-06,48.041225,59.630978,24.650911,23.314743,0.7288623,27.450703,258.4986,64.47986,99528.11,0.11215942,-3.9729693
丹东市,2013-01-07,68.682755,91.74811,50.160175,28.486517,1.0132858,24.866138,259.9925,71.69702,99256.3,-0.1340692,-3.3647308
丹东市,2013-01-08,59.29221,70.378746,30.338388,26.247198,0.8885598,33.236237,256.51126,60.470737,99545.164,1.5245408,-6.3456035
丹东市,2013-01-09,45.06153,57.494175,31.12534,22.89925,0.72887087,31.254847,254.80862,57.410328,99549.45,1.6912653,-4.452641
丹东市,2013-01-10,61.64473,86.14735,40.270714,27.856922,0.91588026,26.081347,257.48438,64.212326,99708.81,0.1198042,-2.3831353
丹东市,2013-01-11,78.19252,95.819984,28.67259,21.068012,0.85581356,28.105791,264.78928,88.65582,99280.08,0.2148489,2.2827187
丹东市,2013-01-12,117.03115,140.40135,54.24439,33.944874,1.1544966,16.348156,260.9029,72.653404,99208.21,2.0075946,-3.971157
丹东市,2013-01-13,85.97098,109.92515,31.582144,25.158503,0.8709422,28.17843,262.5889,74.84037,99338.22,-1.400429,-1.5270791
丹东市,2013-01-14,120.69253,139.87361,52.757828,26.08227,1.0880879,29.258455,260.18317,71.99618,99386.92,1.1380106,-6.6970615
丹东市,2013-01-15,89.750145,108.091965,23.05147,22.721247,0.82766277,33.475307,259.5687,62.47576,99405.61,-1.0442253,-3.0714548
丹东市,2013-01-16,92.25141,111.86387,54.33868,28.278807,0.97267956,30.569056,257.78995,67.26071,99564.13,1.4710364,-7.999812
丹东市,2013-01-17,75.72379,87.25425,26.808716,25.601627,0.659793,30.08926,257.3449,59.008533,100120.875,0.40716335,-6.7808084
丹东市,2013-01-18,89.19019,117.08728,45.75321,31.819414,1.0692446,23.998255,262.10275,72.309814,99610.85,1.0649201,0.53370994
丹东市,2013-01-19,92.34056,112.09325,47.048214,32.20296,0.9900284,28.589676,260.8692,66.26794,99717.28,1.0133686,-5.853629
丹东市,2013-01-20,90.2424,110.57026,25.304127,25.20103,0.9267639,31.78217,265.1873,58.210747,99944.57,-2.3745666,-2.0678267
丹东市,2013-01-21,90.669975,107.41295,32.074863,21.721807,0.9293809,35.70714,267.04395,87.719795,99456.54,-0.7182669,-4.6760716
丹东市,2013-01-22,93.97317,111.77529,26.111685,21.455242,0.80587626,45.787277,264.49252,62.915493,99325.89,-1.0713508,-7.107452
丹东市,2013-01-23,94.04523,116.53933,28.468903,23.841469,1.0813893,31.008808,266.1809,86.84359,98584.586,0.9849242,2.4102206
丹东市,2013-01-24,33.581417,48.57774,23.783293,12.100647,0.666744,44.295113,256.5462,60.80118,98613.16,5.348737,-7.0327125
丹东市,2013-01-25,20.321983,27.191336,21.85814,11.715992,0.6088423,47.180847,252.63936,57.599808,99013.586,4.018661,-4.7426267
丹东市,2013-01-26,44.697395,54.74438,27.07667,17.606968,0.64568824,37.80885,254.91267,63.170162,99351.25,0.76881826,-6.3368926
丹东市,2013-01-27,42.047165,49.12676,19.620699,17.536058,0.571365,40.266094,257.5777,60.522236,99457.016,0.6739498,-4.837935
丹东市,2013-01-28,59.060207,76.97573,31.935167,20.549742,1.0065353,29.624743,261.56207,85.82932,99135.64,-2.3434865,-0.7914615
丹东市,2013-01-29,90.57563,105.67473,29.335505,18.302708,0.94147426,31.243668,266.70993,91.48688,99316.72,-1.555299,-1.9558469
丹东市,2013-01-30,113.938705,140.81686,32.24094,21.433842,1.3110349,33.16721,269.2181,96.17637,99615.01,-1.9602423,1.772838
丹东市,2013-01-31,114.731544,140.66891,23.87984,20.97562,1.2879227,32.500988,273.1075,99.246216,99560.75,-2.8512752,5.0596714
丹东市,2013-02-01,38.839943,47.72007,17.025118,12.86177,0.5836601,39.37037,270.10245,82.95756,98943.11,0.8075657,-2.978246
丹东市,2013-02-02,19.850693,23.453148,18.129044,10.003858,0.49446893,40.822674,259.59323,58.777996,99880.7,2.678821,-4.7259727
丹东市,2013-02-03,30.998398,46.66637,26.12116,15.203403,0.9093617,36.33407,263.84515,79.16505,99407.5,-1.407158,2.4291556
丹东市,2013-02-04,41.732956,51.79302,24.630783,15.909747,0.7135109,36.972706,261.96002,75.321846,99201.4,1.99673,-4.7936835
丹东市,2013-02-05,46.483593,58.291733,19.220863,18.249062,0.645139,36.784718,261.4721,63.1711,99314.875,-0.55180174,-2.3626938
丹东市,2013-02-06,70.42504,87.762344,40.922092,21.704302,0.92013305,35.116894,259.0099,70.24571,98903.586,2.9445958,-6.9459653
丹东市,2013-02-07,10.452242,17.549171,14.200478,6.3487372,0.38290635,53.241154,250.5306,57.994793,99698.336,4.701256,-8.415412
丹东市,2013-02-08,26.488363,29.67931,15.28481,12.724094,0.41899574,43.58132,252.9308,64.24328,100116.16,0.42249882,-5.6777444
丹东市,2013-02-09,67.454506,82.30223,37.866863,21.151659,0.79285896,35.694153,256.79416,73.472725,99423.4,0.015737632,-1.5961014
丹东市,2013-02-10,53.59572,59.374767,31.034512,11.144899,0.6232243,41.072803,253.8891,63.795837,99693.664,3.1403174,-6.84926
丹东市,2013-02-11,33.953415,39.466248,17.549826,12.22575,0.4740704,44.729843,256.43146,69.503426,100115.19,-0.16422814,-2.830285
丹东市,2013-02-12,51.762577,61.480103,24.707119,14.1688385,0.70359457,46.151386,261.63574,85.324265,99327.97,-0.06444721,-0.119082965
丹东市,2013-02-13,85.74809,106.32883,36.43366,22.624924,0.9568063,33.71013,265.17917,84.881294,99101.01,1.9409717,2.2000422
丹东市,2013-02-14,41.97706,48.18303,23.049637,14.717484,0.5691072,39.61815,263.11185,63.359577,99337.06,1.0278425,-6.2067904
丹东市,2013-02-15,34.205696,40.7644,26.719107,13.404815,0.5614815,39.80275,259.61618,61.505886,99476.93,1.6554439,-5.5607476
丹东市,2013-02-16,30.188166,40.08978,16.875986,10.914106,0.57246757,51.311855,261.56802,66.14057,99506.84,-2.059984,1.3107746
丹东市,2013-02-17,23.16474,34.159145,11.346372,7.0443926,0.4286587,62.915863,268.68558,85.25315,98763.09,2.2291923,3.6019683
丹东市,2013-02-18,22.021002,25.968264,19.132225,8.99639,0.43604386,46.55692,260.14377,59.029682,99291.94,0.8005987,-5.929679
丹东市,2013-02-19,21.417599,31.574028,19.903511,8.204931,0.5402186,50.494946,257.30136,64.816444,99622.59,3.4003704,-5.137245
丹东市,2013-02-20,42.36208,52.01066,28.310856,15.217419,0.58402085,39.62758,257.88095,71.08346,99751.805,0.51966023,-2.8301864
丹东市,2013-02-21,43.268032,54.79531,25.332478,16.29364,0.6421795,45.489796,260.99295,69.268074,99636.25,0.76734865,-0.6051462
丹东市,2013-02-22,29.984428,40.556503,24.118465,11.544159,0.46835756,47.691296,262.75354,71.1002,99482.945,3.479989,-5.00542
丹东市,2013-02-23,27.433033,41.31273,23.102535,12.137061,0.5007712,49.086002,262.82413,65.20747,99713.87,2.9019089,-3.4245772
丹东市,2013-02-24,23.648283,32.87768,13.1378765,10.156373,0.416917,50.7594,262.64935,59.054386,100077.75,-1.9981256,-3.6175613
丹东市,2013-02-25,23.994022,29.438595,11.567701,9.716463,0.43755502,57.0448,264.93762,63.940453,99870.18,-3.352793,-2.3417706
丹东市,2013-02-26,43.0379,51.372585,15.523678,12.813177,0.5325605,49.871304,270.1301,86.20834,98807.51,0.87159544,1.0796803
丹东市,2013-02-27,88.68191,103.3363,27.732332,26.119444,0.9712849,31.75088,268.7312,78.06474,98745.84,1.1902218,-2.3757288
丹东市,2013-02-28,54.90484,78.07966,21.824911,18.176533,0.8511508,40.670464,269.39825,83.35413,98163.305,0.77857554,2.0778859
丹东市,2013-03-01,11.633056,22.31619,14.228805,7.041694,0.32169828,56.879898,263.69525,67.90811,98839.22,7.1396523,-8.348015
丹东市,2013-03-02,18.250664,24.66973,17.482365,9.207502,0.3480448,53.768433,263.4279,66.35458,99773.05,2.1689935,-6.320385
丹东市,2013-03-03,57.57087,70.19653,26.619085,21.791235,0.698545,41.468662,266.46838,75.95424,98958.58,-0.51199734,1.8065081
丹东市,2013-03-04,51.13645,61.812748,28.843369,22.23692,0.62213516,37.13133,267.40085,71.97532,98930.734,2.5158923,-5.028132
丹东市,2013-03-05,52.228607,77.20094,31.661032,23.359995,0.6850188,35.421646,271.42184,78.917656,98852.8,1.7231699,5.4740915
丹东市,2013-03-06,73.69081,90.45416,23.293594,22.65915,0.7269587,34.341476,273.38174,93.619064,98533.3,-2.4640598,0.34649506
丹东市,2013-03-07,84.28376,97.35195,25.075981,20.44018,0.7822023,43.438667,274.6746,75.84379,98120.28,-0.3770582,-4.1121144
丹东市,2013-03-08,44.742695,55.130898,15.644427,11.575565,0.5717364,49.06354,272.292,66.56795,97914.836,-0.7940812,-3.1780891
丹东市,2013-03-09,37.835163,65.66985,17.017012,11.521088,0.5144061,48.2687,272.2923,62.702106,97720.25,0.45376584,-1.1237553
丹东市,2013-03-10,14.714983,20.456686,13.01524,7.571041,0.29835603,60.998016,264.87482,53.12024,99402.68,2.4951196,-7.049309
丹东市,2013-03-11,26.75588,43.830044,18.238697,10.282875,0.48913205,56.093483,270.81406,60.846725,99360.91,1.1757188,5.3867497
丹东市,2013-03-12,29.565609,37.130005,13.158202,10.652699,0.45860773,55.58342,271.9835,90.4701,98564.984,0.5970287,1.5009905
丹东市,2013-03-13,15.060005,20.552814,11.039726,7.7410245,0.32179186,64.41641,265.10938,66.63743,99340.42,1.3543047,-10.236295
丹东市,2013-03-14,27.780153,38.769302,17.649067,11.012111,0.5078413,58.67554,267.78857,56.476246,99740.75,1.5981882,2.0793169
丹东市,2013-03-15,56.51714,73.00238,25.259539,19.914299,0.62101436,49.57053,272.27725,82.66813,99192.08,1.802738,5.263157
丹东市,2013-03-16,68.84943,86.524025,26.989117,19.632475,0.66356456,42.787224,273.2333,81.885025,99378.0,-0.80139613,-1.5447783
丹东市,2013-03-17,68.78418,83.454094,22.69907,12.281538,0.75250167,65.86433,274.03287,91.466965,98221.195,0.17743106,5.509855
丹东市,2013-03-18,22.299435,31.803734,11.755608,8.521707,0.3800951,68.21048,270.03857,72.25562,97644.336,1.5862947,-5.5137444
丹东市,2013-03-19,21.078045,30.704786,14.23427,9.421789,0.39565226,61.18973,268.0881,61.980698,98423.82,-0.65047735,-3.7415884
