city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
九龙城区,2013-01-01,32.91225,49.92816,9.94694,39.22085,0.6610492,36.675655,287.7382,53.31026,101938.96,-1.4444221,-4.9852414
九龙城区,2013-01-02,47.49907,68.60696,9.753716,48.54773,0.8023484,44.859116,289.905,60.148342,101938.37,-2.2427282,-5.668289
九龙城区,2013-01-03,51.745205,67.98345,12.851578,31.180893,0.9239342,33.399284,287.24817,68.41782,102275.48,-3.2722914,-9.751616
九龙城区,2013-01-04,30.669619,44.394978,10.070939,26.143583,0.86863446,20.207495,283.99527,73.12199,102142.04,-2.6362057,-9.295045
九龙城区,2013-01-05,32.55279,47.698307,9.56188,29.224264,0.89278406,29.450783,285.946,71.923515,101835.88,-1.8804907,-7.224865
九龙城区,2013-01-06,40.023777,57.988506,11.430653,30.79997,0.95397377,27.732012,286.2675,70.676346,101895.07,-1.5552258,-7.8609643
九龙城区,2013-01-07,43.275787,64.63148,10.257714,40.476807,1.0198872,32.07076,287.89163,69.96905,101798.47,-1.4597529,-6.166183
九龙城区,2013-01-08,56.75357,83.700745,12.577473,47.128494,1.1762937,40.004562,288.77414,67.582664,101765.5,-1.8125167,-6.4009404
九龙城区,2013-01-09,54.776016,76.145775,15.313109,29.430452,1.2019575,38.696095,286.50867,65.12115,101919.65,-2.4468071,-8.959521
九龙城区,2013-01-10,59.927227,76.178764,14.982305,25.420378,1.0592774,40.57677,287.31754,69.19659,101975.79,-3.4281652,-6.2177753
九龙城区,2013-01-11,46.01942,60.48895,10.001299,34.241444,0.84993,66.85916,289.5958,69.57108,101996.27,-3.9499798,-5.9501224
九龙城区,2013-01-12,59.700672,76.250595,12.031971,50.68282,1.0723208,47.78258,289.27814,68.21378,101824.97,-2.3801277,-6.6713223
九龙城区,2013-01-13,61.314144,81.53414,14.876187,54.42325,1.2021028,62.199295,290.06073,65.51828,101529.63,-1.1882346,-5.968557
九龙城区,2013-01-14,39.230618,48.672787,8.898532,23.588171,0.83060336,78.7696,289.27768,60.09167,101831.87,-5.1937504,-4.3612514
九龙城区,2013-01-15,30.948463,40.359867,5.61355,25.387049,0.680662,84.98715,290.51053,73.04871,102057.88,-6.3371835,-2.210087
九龙城区,2013-01-16,44.718506,59.235027,7.899059,46.46594,0.85363334,85.077995,291.21127,63.913635,102097.15,-3.364147,-2.9416103
九龙城区,2013-01-17,51.921726,72.482414,13.547234,34.412945,1.1100686,78.35915,289.62592,67.418205,102386.16,-4.053211,-7.2578397
九龙城区,2013-01-18,58.86319,69.420166,13.471459,22.561377,1.0894678,78.11354,288.22922,62.830173,102559.01,-6.0732555,-5.4922485
九龙城区,2013-01-19,28.930399,36.28898,5.7514243,21.263544,0.6027793,85.09566,289.33755,67.331566,102216.43,-6.7232375,-2.6144814
九龙城区,2013-01-20,20.637907,31.29648,3.4853728,27.772985,0.5114725,72.50253,291.81207,87.90826,101992.62,-6.9192505,-0.86665267
九龙城区,2013-01-21,18.325848,29.821402,3.585168,27.846739,0.5218968,75.96399,293.23923,89.7143,101903.71,-5.285377,-1.7155324
九龙城区,2013-01-22,34.04321,55.576878,10.10391,51.807632,0.88955855,73.36172,292.60312,78.68879,101926.22,-2.5263407,-5.751411
九龙城区,2013-01-23,63.729496,76.03255,11.556952,28.42476,1.2667848,85.1721,290.86673,74.602425,101908.75,-3.881232,-5.1883407
