city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
云浮市,2013-01-01,34.329815,52.82499,16.15322,29.46883,0.80279434,32.460487,281.60526,41.700344,99807.055,-2.4591968,-2.6811595
云浮市,2013-01-02,41.493362,62.617867,16.330603,35.25165,0.9383752,32.456585,284.63535,55.87433,99784.05,-3.327077,-2.308892
云浮市,2013-01-03,33.89658,54.559574,15.508809,22.310434,1.0356547,25.863186,281.21002,75.57653,100277.8,-3.3848348,-6.822081
云浮市,2013-01-04,23.94405,36.63803,10.692769,15.0801,0.89293605,26.295773,278.144,75.462555,100090.49,-2.8064752,-4.6638584
云浮市,2013-01-05,24.742586,34.320793,10.34377,16.440252,0.96214485,22.702805,279.10718,77.413994,99749.71,-1.5107646,-2.7553468
云浮市,2013-01-06,29.785748,39.688377,12.060703,15.941956,1.1192259,22.338573,280.546,78.126114,99820.6,-2.2164338,-4.022403
云浮市,2013-01-07,41.73262,47.598015,11.7267,17.930344,1.2252178,35.902966,281.82108,74.37977,99702.76,-2.1344905,-3.1508417
云浮市,2013-01-08,51.008717,57.608223,12.563609,19.780725,1.2654934,37.69681,283.4069,70.9149,99666.46,-2.3024628,-3.5324936
云浮市,2013-01-09,47.01525,47.838116,16.444723,14.994392,1.196921,32.552685,282.24692,64.03565,99842.29,-3.6975038,-5.8522615
云浮市,2013-01-10,81.77643,84.94152,20.660574,24.432375,1.1963053,49.87961,281.66257,58.744404,99879.76,-3.9877126,-4.5475917
云浮市,2013-01-11,101.20192,115.78766,15.742768,27.014755,1.3262473,44.35381,282.36145,75.34209,99926.164,-1.866642,-4.392139
云浮市,2013-01-12,77.011215,88.2667,13.399277,16.348927,1.2751074,46.821873,284.7369,71.74136,99747.07,-1.6228981,-4.153562
云浮市,2013-01-13,52.40654,68.67921,12.695421,14.079243,1.2811576,52.113247,285.79208,69.31958,99430.19,0.6242843,-3.813605
云浮市,2013-01-14,60.81538,78.933044,15.320575,27.366505,1.2393444,52.68941,285.6629,56.6807,99662.945,-4.856699,-1.8260098
云浮市,2013-01-15,91.62832,113.22732,27.82113,66.43682,1.481939,43.02929,286.52182,66.60683,99864.99,-3.6319344,-1.4761429
云浮市,2013-01-16,93.034355,114.58671,17.505232,54.202606,1.4431697,57.933296,287.06393,67.04663,99936.59,-2.7861085,-2.535186
云浮市,2013-01-17,78.62659,100.9468,20.373785,31.65512,1.2526819,44.228733,286.06348,69.162025,100284.27,-5.0762286,-5.569976
云浮市,2013-01-18,81.515434,101.432755,18.756395,19.497805,1.3069059,72.75161,283.60864,60.04325,100421.72,-5.0536633,-4.704436
云浮市,2013-01-19,88.313255,106.28461,22.588356,45.237846,1.235858,61.33318,285.47452,61.751915,99982.45,-4.8021035,-0.51082194
云浮市,2013-01-20,74.3514,78.88749,22.019129,38.328808,0.9428306,38.362717,289.8081,86.293304,99743.15,-4.122344,2.5017784
云浮市,2013-01-21,77.267975,85.15102,16.569191,38.94968,1.0827605,53.46195,292.05734,83.63066,99727.66,-2.420772,-0.4525744
云浮市,2013-01-22,78.35239,100.164215,15.304827,33.470417,1.4605422,39.99414,287.75983,81.07385,99852.1,-2.8803763,-4.036971
云浮市,2013-01-23,62.54089,85.8306,17.005981,23.936445,1.6362095,48.933037,286.60635,73.991684,99785.51,-3.7489226,-2.8091977
云浮市,2013-01-24,87.4825,117.82608,23.175032,29.506992,1.7277629,62.329292,288.1442,73.699295,99681.82,-1.2971984,-2.4921598
云浮市,2013-01-25,45.243774,69.01212,20.948685,15.599517,1.6784418,65.12003,286.02997,66.89206,99788.68,-3.5407143,-3.519997
云浮市,2013-01-26,88.77948,98.56423,22.5567,33.70056,1.5552256,38.570732,286.2457,81.15367,99685.31,-2.4280043,-2.7250154
云浮市,2013-01-27,56.064945,62.43017,13.661064,13.420326,1.2385561,57.43368,287.36575,66.88125,99951.46,-4.619363,-4.419437
云浮市,2013-01-28,64.89943,80.370415,18.629807,30.017338,1.1427923,57.314705,287.1381,55.27554,99918.5,-5.14054,-0.7096513
云浮市,2013-01-29,81.97109,89.63327,21.322311,42.87144,1.0774767,55.8569,289.38867,81.27999,99848.84,-3.6720345,0.5435732
云浮市,2013-01-30,52.309895,57.05711,16.04208,26.688929,0.8352168,52.794716,290.63098,83.66784,99883.875,-4.270809,2.622486
云浮市,2013-01-31,35.236774,39.27308,6.5054893,14.337646,0.5748713,58.295506,291.18027,84.846886,99812.17,-3.8644943,3.8319912
云浮市,2013-02-01,42.167595,48.504177,7.415345,16.809114,0.74321795,73.91443,292.326,80.44237,99766.42,-3.029819,1.4794223
云浮市,2013-02-02,69.12472,76.91329,10.634628,35.13187,1.0263438,72.08528,293.25256,71.24394,99791.93,-2.8630624,-2.0674791
云浮市,2013-02-03,44.894638,53.78149,12.800343,22.76565,0.78857505,61.58913,292.4631,86.317635,99617.086,-3.6030037,0.39760858
云浮市,2013-02-04,54.215027,65.39006,7.0666633,18.444384,0.8060188,32.16126,293.13,93.04199,99643.22,-1.7486145,0.12662745
云浮市,2013-02-05,38.283745,56.963745,8.928068,25.261051,1.048511,47.166447,294.814,83.38757,99556.336,-1.1299621,2.7002277
云浮市,2013-02-06,18.131989,25.321976,3.2718308,7.1195164,0.5003245,54.95915,293.52902,88.66932,99362.93,-1.3576541,3.580976
云浮市,2013-02-07,19.272612,23.90277,3.1333225,6.343235,0.578095,57.943626,293.81866,84.826485,99090.93,-2.3394563,4.6557503
云浮市,2013-02-08,21.092297,31.48986,12.759862,15.772567,1.176812,26.06906,283.21204,86.68478,99841.44,-4.6600623,-6.375618
云浮市,2013-02-09,20.509064,28.260386,9.097413,9.163132,0.8326634,40.45396,280.9696,76.70854,100125.164,-2.9588444,-4.052192
云浮市,2013-02-10,36.63547,41.793682,8.673437,10.695305,0.76491165,41.72808,284.17468,70.931915,99832.24,-2.014556,-1.5503453
云浮市,2013-02-11,66.41378,68.71481,13.705976,20.19054,1.0009776,40.954235,287.13367,73.09845,99697.18,-2.8961701,-1.0213914
云浮市,2013-02-12,46.01935,51.004013,10.709083,14.227496,1.0224189,39.30721,287.67905,73.484314,99888.555,-3.694365,-4.520267
云浮市,2013-02-13,31.957504,41.056965,11.280152,10.498525,1.0122479,59.847195,286.11615,68.24809,99774.38,-3.6164453,-2.2572691
云浮市,2013-02-14,54.595814,57.775063,12.597423,18.390509,0.97685117,64.84289,289.96375,79.097984,99477.15,-2.460543,0.39923197
云浮市,2013-02-15,51.844986,57.331818,10.290534,17.111582,1.061456,35.73248,289.31894,81.77772,99606.62,-2.245137,-2.9193451
云浮市,2013-02-16,37.152977,45.873894,12.512805,17.277021,1.1285954,38.13123,286.7153,73.30075,99586.2,-4.2930527,-1.2011002
云浮市,2013-02-17,42.900745,44.066223,5.300822,12.016823,0.90775365,59.205555,292.0676,85.866135,99216.63,-3.281313,3.895443
云浮市,2013-02-18,34.466434,39.243736,2.341021,8.373286,0.84026814,63.068344,294.1005,83.60835,99028.81,-1.6541711,4.8953657
云浮市,2013-02-19,36.596905,47.831146,11.022842,20.448303,1.2333273,32.48228,289.17294,82.78063,99364.836,-2.1894343,-2.372987
