city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
克拉玛依市,2013-01-01,12.5223,14.509027,15.034175,9.015777,0.24057381,58.482616,258.2771,61.37351,98220.73,-1.9734176,-1.3076086
克拉玛依市,2013-01-02,9.760163,11.1430025,9.632366,6.1241,0.22627889,55.320396,257.45947,68.63713,99216.55,-1.9974225,-1.4937155
克拉玛依市,2013-01-03,11.015463,12.907727,13.732433,8.344388,0.22675253,43.72556,257.36453,64.99715,98887.15,-2.3762658,-2.142092
克拉玛依市,2013-01-04,15.328651,17.822935,19.51776,11.452465,0.25505063,47.153286,255.03024,69.539406,98690.26,-0.7683565,-0.06296128
克拉玛依市,2013-01-05,15.629789,17.6686,14.3826275,8.103229,0.24955665,51.260082,255.35837,72.97441,98761.56,0.4504536,0.78254336
克拉玛依市,2013-01-06,14.38748,15.988096,11.774811,6.71085,0.26013568,44.842384,255.10085,73.14886,98997.32,-2.6452036,-1.8591942
克拉玛依市,2013-01-07,15.171009,17.243944,16.848127,9.840199,0.27587038,47.112606,255.01164,74.00693,98904.35,-1.8059849,-1.1033299
克拉玛依市,2013-01-08,14.241948,16.449404,17.691572,10.25103,0.25932798,53.14351,256.6787,67.61535,98666.7,-1.6765423,-1.3424038
克拉玛依市,2013-01-09,11.785779,13.6974535,14.338037,8.62336,0.23093344,57.28199,257.5111,68.79187,98289.836,-1.1335845,-0.42267027
克拉玛依市,2013-01-10,10.149052,11.680963,10.655647,6.646703,0.2150832,51.68061,259.9548,81.6868,98522.86,-2.4804733,-2.044209
克拉玛依市,2013-01-11,12.258986,14.376773,16.052288,9.180462,0.23217149,51.796906,260.16577,81.80963,98126.375,-1.989225,-1.5046116
克拉玛依市,2013-01-12,10.847232,12.673695,13.4607115,7.9093347,0.21842025,55.507305,261.59836,65.49516,97463.14,-1.0283587,-1.5560598
克拉玛依市,2013-01-13,6.0674577,7.1509995,7.819544,5.516209,0.24465634,52.314682,269.08038,75.229836,98234.664,2.7165468,-0.37359405
克拉玛依市,2013-01-14,10.778614,12.445461,12.353817,8.059862,0.26560557,43.56041,263.4877,84.403595,98719.93,-1.946201,-1.7017711
克拉玛依市,2013-01-15,10.373971,12.183989,12.973167,8.333991,0.25371635,46.531654,262.69943,81.71163,98298.81,-2.2118945,-2.6092021
克拉玛依市,2013-01-16,12.005141,13.98549,14.403886,9.05584,0.24397479,51.738827,261.3813,70.29098,98443.23,-0.25881013,-0.111966826
克拉玛依市,2013-01-17,12.7344675,14.344341,12.177447,7.29128,0.2433095,47.247406,260.67313,79.49065,99072.76,-1.1933664,-0.34039608
克拉玛依市,2013-01-18,12.869143,14.51646,12.500099,7.539889,0.23981187,47.24821,258.56683,79.96756,98833.98,-1.2847943,-0.65832263
克拉玛依市,2013-01-19,17.403135,19.564114,17.26052,9.7466,0.25193915,46.620487,258.39294,79.37605,98676.9,-1.0426788,-0.56731886
