city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
六盘水市,2013-01-01,58.796803,77.888565,63.471447,22.16148,0.67543966,37.033176,276.69385,68.72011,83107.76,0.6883336,0.95648926
六盘水市,2013-01-02,58.996334,89.1593,50.57758,18.699993,0.7606545,38.399223,279.2757,66.82685,83111.41,-1.2526819,0.35527468
六盘水市,2013-01-03,107.656105,121.33734,64.00489,17.672766,0.9871344,37.988464,271.4714,80.067314,83713.02,-2.5932345,-1.3789122
六盘水市,2013-01-04,58.33305,65.13984,34.014156,10.230503,0.6760959,50.52157,274.17892,86.549034,83124.945,0.08783943,5.261157
六盘水市,2013-01-05,44.019836,49.043568,33.60825,12.094142,0.57461876,49.05085,278.16168,70.18591,82890.555,1.4695332,2.88997
六盘水市,2013-01-06,61.302578,71.03297,41.760826,13.523523,0.75902843,43.098923,275.4087,79.3421,83047.77,-0.62541425,3.9687645
六盘水市,2013-01-07,53.825745,61.59055,36.160866,13.175717,0.6502095,51.210506,277.59732,77.193054,82948.96,0.97160953,3.6845694
六盘水市,2013-01-08,97.6991,109.69098,61.309486,19.328175,0.9370371,40.619274,273.84464,86.77261,83085.77,-1.8136257,-0.28961867
六盘水市,2013-01-09,146.70604,164.22034,81.99528,19.109198,1.2283734,46.878757,270.98715,83.98487,83320.09,-2.1168394,-0.46731138
六盘水市,2013-01-10,105.34398,116.90867,50.228893,12.078205,0.95809764,57.028824,272.46463,85.19345,83171.07,-1.4705969,4.8222265
六盘水市,2013-01-11,151.66302,166.77216,67.2266,18.591188,1.2201028,45.00789,272.65137,92.298935,83367.06,-2.2534971,-0.625929
六盘水市,2013-01-12,140.50969,165.12451,75.86918,23.53092,1.2888297,44.481026,274.89542,79.57395,83249.84,0.6540833,0.8729574
六盘水市,2013-01-13,75.34318,100.24977,60.716293,27.636786,0.88860923,39.829823,280.83707,56.831497,82949.15,2.9540734,1.7748612
六盘水市,2013-01-14,76.021706,93.27257,50.86429,20.982176,0.8493022,40.658962,277.5276,84.05761,83054.41,0.33441457,4.0921435
六盘水市,2013-01-15,100.934235,112.66519,54.689396,20.510345,0.971525,35.82838,276.8523,90.55566,83306.58,-0.59929204,2.1909442
六盘水市,2013-01-16,90.994965,103.11336,46.70534,19.708042,0.89371014,32.735447,278.9658,87.78955,83359.42,-0.22299069,1.8782029
六盘水市,2013-01-17,149.10773,165.94286,81.93382,19.076317,1.3315626,41.60565,275.53104,84.05976,83879.75,-2.1364443,-1.506989
六盘水市,2013-01-18,113.54003,131.7058,49.87918,14.422574,1.0445416,43.159878,276.36865,90.96162,83672.33,-0.22290343,4.390591
