city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
内江市,2013-01-01,133.06836,208.01154,34.43985,46.250015,2.3211107,36.260357,278.93744,24.323849,97072.11,-2.0380478,-0.5041582
内江市,2013-01-02,133.01672,179.1839,30.390419,39.29823,1.9075394,29.258017,279.07172,35.13634,97292.81,-0.68270195,-6.3221674
内江市,2013-01-03,66.23953,93.545525,20.135427,27.104975,1.5484457,25.918285,274.65338,77.06775,98178.74,0.8873532,-4.732582
内江市,2013-01-04,81.93501,72.32902,22.706043,23.00494,1.563674,23.921898,275.06537,77.9348,97471.25,-0.73882365,-1.490045
内江市,2013-01-05,66.203186,66.26315,22.349737,18.63821,1.5458776,28.948858,276.8814,50.25517,97292.98,-1.9665076,-2.808783
内江市,2013-01-06,82.71029,86.808365,29.539639,28.262274,1.645415,29.950012,277.4262,48.1365,97337.75,-1.9339756,-0.9382079
内江市,2013-01-07,85.56913,116.35399,17.877043,21.361195,1.4161898,39.533497,277.73737,51.914104,97293.164,-1.5551547,-1.9751638
内江市,2013-01-08,167.89578,204.5459,18.697659,28.17504,2.0905595,42.080975,278.22037,55.25515,97508.89,-0.68513364,-2.1724823
内江市,2013-01-09,201.0715,227.32054,20.437944,37.27829,1.9976296,37.1976,278.56906,51.597733,97599.07,-0.9856157,0.3455409
内江市,2013-01-10,167.79774,199.73294,37.692966,35.22099,1.65246,30.524115,278.1595,57.933895,97417.836,-2.8509881,0.2159148
内江市,2013-01-11,136.15485,182.08455,30.11149,23.772118,1.7406151,42.03619,278.79956,66.526855,97701.875,-0.337317,-1.268517
内江市,2013-01-12,185.7888,216.75928,33.167286,33.604687,2.029867,40.653996,280.3728,49.54611,97261.375,-1.7693276,0.42575863
内江市,2013-01-13,287.61673,306.26382,35.383163,35.80773,2.4409366,37.624615,281.32303,48.73688,96829.49,-2.1322124,-2.35484
内江市,2013-01-14,189.23102,232.99014,33.001923,29.072294,1.719283,33.91751,281.52042,52.248646,97021.24,-1.6384552,-3.3289254
内江市,2013-01-15,187.7242,228.64035,25.910246,26.97751,1.7572643,40.39917,281.74042,61.823433,97400.555,-0.14762968,-2.098372
内江市,2013-01-16,147.47403,191.31137,30.349154,36.196003,1.8144604,41.45625,281.4061,59.66404,97564.92,-1.004116,-1.1082197
内江市,2013-01-17,224.34851,310.881,34.464283,52.214157,2.1657019,29.252096,281.79977,64.49732,98046.83,-0.4214056,0.55514663
内江市,2013-01-18,147.50563,194.2241,35.249207,37.23818,1.6328878,26.993973,282.66556,50.86146,97617.37,-3.6085842,0.828766
内江市,2013-01-19,169.33453,221.47617,36.823185,44.702263,2.0991466,22.889805,281.9848,51.693836,96621.19,-1.5876516,-2.7859693
内江市,2013-01-20,135.14366,154.17242,26.128084,25.244707,1.6613832,33.549633,281.546,53.810406,96857.24,0.12774315,-4.5140457
