city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
凉山彝族自治州,2013-01-01,18.088713,20.521507,7.304097,3.6858327,0.2585663,66.940414,275.0466,56.16923,73788.75,2.432871,0.54299706
凉山彝族自治州,2013-01-02,29.002789,32.78756,12.215774,4.548391,0.33343133,66.043594,278.4432,39.015305,73774.734,3.6089334,2.9955304
凉山彝族自治州,2013-01-03,42.76222,47.59058,14.240518,5.377271,0.43724388,64.65985,271.96414,73.29498,74060.5,1.6534952,4.2198505
凉山彝族自治州,2013-01-04,22.27333,24.418604,6.544516,3.060685,0.3009485,73.341324,276.74365,57.297363,73643.18,8.840277,4.514519
凉山彝族自治州,2013-01-05,25.197655,27.827389,7.725487,3.2501633,0.30951893,73.53029,278.27798,38.808292,73544.664,8.542566,4.179904
凉山彝族自治州,2013-01-06,21.840355,24.356937,7.2577004,3.0499082,0.30364656,75.748344,277.1431,34.633884,73638.61,7.947473,4.7160077
凉山彝族自治州,2013-01-07,25.41026,28.377075,8.546,2.8859353,0.32927945,76.081924,276.06537,39.232815,73563.71,8.141469,4.9491887
凉山彝族自治州,2013-01-08,45.78084,50.44914,12.5717,2.9336462,0.42367697,69.58185,272.8124,59.32466,73580.45,5.0106277,2.8609955
凉山彝族自治州,2013-01-09,60.048264,66.389206,14.0468025,4.366923,0.53323984,67.12958,270.05988,72.2326,73733.37,0.28903556,1.9761958
凉山彝族自治州,2013-01-10,44.624767,49.249508,11.319672,3.8254793,0.43830118,69.721054,271.57327,80.854485,73623.055,2.526418,3.2911859
凉山彝族自治州,2013-01-11,80.90237,89.292625,19.73716,4.38022,0.65159607,63.20371,269.38245,84.52617,73904.16,-1.9030652,-1.0211712
凉山彝族自治州,2013-01-12,62.426792,68.765114,15.07646,3.9193842,0.56570446,70.77587,271.35117,64.329926,73867.58,2.468221,0.088174164
凉山彝族自治州,2013-01-13,26.046637,29.522776,7.483041,3.8462481,0.332321,66.282364,276.34293,31.500917,73710.94,4.8738165,2.2973175
凉山彝族自治州,2013-01-14,37.888813,42.251305,10.594545,3.5090673,0.3895481,63.95891,275.29868,52.506737,73639.66,4.5406733,3.5555737
凉山彝族自治州,2013-01-15,56.8273,62.853786,14.219636,3.7480934,0.49986717,66.36763,274.64987,60.371452,73920.06,2.0816424,1.8342558
凉山彝族自治州,2013-01-16,37.08741,41.407276,10.201267,3.6699193,0.38566855,65.095825,277.03012,50.12805,74013.01,4.276383,1.6563272
凉山彝族自治州,2013-01-17,64.1617,71.41255,16.394625,4.429305,0.5720117,63.01627,274.54916,63.74926,74421.414,0.44832593,1.0588042
凉山彝族自治州,2013-01-18,36.58129,40.693623,10.204726,3.9379792,0.39758617,65.199936,278.9514,56.74027,74265.08,4.9065294,2.735276
凉山彝族自治州,2013-01-19,16.803223,18.987839,5.2256927,3.037647,0.25506324,69.50304,282.4224,28.317633,73879.64,8.961492,2.4297786
凉山彝族自治州,2013-01-20,14.588622,16.410172,4.7433777,2.6184366,0.24437384,74.384186,279.84525,31.510626,73876.95,9.290038,3.9143565
凉山彝族自治州,2013-01-21,19.606215,22.261038,5.774679,3.0582135,0.2815784,74.42378,277.30994,45.778313,74018.81,6.828697,4.4004297
凉山彝族自治州,2013-01-22,17.421728,20.059603,5.5889964,3.1696088,0.2635477,73.60512,276.97675,36.06438,74093.125,5.134736,2.393091
凉山彝族自治州,2013-01-23,27.085028,30.51841,8.413242,3.5756128,0.32795322,72.905785,276.92426,34.390717,73919.92,5.4517393,2.4972615
凉山彝族自治州,2013-01-24,55.691708,62.375637,16.804089,3.351436,0.48699078,70.76192,273.53427,49.617496,74111.266,-0.99107563,-0.2861665
凉山彝族自治州,2013-01-25,30.504545,34.889133,9.678601,3.9910839,0.3499982,71.95342,275.5683,41.421024,73851.58,4.88901,3.0417442
凉山彝族自治州,2013-01-26,43.232037,48.968685,13.094769,4.0549784,0.43264183,70.36712,273.57648,48.924603,74008.71,-0.87932795,-0.49020404
凉山彝族自治州,2013-01-27,49.443085,55.20274,15.352302,4.086158,0.4781164,73.220825,273.66187,60.70952,74158.48,0.545673,2.7111623
凉山彝族自治州,2013-01-28,19.616026,22.293934,6.387255,3.0786383,0.2812989,71.632706,276.79266,38.253227,73969.836,4.8106556,1.5902889
凉山彝族自治州,2013-01-29,20.786226,23.96807,6.960246,3.5260096,0.28759357,71.67553,278.19308,33.685608,73937.664,5.865829,4.2808137
凉山彝族自治州,2013-01-30,16.315205,18.36385,4.9386916,2.5887916,0.25438952,74.15194,278.01645,39.291573,73975.0,7.718445,4.263428
