city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
南平市,2013-01-01,28.622557,37.80472,10.692545,8.962094,0.35657683,56.242012,277.80673,39.833183,96431.12,-0.98705035,-0.5700172
南平市,2013-01-02,42.669987,53.588818,13.729818,15.082008,0.5087107,50.812786,280.7707,69.30875,96581.36,-1.8593465,-2.031524
南平市,2013-01-03,27.15544,33.77077,14.636853,15.500458,0.42204943,40.303978,275.2956,77.69396,97086.695,-2.1739435,-4.904455
南平市,2013-01-04,40.49915,46.933357,16.39934,19.4105,0.5341583,33.137215,273.37894,89.32291,96773.93,-0.55607605,-2.338878
南平市,2013-01-05,43.50753,50.98534,16.123259,19.383207,0.57810986,34.74616,274.53098,92.50072,96426.91,0.464414,-1.7746611
南平市,2013-01-06,44.699074,55.585503,18.673273,22.902409,0.6909956,33.18532,275.2756,93.27628,96463.55,0.7158945,-1.5616734
南平市,2013-01-07,44.657585,55.429893,16.676704,14.763979,0.62628657,43.952343,276.69968,90.02,96387.914,0.55048347,-1.2848421
南平市,2013-01-08,54.082333,63.28792,19.347893,15.47212,0.6746392,53.082115,277.58063,80.80503,96377.28,0.3019249,-2.7170777
南平市,2013-01-09,81.106544,94.80236,30.296686,27.246132,0.9221696,37.917015,276.31964,70.0689,96536.31,-1.3494287,-3.9161816
南平市,2013-01-10,57.751175,62.7469,20.019775,16.745466,0.57592547,44.77441,277.34708,66.79049,96634.19,-3.4945815,-2.0213563
南平市,2013-01-11,44.762955,47.747402,12.273201,13.192771,0.44754994,46.313976,277.88623,78.82227,96642.43,-1.671585,-1.1713958
南平市,2013-01-12,49.38374,53.80831,10.372233,10.87571,0.5042206,50.988117,280.74463,83.63893,96424.766,-0.90939,-1.7033461
南平市,2013-01-13,40.77269,46.536457,11.375312,11.380396,0.46396038,45.496128,280.59622,89.68839,96047.1,0.16242142,-2.083957
南平市,2013-01-14,35.500965,45.100407,14.703434,13.244418,0.50751084,50.798332,279.55124,67.704216,96388.65,-1.8994646,-3.2306664
南平市,2013-01-15,51.10856,57.282784,15.349063,11.744661,0.5131365,53.269085,281.0334,59.53362,96546.43,-0.6268512,0.35684004
南平市,2013-01-16,67.34297,77.44101,17.705158,8.8022375,0.6086812,55.21837,281.3119,71.895294,96607.58,0.22107363,-2.653317
南平市,2013-01-17,103.8826,107.56821,27.364265,22.715034,0.9507557,40.45626,277.87177,59.965504,97080.55,-2.4594631,-4.706977
南平市,2013-01-18,37.365,39.18704,11.199917,13.854031,0.4313547,51.79583,276.2,42.81604,97153.81,-2.1411686,-2.5712523
南平市,2013-01-19,27.076065,31.376501,8.465498,11.137857,0.34878355,58.864655,279.4689,59.948654,96756.33,-2.915651,1.9025247
南平市,2013-01-20,18.075197,23.4874,6.7236977,7.1633043,0.3446193,69.25455,284.58972,79.57055,96569.12,-1.6336639,1.575574
南平市,2013-01-21,40.73772,51.358864,11.34977,12.335865,0.5100754,52.370728,285.13278,91.70222,96512.15,1.2166371,0.14440644
南平市,2013-01-22,77.315186,78.00049,17.903296,17.190256,0.86111397,37.90188,280.90134,90.56001,96590.12,0.9427059,-2.238384
南平市,2013-01-23,72.43533,77.20086,19.355227,9.1492815,0.81008554,54.930737,280.45563,75.44272,96442.805,0.29145283,-1.6250688
南平市,2013-01-24,81.47051,91.2374,21.811243,12.430725,0.8651794,46.501926,280.0618,87.79258,96334.53,0.67685103,-0.90777135
南平市,2013-01-25,86.328514,89.95412,21.867235,11.274548,0.8108516,53.56414,279.8371,67.91019,96460.164,-0.5510387,-2.5442374
南平市,2013-01-26,61.819504,69.30467,14.199331,9.186808,0.61733145,64.07956,280.86163,64.458,96366.64,-0.34744492,-1.4167743
南平市,2013-01-27,60.646435,70.51518,18.693031,12.870747,0.5960337,60.509285,281.2631,50.379383,96706.5,-1.6275258,-3.4001515
