city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
南阳市,2013-01-01,51.888443,67.858505,30.09821,24.075315,0.6438983,29.610937,275.4752,35.804844,98876.336,-0.5677219,-2.1679285
南阳市,2013-01-02,57.59285,70.12046,29.02964,26.845995,0.8330614,21.932959,269.37137,46.40114,100013.17,-6.637844,-4.923466
南阳市,2013-01-03,63.659317,80.138084,34.122513,28.105177,0.84890133,22.177101,267.10867,38.87856,100597.04,-3.3493087,-2.0983305
南阳市,2013-01-04,95.13379,114.44097,31.982357,25.572557,1.0444492,25.174545,267.60318,30.95071,99783.54,-2.1189332,-0.06240457
南阳市,2013-01-05,127.930016,155.95067,42.16115,26.677834,1.2553202,27.404,270.67947,30.366537,99295.01,-0.3067733,0.0036368887
南阳市,2013-01-06,196.60402,233.39795,70.17028,35.92732,1.6567532,21.434278,271.84888,35.022644,99282.01,-0.83883035,-0.38478276
南阳市,2013-01-07,189.86684,217.36372,70.95388,28.081736,1.4400425,27.59209,274.1779,32.58668,99001.8,0.5374609,0.02220034
南阳市,2013-01-08,279.04395,316.28806,79.12435,42.837067,2.3512192,15.767023,274.34747,34.99408,99303.98,-1.9937671,-3.620431
南阳市,2013-01-09,181.84456,204.87578,47.98275,36.88748,1.8901459,15.653174,272.33536,49.71889,99582.47,-2.8156781,-1.4368745
南阳市,2013-01-10,181.07501,209.31012,47.383915,30.369793,1.6771959,23.619305,274.19717,50.19561,99301.12,-0.72426033,1.5539713
南阳市,2013-01-11,155.8158,179.07814,52.388313,23.025331,1.3652964,31.913649,277.3857,40.611046,99195.07,1.8269788,-1.0391438
南阳市,2013-01-12,95.21621,110.654335,38.127167,25.915512,1.0347388,27.400324,276.84192,36.08493,99037.21,-0.4491306,0.4728343
南阳市,2013-01-13,166.96304,191.13719,60.348534,30.932415,1.5863076,26.405724,277.70102,45.515854,98640.08,-1.4535692,-0.48235327
南阳市,2013-01-14,290.00864,333.31143,56.72164,38.53581,2.6716657,26.345715,276.40292,51.074043,99057.95,-2.434145,-0.68644047
南阳市,2013-01-15,204.83961,232.6599,45.521908,25.575333,1.7555338,31.676413,277.83258,45.598312,99068.664,0.26976526,-1.8314942
南阳市,2013-01-16,153.51144,184.90672,51.51451,33.360355,1.5632453,20.165953,276.56625,41.23917,99454.484,-1.8352584,-3.2640316
南阳市,2013-01-17,150.97723,173.18382,44.16668,34.41348,1.7683407,16.150402,272.6622,60.09455,100267.54,-3.3522336,-2.4692585
南阳市,2013-01-18,137.67506,161.65181,41.562996,27.776987,1.4381677,23.250446,273.74908,59.713486,99719.42,-0.0146796955,1.9878135
南阳市,2013-01-19,144.29715,172.53741,52.50313,24.435537,1.5454985,29.399565,276.76892,62.56646,98877.81,-3.1609888,2.7992601
南阳市,2013-01-20,179.63942,202.18686,45.198566,39.0412,1.8839065,17.69135,274.50046,83.702995,99002.46,-3.622755,-3.6782289
南阳市,2013-01-21,192.82652,220.33356,60.203457,37.19931,1.8028847,19.173271,275.01114,70.03591,99318.56,-0.87261254,-1.4441309
南阳市,2013-01-22,232.64436,274.33136,66.568985,38.696068,2.1630127,17.017078,274.44608,72.12801,99420.48,-1.8806599,-0.87248385
