city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
厦门市,2013-01-01,22.205782,51.673798,24.588076,38.255825,0.8830338,30.068794,283.86057,62.603012,100948.9,-3.4175415,-6.8580627
厦门市,2013-01-02,30.137398,54.58977,23.584368,37.15387,0.83057743,35.29385,287.3266,77.29942,100978.34,-3.8323889,-6.4958844
厦门市,2013-01-03,22.51613,30.053947,12.329381,25.564896,0.4269928,45.741543,285.10574,73.79134,101339.02,-6.888151,-10.494716
厦门市,2013-01-04,36.561222,28.514692,10.0200615,26.05774,0.53586006,39.034096,283.3579,72.278946,101119.71,-3.9588413,-9.263023
厦门市,2013-01-05,69.53025,36.2542,15.784383,32.46295,0.60997635,33.62291,285.36563,75.39507,100793.31,-3.2434356,-6.5806947
厦门市,2013-01-06,23.070631,39.51752,16.895758,33.35808,0.53046936,32.593372,286.57312,77.365654,100824.09,-4.1285267,-5.9676666
厦门市,2013-01-07,18.860231,39.99236,20.310654,37.407017,0.9287178,31.215986,287.31177,79.570244,100760.336,-4.061582,-5.070769
厦门市,2013-01-08,24.661682,59.387928,22.564377,48.509964,1.122911,33.84644,286.8148,81.37767,100763.34,-5.27001,-5.4579353
厦门市,2013-01-09,30.290932,66.72471,23.058718,45.199005,1.0323739,32.02594,284.65015,71.4425,100920.24,-4.3613605,-7.6827664
厦门市,2013-01-10,27.318703,44.87868,16.976675,29.324205,0.62744474,38.155987,283.35724,71.89,101053.65,-5.7681212,-10.399584
厦门市,2013-01-11,26.694853,43.29601,14.756955,29.832375,0.34257618,54.817814,285.92422,74.2883,101043.03,-5.224483,-8.268272
厦门市,2013-01-12,29.760057,43.230927,18.011076,42.19014,0.67291933,38.116806,287.16592,76.4737,100810.18,-4.72109,-8.257112
厦门市,2013-01-13,42.352974,64.50907,23.512789,40.010624,1.018607,45.416473,288.68918,69.595955,100404.03,-1.20681,-6.3409467
厦门市,2013-01-14,35.605976,56.68157,17.039175,31.884611,0.67800856,54.61206,284.92703,58.587605,100856.13,-5.009512,-7.151405
厦门市,2013-01-15,43.953205,71.27204,20.198875,39.198963,0.72941536,70.279625,285.1642,70.99624,101123.99,-4.3152013,-6.058037
厦门市,2013-01-16,68.875565,111.03121,35.977818,59.808956,1.1288934,62.776077,286.4644,69.282845,101116.29,-2.9748993,-4.202846
厦门市,2013-01-17,87.671715,111.1001,27.617605,41.26581,1.3338836,58.454563,284.54163,72.31896,101493.32,-6.903952,-7.8168044
厦门市,2013-01-18,47.680378,75.60428,21.08672,25.711523,0.7504061,73.52206,281.0638,51.482067,101696.37,-6.474154,-9.497216
厦门市,2013-01-19,36.4633,70.91821,22.977516,51.01938,0.6094541,50.440136,284.04532,76.0445,101321.02,-4.809414,-7.568285
厦门市,2013-01-20,41.088223,79.71885,32.41103,54.915054,0.90816444,53.845417,288.53525,74.76529,101114.9,-2.2651124,-3.7264526
厦门市,2013-01-21,52.25818,108.71554,48.995472,104.62922,1.2575454,38.38061,290.8326,68.083824,100971.79,-0.5104839,-0.8984726
厦门市,2013-01-22,60.435413,76.47483,25.934195,63.14838,1.1059374,40.441418,288.63168,85.14039,100993.836,-4.886486,-5.240682
厦门市,2013-01-23,44.021214,68.35343,25.056742,61.51895,1.5127689,39.606297,286.82306,82.00207,100951.68,-4.902962,-4.1929517
厦门市,2013-01-24,52.17686,78.586174,23.79101,46.378292,1.4087585,59.28686,287.55112,77.18271,100809.04,-2.560633,-3.71076
厦门市,2013-01-25,67.21478,96.959564,25.479822,27.022413,1.3379297,84.28326,285.89743,70.80859,100937.54,-5.573269,-7.04162
厦门市,2013-01-26,69.431786,101.64618,25.66363,39.394962,1.2956837,63.129242,285.83304,69.33439,100878.195,-3.2874622,-4.441592
厦门市,2013-01-27,43.16486,69.581696,20.19457,23.2958,0.7086556,103.67944,285.6426,67.85268,101177.555,-6.0753655,-7.5529447
厦门市,2013-01-28,26.907785,45.21942,16.256472,21.506859,0.57334983,94.05001,285.251,65.40472,101257.09,-6.5052056,-8.124336
厦门市,2013-01-29,25.0577,47.64118,25.31009,42.737347,0.75597113,54.132828,287.076,69.449585,101158.805,-2.6866684,-3.9794075
厦门市,2013-01-30,29.641474,48.63087,21.17927,39.877293,0.8987767,65.830475,287.5116,76.931915,101298.32,-4.8536696,-5.371601
厦门市,2013-01-31,39.861282,60.31125,22.396101,45.423466,0.94940335,67.82377,288.1163,67.84825,101196.51,-3.1439998,-3.710202
厦门市,2013-02-01,48.50935,73.8274,24.689957,48.627934,0.9274234,69.13688,291.39188,61.641758,100991.66,-0.42039946,-0.4938902
厦门市,2013-02-02,47.30774,74.771065,20.165016,43.80768,1.0676278,76.68368,290.68912,69.92989,101098.49,-5.594212,-6.7397485
厦门市,2013-02-03,21.79531,34.929867,10.988988,22.264359,1.1497428,61.181103,288.6785,85.98627,100985.52,-4.458566,-5.409739
厦门市,2013-02-04,37.213013,62.640636,24.233076,60.18741,1.3715237,31.811789,291.94434,90.61652,100859.5,0.583889,0.7229004
厦门市,2013-02-05,21.743935,30.469336,12.420113,44.00526,1.4102117,36.96185,290.16653,96.15326,100815.664,-1.5858957,-1.1472111
厦门市,2013-02-06,23.38804,36.124165,11.463008,31.618002,1.2298015,45.253956,289.87656,85.43502,100723.66,-4.0742946,-4.33458
厦门市,2013-02-07,22.61801,37.505917,7.840585,23.629364,1.1076447,51.485016,287.61948,87.43811,100568.23,-5.317608,-5.376364
厦门市,2013-02-08,12.601359,21.4328,9.060142,13.922191,0.7333284,60.410397,282.62576,78.38996,101059.16,-6.5204945,-11.042903
厦门市,2013-02-09,14.801692,22.641386,8.802405,11.25032,0.7993467,59.129147,283.7656,73.80072,101227.0,-4.72051,-6.155342
厦门市,2013-02-10,51.5967,63.93178,14.554521,17.120506,0.8940249,45.828358,285.46353,78.79287,101041.09,-4.122148,-5.432691
厦门市,2013-02-11,18.294283,29.722246,11.197738,19.601954,0.68120146,46.7186,286.92468,82.01875,101001.086,-4.5724134,-6.7591596
厦门市,2013-02-12,16.642181,25.544455,10.106709,19.108227,0.67821497,51.708027,289.53375,72.99804,100985.43,-2.6755807,-5.269659
厦门市,2013-02-13,17.795996,27.384813,7.6015244,13.271941,0.7057927,66.32479,286.7833,78.19039,101008.43,-6.327261,-7.5546017
厦门市,2013-02-14,31.138077,42.93358,12.02771,26.194777,1.0018184,57.07089,289.30252,80.043816,100725.9,-2.3094556,-3.6051064
厦门市,2013-02-15,31.19187,44.680058,9.884174,27.860949,1.2087488,46.74608,289.4281,83.73599,100771.414,-5.2201934,-4.932244
厦门市,2013-02-16,17.958162,31.359076,9.049041,13.368339,1.0918032,71.55838,287.15457,76.47626,100919.63,-7.0009274,-8.010848
厦门市,2013-02-17,35.21628,55.669582,16.474674,32.80808,1.022559,51.223602,289.91235,80.361595,100540.24,-1.3888057,-2.8016832
厦门市,2013-02-18,42.0153,59.94663,17.732912,39.561817,1.0164472,42.244305,292.66556,92.13553,100316.6,0.82344157,2.4010413
厦门市,2013-02-19,21.937872,28.433441,6.382076,25.048075,0.7756343,49.58195,289.34244,90.36704,100563.91,-3.732316,-4.5374465
厦门市,2013-02-20,13.806731,23.769846,9.1944475,14.6782465,0.61225116,61.330246,285.39706,74.208275,101075.52,-5.865207,-9.517383
厦门市,2013-02-21,19.05867,27.423964,7.9686775,18.975945,0.60283595,67.539276,287.9893,74.66256,101075.555,-5.4004073,-7.8806643
厦门市,2013-02-22,25.205507,39.36227,13.070522,23.252047,0.6449514,62.500225,288.74225,73.49298,101112.66,-3.9661627,-6.608633
厦门市,2013-02-23,24.862146,40.508286,11.45185,16.041534,0.5559402,82.20382,286.87427,72.98069,101296.836,-7.166773,-9.970891
厦门市,2013-02-24,35.033928,56.20119,12.340561,18.00405,0.56027555,96.14578,289.59134,72.83626,101104.75,-5.7848125,-7.6291776
厦门市,2013-02-25,45.69278,69.58399,18.696175,33.630592,0.6982809,68.3247,291.778,72.506294,100894.164,-3.1860905,-2.9706056
厦门市,2013-02-26,55.018936,83.218956,19.328957,53.33508,1.1515027,40.002483,292.78748,77.7773,100579.52,0.34102908,1.9087601
厦门市,2013-02-27,45.429367,66.01923,18.245123,42.765186,1.1865387,42.312237,291.79068,89.80698,100389.65,-3.7768624,-2.371394
厦门市,2013-02-28,29.373083,45.0685,16.517202,33.881542,0.9228065,59.40337,290.1121,81.524895,100350.54,-4.086215,-2.830388
厦门市,2013-03-01,24.739286,42.197605,16.298056,44.072735,0.83756095,48.42143,291.6119,88.33091,100322.1,0.6947642,2.054306
厦门市,2013-03-02,25.210367,33.454308,12.365874,23.897161,0.9849236,61.054794,284.6175,74.75353,101144.98,-7.044727,-9.175063
厦门市,2013-03-03,40.44701,53.870434,18.736536,23.111801,1.0025096,67.303604,284.81247,62.939816,101259.77,-4.669395,-6.0172696
厦门市,2013-03-04,53.16836,75.792854,22.489487,35.834194,0.8451729,74.00477,285.8685,52.320255,101294.12,-5.0461636,-5.936337
厦门市,2013-03-05,45.186733,102.3139,24.69359,48.84268,0.6633286,80.98627,287.5073,49.60437,101299.84,-5.7125645,-7.3607097
