city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
合肥市,2013-01-01,58.13442,92.77664,27.027834,33.74309,1.4874675,22.289053,274.52798,61.0241,102002.086,2.9900162,-1.3931714
合肥市,2013-01-02,50.57469,72.12548,17.075008,19.010405,1.2862365,34.988026,270.2182,57.279804,103051.23,-3.1457503,-7.9635677
合肥市,2013-01-03,43.634678,48.22805,36.479115,18.08224,1.3413289,36.609802,266.8158,51.910904,103671.21,-0.2546468,-6.617318
合肥市,2013-01-04,65.77779,68.317444,24.16122,22.130526,1.2634202,31.39883,268.7441,55.41693,102963.96,-1.1834253,-3.349467
合肥市,2013-01-05,85.17865,76.945465,21.373993,23.585894,1.3897084,30.568138,270.9737,54.422085,102462.77,-0.97534376,-3.0961492
合肥市,2013-01-06,110.850334,112.2919,39.43274,31.690086,1.5339372,31.337673,271.95087,46.01278,102425.93,-1.0759083,-2.8566258
合肥市,2013-01-07,132.24345,135.44247,52.074024,39.464905,1.5494645,23.284237,273.73764,48.25564,102195.3,-0.9864689,-1.0487459
合肥市,2013-01-08,164.71542,164.47447,54.191433,35.15933,1.8019817,33.653214,274.62622,49.24342,102327.85,-1.8300202,-2.80852
合肥市,2013-01-09,181.28682,178.51852,68.35373,41.030926,1.7233133,24.053349,274.10693,60.760925,102625.83,-1.726445,-4.1715856
合肥市,2013-01-10,157.41058,158.53683,43.764927,46.63791,1.6773583,22.766167,274.65656,67.84068,102615.516,-4.4925437,1.1677499
合肥市,2013-01-11,159.32349,169.28915,47.46585,55.76798,1.789749,16.711908,276.52487,64.42794,102333.59,-1.5223333,1.9553127
合肥市,2013-01-12,207.57733,228.31938,42.207092,52.20644,1.9444255,25.161423,277.31104,64.12463,102189.76,-1.1764078,-0.8466038
合肥市,2013-01-13,182.03146,182.40106,42.759773,61.91132,2.0201895,23.135067,278.58176,73.51863,101757.805,-2.482588,0.7465288
合肥市,2013-01-14,118.67278,114.75684,27.273424,55.061264,1.9989644,38.7019,278.2787,76.75955,102141.06,-0.95681006,-0.9617894
合肥市,2013-01-15,149.59991,136.80066,31.142275,39.75651,1.7844058,27.069864,277.97467,75.96474,102105.02,-1.0577046,0.30569994
合肥市,2013-01-16,169.06421,176.76147,31.611427,20.618853,1.7250229,37.648205,276.82462,72.46429,102448.15,-0.52790016,-3.7280228
合肥市,2013-01-17,137.55324,141.01782,25.533012,28.786047,1.466872,30.552309,273.86722,57.786064,103294.516,-2.1986163,-5.156808
合肥市,2013-01-18,96.56894,94.848595,34.244564,44.611458,1.5445167,37.191616,273.45367,44.094345,103034.36,-1.899109,0.9547809
合肥市,2013-01-19,96.496376,107.61189,39.910484,51.50852,1.7402269,31.6718,276.96725,51.71277,102301.33,-5.0039554,2.7221463
