city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
吉林市,2013-01-01,68.69191,87.86783,26.49305,33.243305,0.92393655,28.780031,246.49132,75.56885,96874.91,2.2175963,1.5112907
吉林市,2013-01-02,46.033146,57.709785,19.577387,22.853682,0.80270934,30.060146,243.0189,71.8908,97744.23,4.148472,4.127396
吉林市,2013-01-03,39.98093,51.931652,16.730461,21.524363,0.76169693,35.656876,248.25836,76.844086,98432.49,5.0944424,3.5760837
吉林市,2013-01-04,37.512302,52.95394,32.417465,26.941586,0.8674199,36.87913,252.86359,72.01853,97994.266,3.083621,6.284107
吉林市,2013-01-05,58.818844,68.55023,24.151587,29.153507,0.9331992,34.901985,254.048,80.27321,97502.22,5.2920504,1.8630782
吉林市,2013-01-06,64.415634,73.97633,16.852365,32.424927,0.8019355,35.954784,249.78777,77.6607,97847.45,2.2426653,2.5201795
吉林市,2013-01-07,115.97945,132.69633,23.465939,37.16318,1.1233497,36.78131,250.2993,77.94345,97739.38,0.42322427,0.09766829
吉林市,2013-01-08,111.63046,150.54256,27.269146,43.707634,1.127379,40.884212,245.85507,74.707016,97927.73,2.528241,0.4960704
吉林市,2013-01-09,91.60142,105.97158,24.933489,35.297417,1.0823388,33.61133,245.37311,73.93082,97775.695,2.893218,2.7493384
吉林市,2013-01-10,75.176636,96.75604,23.728947,35.76669,0.97418946,31.437029,246.58446,74.90057,97999.875,2.1260417,2.9087994
吉林市,2013-01-11,97.788025,113.62514,24.900686,36.585438,1.0870202,33.27159,254.65984,81.616135,97674.2,-0.19007504,2.207471
吉林市,2013-01-12,156.56415,183.40602,28.460888,47.045357,1.2187527,32.41312,249.91261,79.11136,97574.46,2.1475885,-0.29536268
吉林市,2013-01-13,147.62851,190.2744,35.68343,54.90719,1.3931543,44.590538,252.69525,77.25798,97765.0,-0.47750023,2.5516007
吉林市,2013-01-14,233.6594,272.0607,50.141483,67.401634,1.7509736,35.27412,250.09573,78.64477,97852.266,2.7932606,-0.818409
吉林市,2013-01-15,179.51015,212.16899,27.91964,45.536297,1.3588083,48.51219,250.06836,72.236984,98010.58,-1.5358572,-0.60353637
吉林市,2013-01-16,158.00269,183.24992,28.384296,41.09662,1.2353177,46.172024,249.20343,74.146935,98116.03,0.65416664,-2.7014842
吉林市,2013-01-17,134.33359,177.67584,33.749123,46.9308,1.339444,45.381668,247.66385,75.93745,98508.67,2.4774964,2.3820598
吉林市,2013-01-18,63.36345,78.26718,24.192547,28.129845,0.93711656,47.851917,255.61357,73.34934,97888.484,0.09862528,4.204242
吉林市,2013-01-19,201.49467,234.17638,39.337914,50.405346,1.6644654,45.07567,253.09564,83.018456,98136.016,2.0575752,1.4639539
吉林市,2013-01-20,149.86848,216.30835,29.979338,44.243908,1.5575739,50.983826,256.99692,69.634224,98552.03,-2.3466775,0.59335035
吉林市,2013-01-21,126.64436,187.38284,27.59885,39.39354,1.4519197,51.934185,259.9755,77.25386,98088.53,0.49248183,0.7993522
吉林市,2013-01-22,93.50528,154.58185,21.690796,37.48518,1.1080391,45.71203,253.85782,79.17888,97996.22,0.3929047,-0.162744
吉林市,2013-01-23,100.663895,147.4289,28.48471,39.504547,1.212059,55.438343,260.07797,78.330795,96898.14,0.071175344,3.3015947
吉林市,2013-01-24,69.62733,96.69381,18.990301,18.728506,0.7298944,51.372097,250.18228,76.3516,96544.945,7.228547,0.98212224
吉林市,2013-01-25,33.985588,46.730656,13.368996,13.327005,0.5412957,51.345867,246.35547,73.75586,96893.09,7.5236044,-0.43209702
吉林市,2013-01-26,79.26852,92.18493,18.735075,25.16069,0.84252346,49.928524,246.4454,75.22849,97638.62,3.7593086,0.7246175
吉林市,2013-01-27,75.09963,93.658165,17.438784,25.648129,0.80758053,57.85691,249.08315,75.669685,97813.055,1.4074827,2.6835642
吉林市,2013-01-28,48.478706,60.079586,19.181541,19.081503,0.61345756,48.542217,257.22006,83.51148,97476.42,0.5721329,4.350354
吉林市,2013-01-29,95.58021,117.89802,34.78295,32.382866,0.9504382,30.401272,262.02133,93.56135,97747.95,1.1827962,3.208742
吉林市,2013-01-30,88.91994,105.13737,27.446985,26.926012,0.8943796,49.46895,266.91537,88.2209,97954.19,-1.2817034,4.8799734
吉林市,2013-01-31,115.30979,137.38242,30.093662,25.938883,0.95594484,46.788273,272.01123,93.315094,97886.48,1.3417797,6.2369895
吉林市,2013-02-01,40.54336,51.545994,14.516554,12.757908,0.5622138,53.7075,265.89435,83.43425,97368.43,4.9210043,2.2207737
吉林市,2013-02-02,28.299107,40.569572,14.372077,15.2304535,0.5616879,47.228077,252.1733,75.04954,97986.36,5.649693,2.076955
吉林市,2013-02-03,36.256596,47.699528,20.082321,19.754091,0.59710014,47.584663,258.5326,81.67559,97618.82,1.6837673,4.451507
吉林市,2013-02-04,47.542675,55.07066,15.82985,18.8674,0.6530504,57.19359,256.43265,80.54576,97444.734,3.8274722,-0.9963249
吉林市,2013-02-05,57.150417,67.422775,17.768436,25.69538,0.65968424,47.590313,255.71484,71.464485,97652.29,0.8063153,4.145633
吉林市,2013-02-06,108.538635,135.59387,26.704512,33.512405,1.0318711,50.522877,250.43947,79.73295,97241.234,3.2449644,-0.1345068
吉林市,2013-02-07,40.164707,60.781998,17.597954,16.124973,0.6629859,39.417145,244.39679,72.59404,97716.46,5.3050847,-1.5597534
吉林市,2013-02-08,57.2454,65.811775,17.666716,18.607376,0.73860854,50.517902,246.2367,74.31553,98366.95,3.5270605,1.8448178
吉林市,2013-02-09,55.825092,68.3197,17.100967,17.407555,0.69678295,56.38321,249.80272,76.118164,97760.31,0.2544003,2.6642742
吉林市,2013-02-10,113.80867,140.17398,29.202894,23.140133,0.997713,52.6806,247.81523,77.41357,97869.09,3.8677056,0.8768669
吉林市,2013-02-11,46.78271,55.79356,18.717178,13.78286,0.6966742,55.82566,250.25676,76.888504,98343.09,1.7850689,4.40901
吉林市,2013-02-12,46.011112,55.890133,21.68619,16.625452,0.69276184,56.28225,256.8705,82.358185,97577.39,0.5348311,5.3126483
吉林市,2013-02-13,69.63814,85.47296,30.924736,24.343842,0.94830716,55.974777,259.1299,82.08068,97262.34,3.6308541,5.1107326
吉林市,2013-02-14,46.8559,57.49258,18.304094,17.297165,0.76386523,48.412106,254.56955,81.31982,97659.4,4.503765,2.6181002
吉林市,2013-02-15,39.555046,47.056023,15.751283,16.482237,0.70564854,45.55042,251.62059,80.22835,97745.04,3.8011065,2.075615
吉林市,2013-02-16,33.826965,41.96538,13.2715645,13.531333,0.6602113,56.908726,255.14769,70.11431,97790.37,-0.36037427,4.9586687
吉林市,2013-02-17,40.76877,47.08414,13.62785,14.303739,0.61428726,65.927765,262.70602,86.61462,96858.734,3.6857898,5.7268047
吉林市,2013-02-18,38.885796,52.56919,15.625776,18.24396,0.7037717,50.049213,253.79169,80.12263,97504.08,5.3398876,2.5127163
吉林市,2013-02-19,26.97489,36.977783,14.051294,13.780952,0.6042247,47.478504,251.01329,76.85445,97655.195,5.5880013,3.1190152
吉林市,2013-02-20,32.548393,41.698227,15.387553,17.708939,0.63814515,50.260254,250.50763,76.65757,97928.664,4.5719414,2.9444723
吉林市,2013-02-21,44.437492,59.305347,22.550093,21.98107,0.78509575,55.28663,252.89381,75.911644,97830.73,3.2500176,4.180677
吉林市,2013-02-22,41.826687,53.700336,20.144058,20.874342,0.75574714,46.360783,254.4542,81.731476,97588.375,4.912557,2.556783
吉林市,2013-02-23,21.989187,31.640549,13.020667,12.868161,0.5482614,50.8084,256.89352,79.02521,97714.63,7.226946,0.8530717
吉林市,2013-02-24,38.355633,46.239395,10.966209,15.950628,0.571348,47.848278,254.15497,79.31874,98492.95,2.461879,-0.28935534
吉林市,2013-02-25,47.461098,52.926167,12.346871,16.70045,0.52993685,61.78797,256.23657,68.44886,98430.67,-0.85689014,1.7450144
吉林市,2013-02-26,42.994244,51.12769,15.58558,17.837389,0.61241853,68.60923,264.58676,79.44739,97067.2,0.6807482,3.006706
吉林市,2013-02-27,61.4795,76.90541,21.027637,22.87644,0.7624271,66.482124,261.93707,82.33002,96851.23,5.108948,3.4723125
吉林市,2013-02-28,27.987234,42.818245,11.870357,15.191037,0.525824,51.620903,264.8532,79.65799,96325.164,0.94556755,5.4958277
吉林市,2013-03-01,35.476093,45.65481,13.72164,12.795757,0.53045917,56.399384,260.90567,83.95687,96602.22,8.248604,-1.6037363
吉林市,2013-03-02,36.212955,43.785427,16.807844,17.810709,0.5810294,53.10881,257.58255,85.836464,98019.4,4.487203,-0.2850039
吉林市,2013-03-03,35.27318,46.461124,15.25618,17.59643,0.6440463,70.49843,260.85455,73.549706,97330.67,-0.5387878,3.3283896
吉林市,2013-03-04,84.46409,108.940315,28.36878,29.752674,0.93806696,75.690735,261.88724,90.455864,97204.03,2.613166,2.9072585
吉林市,2013-03-05,50.8913,66.63571,27.056309,27.689074,0.78924304,49.901997,268.86774,78.872696,96821.805,5.1997905,6.371028
吉林市,2013-03-06,48.334072,57.093227,14.682609,25.816725,0.6541518,54.60548,268.18454,83.96381,97026.73,0.3757303,2.2812314
吉林市,2013-03-07,38.56312,49.46393,12.235066,14.72853,0.58170193,59.840546,267.21182,77.11183,96554.31,5.956293,-0.41512644
吉林市,2013-03-08,19.35741,24.893265,9.321082,10.597755,0.41270572,66.75353,260.78583,79.81404,96547.516,2.853145,-2.0715837
