city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
吴忠市,2013-01-01,12.197691,21.977333,32.430374,8.252896,0.38654125,51.97881,262.93484,56.784695,84950.6,4.6743417,-3.4685426
吴忠市,2013-01-02,18.955786,24.694166,43.034847,11.762165,0.568445,39.627857,258.71478,53.745964,85846.82,-2.5469759,-2.8685122
吴忠市,2013-01-03,32.3257,42.55031,55.41553,12.457717,0.622011,34.060715,259.82462,39.615738,85859.51,-3.0021353,3.287912
吴忠市,2013-01-04,58.11548,86.41006,69.65372,21.466063,1.2328258,24.529787,262.02615,51.239914,85166.41,-0.3010282,2.449234
吴忠市,2013-01-05,72.41554,101.63444,102.28271,34.22683,1.2275904,20.794197,261.6216,35.852142,85208.64,1.417109,-0.75691086
吴忠市,2013-01-06,59.582565,81.74981,69.02712,24.064117,1.345534,37.686474,264.8708,28.733826,85170.586,3.8269408,-0.28381264
吴忠市,2013-01-07,37.279404,52.14832,57.611496,18.03398,1.024158,39.415882,265.65488,36.32359,85164.15,3.9383185,-2.2297986
吴忠市,2013-01-08,20.267366,30.974487,45.5144,16.262207,0.7168826,40.233116,263.5989,44.124863,85504.08,3.3282151,-2.070537
吴忠市,2013-01-09,42.206608,57.969875,42.68546,19.058092,0.86851245,41.189816,266.20346,39.571205,85162.125,0.7547862,2.0939522
吴忠市,2013-01-10,79.47806,113.43884,72.08343,25.49676,1.7425404,39.470238,267.98917,32.87349,85104.34,5.01567,0.039772723
吴忠市,2013-01-11,20.261303,37.404972,31.12085,13.745514,0.88682854,48.14521,266.94934,34.295597,85371.695,4.9082294,-0.67089635
吴忠市,2013-01-12,46.624023,69.433556,38.21202,16.431358,1.350061,44.689663,270.28973,26.092422,84883.984,4.424454,2.367976
吴忠市,2013-01-13,50.52728,69.99539,44.846878,17.399422,1.2971007,47.828953,271.0826,16.750492,84786.74,-0.86295676,2.8861647
吴忠市,2013-01-14,49.003376,102.17563,46.209187,17.29519,1.4630347,37.816364,267.13763,34.140827,85205.05,6.626112,-1.333431
吴忠市,2013-01-15,33.59798,71.01306,41.577038,16.183365,0.9156309,43.22444,267.75183,44.86872,85382.55,5.4506783,-2.4034777
吴忠市,2013-01-16,34.258457,56.69017,70.50981,19.217308,1.0435418,44.64483,267.8381,39.189045,85701.875,2.1828558,-2.181051
吴忠市,2013-01-17,40.56405,57.165604,43.450947,15.29948,0.97056115,36.81775,268.27014,44.737137,85781.055,-2.597216,6.167106
吴忠市,2013-01-18,87.554535,123.798546,46.7492,18.821238,1.3461988,35.764248,270.77097,52.53307,85320.61,0.627726,2.6904979
