city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
咸宁市,2013-01-01,49.465336,62.8835,30.645443,27.829107,0.7938164,50.05313,277.69824,44.916386,100244.72,0.79874426,1.927985
咸宁市,2013-01-02,78.84364,93.278534,22.976149,28.05031,1.0450958,36.382397,275.7212,68.99568,100764.65,-6.520448,-3.6164296
咸宁市,2013-01-03,33.40112,39.59574,17.784935,17.242693,0.87188953,46.989666,271.60593,52.66897,101595.445,-3.2952952,-6.594615
咸宁市,2013-01-04,63.325798,59.938023,20.273212,17.290445,0.857963,36.976654,271.6719,56.333996,100984.09,-3.0760157,-2.3316157
咸宁市,2013-01-05,101.483284,94.61973,25.700712,28.663946,1.0383958,29.395006,272.57327,65.49757,100572.08,-1.9960858,-1.9386861
咸宁市,2013-01-06,123.20566,104.92724,29.073713,21.816221,1.1321452,40.278973,273.38928,67.68521,100570.67,-1.3754665,-0.82882637
咸宁市,2013-01-07,143.28271,121.631935,32.44466,21.966917,1.1690153,60.504967,274.1072,65.12481,100395.62,-1.0195774,0.3339769
咸宁市,2013-01-08,163.95314,151.70386,46.094032,45.714962,1.4298333,41.39139,275.41617,59.063198,100493.0,-1.4140824,-1.8666044
咸宁市,2013-01-09,188.65175,169.48851,57.486843,48.021843,1.6755672,40.66304,275.2909,58.145313,100724.766,-3.4915729,-2.2422416
咸宁市,2013-01-10,193.68466,169.0362,30.080717,47.916145,1.4856937,33.685043,276.16916,67.02431,100659.95,-4.8707066,-0.1801709
咸宁市,2013-01-11,156.77626,125.9908,21.501717,36.34452,1.1478915,33.420017,278.34393,63.289448,100529.836,-1.4636687,-0.4189615
咸宁市,2013-01-12,164.25713,152.67924,28.335299,47.24355,1.5663311,29.3961,279.0694,60.5204,100359.31,-3.061043,-0.8865302
咸宁市,2013-01-13,137.2069,117.70305,21.734865,27.884737,1.1719034,51.831707,280.20352,62.927326,99956.91,-1.1287107,0.28581274
咸宁市,2013-01-14,140.94337,138.48953,27.075102,30.003143,1.363779,48.748474,280.60535,60.433712,100279.93,-3.7317424,-0.10043862
咸宁市,2013-01-15,136.08287,125.444595,24.27767,32.57022,1.2626852,44.403534,280.89804,67.44323,100319.43,-0.9691035,-0.089389235
咸宁市,2013-01-16,165.28207,174.83495,43.65619,62.092712,1.7191021,26.514893,280.24585,59.694008,100593.695,-1.6774725,-2.9023318
咸宁市,2013-01-17,181.95097,175.24734,34.247025,32.621464,1.688037,43.012474,277.04034,63.747,101301.1,-4.3141446,-3.7418404
咸宁市,2013-01-18,139.84088,130.47972,19.509613,25.970295,1.1358107,38.10391,276.80652,55.280224,101133.67,-3.4317024,1.1088661
咸宁市,2013-01-19,92.101906,90.792435,18.379885,27.456293,0.87592655,42.15674,280.59833,52.21901,100310.07,-2.2768197,3.899106
咸宁市,2013-01-20,97.72812,85.53185,18.534567,27.655603,0.9816308,29.540508,282.57416,73.9913,100051.74,-1.2956526,1.1040353
咸宁市,2013-01-21,143.39668,96.62612,44.143795,50.380592,1.7517511,11.86402,276.4181,82.74044,100543.445,0.07121447,-4.214552
咸宁市,2013-01-22,185.8023,148.96848,48.626244,51.108036,1.8656005,21.370691,276.91815,68.11056,100663.76,-1.1907548,-3.5377169
咸宁市,2013-01-23,137.87897,118.52148,41.640934,36.90602,1.696461,34.563206,278.67194,63.647938,100286.91,-0.5459229,0.46548906
咸宁市,2013-01-24,141.37656,119.36814,31.622826,30.159336,1.3140687,42.491528,279.63855,64.395744,100327.71,0.6041548,-3.5116403
咸宁市,2013-01-25,92.29026,98.535995,20.218609,32.227573,0.8832441,49.03009,279.47067,51.373386,100355.766,-1.157954,0.21340494
咸宁市,2013-01-26,108.10816,117.710945,31.162405,39.646564,1.0018876,54.324337,281.35684,50.777294,100239.41,-1.1115773,-1.7916932
咸宁市,2013-01-27,225.08855,214.50685,35.569263,37.5675,1.5463151,54.145325,280.66394,54.691246,100649.42,-2.3332126,-2.3059065
咸宁市,2013-01-28,137.77267,130.61414,23.006,29.922817,1.0426922,54.190113,283.8217,42.671734,100294.1,-2.1580744,3.406449
咸宁市,2013-01-29,94.49738,95.64397,19.304483,19.454554,0.75047934,58.893505,284.9622,57.318428,100198.79,-0.07693054,1.1940846
咸宁市,2013-01-30,87.51871,93.065926,21.239372,23.862303,0.9033755,47.86548,285.42215,71.72674,100112.81,-3.0694695,3.2286956
咸宁市,2013-01-31,82.464676,77.24903,15.274573,20.523928,1.031786,38.63171,288.61423,85.54611,99765.83,1.8407117,5.6668353
咸宁市,2013-02-01,68.1773,51.732235,24.58092,46.194412,1.9251174,22.509007,283.95862,86.77264,100153.26,0.12638497,-2.6803653
咸宁市,2013-02-02,121.437996,109.35881,28.376345,44.518856,2.1951447,17.857105,281.5626,91.04905,100575.055,-3.9109511,-2.4819753
咸宁市,2013-02-03,96.96501,92.339455,19.340714,27.729134,1.9279829,31.529638,286.3343,84.008354,99790.49,-0.1858157,3.5405614
咸宁市,2013-02-04,59.86901,54.298756,18.276842,19.890717,1.1478363,23.676878,284.32294,88.369385,99851.85,-2.0058534,-0.45386606
咸宁市,2013-02-05,40.41063,36.528492,16.822037,22.87043,0.93326056,17.574776,280.85233,90.69627,100002.5,0.27733433,-2.9125648
咸宁市,2013-02-06,69.595474,63.951756,21.723488,24.804668,1.1206999,24.172766,278.59592,85.34743,100068.1,-3.064224,-1.1897758
咸宁市,2013-02-07,45.72101,43.345375,20.650164,19.330217,1.001731,36.47852,276.55066,90.02879,100354.91,-6.3599505,-6.0869007
咸宁市,2013-02-08,34.176884,31.146286,13.429754,9.632398,0.5108067,56.146355,271.4078,66.991295,101184.805,-3.9475706,-5.1737733
咸宁市,2013-02-09,47.365765,44.881454,12.043718,7.4818068,0.47923595,64.28775,273.10736,70.67154,100822.02,-1.1581165,0.18318886
咸宁市,2013-02-10,73.462265,75.97851,15.245001,7.0134478,0.5438249,62.394703,277.05072,71.65246,100358.88,-2.7526965,1.3614447
咸宁市,2013-02-11,97.46372,93.218636,19.137045,11.59541,0.7760864,59.929176,277.91544,82.57964,100411.85,-4.11619,-1.398622
咸宁市,2013-02-12,126.054504,105.26532,21.914272,14.599752,0.93061906,76.55953,277.8296,74.80113,100749.31,-0.88877976,-4.5814595
咸宁市,2013-02-13,106.02784,89.23837,21.879541,13.627223,0.8664652,51.548004,279.00882,66.012215,100331.695,-2.9059427,0.47797215
咸宁市,2013-02-14,81.33249,68.637085,14.273432,11.949143,0.7783817,38.748344,279.2966,82.698685,100061.805,-2.2680066,-0.1240305
咸宁市,2013-02-15,118.51888,104.134865,27.852154,19.686546,1.0718559,60.03133,279.00797,67.827095,100469.375,-2.7168777,-2.7714307
咸宁市,2013-02-16,78.12879,69.161804,20.676788,9.643008,0.79573137,61.241005,281.70187,68.858,99906.49,-3.736283,3.3746448
咸宁市,2013-02-17,70.34221,65.09365,16.320715,16.665976,0.81161594,35.499653,283.75293,85.23145,99427.83,-1.3760594,1.3273963
咸宁市,2013-02-18,58.23698,48.642334,18.314255,16.351383,1.0034398,46.774654,280.27646,93.4042,99627.05,-4.5099454,-3.9677641
咸宁市,2013-02-19,29.413528,25.958088,12.07634,12.462104,0.6273487,54.298805,275.54443,87.62966,100548.47,-4.1722455,-5.0046535
咸宁市,2013-02-20,49.49048,50.827194,14.384909,14.337615,0.5782512,49.29846,276.58182,76.8097,100645.695,-3.6646683,-1.0646106
咸宁市,2013-02-21,62.49915,67.75054,15.392723,16.92556,0.63642246,38.562195,277.76962,77.81574,100653.62,-1.7957088,-1.036177
咸宁市,2013-02-22,71.92331,73.80559,21.474884,16.165218,0.70676184,56.131664,279.1395,73.767365,100809.42,-0.44339952,-1.9247309
咸宁市,2013-02-23,70.583466,77.34106,20.971678,20.162994,0.8353457,60.53203,282.76248,55.367428,100672.6,-4.778989,0.9819894
咸宁市,2013-02-24,75.073875,76.87906,19.5735,14.902716,0.7227883,53.48562,285.8682,60.722553,100105.83,-1.9639454,2.1509738
咸宁市,2013-02-25,103.49582,101.83522,16.98973,17.871635,0.82284784,53.861828,287.5677,79.97178,99917.72,-1.8515984,0.48427
咸宁市,2013-02-26,178.02028,142.20514,15.097903,20.84888,1.3527106,32.71388,284.76602,94.463135,99825.164,-0.87412566,-2.6869783
咸宁市,2013-02-27,166.85063,167.09995,21.917639,23.56525,1.4837298,39.238632,283.94968,88.718155,99764.664,-2.0611117,-0.7345853
咸宁市,2013-02-28,82.604805,87.993416,19.55748,18.557096,1.2261449,50.177673,287.94214,82.672745,99126.95,-1.2347358,2.2657497
咸宁市,2013-03-01,55.274868,80.87264,19.425617,19.57456,0.99863756,36.490665,280.18195,82.86306,100041.055,-3.5677834,-8.407356
咸宁市,2013-03-02,32.2081,48.92699,17.552414,12.862102,0.529788,50.809525,278.15265,50.945183,101036.14,-2.9328456,-3.8202684
咸宁市,2013-03-03,45.06839,58.607025,18.899204,19.584316,0.49456495,61.60471,280.80884,42.11025,100746.08,1.1868514,0.08393997
咸宁市,2013-03-04,46.799984,75.25683,18.346254,16.665195,0.51761794,71.72352,286.41797,36.65131,100500.81,2.896343,1.9966158
咸宁市,2013-03-05,45.035843,84.32442,14.557239,14.363316,0.5320331,68.81699,288.83636,32.977325,100313.98,-0.134712,4.9046063
咸宁市,2013-03-06,54.153416,83.15595,14.99508,18.190048,0.6070767,81.41243,290.8773,34.388546,99939.36,1.9382243,5.7155075
咸宁市,2013-03-07,56.725735,94.70705,14.726362,24.488602,0.49890888,71.29724,291.2205,41.43806,99899.1,0.25242013,-0.4609496
咸宁市,2013-03-08,86.61325,129.92772,24.924444,26.438124,0.85514593,100.512375,294.66293,37.615726,99413.09,5.1272707,5.690429
咸宁市,2013-03-09,75.87544,110.37846,18.947134,19.348963,0.79642445,88.23761,296.8612,46.88599,98986.1,3.5485559,8.090586
咸宁市,2013-03-10,45.841347,200.53697,16.796362,16.317251,0.5688521,53.192654,285.23468,66.89561,99811.5,-5.450593,-4.0431395
咸宁市,2013-03-11,40.600597,61.485596,16.107815,13.102798,0.5352066,50.55992,285.13303,74.70166,99861.01,-4.204106,-0.4346742
咸宁市,2013-03-12,76.01983,90.14402,19.115053,21.92893,0.7492636,36.12305,290.29462,74.11369,99161.62,-0.00066196086,2.0603259
咸宁市,2013-03-13,113.03079,120.13107,26.405762,29.530586,0.9512173,24.82612,284.26575,73.28291,99986.86,-2.8854215,-5.493503
咸宁市,2013-03-14,50.080032,53.43198,15.314585,13.781003,0.51668197,58.154167,281.52835,56.458755,100545.09,-6.5295043,-0.9704223
咸宁市,2013-03-15,45.613724,62.72073,15.571232,15.655273,0.53329235,65.63976,285.53412,55.032192,100141.88,-2.6402574,1.9057777
