city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
咸阳市,2013-01-01,50.730705,86.09735,24.212107,16.869883,1.2451695,43.40282,271.89456,34.316402,91452.336,1.0728892,-2.2473946
咸阳市,2013-01-02,36.500233,74.18127,37.77938,20.595648,1.3976902,32.36761,266.84018,43.758915,92409.055,-4.4461546,-1.3220074
咸阳市,2013-01-03,27.04763,48.21991,31.803791,20.467989,1.7238626,34.39405,263.6221,34.297413,92819.67,-2.675883,0.35574323
咸阳市,2013-01-04,82.76481,113.21191,66.76589,29.009981,1.8349619,27.56234,265.3015,36.135056,91953.875,-3.2916875,-0.19612738
咸阳市,2013-01-05,137.96158,169.47878,62.245773,30.229841,1.797349,29.149445,267.78918,35.75236,91767.3,0.14084938,-0.47652707
咸阳市,2013-01-06,163.65059,182.2909,49.053772,36.60964,1.8131733,22.307087,268.59412,32.68973,91765.77,0.4485983,-0.6531076
咸阳市,2013-01-07,172.47548,198.23438,41.789986,22.80973,2.1063106,29.401258,270.92255,34.111034,91618.76,1.2628925,-1.6446579
咸阳市,2013-01-08,143.93556,158.25458,30.662243,18.238935,1.9023235,31.532198,270.18756,35.116077,91995.28,0.646431,-2.533535
咸阳市,2013-01-09,95.43206,119.0624,45.74736,36.670242,2.2273214,29.466387,269.50082,39.239334,91890.92,-2.4420607,0.28774545
咸阳市,2013-01-10,172.03345,202.69348,57.9908,48.678307,2.4049644,29.218874,272.46146,44.977947,91626.35,-0.026747791,-0.10135467
咸阳市,2013-01-11,77.73032,104.468475,21.252628,15.542868,1.212308,44.250565,273.65927,28.09338,91908.55,2.1884456,-3.199268
咸阳市,2013-01-12,101.09635,150.23401,42.612297,42.20428,2.1339037,34.40832,274.7246,28.3023,91410.52,-1.0244354,0.50231487
咸阳市,2013-01-13,146.97253,176.52945,53.057747,32.270992,2.4180603,32.274414,274.9434,30.592178,91257.56,-1.0213902,-1.7827048
咸阳市,2013-01-14,218.95613,257.0101,83.87149,33.527622,3.044109,29.407026,274.91974,30.065384,91578.234,-1.4704977,-2.3254604
咸阳市,2013-01-15,43.159676,97.81792,18.733604,17.9989,1.2078961,44.4639,273.17603,33.900616,91873.63,2.1559238,-3.3777041
咸阳市,2013-01-16,66.69251,105.712814,28.731882,29.551702,1.625272,35.696945,274.29306,32.601627,92104.484,0.05837004,-2.3466947
咸阳市,2013-01-17,88.408485,129.82025,61.42777,47.07896,2.5550697,30.54011,272.03558,39.756233,92560.4,-4.4978347,-0.67163146
咸阳市,2013-01-18,184.37074,253.87627,81.23046,77.899315,3.9707713,33.346012,274.1971,51.943687,91900.81,-3.3653588,-0.29513606
咸阳市,2013-01-19,284.09482,347.29434,91.698944,94.59667,5.0951395,28.030811,274.89758,61.937576,91143.93,-5.754496,-1.4495982
咸阳市,2013-01-20,159.69391,192.44609,46.013218,35.856335,2.452689,38.39667,272.13995,59.197296,91632.125,1.0729159,-3.8578515
咸阳市,2013-01-21,37.226807,47.162785,22.310137,19.034273,1.7669882,43.604454,272.17804,48.62946,91954.95,1.7428267,-2.5767496
咸阳市,2013-01-22,64.53389,72.57963,27.674562,32.391956,1.7641472,40.524624,271.7669,63.92264,91910.79,0.7514635,-1.3767596
咸阳市,2013-01-23,83.07918,100.24025,21.273571,28.030518,1.6909736,45.96637,275.19995,42.845856,91464.95,3.9254875,-3.2984354
咸阳市,2013-01-24,18.964666,35.488766,12.061723,14.663034,1.1388363,56.36887,272.83954,35.173344,92017.42,3.391424,-3.1444023
咸阳市,2013-01-25,48.16221,56.98453,15.848247,20.793985,1.6422067,44.56473,275.64783,25.933678,91633.0,3.5232697,-3.3321192
咸阳市,2013-01-26,59.94893,83.2339,18.779688,25.955978,1.8265774,40.850502,276.56924,24.590229,91787.11,2.0776916,-3.4424703
咸阳市,2013-01-27,72.14768,97.09938,31.700085,42.929386,2.1186845,41.128418,276.83212,27.810158,91879.89,-0.37560606,-1.1743141
