city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
哈密地区,2013-01-01,2.7347598,2.996434,1.531939,0.82717514,0.1794726,60.626884,261.72955,49.933796,88491.086,-1.9989988,1.3336366
哈密地区,2013-01-02,1.9518707,2.1621103,1.2769053,0.78794146,0.17613064,53.939194,260.13208,48.685394,89289.016,-3.4222615,1.7336276
哈密地区,2013-01-03,2.5913632,2.8997946,1.8330722,1.1512376,0.1736877,51.71433,259.8036,49.182465,89157.52,-2.432664,2.0863411
哈密地区,2013-01-04,3.2195938,3.5560646,1.9201384,1.1257426,0.16764896,57.311653,260.0332,43.135887,88790.08,-0.99233735,1.8409692
哈密地区,2013-01-05,3.904319,4.2643857,1.9237301,1.0499752,0.16135195,57.2772,260.09622,42.306797,88745.805,1.3332895,2.13618
哈密地区,2013-01-06,6.089494,6.62506,3.0318928,1.4160664,0.16092664,54.105526,259.89157,55.170364,88904.23,2.3545144,0.49835205
哈密地区,2013-01-07,4.505654,4.8910947,2.2352064,1.0022293,0.16479015,61.577564,260.71106,48.850517,88924.414,1.1760124,0.47912306
哈密地区,2013-01-08,4.087032,4.431378,1.8096232,0.89021176,0.17133313,63.028534,261.48376,47.037968,88990.37,-0.09454849,1.904206
哈密地区,2013-01-09,4.2903438,4.6384964,1.6675429,0.83152705,0.16426858,61.216633,262.24576,43.266426,88584.47,1.640974,2.2051337
哈密地区,2013-01-10,5.9277287,6.3981476,2.187136,1.0239359,0.17092875,55.977486,262.6637,56.809284,88816.36,3.296116,0.7406735
哈密地区,2013-01-11,4.10133,4.4327197,1.5639217,0.7890154,0.1662377,63.699787,264.61783,39.674625,88631.055,1.850279,2.5848637
哈密地区,2013-01-12,3.657586,3.9749207,1.4156425,0.8462834,0.15807965,65.35638,265.94485,31.181784,88112.914,-0.07927656,2.7484462
哈密地区,2013-01-13,6.017304,6.5822096,2.7873077,1.8425747,0.17276645,55.157787,265.23108,41.85199,88365.55,2.519605,-0.6057667
哈密地区,2013-01-14,4.622494,5.014276,1.5860555,1.0428947,0.20173366,53.770664,264.90234,64.00783,88968.4,2.8441596,0.51698714
哈密地区,2013-01-15,3.1885903,3.4716892,1.3533673,0.8120236,0.18879178,63.291557,265.36536,54.46452,88895.87,0.29910538,1.739769
哈密地区,2013-01-16,2.7155225,2.9789493,1.3187286,0.77984774,0.17066914,63.55317,266.79562,42.332783,88922.586,-0.89693886,2.6749523
哈密地区,2013-01-17,2.995209,3.2920403,1.5009414,0.871315,0.1559654,59.73805,265.41208,43.646397,89110.82,0.61673236,0.46091518
哈密地区,2013-01-18,3.478236,3.8064055,1.7056782,0.93581265,0.14956716,61.07707,265.2223,43.25414,88852.85,0.024527375,0.54322255
哈密地区,2013-01-19,3.6832204,4.023762,1.7047263,0.95777166,0.14624503,59.69112,264.64886,47.15975,88606.49,1.730613,0.37422287
哈密地区,2013-01-20,4.370742,4.7519383,1.9659679,0.9640489,0.16283403,59.289726,264.70422,53.129253,89015.05,0.96523684,1.8979332
哈密地区,2013-01-21,3.695764,4.0115857,1.5262823,0.77337533,0.15764517,62.23293,265.29315,54.403324,88854.37,0.8661889,2.5680306
哈密地区,2013-01-22,4.583195,4.953742,1.7408956,0.8053519,0.15560754,58.392925,265.2419,61.2373,88711.31,2.8258822,1.9131215
哈密地区,2013-01-23,3.9726744,4.3021855,1.5495024,0.81304526,0.16290155,61.481625,266.42886,48.02874,88932.96,-0.3498992,0.88721997
哈密地区,2013-01-24,2.8860862,3.1589644,1.3204577,0.7766682,0.15822403,65.034996,266.76453,39.736336,88977.49,1.5542787,1.5677053
哈密地区,2013-01-25,3.5236847,3.8488798,1.5214832,0.86405414,0.15724905,61.58583,267.8658,38.530533,88911.875,2.3394341,2.2988248
哈密地区,2013-01-26,3.655312,3.97453,1.4801276,0.81833404,0.1594966,64.06115,268.4512,39.731434,88925.77,1.3250725,2.0081298
哈密地区,2013-01-27,4.023675,4.3674464,1.5935338,0.8079508,0.15901238,63.929985,268.7039,44.48606,88885.56,1.7035805,1.6501007
哈密地区,2013-01-28,3.5505142,3.8588939,1.4452986,0.7396063,0.15626419,63.864647,269.57343,41.4264,88395.27,1.5782611,2.8257775
哈密地区,2013-01-29,4.778469,5.19356,2.058842,0.9296301,0.1624364,53.082924,268.45364,58.71697,88407.8,3.3983696,1.42416
哈密地区,2013-01-30,5.5836396,6.104247,2.925024,1.5503834,0.1737956,52.227192,266.4535,65.91927,88113.39,3.9135675,-0.6944438
哈密地区,2013-01-31,3.856469,4.2288938,2.2549517,1.2755003,0.16320302,59.863953,264.55878,52.965923,88555.44,1.9667137,-1.1204958
哈密地区,2013-02-01,2.719347,2.9994593,1.5894003,0.94866043,0.1578724,67.63303,265.46945,44.407787,89076.79,0.49518725,-0.024829837
哈密地区,2013-02-02,1.8806784,2.1088538,1.264943,0.8101134,0.14875329,67.66612,268.28513,34.92012,88258.99,0.10337731,2.3112938
哈密地区,2013-02-03,2.5298917,2.815302,1.5163164,0.9412466,0.14907235,65.17198,269.18158,34.383167,88198.77,0.6702345,0.8837225
哈密地区,2013-02-04,2.81422,3.1220858,1.704322,0.92235005,0.15304656,61.386997,269.44357,45.738163,88405.68,-0.77330714,0.10810941
哈密地区,2013-02-05,2.7120233,3.0047278,1.6616375,0.99477327,0.17122789,64.457054,270.61136,42.194275,88679.0,-1.2162164,-0.3111832
哈密地区,2013-02-06,3.3816657,3.6810098,1.6327512,0.95400417,0.17539218,62.30183,269.06537,49.24328,88676.96,-1.4748175,-1.5982419
哈密地区,2013-02-07,7.8997316,8.571232,4.0250816,1.8266187,0.1874391,53.95408,266.2492,72.439644,89222.63,2.163607,-1.6207072
哈密地区,2013-02-08,5.195198,5.625293,2.564402,0.9573544,0.16986196,56.97972,267.60208,68.61228,88765.61,2.7225492,2.0260653
哈密地区,2013-02-09,7.1615176,7.6993356,3.383368,1.6045266,0.16706574,53.81805,266.1847,67.37139,88268.92,2.2718,-1.6753907
