city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
哈尔滨市,2013-01-01,123.269394,143.86717,25.540798,30.05922,1.3765244,26.59831,242.87569,71.07109,98623.03,2.9293506,1.4350132
哈尔滨市,2013-01-02,95.88505,113.688866,21.871883,25.578901,1.1474303,28.503498,240.95447,69.82454,99264.34,4.88179,3.3770702
哈尔滨市,2013-01-03,61.158363,73.84588,22.079702,18.964903,0.9484778,33.707127,245.81345,73.10188,99908.44,5.7901173,2.3539288
哈尔滨市,2013-01-04,60.606487,78.80095,23.949234,25.808987,0.9870643,31.136955,250.78197,72.53007,99437.29,4.369891,5.5475736
哈尔滨市,2013-01-05,48.30456,58.130955,20.50806,22.70946,0.9292202,30.615168,250.38287,74.69276,99007.47,6.614599,1.7538285
哈尔滨市,2013-01-06,86.23275,98.03935,16.841797,21.977972,1.0024397,31.031542,246.29813,73.14485,99502.92,4.155822,1.6623173
哈尔滨市,2013-01-07,137.30614,164.62598,17.847485,28.336788,1.4512467,32.602592,245.07503,71.9407,99591.71,1.8613056,0.028536072
哈尔滨市,2013-01-08,110.11903,139.64996,26.38818,34.530003,1.1976503,32.08001,241.97752,70.95784,99629.42,3.7715747,1.3132124
哈尔滨市,2013-01-09,127.034966,147.47046,25.433386,29.681776,1.1517897,29.40163,241.55652,70.40208,99467.35,3.5532804,1.9237709
哈尔滨市,2013-01-10,109.96631,132.73633,22.984919,32.671448,1.1559676,26.3675,242.1679,70.78629,99686.62,3.750019,2.4840682
哈尔滨市,2013-01-11,96.959335,123.292755,24.349026,40.180897,1.1634084,27.263645,246.11235,72.467224,99588.3,0.8997817,0.7123516
哈尔滨市,2013-01-12,94.87153,119.744095,24.628357,37.608288,1.1788704,28.97695,244.98015,73.69213,99316.836,2.5112224,-0.17756274
哈尔滨市,2013-01-13,133.2548,170.1237,25.955057,40.18309,1.3361869,28.177282,246.74185,73.125336,99595.234,0.9241996,1.7416372
