city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
嘉兴市,2013-01-01,68.37746,82.56977,34.967503,63.552593,1.9141179,22.960405,277.0591,55.064655,102378.74,3.5850263,0.29587886
嘉兴市,2013-01-02,77.307816,109.543976,34.013874,51.01386,2.1827729,25.574066,276.54132,70.923225,103002.78,-1.2751458,-7.936746
嘉兴市,2013-01-03,50.066513,53.786503,30.845451,39.213123,1.6867181,32.755802,273.1916,75.63053,103612.29,1.8231816,-7.577819
嘉兴市,2013-01-04,68.05932,62.43241,33.734497,53.961754,1.6171081,23.596973,273.70502,81.508156,103100.086,0.28415695,-6.1332903
嘉兴市,2013-01-05,91.19737,79.45444,39.75202,63.51135,1.8147346,17.103035,274.57224,80.6176,102642.07,0.61267847,-5.3631964
嘉兴市,2013-01-06,101.23142,85.65145,42.22007,60.09941,1.7792748,17.412687,274.62878,77.7173,102641.8,0.65690786,-4.672897
嘉兴市,2013-01-07,148.72777,137.0231,62.33653,79.68823,2.2016084,10.436346,274.60373,81.79603,102500.72,1.3589367,-3.2726645
嘉兴市,2013-01-08,153.56308,144.96892,71.42037,81.17867,2.252736,21.918983,276.2195,68.598114,102528.3,1.2415028,-5.1188855
嘉兴市,2013-01-09,127.746414,119.24163,69.25973,67.28618,2.035238,24.789867,276.56998,72.29703,102791.66,-0.2185672,-6.273675
嘉兴市,2013-01-10,84.71898,89.77347,38.600365,70.18535,1.9011182,25.424961,275.7392,63.045254,103000.75,-1.9318466,-4.6299124
嘉兴市,2013-01-11,72.89698,72.70899,25.85897,71.25261,1.4195455,26.823603,277.81412,76.07905,102769.164,-2.2126849,-1.197148
嘉兴市,2013-01-12,159.5791,173.60562,77.05307,112.71171,2.4320574,23.832422,278.87726,73.36309,102558.98,0.046433724,-1.3792889
嘉兴市,2013-01-13,100.55714,84.72497,24.043762,97.606606,1.778848,20.917488,279.38596,91.50809,102073.305,-1.5505453,-3.8003297
嘉兴市,2013-01-14,135.0218,128.00105,37.149864,80.694145,2.4098737,21.832499,277.18945,84.315895,102467.28,1.6225629,-4.2794695
嘉兴市,2013-01-15,131.53262,130.22029,27.296972,84.36948,2.362319,28.470722,278.00232,85.54945,102525.375,-2.4353938,-0.32193476
嘉兴市,2013-01-16,177.94716,182.71431,52.439785,78.74301,2.5553045,21.179409,277.25964,89.39346,102675.13,0.80756205,-3.234863
