city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
固原市,2013-01-01,13.76204,15.431136,8.215245,6.82882,0.47459632,55.788692,265.50656,40.03896,80830.47,3.4221585,-2.8788702
固原市,2013-01-02,25.733309,29.577715,16.58757,10.672818,0.62304914,33.564205,261.10663,61.37045,81497.58,-3.1535516,-0.6332653
固原市,2013-01-03,36.77622,42.260563,20.788733,11.396982,0.5006081,32.27785,259.9283,56.90266,81634.06,-1.7124747,4.5819917
固原市,2013-01-04,61.656387,69.42015,27.646011,12.340702,0.643595,35.373558,261.43857,71.32508,80989.89,-0.5026103,4.4709573
固原市,2013-01-05,74.75236,82.55751,32.199284,14.399142,0.7260475,34.35569,262.89706,57.614487,81019.71,0.6617903,-0.62126327
固原市,2013-01-06,54.50519,60.319225,28.076162,17.31182,0.5971765,37.090374,264.71405,45.863422,81076.3,1.920165,-1.4737145
固原市,2013-01-07,22.876894,25.350449,12.899722,10.575034,0.37262008,46.111942,265.99753,32.335426,81054.15,0.66828585,-2.8113575
固原市,2013-01-08,18.674683,20.849829,10.938647,8.226986,0.33495247,45.1825,264.1897,37.638233,81347.555,0.7637988,-3.4666061
固原市,2013-01-09,41.40628,46.708057,15.452636,9.760893,0.54293674,44.848457,265.85657,46.521885,81091.164,2.2966816,4.8142133
固原市,2013-01-10,78.65287,85.07897,23.067583,7.878211,0.7399956,48.739952,267.47665,58.95188,81058.5,1.936978,1.3685209
固原市,2013-01-11,17.643187,20.06855,9.5106125,7.423308,0.34908164,49.634228,267.24796,28.917715,81343.56,3.3762815,-1.5555089
固原市,2013-01-12,40.36649,44.115345,13.384065,7.701686,0.4784578,52.396618,269.41583,36.335297,80900.7,3.1232898,2.701213
固原市,2013-01-13,62.43783,68.79239,19.298023,9.628336,0.6314326,53.000313,270.39993,28.30234,80792.08,-0.32684588,4.09985
固原市,2013-01-14,60.6151,66.04417,20.502623,9.362743,0.5905182,43.81273,267.6086,47.743675,81147.98,2.0560734,-0.850357
固原市,2013-01-15,15.354917,18.343027,10.295877,7.7498336,0.30156228,48.53538,268.09735,41.483932,81331.01,2.679314,-3.40198
固原市,2013-01-16,27.487358,32.08467,16.070625,9.659401,0.4205356,50.460052,268.9611,35.485714,81586.31,0.34828934,-1.5319616
固原市,2013-01-17,40.847717,47.533585,21.40205,11.037384,0.48451385,40.136993,267.71844,49.578445,81729.69,-1.374551,6.434446
固原市,2013-01-18,107.27681,120.00167,33.45009,9.986004,0.87354195,41.989433,270.29593,77.08129,81295.13,1.3223975,5.5750537
固原市,2013-01-19,98.37346,110.80933,30.799326,11.212729,0.81734276,42.83092,269.85526,84.9895,80636.56,-1.2402961,4.6901693
固原市,2013-01-20,22.58328,24.579405,9.412168,5.98371,0.361724,50.09679,263.89294,61.234806,81151.67,3.2405033,-6.524901
固原市,2013-01-21,15.544443,16.933954,7.971529,6.676515,0.2957305,53.582554,265.24374,56.901787,81370.02,0.5935683,-2.6289206
固原市,2013-01-22,39.557064,42.19615,14.98492,12.123174,0.44598582,49.01277,265.54434,73.315704,81319.81,3.3891144,-0.25967723
固原市,2013-01-23,26.4515,27.465437,11.356931,8.789535,0.37518173,56.8682,266.96057,47.207348,81122.1,5.9598026,-3.568709
固原市,2013-01-24,17.055859,20.336855,9.114452,6.8924456,0.31041467,54.119125,264.1452,53.546894,81433.27,3.9304538,-3.0280645
固原市,2013-01-25,24.458637,28.081715,12.026022,11.08321,0.4069042,52.299957,268.04965,38.012867,81269.17,5.202135,-4.942457
固原市,2013-01-26,21.588799,23.970366,14.832772,13.527443,0.3553518,53.54775,269.8299,28.532349,81397.29,3.6748142,-4.6622725
固原市,2013-01-27,34.702724,37.553905,17.782536,12.67309,0.44933197,54.755337,272.24298,25.991768,81419.64,1.8909749,1.5178366
固原市,2013-01-28,55.63553,59.229195,19.128412,9.58588,0.6247398,52.587635,272.3432,45.856205,81112.49,1.5595969,0.83396935
固原市,2013-01-29,63.139355,70.21736,22.502815,9.414441,0.6787916,51.780113,272.98163,57.602467,81085.34,0.96451133,2.2235446
固原市,2013-01-30,42.624767,45.83287,16.297335,8.875378,0.6207362,53.26125,273.45743,53.40411,80905.45,1.9108925,3.708866
固原市,2013-01-31,23.97476,26.320452,8.616199,4.48854,0.2996101,57.076504,273.1914,41.46099,80973.61,1.9041597,-1.446196
固原市,2013-02-01,24.047218,28.062044,12.978258,10.932093,0.41081288,42.94673,273.01672,43.741486,81295.76,0.24792983,1.9575592
固原市,2013-02-02,38.815563,43.95642,19.820284,10.612351,0.43825024,45.324608,272.09436,50.961597,81268.52,-0.79598355,4.6583424
固原市,2013-02-03,61.076588,65.55057,18.518309,7.96362,0.5619031,48.152237,274.48425,55.605934,80719.22,2.6603951,-0.18026629
固原市,2013-02-04,27.202988,30.21446,14.2233925,8.654035,0.3698891,47.92217,273.80527,50.280487,80848.336,-1.2180487,4.2937
固原市,2013-02-05,17.379736,19.885567,10.759479,7.836792,0.2797891,43.559402,273.5795,37.206863,81206.84,3.498251,-3.9089715
固原市,2013-02-06,30.978264,35.20878,13.706792,10.068349,0.3649464,40.389664,273.35477,44.920834,81005.38,-2.1615412,3.2355137
固原市,2013-02-07,46.3775,53.02426,25.376492,14.328442,0.42833397,32.33655,267.0221,60.743267,81310.984,-4.267667,2.0478888
固原市,2013-02-08,31.179855,35.132576,16.082666,12.252688,0.35369733,43.773712,266.7061,59.7928,81504.07,2.5137522,-2.0715978
固原市,2013-02-09,32.6208,36.574306,13.290232,8.39992,0.41015145,62.079346,270.98135,44.883614,81013.53,3.766423,4.4054112
固原市,2013-02-10,39.420464,42.93992,14.998213,8.461853,0.42452797,54.75101,271.78687,49.173813,80854.88,1.0905497,0.019228421
固原市,2013-02-11,24.014881,28.043032,17.40226,10.222135,0.29178876,35.101852,266.33313,53.5622,81346.98,-0.26336038,-4.372005
固原市,2013-02-12,17.313068,20.609829,9.978651,6.7634425,0.2943275,42.322876,266.80927,39.505356,81461.55,1.6148806,-0.071031705
固原市,2013-02-13,48.038765,54.819557,16.5339,8.099787,0.5027039,48.165966,269.35962,45.375084,80971.07,-0.2789914,0.64305544
固原市,2013-02-14,10.65147,12.26859,8.204906,5.76967,0.21791083,49.900143,266.92752,35.671783,81230.02,-0.8996365,-4.4979715
