city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
大庆市,2013-01-01,57.04111,66.06266,18.911697,20.779848,0.6812206,33.540443,242.00752,69.01817,100142.914,2.4461694,-1.7264274
大庆市,2013-01-02,22.101011,29.550947,8.926276,11.060758,0.45424026,44.176582,247.22444,70.1848,100818.02,5.052548,-3.3367875
大庆市,2013-01-03,18.65105,23.073372,9.466552,9.369797,0.420785,43.113865,252.70859,69.0741,101464.53,5.681181,-2.6507425
大庆市,2013-01-04,24.937292,30.809261,11.209254,12.382714,0.4672389,41.858265,253.58182,70.26006,100683.26,3.6569889,2.761075
大庆市,2013-01-05,17.75906,21.599737,9.882293,10.44617,0.43067816,41.229885,253.47531,67.31789,100595.83,5.289592,-3.3229003
大庆市,2013-01-06,43.997402,49.0406,16.290232,18.069654,0.5802781,32.78095,248.4711,70.3031,101032.234,1.7214395,-1.8563079
大庆市,2013-01-07,85.89684,96.44683,21.436876,28.455858,0.94567764,27.722174,243.52477,70.822044,101173.98,0.45166,-2.5993357
大庆市,2013-01-08,52.7071,60.403976,18.532896,20.744713,0.64452314,33.883057,242.95914,67.825775,101207.41,2.3142576,-1.5238374
大庆市,2013-01-09,56.121063,63.369236,19.088081,18.616825,0.6446938,34.084534,243.41856,68.98543,100992.41,2.157876,-1.2053092
大庆市,2013-01-10,48.2823,54.773396,16.655329,18.043222,0.6205696,33.65708,244.01773,68.763145,101191.79,2.6504123,-0.5106166
大庆市,2013-01-11,64.86649,72.83201,24.512169,28.010012,0.8376538,28.75894,243.8396,69.36961,101068.74,0.22196051,-0.5556897
大庆市,2013-01-12,70.11303,74.13586,22.240541,27.540915,0.7226323,28.347462,243.20445,68.78969,100919.3,1.911433,-1.7081133
大庆市,2013-01-13,79.15416,102.49708,24.206835,30.767384,0.9555857,24.307346,244.33313,72.398544,100976.92,-0.3126979,1.8564453
大庆市,2013-01-14,95.19753,105.310036,21.231808,29.085005,0.92969686,27.474121,245.09691,73.05632,101334.91,1.3343418,-4.30179
大庆市,2013-01-15,100.13961,113.01262,27.192282,32.885876,0.9443288,25.835247,243.57214,71.50764,101430.76,-0.09469217,-0.892584
大庆市,2013-01-16,97.32456,106.18465,23.273485,29.601202,0.9004696,31.244724,245.63516,72.49662,101563.46,1.8919973,-2.8152547
大庆市,2013-01-17,54.753506,64.08058,13.731441,16.358166,0.6323822,33.79081,250.48312,73.31817,101614.51,2.6741822,0.20323469
大庆市,2013-01-18,77.61493,96.74351,24.806368,34.452663,0.94021165,20.94143,250.24774,78.25827,101038.17,-1.7257382,0.9117917
大庆市,2013-01-19,87.317635,97.57315,17.922419,25.116613,0.8720804,24.595446,249.11519,75.889725,101467.94,2.2971,-3.3296878
大庆市,2013-01-20,121.06502,137.20518,28.717995,32.86417,1.1326791,25.099995,250.14297,76.66119,101879.86,-0.8830733,0.04038593
大庆市,2013-01-21,120.2558,145.30556,31.376379,37.132076,1.2095505,23.168228,251.67647,78.97812,101539.94,0.7697264,-4.351207
大庆市,2013-01-22,58.1692,68.33398,18.33633,20.103794,0.64171875,29.030432,251.41055,79.21069,101148.11,0.82910264,1.1762211
大庆市,2013-01-23,92.13801,111.41265,26.656782,34.619514,1.0009005,19.174595,249.07059,77.731,100088.65,-0.092748605,-0.5602
大庆市,2013-01-24,19.165253,24.148863,7.0275145,10.008608,0.39055127,41.65198,248.71124,73.25488,99704.055,6.642483,-7.421451
大庆市,2013-01-25,9.504709,12.245165,5.6129904,7.5048375,0.33804348,56.48723,250.06491,69.266525,100175.2,5.406528,-7.8011436
大庆市,2013-01-26,20.705132,25.04361,9.465661,12.776205,0.43313068,45.985195,250.74765,70.632,100941.99,3.0434856,-5.6562495
