city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
天津|天津,2013-01-01,75.99243,103.623474,51.54808,45.063362,2.159756,38.125263,261.75366,41.993095,102433.83,2.6807308,-7.2060328
天津|天津,2013-01-02,14.601078,36.8331,28.127584,18.801987,1.2752646,48.300842,259.1851,38.262287,103769.586,4.6976476,-6.697449
天津|天津,2013-01-03,30.976145,55.925606,41.332306,29.62915,1.4467739,43.36107,261.1562,41.237392,104163.914,4.028128,-5.2623053
天津|天津,2013-01-04,148.97946,211.49014,142.95349,69.19716,3.4617093,23.987186,261.49673,53.663887,103299.61,4.2582664,0.62856674
天津|天津,2013-01-05,125.39508,168.57419,101.48859,70.04707,2.9231277,29.614609,263.86954,41.96942,102857.23,2.1022382,-3.2320108
天津|天津,2013-01-06,161.02693,214.02492,122.59335,83.52823,3.5701864,18.28228,263.6392,54.713467,102850.19,0.0521201,-1.2753427
天津|天津,2013-01-07,284.0066,388.17722,175.054,113.48032,5.04933,19.885729,264.57343,54.03391,102636.05,-0.24026474,-1.7416708
天津|天津,2013-01-08,98.72128,121.818146,80.31075,61.276497,2.7599046,21.946836,262.04227,52.30201,103190.54,-1.5397711,-4.9849
天津|天津,2013-01-09,62.089638,88.80549,60.170322,50.97758,1.7530916,28.682901,263.70975,40.363228,103113.21,3.0310185,-2.4759657
天津|天津,2013-01-10,243.69017,325.26508,140.46852,87.80123,3.2902265,12.763705,266.05286,70.75684,102798.92,-0.060694776,1.7649605
天津|天津,2013-01-11,322.89066,418.22284,154.35732,100.10512,4.864474,13.244186,267.7479,77.50117,102388.766,1.7917516,-1.8588588
天津|天津,2013-01-12,370.1475,478.1347,150.01224,120.60171,5.855597,15.324145,267.6962,67.07212,102415.516,-2.3299346,0.35894084
天津|天津,2013-01-13,154.35602,180.70763,99.751205,66.8823,3.9644804,13.280544,268.25247,78.41538,102357.336,-4.2524467,-3.1963575
天津|天津,2013-01-14,160.10532,193.22914,97.973915,63.14343,3.720827,19.048708,268.45084,70.489136,102755.13,-3.5640125,-0.50951725
天津|天津,2013-01-15,92.07485,115.07377,73.71378,51.679726,2.5929523,22.456932,267.27463,81.27177,102587.09,-1.6888779,-1.2421739
天津|天津,2013-01-16,138.75105,176.1719,80.10698,56.315765,2.706757,16.450953,265.6688,53.056664,103317.516,-2.0826864,-3.0402768
天津|天津,2013-01-17,80.80363,115.30563,67.40218,58.51624,2.1728408,22.527588,267.04492,42.279144,103775.45,1.0876225,-1.4952432
天津|天津,2013-01-18,234.67863,309.59006,121.755646,79.02199,3.2516756,17.866611,269.47223,67.04771,102861.01,3.2462647,3.1112738
天津|天津,2013-01-19,205.25826,280.14456,103.415,73.81442,3.8438296,23.831356,269.23483,71.26459,102951.664,-5.8591356,-1.423134
天津|天津,2013-01-20,113.227066,140.1345,114.657135,56.539104,3.486459,18.389153,268.08026,89.78443,103001.31,-4.936349,-2.404465
天津|天津,2013-01-21,215.23782,264.1205,148.08725,80.70963,5.3804793,10.193616,268.59137,79.344154,102900.71,-1.850314,-2.8922553
天津|天津,2013-01-22,203.49477,239.45181,112.59152,82.856674,4.521615,16.447184,267.4729,64.419586,102922.414,-2.204537,0.088899955
天津|天津,2013-01-23,192.56409,267.96118,124.65077,73.35989,4.100234,18.329409,268.6477,87.81305,101832.305,2.4420393,0.63487476
天津|天津,2013-01-24,83.52064,106.47511,65.35217,56.103714,2.3553655,32.997402,267.8533,42.596416,102401.37,1.3356074,-5.4313474
天津|天津,2013-01-25,53.06618,85.83549,62.96358,45.964336,2.0219007,28.51666,265.0936,50.14569,102478.05,-3.0263553,-1.5264568
天津|天津,2013-01-26,89.06154,114.77886,78.243645,56.134396,2.5456803,18.056553,265.43262,71.681854,102771.24,-2.7549815,-0.5269774
天津|天津,2013-01-27,165.60051,204.18411,105.53237,68.59993,3.5060868,18.315788,266.29498,77.047165,102787.086,-0.7555101,0.1364396
天津|天津,2013-01-28,262.78632,343.34937,138.7408,86.952286,3.7267635,14.372053,269.85016,85.87538,102119.53,0.351518,0.18341473
天津|天津,2013-01-29,230.68858,299.50436,123.93849,83.4932,4.6423955,12.542648,270.67474,84.740555,102379.82,-2.3471503,0.006942108
天津|天津,2013-01-30,203.0101,277.8313,85.89648,73.01224,4.408992,9.459634,270.043,94.52183,102477.016,-0.9530598,0.2355531
天津|天津,2013-01-31,193.85869,270.2948,106.67884,68.62672,5.6537466,7.7910995,271.28723,97.42738,102164.234,-2.0328724,-1.7672569
天津|天津,2013-02-01,57.013935,55.863598,52.69854,32.728115,2.273352,33.05889,270.86874,53.734795,102629.31,2.8227053,-6.625074
天津|天津,2013-02-02,58.153835,77.95669,55.905464,49.188763,1.5449523,25.962488,267.9179,57.295315,103321.625,-0.13614336,0.06292736
天津|天津,2013-02-03,92.227394,90.6305,77.80766,48.628662,2.0454063,8.603261,270.88217,94.69524,102128.695,-0.11489235,4.059936
天津|天津,2013-02-04,54.029335,54.874695,40.56561,29.706177,1.2760328,41.9439,269.39334,48.286533,102782.875,0.11705641,-3.6261067
天津|天津,2013-02-05,47.30944,43.72316,42.255806,31.236238,1.1245924,40.035892,268.3194,73.84586,102500.72,1.2300369,1.1545346
天津|天津,2013-02-06,94.99562,100.673546,51.414413,32.576347,1.7874689,39.80982,265.12177,55.869236,102804.234,1.0309714,-7.222619
天津|天津,2013-02-07,12.106296,24.447973,22.199636,13.65832,0.71353006,57.385483,260.0274,39.44493,103817.6,1.9562198,-7.702409
天津|天津,2013-02-08,46.714405,64.46178,49.84664,33.56052,1.5687288,38.460712,260.69193,51.594475,103683.016,-0.4387266,-1.2481155
天津|天津,2013-02-09,143.4353,190.50343,93.77762,45.280903,2.0481517,29.92961,265.3715,68.15295,102738.76,0.578777,-0.80120134
天津|天津,2013-02-10,156.96994,187.62941,87.145905,34.236977,2.4687474,42.55443,263.92368,49.88656,103289.875,-2.0319898,-3.7652643
天津|天津,2013-02-11,64.22671,83.57341,51.50823,29.581066,1.7875444,42.654667,265.05112,74.21411,103325.125,-2.184674,-0.97718847
天津|天津,2013-02-12,104.60214,144.40813,54.4382,30.555365,1.9502214,36.81621,268.89972,65.74444,102602.55,4.057497,0.03516286
天津|天津,2013-02-13,207.33028,252.3719,90.63397,52.237972,3.004168,30.020397,271.68933,65.782814,102182.5,2.6996615,2.4193656
天津|天津,2013-02-14,138.63852,187.28036,78.98556,44.1409,3.0840354,31.858187,270.15982,54.62151,102662.79,-3.5570593,-3.2839415
天津|天津,2013-02-15,47.686367,60.213047,47.378265,31.582586,1.5546306,37.58322,269.2492,47.404564,102890.984,-0.60901284,-0.5728912
天津|天津,2013-02-16,142.7724,203.35713,88.83171,47.112755,2.7947762,15.166499,272.41275,82.56262,102096.87,-0.70016146,3.9831076
天津|天津,2013-02-17,153.68382,199.1101,64.11595,36.824345,2.5639963,29.246702,273.3062,67.328636,101958.06,1.6875596,-3.9524922
天津|天津,2013-02-18,29.597292,47.456497,37.087055,24.086493,1.2360467,44.790127,269.46185,42.236572,102816.86,0.31079522,-3.7515023
天津|天津,2013-02-19,26.719936,45.347652,34.329254,25.418816,1.124793,45.212906,267.0002,35.38103,103141.45,-1.2460836,-1.8638865
天津|天津,2013-02-20,80.24804,119.99668,72.119225,47.275417,1.8007902,30.056417,270.90146,59.809452,102850.65,-0.8696502,-0.6405532
天津|天津,2013-02-21,173.71478,228.28557,82.40518,59.992714,3.0642104,21.378937,271.98938,61.27415,102867.945,0.6465343,-0.7874193
天津|天津,2013-02-22,98.01839,111.02493,37.45784,45.53331,2.0100417,36.34427,273.0709,30.178013,103086.71,1.4080144,-3.684665
天津|天津,2013-02-23,117.09917,150.38919,77.23786,62.92033,2.2793312,33.67422,274.57748,46.24135,102983.414,1.4204717,0.49034044
天津|天津,2013-02-24,156.9084,208.71848,88.28015,66.9301,3.3538327,21.558674,273.7284,72.58082,102794.695,-6.5247517,0.11626867
天津|天津,2013-02-25,78.05263,116.171074,55.786842,40.60245,1.9585135,34.00041,271.84787,82.604256,102637.99,-6.7245927,-2.4253368
天津|天津,2013-02-26,176.51373,238.33018,64.36611,63.20464,2.8245769,22.17352,274.57477,70.578224,102058.414,3.042547,-0.29076278
天津|天津,2013-02-27,254.13045,318.48764,59.124954,77.44163,3.157683,25.531393,277.64566,52.551495,101889.77,1.2065706,-0.60532296
天津|天津,2013-02-28,206.8838,335.1107,50.94911,49.066265,2.58464,31.380283,275.39886,55.075813,101477.42,2.9592438,-3.6727936
天津|天津,2013-03-01,14.101496,24.580347,14.965026,16.503887,0.7493893,60.91219,270.57834,24.022953,103048.17,3.4645534,-9.7700815
天津|天津,2013-03-02,49.0112,73.72135,46.032635,45.659203,1.6234986,30.615822,270.8377,31.080673,103241.61,0.20503142,-0.5196556
天津|天津,2013-03-03,111.676636,162.20483,61.337025,58.288044,2.113627,26.5743,276.5564,35.914867,102054.5,3.7682254,-1.0826827
天津|天津,2013-03-04,49.934395,69.29957,31.5713,37.971107,1.2345123,42.127213,278.45172,29.998457,102374.734,1.6759547,-2.5134594
天津|天津,2013-03-05,125.181015,203.51437,84.50674,66.04112,2.3476753,29.795834,281.73508,33.959896,101708.09,2.8874285,4.3318725
天津|天津,2013-03-06,202.16208,310.22372,103.102486,82.37424,4.142949,16.232212,280.52402,52.88215,101381.35,-2.9105005,-2.7363083
天津|天津,2013-03-07,253.45035,371.3311,81.58363,98.21644,4.1089354,26.944662,281.94,42.170574,101125.72,-0.93249136,-0.4526067
天津|天津,2013-03-08,199.17526,312.33582,74.86523,71.87563,3.962931,32.4531,277.80774,61.325947,100830.99,-5.5400505,1.0616672
天津|天津,2013-03-09,87.56915,212.15991,52.70468,36.94817,2.2919674,46.05949,276.6953,50.88834,100998.49,-0.10855958,-7.7344904
天津|天津,2013-03-10,31.422638,71.05023,21.835838,30.527237,0.9887858,49.48517,276.3175,24.626144,102792.15,0.7247424,0.35440814
天津|天津,2013-03-11,78.0905,130.75604,76.87181,55.892666,1.820611,27.561903,279.75787,30.037033,102114.664,2.011406,6.6326637
天津|天津,2013-03-12,90.03031,102.18468,40.533886,50.87087,1.9776348,14.864596,277.658,62.741573,101534.01,-2.239684,-0.42655462
天津|天津,2013-03-13,27.472944,43.63437,27.335098,27.316805,1.2883911,50.096184,274.103,27.263298,102986.414,-2.72111,-3.8803437
天津|天津,2013-03-14,57.46782,79.86302,54.193443,45.702797,1.4046477,36.235966,276.58615,37.994293,102809.89,1.7163384,5.97278
天津|天津,2013-03-15,124.79948,174.58974,58.981853,59.39951,1.7794584,25.077133,281.71365,36.95601,102022.6,3.1955478,4.5457273
天津|天津,2013-03-16,175.51534,235.1737,69.406,66.71996,2.9649723,34.555233,279.73666,57.217525,102309.77,-4.8555236,0.2806007
天津|天津,2013-03-17,222.23778,281.423,69.319115,73.27958,2.70902,33.571766,282.91107,57.492188,100839.69,0.08290547,3.4261692
天津|天津,2013-03-18,114.369934,168.50845,37.348736,39.0569,2.1870995,45.530167,278.64966,41.899162,100817.336,-4.1140738,-0.88358575
天津|天津,2013-03-19,41.806725,78.498344,36.613,31.180988,1.6373082,43.5457,273.65717,61.801777,101216.51,-7.3329873,-1.5722289
天津|天津,2013-03-20,35.676285,45.281345,17.04462,23.531853,1.1597836,54.177628,272.6804,42.824436,102350.41,0.2348317,-2.1148937
天津|天津,2013-03-21,99.56774,153.66928,39.59028,48.216465,1.7318857,37.54434,281.27368,36.447853,100932.26,3.4303598,6.3504963
天津|天津,2013-03-22,65.942566,114.2927,32.576374,34.093903,1.5156498,48.44469,276.11005,31.80021,101829.914,-4.1820865,-1.1688622
天津|天津,2013-03-23,58.429413,106.29254,52.51911,45.133648,1.5382699,31.681345,277.80978,39.75177,101282.695,0.21870404,0.9172756
天津|天津,2013-03-24,26.006235,42.55085,16.365911,23.127022,1.0763994,56.270382,274.7489,25.032381,102254.875,-0.40461555,-3.8214815
