city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
太原市,2013-01-01,22.451254,31.717281,20.2231,10.190997,3.8153157,44.670876,257.06464,51.22736,87478.99,5.699397,-4.649934
太原市,2013-01-02,24.493273,34.480305,29.156538,13.491699,2.8685896,40.42858,252.8065,43.019287,88518.164,4.0564733,-6.4408236
太原市,2013-01-03,33.895317,50.252495,46.78806,16.536278,2.49959,36.945072,255.75403,36.85198,88784.0,1.3269984,-3.7080686
太原市,2013-01-04,51.73092,71.82907,61.98969,22.309614,1.9783939,31.890882,260.12753,33.773277,88048.836,2.0348973,-1.3021538
太原市,2013-01-05,54.03453,82.343895,68.13315,25.301537,1.94086,28.175009,262.2453,29.305204,87796.33,1.8960874,-3.5535107
太原市,2013-01-06,78.78022,118.31826,81.14289,28.333008,3.0096543,26.296856,264.22015,25.12553,87758.37,3.0437121,-1.9780321
太原市,2013-01-07,147.83452,175.95273,110.436325,29.807081,2.4191513,27.461079,265.70544,36.19954,87641.93,4.236606,-2.781796
太原市,2013-01-08,52.221962,62.601032,33.101624,19.33648,2.16226,38.195724,262.57336,46.358955,88006.32,3.6530025,-4.37514
太原市,2013-01-09,39.585686,59.6293,39.346245,18.454582,2.195303,34.569683,262.6032,39.855263,87978.695,3.2654011,-1.5103366
太原市,2013-01-10,87.44616,125.8426,115.86453,33.038162,2.1432176,26.033792,267.5285,38.124046,87707.734,4.043872,1.8553759
太原市,2013-01-11,91.54978,98.43385,63.386307,23.140991,4.3726254,41.46725,266.55875,45.78365,87781.336,7.292399,-2.9158697
太原市,2013-01-12,71.86273,111.06086,106.06166,27.159687,1.9874723,26.82625,269.73328,34.01517,87567.61,4.9324646,2.551878
太原市,2013-01-13,82.60504,120.647156,89.492096,30.480902,2.173162,24.573246,270.15765,33.64202,87519.11,1.4405984,-1.7008212
太原市,2013-01-14,104.8583,155.9454,85.26352,42.03677,2.9714842,27.687582,271.49246,22.515205,87779.09,2.0217736,0.6875908
太原市,2013-01-15,64.3234,99.61565,35.631916,15.738763,3.3927114,37.479774,267.85803,49.01911,87776.92,6.1599736,-2.9840193
太原市,2013-01-16,68.12612,101.22633,43.511337,21.145897,1.7049966,31.520443,266.8033,54.936985,88225.195,1.8609449,-4.085817
太原市,2013-01-17,42.889675,61.89632,39.588646,17.4015,1.319205,35.018875,265.80164,42.299526,88726.164,1.0688515,-1.3182957
太原市,2013-01-18,100.18042,135.68398,90.449615,30.131384,1.6118726,23.98789,270.02133,42.973152,88134.734,3.1048603,1.1594044
太原市,2013-01-19,124.43523,175.00893,70.7609,34.900227,2.2071497,19.54869,268.29404,58.706924,87774.43,-3.49383,-0.84276545
太原市,2013-01-20,162.23141,175.04774,48.525723,38.122185,1.8695298,20.1894,265.84198,88.30103,87825.74,-1.8039051,-0.5389286
太原市,2013-01-21,210.21402,205.47096,57.70035,38.903484,2.7750294,17.969645,267.93423,71.78389,87983.81,0.7036735,-2.905199
太原市,2013-01-22,155.87347,171.80582,90.01147,33.827316,1.7440063,20.156925,267.32513,60.0344,87923.34,2.12533,-0.41570133
太原市,2013-01-23,170.95085,214.58267,119.14292,39.868378,2.1817977,25.03386,268.26523,56.054794,87383.1,6.908899,-1.986313
太原市,2013-01-24,30.625303,27.327385,19.320581,14.276231,1.3723778,44.472267,263.79288,49.738434,87758.02,7.074405,-3.9614282
太原市,2013-01-25,35.994743,54.48139,45.146965,16.728014,0.8330426,34.141136,266.73788,44.700375,87523.8,6.75135,-2.312562
太原市,2013-01-26,18.183104,40.374657,27.31874,19.103096,0.4870581,34.06386,267.32053,50.641445,87870.44,2.7845764,-3.72279
太原市,2013-01-27,40.64184,70.39321,49.396973,23.16567,0.9082354,34.561745,270.8914,38.02351,87973.234,4.380855,-0.34341842
太原市,2013-01-28,46.888466,86.44553,70.01703,31.718897,1.0647469,29.378626,273.651,34.255886,87611.66,4.593867,-1.7198159
太原市,2013-01-29,53.219204,88.726006,67.54393,30.659939,0.9803392,30.628298,273.9899,32.51825,87692.73,2.8964512,-0.48801655
太原市,2013-01-30,79.47388,120.18891,100.54202,43.902752,1.481265,28.19855,275.72284,46.403225,87658.38,2.423661,4.1771975
太原市,2013-01-31,86.70326,125.466255,63.858162,35.97964,1.2446862,31.687107,274.77875,73.22445,87454.37,3.0424652,1.9317347
太原市,2013-02-01,29.451899,40.615402,22.91999,17.65531,0.9592391,41.67738,270.878,41.20181,87974.055,2.2378938,-3.7382283
太原市,2013-02-02,27.729265,50.5289,35.80343,16.012547,0.656214,34.559967,270.89474,37.97256,88176.68,1.7490232,0.7950855
太原市,2013-02-03,78.046005,95.91777,46.473442,18.82531,1.140807,25.978924,272.61804,80.25515,87226.22,2.90021,2.8403137
太原市,2013-02-04,58.671703,61.93177,33.13223,22.294651,0.7141174,28.559486,269.17297,51.731808,87764.49,-1.6564873,-1.836154
太原市,2013-02-05,103.37375,144.07483,63.166725,25.93768,1.5323244,25.29813,269.4836,73.28692,87572.82,3.133755,-1.3064438
