city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
威海市,2013-01-01,58.501793,79.53874,32.425278,33.614452,0.7501763,26.865051,269.64978,75.35474,101170.96,7.1493306,-1.4277192
威海市,2013-01-02,14.810939,18.986986,11.695576,9.785489,0.33683583,57.70524,266.11523,76.9765,102478.12,6.90251,-5.458479
威海市,2013-01-03,22.24708,27.596296,18.590487,14.421652,0.41029444,53.67009,267.36288,81.4348,103086.52,3.700734,-4.9643445
威海市,2013-01-04,52.22949,58.93508,33.67187,28.27457,0.6452224,39.413143,268.1,78.53693,102583.98,3.5257974,-1.7530333
威海市,2013-01-05,105.726074,125.90444,60.992115,44.564137,1.0915396,25.963367,268.18604,71.43388,102017.42,5.124251,-2.478853
威海市,2013-01-06,35.638477,44.352516,25.513758,22.847034,0.49832073,41.410816,270.33795,68.41092,102067.63,0.5877704,-3.821261
威海市,2013-01-07,111.14317,138.18188,63.565548,50.01972,1.1418021,15.678213,269.30823,69.3915,101873.94,3.301496,-1.3685288
威海市,2013-01-08,54.586815,67.335526,28.565882,27.916306,0.6071086,30.220713,270.2617,80.91588,102041.0,1.0750532,-5.648235
威海市,2013-01-09,28.30939,35.953266,19.679314,17.936441,0.4699734,45.125065,267.82874,77.55007,102210.86,4.6221027,-3.9438376
威海市,2013-01-10,57.899826,71.65168,35.26969,28.795116,0.7492292,39.233105,268.73022,69.47581,102354.28,2.9534113,-0.874802
威海市,2013-01-11,77.86631,95.86596,36.205112,29.66085,0.891589,39.505985,272.43463,80.47144,101949.32,3.2256353,5.639869
威海市,2013-01-12,132.49559,159.47925,47.973007,47.190765,1.271588,16.347488,272.014,76.9685,101903.77,3.5047257,-0.23031917
威海市,2013-01-13,137.85175,166.322,55.845737,38.8178,1.4641843,28.016174,273.13678,84.91567,101743.32,-0.21023013,1.1562605
威海市,2013-01-14,109.98016,127.43984,34.099648,36.66385,1.077072,26.582432,270.77682,83.50657,101902.54,1.5069431,-6.2246943
威海市,2013-01-15,89.1466,106.25641,51.090244,40.812267,1.1519004,23.358784,269.48837,86.66601,101928.18,0.928254,0.054099675
威海市,2013-01-16,77.32979,88.57174,28.022202,25.539118,0.7581532,26.68327,268.6765,82.1183,102186.8,3.3381798,-7.680178
威海市,2013-01-17,31.565746,38.037025,18.385199,16.527409,0.43517098,39.891556,267.3882,70.92806,102808.25,3.6570432,-8.25979
威海市,2013-01-18,67.28546,87.554375,42.825634,38.171722,0.9089582,28.699926,269.79636,65.901245,102466.44,4.654476,1.0959058
威海市,2013-01-19,121.485695,147.92265,45.267246,40.070362,1.1792881,19.115843,271.85303,77.360565,102264.02,1.4503694,-1.8686805
威海市,2013-01-20,63.20778,73.20254,28.011545,26.044785,0.67678905,24.694595,273.71707,88.14693,102247.96,-4.556789,-1.6572762
威海市,2013-01-21,79.54854,91.90999,19.635853,28.960169,0.9071074,26.75717,273.14435,96.243515,101671.69,-1.0903188,-7.4365597
威海市,2013-01-22,80.48478,93.72949,27.241055,28.925636,0.7952137,28.33715,269.8644,83.06416,101879.4,3.1709344,-7.33932
威海市,2013-01-23,86.546036,108.024284,48.336716,37.899174,0.9609855,23.063118,270.661,79.03865,101341.29,3.9428167,0.4949985
威海市,2013-01-24,79.06034,91.66611,29.181345,26.787798,0.85973406,35.131687,269.42722,76.480675,101390.22,4.2445827,-6.79935
威海市,2013-01-25,15.309658,20.297003,13.557757,12.448456,0.35423157,62.644814,267.05334,68.33368,101718.88,0.9678829,-5.3121395
威海市,2013-01-26,23.423872,31.06462,17.058317,15.307727,0.4173447,52.265,267.9201,64.0575,101955.58,0.79379743,-5.9574504
威海市,2013-01-27,40.478615,51.364944,24.699417,22.252998,0.5445145,35.035507,268.77795,76.58416,102172.47,2.659466,-2.6792774
威海市,2013-01-28,148.39159,171.77977,48.47452,43.088486,1.2891124,27.241371,273.50012,91.10222,101684.76,3.7741904,4.6452713
威海市,2013-01-29,232.15878,266.78076,79.24527,52.981026,1.8715494,21.17819,274.19556,94.95788,101709.0,0.27179226,-0.5210214
威海市,2013-01-30,213.85434,254.09206,80.23357,35.524094,1.5969398,41.665077,274.4802,94.63392,102039.88,-0.46063232,1.9939395
威海市,2013-01-31,44.65206,55.068714,18.771053,11.617981,0.46109092,66.22216,277.75333,98.105515,101784.4,-3.8575377,6.357465
威海市,2013-02-01,59.423286,73.527084,28.756723,25.718103,0.92924887,34.594925,275.27844,88.62072,101470.75,4.347877,-5.994346
威海市,2013-02-02,23.172102,30.937237,19.43239,16.778624,0.3783435,45.38613,269.88696,63.93279,102614.6,1.796309,-5.8830414
威海市,2013-02-03,41.254005,55.337833,38.507473,24.642132,0.5504685,39.80424,271.52545,83.10742,101872.85,-3.0981119,2.6426954
威海市,2013-02-04,40.515133,50.999653,21.510086,19.300713,0.47528094,39.848457,271.2496,83.74602,101753.47,0.8835667,-6.994538
威海市,2013-02-05,43.570225,53.49937,31.955141,26.576591,0.5002565,35.71464,270.00598,80.60117,101825.91,0.056997593,-3.1471462
威海市,2013-02-06,53.81334,65.20876,32.346058,24.598902,0.5641029,34.39339,269.769,81.64656,101656.6,4.8174777,-4.802617
威海市,2013-02-07,8.767424,12.337908,8.458149,7.255046,0.2623459,72.309425,263.0155,78.10087,102494.97,4.426708,-9.882055
威海市,2013-02-08,18.877806,24.627798,15.3422575,12.928489,0.34568605,61.215385,264.70966,75.27439,102814.39,2.2943902,-5.9058046
威海市,2013-02-09,87.30068,111.390045,47.946022,36.71645,0.8914316,32.353153,267.66907,69.934685,102179.9,4.8280745,2.1286383
威海市,2013-02-10,57.440434,67.279076,23.555141,19.567686,0.52252704,47.466026,268.94135,76.5017,102314.55,0.114711784,-6.104997
威海市,2013-02-11,23.828445,30.598167,19.173397,14.543099,0.37187344,59.067055,268.8753,69.45724,102670.74,-1.9914927,-3.8542423
威海市,2013-02-12,75.53865,92.59256,48.303364,32.526398,0.80345035,38.059364,270.1526,88.63166,102036.01,2.1325169,0.12028221
威海市,2013-02-13,106.26083,136.7712,41.825375,26.92853,1.0624988,39.860447,271.6267,80.47592,101887.43,4.09621,4.200722
威海市,2013-02-14,123.788826,147.0857,46.533226,30.765076,1.017623,30.655617,273.8594,88.89937,101739.24,2.0179107,-0.23602174
威海市,2013-02-15,38.684784,45.59387,19.45631,16.598963,0.48411858,48.15095,270.7017,66.01026,102098.85,1.9819101,-6.106763
威海市,2013-02-16,36.14134,45.469147,24.910315,16.725988,0.4729477,53.650314,271.778,68.89438,102030.88,-0.88490194,3.7900662
威海市,2013-02-17,32.88948,44.051445,17.54912,15.9818125,0.43430942,61.583477,275.7128,83.30037,101337.32,1.4553927,2.9539225
威海市,2013-02-18,21.597944,28.037447,13.927341,12.416095,0.35540214,56.18597,270.93982,61.922592,101826.72,-0.5543365,-7.9004235
威海市,2013-02-19,20.904085,27.40927,17.725248,13.639408,0.36714432,53.346226,269.65198,65.931885,102315.04,3.3204358,-5.633373
威海市,2013-02-20,57.465683,74.124855,33.733307,25.737576,0.6159714,41.564377,271.36774,71.8095,102266.21,1.4807118,0.32257083
威海市,2013-02-21,62.037056,77.32306,25.124626,19.614351,0.6047551,45.618187,272.85657,75.61067,102257.31,1.5551746,0.7814927
威海市,2013-02-22,55.771862,69.24028,27.227364,22.88625,0.5947071,39.767265,272.56927,71.28448,102233.96,3.490122,-5.4222026
威海市,2013-02-23,54.83029,64.92703,28.469122,25.665472,0.6310625,45.854893,272.87534,54.796925,102455.47,2.4037113,-1.7580538
威海市,2013-02-24,40.181168,47.137028,18.232855,14.571924,0.4527971,56.462536,274.3709,75.373764,102365.18,-3.5905433,1.2538213
威海市,2013-02-25,34.558144,41.97276,16.474277,11.322933,0.41125163,69.88248,277.2829,83.42092,102020.14,-4.016058,2.9587252
威海市,2013-02-26,75.54898,92.79897,30.200466,25.505615,0.695476,45.408546,277.70087,85.40702,101383.23,1.8367146,-0.8381125
威海市,2013-02-27,124.54858,154.25267,45.215347,37.411602,1.1814711,25.67973,276.77362,66.996506,101366.34,1.7721756,-1.4471419
威海市,2013-02-28,95.38248,116.04774,31.21412,24.153078,0.9795631,45.100025,276.9277,78.726585,100804.07,1.6203818,3.6862397
威海市,2013-03-01,8.30066,13.438728,8.476902,7.046347,0.2615681,67.32674,270.6438,55.061024,101799.02,5.410099,-11.728803
威海市,2013-03-02,17.608425,24.855112,17.018833,13.98266,0.32251954,58.11772,270.3228,60.667904,102515.01,2.6602652,-6.989276
威海市,2013-03-03,75.69165,102.39129,50.080254,39.353615,0.74681336,26.572168,274.05527,55.58121,101620.81,3.2815888,3.2605762
威海市,2013-03-04,61.964127,84.53539,34.388126,33.911213,0.6395358,29.424145,274.86646,63.348698,101606.04,2.3250494,-5.6405196
威海市,2013-03-05,48.670742,62.427807,24.583315,21.674953,0.50815374,40.97295,276.32663,63.829136,101646.45,3.336093,6.3219275
威海市,2013-03-06,105.42842,139.2701,34.556774,36.52265,0.8413632,38.24762,279.72546,79.96572,100873.07,3.0412488,6.26368
威海市,2013-03-07,118.528244,153.61218,44.42208,38.527065,0.9024215,25.08852,280.40552,62.87223,100629.73,3.2257223,-1.3883018
威海市,2013-03-08,95.033646,139.49028,36.63372,36.059036,0.79783136,29.13009,279.6815,63.861393,100326.54,1.2528889,-1.0549724
威海市,2013-03-09,77.818886,112.73543,22.757685,22.759304,0.6219363,49.933598,279.6748,70.73901,100188.78,1.6480179,0.94416076
