city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
宁德市,2013-01-01,33.42082,50.54419,9.227087,16.10513,0.44044942,45.516125,278.94443,49.81248,95762.17,-0.9507159,-0.95101595
宁德市,2013-01-02,57.13982,78.599625,15.347629,29.282675,0.9372781,28.869108,280.56097,85.7502,95939.17,-1.5512381,-3.6571736
宁德市,2013-01-03,23.244406,30.87463,12.811158,15.41565,0.42301726,37.206657,275.87003,80.468025,96373.21,-1.5926346,-6.3157935
宁德市,2013-01-04,29.649593,37.214966,13.706225,21.285078,0.5135738,31.4608,274.93082,87.045715,96038.266,-0.5262598,-4.905028
宁德市,2013-01-05,31.052288,38.0275,13.837633,23.785452,0.6351808,27.500849,277.05447,90.73596,95676.32,-0.004953823,-3.4998624
宁德市,2013-01-06,31.25644,41.173435,16.027615,27.57146,0.7911213,22.857378,278.101,91.32788,95717.17,-0.028355746,-3.103432
宁德市,2013-01-07,35.625637,46.223747,14.957154,22.413311,0.7589137,29.840826,280.75958,89.84456,95629.83,-0.25144097,-1.1747497
宁德市,2013-01-08,38.781956,47.663147,16.363607,22.290874,0.7791006,33.760475,279.9813,83.773735,95644.99,-0.69594866,-2.1956773
宁德市,2013-01-09,61.596924,72.06975,23.36952,29.511538,0.9801725,24.37418,276.95288,76.63673,95828.4,-1.2670319,-4.9852834
宁德市,2013-01-10,50.686825,55.768116,16.082117,20.891825,0.6217147,39.28785,276.38852,75.175255,96020.48,-3.2169814,-5.073333
宁德市,2013-01-11,50.768616,60.87866,11.015304,22.375635,0.5887008,42.03049,278.20993,84.68911,95979.57,-1.5092624,-3.6975632
宁德市,2013-01-12,46.064186,53.389713,9.684609,20.94821,0.6303409,39.025097,280.80618,83.20077,95790.945,-1.5774834,-3.3518028
宁德市,2013-01-13,29.462992,36.657143,10.200034,17.065601,0.46946833,41.04437,281.91498,86.606094,95316.06,0.5190564,-4.1011624
宁德市,2013-01-14,30.93286,42.147488,14.288841,22.12347,0.5815255,46.95584,280.15765,60.56592,95688.445,-1.328908,-5.2294226
宁德市,2013-01-15,55.96562,70.74467,12.937447,22.062056,0.62088114,51.230804,279.99625,69.61096,95924.61,-1.1339424,-1.0731776
宁德市,2013-01-16,63.503456,79.37679,13.190971,15.457558,0.6332788,57.966297,281.76474,75.19828,95917.875,-0.21565984,-2.272468
宁德市,2013-01-17,102.71372,100.39507,19.788858,29.523788,1.1095066,32.633476,277.2612,62.550964,96387.82,-1.7307577,-5.6785474
宁德市,2013-01-18,46.94153,49.998993,12.241168,20.404425,0.5828095,49.807587,275.18106,45.322002,96501.86,-2.6215513,-3.8856835
宁德市,2013-01-19,40.71806,55.20329,9.071506,25.620678,0.501964,45.237293,278.05258,85.01989,96179.414,-2.0730288,-2.0444636
宁德市,2013-01-20,24.048353,36.957195,5.202835,14.686835,0.5107073,60.158916,284.7758,88.6399,95972.4,-1.5956224,-0.38003892
宁德市,2013-01-21,35.050648,57.27298,7.6441607,18.305536,0.55081683,54.188995,287.1189,84.87331,95822.67,2.5017343,-0.30078658
宁德市,2013-01-22,79.31345,78.78565,15.863569,34.290752,0.9782483,26.95307,282.92105,91.78568,95870.04,-0.8207032,-1.4181767
宁德市,2013-01-23,68.97868,70.90898,17.996851,27.726435,1.0753177,38.822685,281.3664,84.647194,95752.44,-0.45916507,-0.5878764
宁德市,2013-01-24,74.97463,85.201454,18.055422,23.965183,1.0612196,36.243763,281.18512,90.0991,95633.266,0.32292932,-0.79814446
