city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
宁波市,2013-01-01,42.98502,69.6593,27.270578,48.189064,0.9936094,32.875954,278.269,43.498295,101072.39,3.1793163,-0.09017806
宁波市,2013-01-02,47.029274,80.71743,24.928898,41.30171,1.0797732,29.168762,278.8587,73.7838,101514.09,-0.19707888,-7.3240952
宁波市,2013-01-03,37.28521,48.712894,27.026789,33.49904,1.1717311,35.604942,275.52716,81.783676,102073.28,2.3861005,-9.125015
宁波市,2013-01-04,52.961708,55.877697,32.460075,44.975018,1.1808918,25.870478,276.00232,90.43385,101615.56,0.7568822,-6.9817076
宁波市,2013-01-05,60.503223,66.7204,38.82559,55.965393,1.3792367,16.133287,276.08646,92.17285,101203.13,2.045429,-6.172266
宁波市,2013-01-06,63.51228,71.71541,34.71064,54.951588,1.3335421,17.534168,276.4705,92.84541,101210.34,1.7267624,-6.0722528
宁波市,2013-01-07,95.04533,107.56944,55.34511,69.51637,1.6107622,8.380023,275.84973,92.39322,101102.8,2.982532,-4.555155
宁波市,2013-01-08,129.46503,149.88382,78.84227,78.56316,1.6843691,16.009623,276.78616,84.17773,101115.87,2.8268995,-5.9146967
宁波市,2013-01-09,101.96318,121.46708,57.945374,57.808117,1.3413273,29.543472,277.63306,78.839355,101348.82,0.86129695,-7.6706305
宁波市,2013-01-10,56.320213,74.22168,25.357143,39.31111,1.0139778,41.518448,277.0285,69.73794,101589.13,-1.2767365,-6.5688233
宁波市,2013-01-11,62.981792,84.366005,23.798403,47.68621,0.9389019,35.91183,279.19232,78.11125,101417.016,-2.1101668,-1.9936078
宁波市,2013-01-12,117.688126,156.5768,63.569572,93.11018,1.5445414,21.136648,279.6314,78.97002,101227.38,0.61959493,-3.391706
宁波市,2013-01-13,50.114494,58.523598,19.541996,53.401733,0.9884739,35.476486,280.22354,93.85755,100669.2,-0.86551255,-5.794891
宁波市,2013-01-14,98.623146,111.52142,37.817616,65.85242,1.484459,29.415518,278.17703,79.09604,101079.22,3.0278525,-6.6712685
宁波市,2013-01-15,86.42053,111.98659,20.668407,50.80832,1.3278646,38.962715,279.35696,81.30829,101214.22,-1.0820289,-0.33869624
宁波市,2013-01-16,151.0328,184.27254,41.658047,68.84688,1.6063166,25.518423,279.09595,81.91466,101289.31,2.5825036,-3.5532393
宁波市,2013-01-17,76.725204,102.27826,27.959347,38.997955,1.2792844,41.039837,276.12665,71.69647,101947.016,1.8375244,-8.742186
宁波市,2013-01-18,70.15842,89.69607,31.3078,55.19123,1.1554227,44.23002,274.5075,74.455605,102033.88,0.999637,-5.220134
宁波市,2013-01-19,58.536396,75.67603,16.19433,44.004898,0.91942227,43.902294,278.32526,79.81731,101606.03,-2.3896582,0.92943907
宁波市,2013-01-20,28.6538,43.97572,12.450869,36.639507,0.83644754,48.806072,284.73947,91.36097,101206.336,-3.6237693,3.5787067
宁波市,2013-01-21,85.1375,109.163284,33.24304,63.6686,1.4962662,20.449745,282.89993,88.75363,101013.984,3.929338,-0.9577397
宁波市,2013-01-22,81.33929,101.06856,42.6696,63.82081,2.0465379,11.031476,277.3714,81.31621,101255.29,3.7241817,-5.709855
宁波市,2013-01-23,107.056076,131.02704,43.983593,63.392437,1.7444918,23.769308,277.22235,72.43735,101066.77,3.7126522,-3.689729
宁波市,2013-01-24,140.28203,178.99765,47.4924,65.12522,1.9071871,32.140293,279.7336,68.419266,100867.48,2.9560006,-1.8007095
宁波市,2013-01-25,129.45967,165.24792,39.948936,60.326588,1.5791602,35.56991,277.35822,62.601093,101169.484,0.83913195,-3.1307378
宁波市,2013-01-26,104.168106,141.2781,37.37504,71.036835,1.3633168,40.85312,280.12247,56.51966,100977.836,1.8886464,-1.5745018
宁波市,2013-01-27,82.27898,108.17155,22.861706,52.837452,1.0824084,37.185223,278.29407,73.63694,101488.17,-1.053665,-4.1372876
宁波市,2013-01-28,44.03275,58.9802,14.583379,32.760372,0.7985322,53.05772,279.45245,62.592896,101465.98,-2.3748815,2.3475873
宁波市,2013-01-29,45.89997,67.36362,15.073262,47.577187,0.9269311,49.315773,283.05,68.32487,101197.56,0.0686589,2.9950852
