city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
安庆市,2013-01-01,74.04295,95.26302,40.479836,28.916426,1.0239314,30.004858,275.36295,64.93601,100381.52,3.2354393,-0.4513813
安庆市,2013-01-02,60.15062,80.5233,19.712107,24.80616,0.96478903,29.057997,271.74875,67.951866,101085.64,-5.682352,-10.321438
安庆市,2013-01-03,39.069862,45.482838,18.190182,16.88536,0.79164827,39.607918,268.8848,49.690166,101755.02,-3.6218953,-8.898616
安庆市,2013-01-04,60.89535,65.903786,19.688484,21.999542,0.9756055,28.247362,269.7532,63.54523,101165.32,-3.319206,-4.8041577
安庆市,2013-01-05,74.13672,77.93807,19.12282,24.214115,1.0955029,31.859179,271.63214,64.45599,100712.32,-2.5353673,-4.0458646
安庆市,2013-01-06,82.76292,90.04667,24.395006,29.235064,1.1144048,34.6816,272.78693,64.78452,100694.15,-2.6146836,-3.8310032
安庆市,2013-01-07,111.14506,124.31948,36.47417,34.48218,1.2511712,31.056345,274.20175,63.24429,100511.22,-1.3189449,-1.7074335
安庆市,2013-01-08,138.4822,150.8353,42.699158,36.82912,1.5045568,30.839315,275.1174,55.530434,100607.7,-2.344223,-3.70845
安庆市,2013-01-09,210.55438,216.51884,62.451824,54.506638,1.7829783,26.285946,274.72684,56.755497,100870.984,-3.6272635,-5.5773287
安庆市,2013-01-10,135.92879,139.37393,27.557755,39.230827,1.3179866,25.924475,275.1262,67.08829,100883.73,-4.249911,-2.9388616
安庆市,2013-01-11,118.29638,119.17908,22.038794,33.78126,1.1720872,30.177328,276.87015,64.42418,100685.9,-0.99079293,-0.5558946
安庆市,2013-01-12,152.69162,160.07202,28.371271,31.985632,1.3237362,34.861496,278.25464,59.952835,100518.0,-2.1741548,-2.7807808
安庆市,2013-01-13,136.82559,142.1404,25.983135,36.411625,1.4334999,34.5024,279.1252,69.932465,100098.734,-2.2172275,-2.2243187
安庆市,2013-01-14,100.7845,109.86007,25.842813,43.46886,1.6270864,32.995148,278.82516,69.287445,100477.195,-2.9637618,-2.8762398
安庆市,2013-01-15,115.44714,118.41114,26.280449,29.92886,1.3597568,34.338436,279.188,70.78307,100454.664,-1.216756,-1.4366534
安庆市,2013-01-16,154.13986,164.35109,32.228615,23.726742,1.5037259,40.682858,278.36777,64.2155,100732.72,-1.9460019,-3.9834087
安庆市,2013-01-17,155.87183,162.52553,26.213764,30.66677,1.3922513,27.7408,274.94202,62.847477,101486.45,-4.5575237,-6.682991
安庆市,2013-01-18,75.72659,78.40004,17.565424,28.827074,1.0040206,38.756104,274.11703,45.70128,101342.37,-2.6650388,-2.0934834
安庆市,2013-01-19,79.50769,86.07293,19.960789,26.82275,1.1059855,42.38906,277.71338,46.769947,100631.625,-1.9738563,-0.025421597
安庆市,2013-01-20,106.84078,120.336235,16.225882,28.421976,1.1724133,34.364666,280.0313,72.382614,100310.08,-0.8166785,0.058069367
安庆市,2013-01-21,117.1505,95.30445,28.329594,32.99064,1.4878038,23.878618,277.62497,84.29315,100544.78,-0.40351245,-3.155147
安庆市,2013-01-22,127.61435,119.0947,32.120857,27.731287,1.4722008,35.90626,275.81677,76.616295,100755.58,-1.8126155,-3.631443
安庆市,2013-01-23,121.429184,126.7562,31.064123,22.226786,1.3588139,51.775337,277.07336,70.7052,100402.695,1.0591065,0.6647317
安庆市,2013-01-24,132.16647,136.24168,34.470158,22.185879,1.2897817,41.812305,279.21735,57.42514,100319.3,1.3827194,-3.0347195
安庆市,2013-01-25,94.61679,95.430046,19.598495,31.043686,0.995484,43.23731,277.8932,50.13585,100468.54,0.285948,-0.17674133
安庆市,2013-01-26,124.927246,119.041275,32.914047,31.93433,1.1980082,40.526886,279.85223,49.283688,100348.1,0.22642328,-2.6583042
安庆市,2013-01-27,153.55283,137.77925,24.54107,38.00254,1.3160455,26.125803,278.7327,61.70913,100799.86,-2.6852884,-3.4840686
安庆市,2013-01-28,111.41282,105.646996,27.805326,39.663803,1.2686783,53.96757,280.60455,58.155857,100522.375,0.1910051,1.3501796
安庆市,2013-01-29,100.97954,105.19001,22.264393,24.716703,0.85531205,54.279007,283.86145,49.401184,100371.586,0.7160739,1.3464714
安庆市,2013-01-30,81.79392,95.01452,16.181957,21.68238,0.90255284,49.77611,284.01846,56.520115,100411.44,-1.8970221,-0.043138795
安庆市,2013-01-31,104.01355,94.394165,15.513593,21.458456,1.0324007,40.75329,285.66895,84.96789,100017.11,0.47264138,3.8488755
安庆市,2013-02-01,91.3899,95.70859,20.610188,25.986986,1.8876889,33.16996,284.39517,88.91414,100249.68,-0.28834903,-0.6472343
安庆市,2013-02-02,132.02829,134.50807,32.166943,40.439198,1.9757506,18.173143,280.11923,83.057495,100825.94,-5.5779204,-6.042552
安庆市,2013-02-03,87.135445,94.76044,20.291323,27.911535,1.0942318,23.77296,282.31012,88.15038,100034.27,-0.58764774,0.07795677
安庆市,2013-02-04,90.339005,88.567245,21.6227,22.300507,1.0630116,30.00744,282.35287,83.423515,100134.305,-3.2690926,-3.8229434
安庆市,2013-02-05,58.143078,53.8773,22.378607,28.319656,0.878983,21.009844,279.2345,90.412315,100079.52,-2.3098373,-3.9278476
安庆市,2013-02-06,56.187496,60.63199,16.727129,19.846283,0.8256164,30.68498,278.17728,77.27527,100280.0,-3.459023,-3.3598716
安庆市,2013-02-07,77.16133,75.13908,23.010614,22.66904,0.8131113,32.865993,274.0532,79.00602,100658.15,-7.710121,-10.761771
安庆市,2013-02-08,34.850677,37.132175,12.0655775,13.017421,0.51054466,50.544075,269.0898,63.113,101353.74,-4.454788,-7.4708157
安庆市,2013-02-09,52.83094,58.60628,14.741368,12.727893,0.53617436,52.85065,271.3263,71.7191,100970.4,-0.9766314,-1.4228982
安庆市,2013-02-10,104.39081,107.84657,18.209827,12.455599,0.638615,63.17365,275.25394,73.43736,100598.33,-2.1170733,-0.82311064
安庆市,2013-02-11,111.76629,108.516266,28.36467,24.420902,1.0422733,47.093895,276.02866,86.504654,100626.26,-4.791312,-5.479461
安庆市,2013-02-12,79.22545,81.135315,18.718971,11.73261,0.75251883,54.151592,277.6488,75.03784,100795.98,-1.7160043,-5.0414433
安庆市,2013-02-13,94.87268,95.185844,20.265846,15.552483,0.88308764,49.05844,277.5439,60.782005,100535.27,-2.8496287,-2.3925126
