city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
定西市,2013-01-01,44.89904,55.16495,7.20857,9.849074,1.6614435,63.139614,265.71313,38.94494,76910.12,0.96851987,-0.6432067
定西市,2013-01-02,46.603794,60.096058,20.856928,10.812827,2.015677,46.29512,261.57797,65.66574,77396.46,-2.1676168,0.40580514
定西市,2013-01-03,45.165,55.116474,19.953413,9.868632,0.9532237,40.011047,260.1967,73.46966,77500.95,-2.1194594,4.039266
定西市,2013-01-04,56.546852,71.8359,18.38754,9.110604,1.1038535,43.69758,262.31934,76.87893,76941.914,-1.3796393,1.6694062
定西市,2013-01-05,58.181385,71.31489,16.639278,10.21992,1.1757946,42.71524,263.26645,65.30086,77043.555,-0.15060957,-0.41463608
定西市,2013-01-06,73.777626,84.0994,18.112375,15.129771,1.2696215,34.62547,263.21786,73.37023,77137.96,-0.54960346,-0.560874
定西市,2013-01-07,77.0641,89.93891,12.652107,15.154519,1.1938863,50.38742,264.94226,55.55005,77121.086,0.13771367,-0.6086303
定西市,2013-01-08,48.37418,57.600994,11.930871,13.747457,1.0128076,46.229538,262.7104,54.81038,77382.02,-0.42554352,-0.521667
定西市,2013-01-09,52.10882,66.26976,10.212666,10.046864,1.0035675,54.579887,265.80725,50.852886,77147.47,0.24904233,2.0327756
定西市,2013-01-10,78.93428,90.56783,15.388239,13.626703,1.3826662,51.09022,267.22086,47.79844,77136.86,0.2420373,-0.00096056575
定西市,2013-01-11,50.539127,71.860214,11.484652,10.797874,1.0350654,52.684162,266.74408,28.418905,77453.03,0.61384004,0.25923374
定西市,2013-01-12,49.011932,64.05123,9.742155,10.579803,0.88105935,55.063873,269.21045,23.796942,77057.83,1.951595,-0.1759949
定西市,2013-01-13,52.968586,64.85267,11.4371805,11.400908,0.9573415,53.092106,270.2606,25.733944,76903.19,0.7810361,1.6315317
定西市,2013-01-14,83.30466,111.521706,18.44734,14.706157,1.2639362,45.729633,266.94586,50.183235,77219.484,-1.5597892,-1.387095
定西市,2013-01-15,36.29959,61.685333,9.470335,8.871272,0.9575783,49.795525,267.35114,44.99352,77429.03,-0.2515449,0.60688794
定西市,2013-01-16,44.556995,63.286312,12.493175,11.758926,1.0011373,47.24912,268.0013,47.257282,77645.836,-0.54691833,-0.13624911
定西市,2013-01-17,43.41817,60.45298,13.8122,8.715987,1.0184103,48.39814,268.87943,54.2845,77709.93,-1.684768,5.039898
定西市,2013-01-18,57.564022,74.90092,16.92403,9.068788,1.0315602,48.585285,272.5867,49.075382,77404.29,-0.09372434,2.3177555
定西市,2013-01-19,61.451397,77.54485,20.188044,10.697327,1.113957,41.768684,272.60098,62.01285,76703.086,-1.2455593,1.0871304
定西市,2013-01-20,31.813332,36.329655,10.124152,6.8066854,1.2592217,50.896183,262.88898,67.64516,77256.35,-0.8432975,-4.6059747
定西市,2013-01-21,31.952091,32.714214,6.504067,6.662792,0.87620264,54.59861,264.34518,61.49677,77417.56,-1.1120371,-0.52150327
定西市,2013-01-22,40.924274,41.9096,8.229136,9.703109,0.59336174,57.31901,267.19965,58.481586,77445.57,3.2007697,-1.3599584
定西市,2013-01-23,39.162983,44.474247,7.7935557,9.036074,0.58006907,58.84432,269.04117,27.895395,77327.21,2.9360456,-3.1355972
定西市,2013-01-24,22.23589,39.993927,5.4044747,5.915044,0.5750842,55.70291,266.9449,39.693584,77546.8,1.0441256,-0.6124085
定西市,2013-01-25,38.69605,50.893322,6.710618,8.826162,0.78098816,57.25357,268.20132,34.56458,77443.44,0.44521582,-1.2968143
定西市,2013-01-26,49.089077,57.135464,10.73107,13.381627,0.9107402,56.42566,269.0479,31.308437,77556.9,1.4850024,-1.3571697
定西市,2013-01-27,45.95489,52.277145,9.270189,9.293757,0.71708405,59.132004,271.05365,35.501324,77521.47,-0.28430507,2.4768069
定西市,2013-01-28,56.45026,64.89719,14.601418,13.576427,0.9968109,52.28725,271.55362,38.129547,77270.75,1.4042696,-1.2503055
定西市,2013-01-29,56.566563,68.16766,16.65911,14.235093,0.98771286,54.567146,271.89096,43.638256,77215.36,0.1389807,0.46908915
定西市,2013-01-30,46.152534,55.014305,10.297217,11.107854,0.85040784,51.807476,273.9161,26.567238,77091.1,1.9703611,2.182069
定西市,2013-01-31,39.688324,58.781414,10.686853,9.269955,0.5090123,50.848408,273.32147,29.99147,77170.23,0.20924404,-0.6868062
定西市,2013-02-01,22.1347,34.981636,7.146455,7.6351495,0.47637716,47.87583,274.11172,31.849337,77446.086,0.4517613,-0.35436386
定西市,2013-02-02,36.29522,48.663025,14.592873,8.664139,0.64428484,45.783245,271.83118,56.964397,77326.51,-2.9303012,4.8970666
定西市,2013-02-03,47.925472,55.446377,12.160045,9.172355,0.64419526,51.42641,274.77606,39.542583,76953.93,0.26127258,-1.3314478
定西市,2013-02-04,38.205887,47.34899,10.0158,8.404291,0.6709481,51.9746,275.12,47.03579,76978.3,-1.7403418,3.3390129
定西市,2013-02-05,24.12011,37.606636,7.9578958,8.476707,0.41444892,45.627735,274.77426,32.865738,77399.766,-0.60900813,-0.8330333
定西市,2013-02-06,31.503334,43.423443,11.082543,7.517699,0.4673142,47.918396,274.587,48.535835,77092.586,-1.6020768,1.6445861
定西市,2013-02-07,53.453068,72.72431,28.193783,11.482093,0.5033946,38.44878,267.96118,84.31604,77299.08,-2.7846587,1.5361936
定西市,2013-02-08,22.114206,27.57629,7.978736,4.5960326,0.28960904,66.456696,265.884,68.66979,77598.61,-0.28559652,-0.97907066
定西市,2013-02-09,33.42359,45.474514,7.073126,5.541375,0.51755583,72.974625,271.0397,37.851788,77186.71,2.294677,1.7334169
定西市,2013-02-10,46.292213,75.522316,9.868019,6.2249465,0.54518336,70.026,272.98395,34.75825,77000.195,-0.09646092,-0.008094226
定西市,2013-02-11,42.493793,82.714005,14.510609,6.559077,0.43246755,50.531273,266.77277,59.663055,77367.13,-2.2088933,-2.19661
定西市,2013-02-12,27.805058,40.652565,7.9236298,4.4532065,0.3885974,47.505367,266.3698,51.24942,77480.02,-1.9450204,2.3485608
定西市,2013-02-13,49.91194,67.61033,12.413322,5.7800674,0.67623764,51.932682,268.92807,52.871956,77013.13,-1.9421238,0.29044527
定西市,2013-02-14,30.134455,40.3054,10.226293,4.5532465,0.35057998,51.899567,266.89664,51.040485,77260.07,-2.3063045,-1.6333996
定西市,2013-02-15,31.859058,45.281067,8.554381,4.648473,0.41472164,51.48556,271.3145,42.351418,77071.625,-1.3968486,4.653015
定西市,2013-02-16,51.113445,70.78062,14.084691,6.0239906,0.51649255,51.388683,272.91245,48.571953,76745.58,-1.4901853,-1.2393208
定西市,2013-02-17,26.15245,43.695656,10.027281,4.5733523,0.38210568,51.4483,268.14346,45.35485,76766.77,-3.9727645,0.3960607
定西市,2013-02-18,32.514843,42.67717,13.847881,7.520398,0.34260327,50.08132,263.7327,80.6371,77057.016,-2.59971,-1.7444853
定西市,2013-02-19,52.944336,56.74679,8.47605,6.9160714,0.5361592,62.199432,269.15982,54.118565,77154.734,-0.9295814,1.9487065
定西市,2013-02-20,92.89002,97.3444,11.501079,8.49449,0.79428864,64.16291,268.82083,66.30525,77414.914,-1.0385319,0.36163494
定西市,2013-02-21,57.03808,64.06584,11.333906,8.082762,0.68609524,61.163742,268.06982,73.28942,77710.14,-0.09556892,-0.51563966
定西市,2013-02-22,25.162136,32.458412,7.470576,6.7814126,0.5687543,63.489147,272.0728,47.841568,77721.445,3.3710196,0.69726765
定西市,2013-02-23,42.69793,50.60545,10.212407,5.0186443,0.5224353,63.44325,274.39584,66.464905,77391.11,-1.7642195,3.9830072
定西市,2013-02-24,43.250076,59.517357,9.834352,4.553182,0.4839845,61.240177,277.81116,53.306118,77169.33,0.33666462,1.2737095
