city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
宜昌市,2013-01-01,47.717083,54.80405,35.537106,13.462169,0.47020844,57.22175,274.7762,37.789677,94742.88,1.7304926,-1.9120301
宜昌市,2013-01-02,69.34791,76.0573,34.62786,19.826586,0.6190912,31.511215,270.43732,62.783226,95441.98,-4.694752,-5.4408545
宜昌市,2013-01-03,59.410667,67.02936,35.59761,18.183813,0.54632956,31.04979,267.9094,44.33361,96123.05,-3.6133506,-2.8652723
宜昌市,2013-01-04,72.829506,83.14738,42.731552,17.737726,0.6514411,35.2713,267.9408,38.140007,95406.21,-2.318315,-0.45267797
宜昌市,2013-01-05,94.49466,107.571045,58.292336,18.415293,0.7982825,38.770134,270.1444,40.930172,95019.99,-1.2986199,-0.51432276
宜昌市,2013-01-06,126.16798,142.49287,72.830574,19.419554,0.9417478,38.405365,270.42078,47.318264,95057.625,-0.103115425,-0.96238565
宜昌市,2013-01-07,133.5734,149.67876,74.14038,17.39573,0.9411454,46.90137,272.17117,53.483112,94848.99,0.52018553,-0.64192134
宜昌市,2013-01-08,162.49007,181.00746,84.69469,19.946655,1.0947607,38.868855,273.30023,46.694042,95054.41,-0.89577734,-2.2482226
宜昌市,2013-01-09,188.68509,207.28036,67.650505,23.623423,1.2468289,31.31605,272.79416,42.873444,95302.49,-1.9467938,-1.8162726
宜昌市,2013-01-10,161.92738,182.19981,89.438255,25.221085,1.2145611,33.230385,273.77957,47.062027,95143.234,-0.26672506,0.86756086
宜昌市,2013-01-11,152.83472,172.14105,95.84933,19.135977,1.1546735,45.759327,276.91672,42.27224,95095.45,0.3570164,-0.9733691
宜昌市,2013-01-12,103.65436,116.764336,64.590866,16.62475,0.824894,43.477615,277.22336,43.002045,94934.84,-0.7658446,0.41594633
宜昌市,2013-01-13,132.635,149.80066,84.21507,19.022713,1.0301142,44.574375,278.4474,48.06547,94527.414,0.03249593,-0.250169
宜昌市,2013-01-14,166.35544,186.85214,87.08651,19.80772,1.2256685,43.549294,277.77057,50.71729,94874.64,-1.8072138,0.08788588
宜昌市,2013-01-15,179.19145,200.5263,88.035645,17.977734,1.3081028,47.01174,278.47025,53.23649,94947.266,-0.3725386,-0.68065524
宜昌市,2013-01-16,159.94566,178.43825,81.42547,19.300045,1.1507177,37.662693,277.7794,57.840134,95228.44,-1.299831,-0.94968325
宜昌市,2013-01-17,146.59651,161.24167,58.54036,25.634804,1.0608324,26.126001,274.24594,57.426773,95911.24,-3.0400767,-2.5031934
宜昌市,2013-01-18,119.8484,135.3535,62.72326,23.182472,0.9811429,29.135063,274.6134,56.809715,95547.47,-0.3549483,1.5734934
宜昌市,2013-01-19,125.17657,141.6803,62.587044,20.258957,0.9928916,34.700134,276.89804,67.35142,94694.22,-0.23093873,2.9577117
宜昌市,2013-01-20,137.12401,153.77527,62.144005,24.759207,1.074274,23.719,275.86563,92.34674,94685.71,-1.473309,-0.9693011
宜昌市,2013-01-21,158.3713,175.10335,64.019104,24.879389,1.1701589,32.54088,275.0801,75.2112,95129.19,-1.488383,-0.80828345
宜昌市,2013-01-22,193.89629,216.27016,81.80698,25.346117,1.3633391,31.944113,275.1727,73.03784,95213.55,-1.464607,0.46011937
宜昌市,2013-01-23,147.509,164.96414,72.52251,16.957548,1.1027881,45.674076,278.7534,62.18853,94757.695,1.0051986,1.5070232
宜昌市,2013-01-24,46.614784,52.360916,30.287094,11.138382,0.48118523,45.65705,279.01642,38.887444,94996.27,-1.2602113,-3.960456
宜昌市,2013-01-25,61.724876,71.814224,54.09617,17.847698,0.61945033,38.768597,279.12827,45.415108,94875.95,0.6061406,1.2437814
宜昌市,2013-01-26,73.47434,83.764534,47.293507,17.491276,0.6593509,41.71521,280.5772,40.446842,94881.46,-1.5720587,-2.0570128
宜昌市,2013-01-27,132.01276,148.86037,67.74121,24.546988,1.0295535,31.59395,278.79712,52.383793,95248.02,-0.8966347,0.49172714
宜昌市,2013-01-28,128.5287,145.31558,72.80904,19.345055,1.0213754,42.819633,279.9946,59.739006,94826.89,1.5657076,2.1718194
宜昌市,2013-01-29,94.452385,106.7041,52.956688,13.000991,0.79477584,55.460186,281.5081,63.306656,94763.375,0.09074572,0.94144475
宜昌市,2013-01-30,153.87602,174.44696,84.59566,21.993042,1.1813155,36.34661,280.57037,84.99689,94691.734,-0.6115096,1.2487379
宜昌市,2013-01-31,163.371,185.36687,96.3329,24.260635,1.278572,30.550175,281.21396,92.924194,94431.3,-0.66992784,0.38065234
宜昌市,2013-02-01,154.08267,172.2269,74.308586,18.911995,1.1317874,40.637093,281.6243,76.534584,94854.84,-1.968062,-0.44159186
宜昌市,2013-02-02,192.83884,209.97118,60.806458,23.434628,1.2533183,28.429518,277.31442,79.90594,95286.414,-1.9933281,-1.8231912
宜昌市,2013-02-03,139.66444,154.11337,58.232143,19.371017,1.0158371,39.086037,281.1371,83.80649,94351.305,0.0073932763,2.0765977
宜昌市,2013-02-04,143.58223,156.9824,58.678337,21.735682,0.9896788,31.682655,278.8158,84.22858,94615.086,-2.0513139,-1.5276688
宜昌市,2013-02-05,130.68477,142.96605,53.325527,24.128443,0.9300848,31.47752,278.56686,80.36732,94699.56,-1.3419663,-0.8109343
宜昌市,2013-02-06,149.05176,165.29227,74.94589,26.134361,1.0541645,25.806128,277.64105,77.7561,94679.16,-1.3007888,0.30843052
宜昌市,2013-02-07,96.88467,103.44384,38.46477,19.630142,0.7263652,33.591488,272.00092,82.85136,95154.06,-5.188295,-6.151536
宜昌市,2013-02-08,40.006916,44.555145,24.946745,13.110101,0.40858597,53.10541,267.68045,67.63372,95715.99,-2.6492815,-2.5774655
宜昌市,2013-02-09,71.10112,80.24746,50.442486,17.874557,0.5885538,48.418453,272.55106,65.70108,95179.695,0.37505487,1.3568252
宜昌市,2013-02-10,104.312904,116.49119,63.38821,19.905018,0.7478609,48.928474,273.93637,78.41989,94798.195,-0.20703714,0.6443787
宜昌市,2013-02-11,124.14134,135.99892,49.50601,19.446066,0.84735155,45.070644,272.72873,88.50898,95058.66,-1.7875404,-2.578496
宜昌市,2013-02-12,126.211494,137.36906,43.948708,18.013943,0.86164606,42.76432,275.06955,63.313255,95357.35,-1.5353957,-1.9146478
宜昌市,2013-02-13,127.03196,141.03757,65.15118,19.425842,0.86869544,40.57811,276.30298,57.280666,94826.484,-0.8608563,1.7846565
宜昌市,2013-02-14,137.61563,153.09634,71.05539,16.915154,0.9293109,48.253044,277.55704,63.332584,94651.64,-1.7792656,-0.939457
宜昌市,2013-02-15,137.85004,151.68109,59.13597,21.092003,0.9339859,37.0101,277.791,45.539658,95094.27,-2.4810104,-0.72298664
宜昌市,2013-02-16,146.6931,162.25212,59.45418,17.385178,0.9977029,49.432392,279.00867,46.877163,94394.75,-0.7446097,3.3331816
宜昌市,2013-02-17,120.51251,133.3868,53.183712,14.407456,0.8379997,56.59421,280.60718,58.16864,94085.29,-2.0106223,-1.1026039
宜昌市,2013-02-18,141.29245,150.92146,48.98959,23.903116,0.9653065,29.365982,275.08557,83.25248,94483.734,-3.7652013,-5.2943945
宜昌市,2013-02-19,59.205963,65.13946,30.468092,15.6849165,0.50825727,47.98401,272.08276,83.5534,95204.59,-2.391731,-2.2324944
宜昌市,2013-02-20,68.34428,77.33394,50.068573,16.179075,0.5639282,55.49127,274.82318,79.8567,95164.78,-0.96182805,0.45605057
宜昌市,2013-02-21,80.01719,90.36988,60.902782,15.12831,0.626388,56.902954,276.36032,78.381615,95234.51,-1.0230678,-1.391551
宜昌市,2013-02-22,74.59478,82.76674,41.153534,11.17459,0.5358386,58.11059,279.19577,50.597336,95400.06,-0.494265,-0.63283235
宜昌市,2013-02-23,102.75176,114.46232,57.852474,14.41368,0.6861401,59.82773,281.11743,48.92821,95220.68,-0.9700324,2.4374597
宜昌市,2013-02-24,96.00024,107.89812,50.38756,14.327822,0.70048714,62.34589,282.5762,67.50193,94697.84,-1.0684805,1.9453876
宜昌市,2013-02-25,117.40472,132.55428,75.07806,22.038057,0.8404087,42.35794,281.84024,87.173584,94636.62,-1.1320523,-0.17849702
宜昌市,2013-02-26,140.15324,154.70567,62.242676,16.856087,0.9494604,49.5783,282.7868,80.36828,94587.99,-2.1615462,-1.0766078
宜昌市,2013-02-27,166.68353,183.66711,57.75638,14.403907,1.0890026,59.38937,283.24902,70.03893,94433.47,-1.4768606,0.7976924
宜昌市,2013-02-28,146.40489,162.27379,59.01324,16.6265,0.9956762,52.302063,284.48865,83.64235,93831.01,-0.45826775,1.1647801
宜昌市,2013-03-01,44.334618,47.432167,24.819084,11.313543,0.43777448,56.287216,277.51428,41.154026,94980.68,-5.132446,-7.507689
宜昌市,2013-03-02,32.627064,37.36304,30.055887,14.20467,0.38923317,54.38106,275.69272,25.45472,95672.92,-2.5140812,-2.2562394
宜昌市,2013-03-03,39.936855,46.159916,40.090366,13.557387,0.39829922,52.251858,282.27798,27.091177,95313.305,1.9863853,-0.80787
宜昌市,2013-03-04,31.822826,36.19843,24.868076,10.578116,0.33561814,52.96607,286.42603,25.084887,95120.75,1.3234766,0.13458894
宜昌市,2013-03-05,43.88272,50.51863,36.92198,13.130107,0.42545503,59.54755,287.66217,35.03517,94837.695,1.7095325,3.1882277
宜昌市,2013-03-06,41.947956,47.73241,28.364357,9.448814,0.40643424,69.98012,289.7654,38.154537,94598.766,2.7880743,-0.16019441
宜昌市,2013-03-07,34.087162,37.20578,19.082891,7.8397145,0.27630967,62.405376,290.56146,21.45399,94646.734,2.5990198,-0.60255736
宜昌市,2013-03-08,31.679655,35.514072,24.138725,8.89347,0.3233804,75.81054,294.49585,18.36523,94143.78,4.506619,1.1106176
宜昌市,2013-03-09,51.693188,58.280785,29.042017,9.020347,0.4459353,89.24981,294.38394,39.645096,93722.34,2.991892,0.74177104
宜昌市,2013-03-10,23.863842,25.867786,19.59571,10.699589,0.30510736,59.63259,282.19986,30.433754,94801.22,-5.6530333,-6.5092263
宜昌市,2013-03-11,48.02614,56.15488,45.028324,17.870544,0.49068627,46.53952,281.56268,52.52403,94529.19,-2.1389654,0.95562685
宜昌市,2013-03-12,93.13574,107.11183,75.67633,23.629696,0.73695916,45.46944,284.4775,79.963936,93937.7,-0.42291394,0.4339807
宜昌市,2013-03-13,67.17756,72.63063,37.322136,15.471089,0.49144724,43.551636,282.99136,51.387627,94813.516,-3.6732242,-3.9930015
宜昌市,2013-03-14,49.53442,56.618824,40.889347,16.769852,0.4699946,43.188343,279.26828,60.3991,95171.484,-3.2150977,-0.07038098
宜昌市,2013-03-15,67.61935,77.80786,53.16049,16.723701,0.5682782,56.40801,283.60297,57.231064,94710.414,-0.9204793,2.5432918
宜昌市,2013-03-16,101.77943,116.86412,66.926674,24.616259,0.7707592,39.277718,284.3883,82.77032,94423.27,-2.039346,0.21870856
宜昌市,2013-03-17,98.34286,108.120094,56.052326,19.204945,0.69542915,44.643684,284.0238,81.691536,94054.82,-0.6178472,-2.050941
宜昌市,2013-03-18,45.33326,49.807243,26.856058,9.676335,0.36592275,60.60324,289.76334,34.728058,93931.05,3.628122,0.0035735592
宜昌市,2013-03-19,54.943462,61.20378,33.98763,11.114829,0.46201053,69.45155,287.97772,65.772995,93560.81,0.71712554,1.0865632
宜昌市,2013-03-20,58.581818,63.98086,34.406822,14.531134,0.4538609,50.929157,284.705,52.17743,94473.18,-2.6850753,-3.569247
宜昌市,2013-03-21,76.51409,85.36874,50.147793,17.723146,0.57071537,50.34301,283.88828,55.2716,94054.484,-0.17495964,2.777324
宜昌市,2013-03-22,77.90907,85.76358,48.599335,16.662455,0.5984614,58.303352,287.44257,58.779762,93906.64,-2.1137788,-2.914974
宜昌市,2013-03-23,60.89111,66.91853,42.322712,15.076361,0.48734528,48.789112,283.64032,74.90976,94071.805,-0.5935241,-1.6395413
宜昌市,2013-03-24,55.808304,61.52853,41.956306,15.186553,0.48950988,52.416134,285.09732,60.846405,94250.19,-3.1102288,-2.7656147
宜昌市,2013-03-25,76.44866,84.226135,53.110962,23.998165,0.6303427,26.65184,279.8486,79.08793,94312.086,-3.0825698,-2.088786
宜昌市,2013-03-26,62.41373,68.367546,38.81765,15.001155,0.503606,53.87681,281.85507,69.477394,94405.01,-1.1882905,-1.7652544
宜昌市,2013-03-27,54.673313,61.903145,45.166904,13.219621,0.47600815,72.50114,286.8414,51.255016,94114.45,1.5107055,2.0928805
宜昌市,2013-03-28,57.52515,65.08275,41.332767,14.438233,0.50936675,71.55761,288.7424,49.659138,94103.0,-0.99429303,-0.6045606
宜昌市,2013-03-29,89.90342,100.01861,56.845848,17.348816,0.6595664,56.845875,286.75705,66.59414,94362.38,-1.6395067,0.7172681
