city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
宝鸡市,2013-01-01,36.428288,56.078358,16.763754,12.346328,0.6920458,48.082962,270.2255,33.60527,86477.9,0.30988383,-0.5768622
宝鸡市,2013-01-02,49.16266,82.55964,42.049404,20.287046,1.1455785,32.33501,264.90796,56.260902,87232.24,-4.293588,-0.26387095
宝鸡市,2013-01-03,34.864532,50.577053,33.251427,16.607141,1.0331652,36.289078,262.36386,52.40625,87570.164,-2.9426007,1.3730314
宝鸡市,2013-01-04,66.9219,84.99523,43.42347,19.729013,1.083048,36.864357,263.80728,57.04778,86807.734,-2.2719605,2.6177337
宝鸡市,2013-01-05,91.86505,109.76183,41.329224,21.947718,1.0591544,37.246887,266.26456,47.84614,86701.02,-0.66141707,-0.5492856
宝鸡市,2013-01-06,111.51076,122.1333,38.934795,21.575869,1.077547,36.490032,267.16724,47.518806,86736.92,-0.008805158,-0.345145
宝鸡市,2013-01-07,62.98996,73.35516,20.3894,16.227598,0.91723263,45.321507,269.1898,43.310005,86646.73,0.19131298,-2.3662536
宝鸡市,2013-01-08,47.900635,51.266304,15.092018,14.219219,0.7161394,36.27889,267.91095,34.348007,86983.52,-0.56160295,-3.613026
宝鸡市,2013-01-09,63.93533,72.57598,27.539454,19.04672,1.2091225,42.61217,268.5648,41.881264,86840.21,-0.6880614,3.1808681
宝鸡市,2013-01-10,127.353004,129.59135,38.30755,20.364685,1.4082556,46.409008,271.01715,62.817493,86665.45,1.453131,3.0173843
宝鸡市,2013-01-11,54.092743,69.52932,18.856358,12.609561,0.77937007,48.86821,271.68576,32.590893,86978.766,0.33273882,-1.2970542
宝鸡市,2013-01-12,79.030045,106.26111,26.147684,15.354077,1.1764293,51.499912,273.19522,41.834576,86504.37,2.0082428,4.2553525
宝鸡市,2013-01-13,121.65945,142.59804,34.162678,17.046888,1.4527379,50.481964,273.7237,37.679905,86357.12,-0.19495718,0.58306265
宝鸡市,2013-01-14,148.06143,171.74252,42.442932,26.929132,1.7632643,40.752327,273.03455,46.06146,86661.73,-1.1353254,0.8795206
宝鸡市,2013-01-15,27.63362,54.88442,16.96123,12.9516735,0.68488437,46.088165,271.43576,34.97565,86944.15,-0.40801212,-1.6953049
宝鸡市,2013-01-16,41.79652,56.94239,20.821722,14.734298,0.751392,47.833736,272.89368,34.95461,87142.94,-1.2960091,-0.78921205
宝鸡市,2013-01-17,71.28279,99.017395,43.969105,26.4986,1.7029915,36.349293,270.7598,42.686295,87500.48,-3.0386088,2.0174565
宝鸡市,2013-01-18,130.34766,160.78343,48.648876,30.633032,1.9817079,41.090347,273.10217,67.78342,86939.39,0.27368155,4.8082533
宝鸡市,2013-01-19,175.24336,206.12778,53.181587,37.985584,2.6756012,42.72224,273.5792,71.50986,86223.06,-1.8879118,3.716231
宝鸡市,2013-01-20,72.87032,86.50916,25.923601,17.727333,0.9706439,41.357304,269.668,60.08638,86699.38,-0.33765218,-4.41185
宝鸡市,2013-01-21,18.683372,23.541235,13.371355,10.253874,0.6059331,47.914684,269.3738,50.55417,86987.48,-0.14129783,-2.568934
宝鸡市,2013-01-22,33.448116,39.555958,17.597662,12.937002,0.6887994,49.054676,270.8333,62.221924,86947.53,0.7060227,-0.6443346
宝鸡市,2013-01-23,34.965343,42.99098,12.092172,11.04003,0.645925,54.39561,274.30902,36.830353,86641.836,3.7380552,-1.897301
宝鸡市,2013-01-24,10.252001,17.100574,9.66852,8.032467,0.4397215,62.17052,270.48615,30.866972,87082.49,0.8018566,-2.582485
宝鸡市,2013-01-25,24.744337,30.26132,13.060462,11.555863,0.65596986,54.234394,274.78818,23.600164,86783.46,1.5655464,-1.7050332
宝鸡市,2013-01-26,29.08173,39.90114,15.54118,14.718254,0.6772989,50.551216,274.92957,23.08338,86925.805,0.25912604,-2.181148
宝鸡市,2013-01-27,49.57862,64.81523,23.685669,20.631332,0.98337454,51.702106,276.0933,25.771658,86975.93,-0.22237836,1.4103492
宝鸡市,2013-01-28,86.903175,103.09084,33.98047,17.939516,1.218603,53.980618,276.65292,56.333977,86587.32,1.2227917,1.9933422
宝鸡市,2013-01-29,123.280426,136.79797,46.08319,22.110096,1.6096567,56.75048,277.39877,56.40891,86565.04,-0.24892125,2.1861708
宝鸡市,2013-01-30,126.0696,144.30762,41.132275,25.678453,1.342919,52.542484,277.2055,56.06764,86459.74,-0.021853525,2.5612752
宝鸡市,2013-01-31,70.31795,81.21455,22.122795,16.211548,0.97392625,51.74202,277.6409,52.59245,86405.805,-0.047421515,-0.75733143
宝鸡市,2013-02-01,118.98122,135.38425,31.321505,25.959702,1.3514038,47.636513,277.29083,51.773346,86782.46,-1.8189201,1.3726189
宝鸡市,2013-02-02,115.48354,132.05597,41.823994,29.003668,1.5985,37.272556,275.11304,61.531906,86904.625,-2.6460958,1.6151093
宝鸡市,2013-02-03,102.70944,103.94434,34.797413,18.182856,1.4639243,46.99311,277.13666,69.52752,86140.805,0.42576966,1.7038689
宝鸡市,2013-02-04,51.809734,52.711895,23.301296,16.531452,1.0875667,43.88468,276.27902,58.34485,86401.984,-3.5661159,0.7610715
宝鸡市,2013-02-05,47.648224,52.77168,23.600729,15.97871,0.9429505,43.773315,277.08093,55.520226,86659.51,0.01131136,-0.7274661
宝鸡市,2013-02-06,105.41353,118.52541,36.381996,25.403742,1.3130566,40.466316,276.30417,47.919304,86519.98,-2.2278879,1.1676536
宝鸡市,2013-02-07,115.7555,125.74459,55.820953,30.44042,2.1911476,28.020105,269.78458,72.78732,86936.02,-4.879486,-0.21323644
宝鸡市,2013-02-08,72.424416,71.258965,33.374924,20.131607,1.2531027,39.92648,268.39337,74.986984,87194.15,-0.34099954,0.44275865
宝鸡市,2013-02-09,75.676445,76.818665,20.225641,11.153376,0.7330623,63.160175,273.17563,50.601585,86673.65,2.517971,2.5061686
宝鸡市,2013-02-10,170.61708,176.55687,29.975765,14.045259,1.3725593,67.766685,274.742,58.90853,86362.45,-0.072467245,2.501695
宝鸡市,2013-02-11,117.504654,115.34315,35.442513,16.671131,1.7278047,45.112316,270.2891,70.38552,86889.2,-1.9884104,-1.8092718
宝鸡市,2013-02-12,33.245453,37.791943,16.413223,9.733238,0.82083064,44.933533,270.50452,33.38007,87142.555,-1.0636142,-0.520282
宝鸡市,2013-02-13,56.745502,62.41067,30.617874,13.081426,1.1655906,55.978046,272.3999,47.57946,86529.414,-0.8950339,1.9414382
宝鸡市,2013-02-14,34.764576,37.32968,18.384464,10.488334,0.689977,47.68025,272.21802,40.85125,86718.76,-1.8205225,-4.060388
宝鸡市,2013-02-15,37.124035,48.80549,23.414751,12.0019655,1.1520793,53.02523,273.7743,43.294678,86643.9,0.098244965,4.480018
宝鸡市,2013-02-16,105.01721,114.21871,30.806087,12.595873,1.4474323,59.075882,277.00626,61.33222,86028.77,0.38943523,3.0071573
宝鸡市,2013-02-17,66.44465,75.91404,30.88553,17.092503,0.7919639,41.301224,274.29553,43.60586,86198.3,-3.1548066,-3.277943
宝鸡市,2013-02-18,48.66935,56.307823,24.638206,15.142718,0.72876835,42.30074,268.95316,73.74767,86598.266,-3.9649453,-3.1720579
宝鸡市,2013-02-19,60.88627,65.368286,26.519255,16.175186,0.7886679,44.43625,269.78262,76.23989,86777.086,-1.3548409,2.6133955
宝鸡市,2013-02-20,54.452713,61.199978,24.03277,14.517491,0.6545046,53.470444,272.13446,66.41836,86926.086,0.067329586,-0.21977934
宝鸡市,2013-02-21,59.808716,70.557106,23.231531,17.930262,0.6787163,51.025055,272.28015,62.670597,87162.516,-0.39042094,-1.1590995
宝鸡市,2013-02-22,43.80314,54.38978,15.866009,16.12038,0.6701514,60.962025,276.23843,53.808044,87125.664,0.7139216,2.0414007
宝鸡市,2013-02-23,84.67002,101.68816,27.414474,26.168573,1.0047197,59.731125,278.24927,57.361996,86876.71,-1.2353748,3.8629432
宝鸡市,2013-02-24,134.31186,155.56343,35.669025,27.379347,1.3906561,56.70125,279.1032,61.215706,86461.36,-1.5369844,3.6226377
