city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
宣城市,2013-01-01,55.953712,81.59708,27.020914,32.162693,1.1495007,32.272324,275.76324,63.43904,99933.38,3.5978756,1.0402175
宣城市,2013-01-02,69.08471,99.88581,25.089645,35.169685,1.2829857,30.311192,272.3111,79.35204,100654.82,-2.8134904,-6.638385
宣城市,2013-01-03,42.184002,56.175785,23.901855,24.39665,1.0110885,38.55338,268.26666,73.03886,101277.57,0.17401224,-5.8567657
宣城市,2013-01-04,61.434677,68.99053,23.763487,33.93555,1.1614733,25.743773,269.24454,76.74218,100701.51,-1.0729753,-3.2668698
宣城市,2013-01-05,88.880264,84.03947,31.730045,42.126347,1.3569106,24.81335,270.77353,80.14001,100245.15,-0.7867237,-2.6618977
宣城市,2013-01-06,97.9308,100.911095,40.687046,52.22286,1.3936297,26.568472,271.48715,81.42219,100227.53,-0.91779685,-2.4135563
宣城市,2013-01-07,119.389114,121.660385,45.723015,56.192837,1.6693708,18.367943,271.72397,83.88881,100071.54,-0.49320844,-0.29014593
宣城市,2013-01-08,142.47502,140.07797,52.773727,57.74888,1.7022085,29.556105,272.07764,74.319496,100157.016,-0.4423057,-1.3435206
宣城市,2013-01-09,180.47662,190.11198,58.332664,66.17469,1.9349306,27.186306,273.11926,71.1262,100406.9,-1.4266205,-3.825624
宣城市,2013-01-10,95.4391,107.023476,28.060507,51.735054,1.2343397,27.918417,274.08054,71.44354,100486.94,-4.4742055,-1.0045251
宣城市,2013-01-11,81.21849,96.121864,18.675964,47.489372,1.0400457,27.918362,276.3574,60.528816,100257.81,-2.2282627,3.0034993
宣城市,2013-01-12,161.64326,200.25519,36.541004,62.760677,1.8090528,29.179834,277.6831,67.93584,100097.45,-0.5414725,-0.5606564
宣城市,2013-01-13,117.60888,110.83151,29.352058,71.52453,1.6959732,21.272749,277.64053,90.61011,99671.22,-2.0072143,-0.5734585
宣城市,2013-01-14,100.585365,104.051865,27.55584,47.11201,1.4757737,30.72748,275.6738,95.2454,100064.07,-0.4336401,-0.7260211
宣城市,2013-01-15,111.00697,123.56466,18.791628,38.47238,1.2045548,39.76287,278.48743,67.085526,100023.18,-1.1266803,1.0801113
宣城市,2013-01-16,161.00977,168.96455,35.309544,43.56538,1.6610729,39.441414,276.95807,69.50927,100274.0,0.7174584,-2.4661682
宣城市,2013-01-17,110.13432,127.62894,25.298538,35.238373,1.3423558,33.01486,273.44388,68.91215,101020.305,-1.6855661,-5.3791223
宣城市,2013-01-18,65.47152,79.99102,18.004213,45.081127,0.9521175,38.732075,272.86154,51.240974,100905.15,-1.7958181,-0.9638124
宣城市,2013-01-19,81.60444,96.657616,18.856369,50.27226,1.0151887,41.741817,278.07062,46.75803,100270.234,-3.4148006,3.071971
宣城市,2013-01-20,67.85651,81.88623,11.418499,39.353004,1.0117598,37.81953,282.93274,73.448944,99928.016,-1.5845628,3.0503604
宣城市,2013-01-21,106.68144,107.602844,27.805418,53.15245,1.961828,10.587757,277.28677,92.196815,100052.19,4.0218987,-1.5772867
宣城市,2013-01-22,111.464905,110.906555,32.92557,49.14904,1.9222039,13.955936,274.73715,84.9691,100264.734,1.2724085,-3.3113647
宣城市,2013-01-23,97.78282,108.344795,28.456997,31.916561,1.4556769,44.109333,276.11172,70.19899,99952.53,1.5651649,-0.06534229
宣城市,2013-01-24,135.89478,155.35498,36.021454,35.03688,1.7343102,39.483734,278.15253,66.633865,99829.79,3.3884952,-1.1110952
宣城市,2013-01-25,119.580605,155.50223,24.624405,40.758003,1.6665403,45.907696,277.02008,53.479763,100017.695,0.41524786,-0.20634109
宣城市,2013-01-26,139.81773,156.53438,33.539455,48.06027,1.6081464,44.344532,278.73535,54.465485,99887.11,2.3972473,-0.72712624
宣城市,2013-01-27,94.941666,105.1271,23.812363,42.541927,1.0498232,41.929768,277.54633,71.56122,100361.71,-2.504173,-1.4689946
宣城市,2013-01-28,84.79,99.700836,18.955336,42.865158,1.0396903,49.009407,280.83264,53.693184,100128.94,-1.443451,4.190386
宣城市,2013-01-29,81.10783,103.38476,15.076607,30.532032,1.0686022,50.58781,283.6282,47.69455,99961.68,0.96037376,1.7283282
宣城市,2013-01-30,67.14782,84.94433,15.919502,28.933214,0.82936186,58.690815,284.6222,48.480484,100082.22,-3.7111359,4.242538
宣城市,2013-01-31,66.60064,71.34373,11.780287,23.44919,0.7787415,53.26567,287.46432,66.076744,99685.64,-0.88866353,6.463413
宣城市,2013-02-01,79.02819,84.7725,17.406654,41.43246,1.9720718,26.65801,284.3656,91.44169,99823.66,3.513231,0.85087955
宣城市,2013-02-02,105.893074,106.654495,27.27029,44.751553,1.9175235,23.641087,278.9508,85.46317,100480.305,-4.6726265,-2.6173513
宣城市,2013-02-03,39.470856,49.281082,11.585325,18.444765,0.6681779,46.12288,284.1346,78.91092,99673.54,-3.038071,5.183086
宣城市,2013-02-04,67.73156,73.93602,19.373604,29.333391,1.2589391,25.891775,282.23587,88.276024,99789.46,-0.41142437,-1.612466
宣城市,2013-02-05,40.36855,39.47651,15.519706,31.604343,1.0489997,20.682276,279.1566,95.39642,99604.41,-1.2611715,-1.112131
宣城市,2013-02-06,47.876118,48.154415,12.695192,20.084883,0.87740964,32.823467,277.1305,81.31608,99879.31,-1.5007935,-2.327764
宣城市,2013-02-07,80.22745,79.084236,20.751368,22.505816,1.1038951,37.839676,273.56702,86.4555,100275.06,-4.9743986,-7.1483297
宣城市,2013-02-08,31.147041,35.21257,10.888676,11.573405,0.61037683,56.675774,268.69604,79.01603,100871.29,-1.9922647,-5.662588
宣城市,2013-02-09,53.88095,54.462284,11.331274,9.159187,0.7036578,58.70171,270.35617,82.562805,100524.14,-1.1398985,-0.3948313
宣城市,2013-02-10,90.92628,83.354546,9.850303,8.553063,0.6171415,65.55359,274.40033,75.794075,100203.91,-2.576009,0.2780163
宣城市,2013-02-11,67.022255,64.762856,16.368818,10.832055,0.8299874,69.44409,276.86444,83.85478,100234.484,-6.016508,-0.13626085
宣城市,2013-02-12,49.08124,48.564552,14.14403,11.54554,0.8502063,57.23567,276.78638,86.74092,100300.25,-0.5471004,-3.1151872
宣城市,2013-02-13,66.06737,68.62602,15.423077,11.451429,0.8567688,68.582085,277.22922,69.556885,100129.914,-3.3119829,1.1013268
宣城市,2013-02-14,72.097565,69.682556,11.379646,15.712815,0.9847298,42.138607,278.14975,90.63646,99754.516,-0.9997332,0.70884144
宣城市,2013-02-15,84.994576,90.3331,21.766665,19.070242,1.1863588,53.426506,276.67142,87.61593,100171.56,-1.1720462,-3.308914
宣城市,2013-02-16,79.44664,87.11592,16.46088,15.083215,0.91633266,57.56435,279.15933,68.03785,99906.99,-6.380539,4.0300984
