city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
巴彦淖尔市,2013-01-01,2.8311934,3.371784,2.8308792,1.662543,0.19908097,44.954945,250.17622,65.98759,87636.27,1.368375,-3.3479006
巴彦淖尔市,2013-01-02,3.8376076,4.6830525,3.5117326,2.2497191,0.22507147,51.19612,246.5062,59.720974,88758.375,0.34765705,-2.5216827
巴彦淖尔市,2013-01-03,11.849514,14.296848,12.743144,6.116285,0.30392602,59.762806,250.43175,48.948666,88683.664,-0.117722586,1.0715815
巴彦淖尔市,2013-01-04,30.608465,36.3557,33.415936,15.859916,0.46504027,48.374355,253.45831,42.6338,87924.3,0.89129144,0.71663076
巴彦淖尔市,2013-01-05,18.812792,21.41381,15.634095,7.2757955,0.30581084,54.49652,255.05107,32.7039,87774.94,2.2286386,0.29099762
巴彦淖尔市,2013-01-06,23.826197,27.043385,19.15137,7.7087126,0.31760374,44.163536,256.95908,39.712303,87558.94,4.3036613,1.6469243
巴彦淖尔市,2013-01-07,9.0286455,10.35388,6.9601245,3.2134705,0.21532856,44.948452,255.84805,61.149242,87612.16,4.5023065,-1.2681651
巴彦淖尔市,2013-01-08,5.3001494,6.455238,4.417396,2.3859148,0.21479815,54.9879,253.23894,62.12079,88064.484,1.9690338,-1.4075493
巴彦淖尔市,2013-01-09,13.528188,16.252626,15.94478,6.990884,0.2913297,51.47686,256.43677,58.641193,87694.76,2.3098984,2.036463
巴彦淖尔市,2013-01-10,30.974272,37.307518,38.95033,15.032387,0.4418678,37.495575,259.0999,58.436413,87333.19,5.3340507,2.519854
巴彦淖尔市,2013-01-11,6.6855617,7.754284,5.4603734,3.0149052,0.20141631,47.55509,259.94592,69.38911,87578.266,5.910729,1.4155178
巴彦淖尔市,2013-01-12,17.064224,21.037878,23.391495,9.433983,0.32173654,44.957603,262.39822,52.996258,87199.69,4.5063567,1.9404848
巴彦淖尔市,2013-01-13,23.499022,27.834227,25.377136,11.593617,0.36397186,47.07717,263.21237,45.64515,87304.055,1.669796,1.9523543
巴彦淖尔市,2013-01-14,32.87455,39.320927,40.356743,15.766442,0.4617053,37.740192,262.5754,51.40788,87445.55,5.077516,2.8585188
巴彦淖尔市,2013-01-15,4.583566,5.4188733,4.213645,2.2428265,0.21873768,45.86647,261.76056,70.72987,87715.69,4.8382506,-1.0053908
巴彦淖尔市,2013-01-16,4.137112,5.019698,4.0828815,2.394927,0.2239703,49.95003,259.41064,69.00413,88309.56,-0.26906055,-1.8616738
巴彦淖尔市,2013-01-17,26.183096,31.720932,31.754791,15.695654,0.43663487,42.688904,262.70932,52.971264,88357.73,-0.038051445,4.1634617
巴彦淖尔市,2013-01-18,48.361378,57.17014,46.70361,21.610418,0.5990144,29.295929,263.9588,49.795845,87878.875,1.3998319,1.8063729
巴彦淖尔市,2013-01-19,56.664124,65.71368,50.120667,22.575678,0.60482883,29.828733,263.39954,49.808884,87430.45,-1.7726011,0.95121264
巴彦淖尔市,2013-01-20,25.027514,28.835485,18.19313,8.44859,0.34902468,40.12359,262.46912,66.657364,87716.36,2.341847,-1.4847697
巴彦淖尔市,2013-01-21,7.381901,8.687118,6.3951087,3.4026935,0.21725626,52.089325,262.18277,53.78183,88020.195,0.26373327,-0.45396203
