city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
巴音郭愣蒙古自治州,2013-01-01,3.6345756,3.9834988,1.4574888,0.6164506,0.1739552,60.568417,262.54544,44.996758,79012.41,2.2185783,0.7075578
巴音郭愣蒙古自治州,2013-01-02,4.534653,4.9281735,1.8177301,0.80925566,0.17901325,55.648235,260.7021,58.575497,79525.24,2.1185226,-0.064606145
巴音郭愣蒙古自治州,2013-01-03,3.438637,3.7208214,1.3719014,0.6868166,0.16731149,54.46967,258.88736,54.838444,79459.55,1.5386969,1.0797002
巴音郭愣蒙古自治州,2013-01-04,3.8621738,4.1615996,1.4232008,0.66642994,0.16561238,57.675007,258.94916,54.65104,79228.336,2.822513,0.6222571
巴音郭愣蒙古自治州,2013-01-05,5.006431,5.349936,1.5632322,0.6257331,0.17484918,56.609528,258.48297,56.953186,79272.15,3.074551,0.57086957
巴音郭愣蒙古自治州,2013-01-06,5.0021443,5.3360577,1.4851846,0.4985918,0.1686471,58.089367,258.97345,51.166122,79374.586,1.9486452,0.2819988
巴音郭愣蒙古自治州,2013-01-07,5.308351,5.6553426,1.5094591,0.47378734,0.1713815,61.88311,259.37476,50.181362,79392.92,1.3737011,0.36727756
巴音郭愣蒙古自治州,2013-01-08,5.7901955,6.1647143,1.6478007,0.530606,0.17990476,64.706474,259.5183,47.97942,79430.305,1.2297285,0.7793212
巴音郭愣蒙古自治州,2013-01-09,5.645365,6.0362325,1.4231719,0.4811248,0.1712794,60.18698,260.3312,47.766994,79275.96,3.8994122,0.46103328
巴音郭愣蒙古自治州,2013-01-10,5.5078845,5.8561187,1.309805,0.5170685,0.17186098,56.66148,261.16983,49.218807,79452.65,2.3876882,0.2825334
巴音郭愣蒙古自治州,2013-01-11,5.1745815,5.492561,1.252658,0.50980103,0.17362504,59.447723,261.77237,44.207645,79353.02,3.4709494,0.8418806
巴音郭愣蒙古自治州,2013-01-12,4.969745,5.3175654,1.221385,0.5161058,0.17819197,58.76946,264.35483,39.60285,78837.27,2.625462,0.4927926
巴音郭愣蒙古自治州,2013-01-13,5.592391,6.0301986,1.4093716,0.74445415,0.18753049,56.842762,263.85425,55.360874,79161.375,6.8797517,0.12228068
巴音郭愣蒙古自治州,2013-01-14,4.257835,4.581934,1.2665107,0.6470218,0.17398515,57.96191,262.3147,57.864933,79505.64,2.0214226,0.35630348
巴音郭愣蒙古自治州,2013-01-15,4.242249,4.5338306,1.2313924,0.5601156,0.18217115,60.131355,263.13577,51.37278,79429.78,2.2554777,0.61252105
巴音郭愣蒙古自治州,2013-01-16,4.4792747,4.775912,1.3268504,0.5604529,0.1739237,60.5597,263.53455,53.271156,79526.51,2.7945662,0.67926985
