city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
常州市,2013-01-01,61.52946,104.43642,40.373817,54.50161,1.7417614,20.21547,275.31195,73.307304,102284.83,5.2129035,0.29774758
常州市,2013-01-02,58.14173,98.25032,28.893515,35.339176,1.3602092,37.41634,273.03833,62.29767,103141.805,-1.1113499,-9.167242
常州市,2013-01-03,43.144188,60.29125,29.866215,28.239643,1.2251413,42.665993,269.94757,71.921005,103738.5,1.7816226,-7.8766623
常州市,2013-01-04,58.71627,75.04039,34.267952,39.77429,1.2806184,31.0994,271.50342,63.93302,103152.52,0.42280817,-5.185297
常州市,2013-01-05,90.395836,102.56346,39.346947,50.82735,1.3757964,27.526318,272.66095,68.3426,102678.09,0.65944844,-4.8679237
常州市,2013-01-06,120.050316,136.48,63.59862,63.88915,1.5131474,29.938374,273.28482,56.831158,102648.016,0.6801224,-3.812507
常州市,2013-01-07,156.61523,181.36943,80.505875,84.640045,1.8108797,14.692775,274.3915,60.49662,102470.7,0.46855336,-2.407922
常州市,2013-01-08,165.68243,187.35161,68.786835,80.0524,1.767144,30.53477,275.06775,52.273083,102548.67,0.074408375,-4.6016545
常州市,2013-01-09,167.44363,190.10797,69.92517,74.12092,1.833724,22.414335,275.01773,66.95297,102825.164,-0.66437155,-5.9118342
常州市,2013-01-10,111.36483,137.51797,58.314106,70.30342,1.5241907,23.844828,274.62958,56.619545,102973.53,-3.008184,-2.383142
常州市,2013-01-11,100.22345,125.46494,44.064693,70.30765,1.4606215,20.344501,276.83432,71.3848,102688.55,-3.1284895,2.8971817
常州市,2013-01-12,234.93877,294.85187,80.43184,110.17102,2.5341804,17.95435,277.73862,69.55604,102496.71,-0.72229034,-1.1635243
常州市,2013-01-13,167.23155,181.17802,54.12982,96.53153,2.1739626,9.118953,278.255,90.34947,102073.586,-2.2996106,-1.0276854
常州市,2013-01-14,163.66261,183.01302,40.73539,79.25644,2.0188453,18.062424,277.0302,81.987595,102432.37,-0.28016034,-2.3260646
常州市,2013-01-15,163.4548,192.61171,41.216072,76.31776,1.7972784,23.8083,277.56097,80.063545,102435.016,-2.7186458,1.0512885
常州市,2013-01-16,188.825,226.00957,41.87867,56.46984,1.8412107,28.330158,277.00983,77.29217,102664.04,-0.46512398,-3.6437917
常州市,2013-01-17,72.77447,87.512474,26.156412,33.98934,1.4365116,43.012627,273.92297,63.37861,103467.88,-0.18602577,-7.1516137
常州市,2013-01-18,88.90204,115.65126,37.743088,69.93264,1.4390075,35.409405,272.97253,54.47932,103367.02,-0.5243127,-1.6585014
常州市,2013-01-19,136.59811,163.7468,51.04545,91.6831,1.6668804,31.34199,277.08533,60.423256,102748.11,-4.342551,2.3716295
常州市,2013-01-20,92.03722,121.02842,33.182873,79.26546,1.6356306,19.147108,281.7305,83.09742,102320.37,-3.3654609,3.3002384
常州市,2013-01-21,110.89073,113.979004,38.65589,60.207947,2.1089451,6.8561797,278.70068,87.6121,102328.766,5.2342477,-2.7077336
常州市,2013-01-22,125.52535,156.62585,35.57078,54.429573,2.0780778,13.532021,275.40378,78.01958,102640.32,1.6043203,-5.075754
常州市,2013-01-23,125.584656,147.74356,36.27166,53.130177,1.8989277,36.403217,275.95517,67.43234,102302.18,2.8073325,-0.40987024
常州市,2013-01-24,173.12428,209.67868,46.38863,67.30538,2.2550576,25.63805,277.77612,68.34669,102145.766,3.0563345,-1.742477
常州市,2013-01-25,139.08041,205.56584,37.103344,68.76426,2.2771568,32.11006,276.77945,56.470844,102384.17,1.2929043,0.40481797
常州市,2013-01-26,183.11267,221.10916,53.720947,89.40249,2.2515864,31.107319,278.17255,62.35672,102231.94,1.5302495,-1.1632586
常州市,2013-01-27,71.6432,110.1094,32.896023,59.7537,1.2046121,35.71819,276.8948,74.31694,102800.28,-2.745858,-1.8620036
常州市,2013-01-28,112.88365,147.73587,36.127594,69.108,1.3598893,42.428783,280.0959,61.641502,102515.48,-2.2779284,4.7696466
常州市,2013-01-29,131.19533,170.13336,36.501965,79.49684,1.6952547,35.094074,282.30576,56.774834,102300.94,-0.97494805,2.2798545
常州市,2013-01-30,176.77829,229.62642,52.435158,89.81487,2.070689,50.506126,282.95197,58.943604,102489.766,-4.307254,2.860906
常州市,2013-01-31,98.79164,107.608505,27.52528,63.923515,1.2171288,39.011887,285.40024,73.44507,102045.375,-4.691222,5.1089644
常州市,2013-02-01,94.5719,97.03048,24.117239,58.18454,2.021516,14.255272,285.34576,89.913536,102087.57,3.6686082,-0.9455029
常州市,2013-02-02,83.66252,101.45836,28.606037,38.990173,1.7330106,39.21953,277.9474,75.3878,102973.67,-4.645274,-4.3765244
常州市,2013-02-03,37.995056,55.201378,17.760542,37.24477,0.9707931,40.660217,281.14484,83.49531,102097.01,-5.833684,4.281002
常州市,2013-02-04,61.836964,68.87699,19.745647,35.203163,1.1919334,24.707977,280.9428,88.19267,102183.414,-0.29833263,-3.3958526
常州市,2013-02-05,32.98458,34.704784,13.073688,30.469538,1.2450318,39.601204,277.5552,94.68372,102043.414,-3.6030698,-3.5694015
常州市,2013-02-06,46.190372,53.03016,15.177221,28.994165,1.0904627,38.98517,276.05975,81.27047,102312.86,-0.48449546,-3.2642093
