city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
延安市,2013-01-01,9.156381,11.083037,9.4791975,5.4633646,0.22709988,48.20156,264.7565,48.082012,87662.984,2.3448763,-4.2661924
延安市,2013-01-02,15.293278,18.728909,13.111432,8.415297,0.29991782,41.52862,258.54324,51.30575,88661.81,-1.9267284,-4.416118
延安市,2013-01-03,18.648678,22.32438,13.959397,9.121334,0.3339076,44.408302,257.49683,43.329163,88894.45,-0.9921261,-1.6791898
延安市,2013-01-04,45.429523,53.68827,33.79664,13.384793,0.56631047,35.3355,260.9875,38.622547,88087.445,-0.07900426,1.0997232
延安市,2013-01-05,69.93663,78.82406,34.851067,13.459663,0.637312,31.246578,263.01825,40.449253,87930.06,0.46921206,-2.7610452
延安市,2013-01-06,70.369385,78.63054,35.363743,14.332804,0.61099434,29.283457,264.87366,29.158236,87903.76,1.0962783,-1.0658591
延安市,2013-01-07,32.379124,35.59273,19.04744,10.3150425,0.36351585,32.768707,267.10995,33.709675,87817.125,1.129209,-3.2278757
延安市,2013-01-08,20.15705,22.346972,16.435022,9.036617,0.31994778,36.222954,265.36188,43.82879,88187.31,0.6763874,-4.0849137
延安市,2013-01-09,34.109734,41.540154,27.850704,12.901136,0.5258776,35.59686,265.45743,47.224976,88048.664,0.07960071,2.2366712
延安市,2013-01-10,76.72027,90.89314,39.371876,16.876122,0.8549709,33.8441,269.3095,41.139633,87807.27,2.683747,1.7577951
延安市,2013-01-11,15.096905,17.273996,9.6344185,5.82312,0.2822633,49.766266,269.14917,32.806747,88058.875,4.000615,-3.522435
延安市,2013-01-12,51.751156,62.01896,30.602592,13.399254,0.7128628,43.700863,271.49075,34.30953,87630.94,2.8219576,3.6301982
延安市,2013-01-13,43.72248,49.544373,25.457113,10.959015,0.5503137,38.038544,270.89575,29.313414,87550.73,0.2567395,-1.7557749
延安市,2013-01-14,66.32948,75.25915,38.401188,12.589509,0.8127841,38.891624,270.42438,32.685375,87848.21,2.4595144,0.056811564
延安市,2013-01-15,13.676753,16.342909,11.276515,6.8795323,0.2790525,41.4034,269.24252,40.957397,88043.984,2.8471997,-3.4610634
