city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
延边朝鲜族自治州,2013-01-01,33.214462,37.40543,15.369039,18.773823,0.4229502,26.398613,252.26251,70.25062,93482.05,4.0962024,0.57658446
延边朝鲜族自治州,2013-01-02,31.293566,34.043793,12.654195,15.42345,0.40458012,32.56711,245.98982,62.415726,94108.25,8.690656,-0.0493246
延边朝鲜族自治州,2013-01-03,16.942942,18.359589,8.052441,10.468369,0.3232777,41.54132,249.08134,62.82817,94788.695,10.246786,-0.5687646
延边朝鲜族自治州,2013-01-04,18.230665,19.847975,9.134133,11.240877,0.3265497,42.41768,254.92274,59.64532,94635.82,7.6840906,1.753408
延边朝鲜族自治州,2013-01-05,29.612375,31.620663,11.5153265,12.62614,0.3840746,41.542747,256.086,66.13587,94028.85,9.359382,1.3725258
延边朝鲜族自治州,2013-01-06,24.910036,27.469715,9.431155,12.352809,0.3409684,35.947536,252.38126,66.76783,94404.63,6.8000727,-0.55818033
延边朝鲜族自治州,2013-01-07,32.65373,36.553295,11.456206,14.000227,0.38730383,34.71912,253.67848,70.25056,94363.89,3.6252315,-1.3937944
延边朝鲜族自治州,2013-01-08,46.33339,51.05373,13.676169,15.337907,0.4498154,35.662754,250.80484,70.10947,94390.49,5.4004116,-1.2646812
延边朝鲜族自治州,2013-01-09,42.93801,46.80327,14.317096,17.504322,0.45972285,33.77503,248.47372,65.23705,94251.1,6.7674737,-0.6974895
延边朝鲜族自治州,2013-01-10,34.98751,38.379597,14.394417,17.337757,0.42465895,31.948,249.36853,65.41986,94484.85,7.3118963,-0.43688896
延边朝鲜族自治州,2013-01-11,40.338802,44.518047,15.336667,16.264826,0.44655624,32.83065,256.07428,73.14146,94504.75,3.4285593,1.5835187
延边朝鲜族自治州,2013-01-12,66.34028,72.2749,18.689869,18.62636,0.57434696,28.948875,257.18033,78.51533,94085.14,5.4745626,-0.08289443
延边朝鲜族自治州,2013-01-13,52.221542,57.413654,14.070053,15.255749,0.47920942,37.122463,255.75356,71.90089,94531.22,2.9486897,0.5218429
延边朝鲜族自治州,2013-01-14,62.060593,67.33769,17.319706,16.969515,0.5303341,31.86533,255.74483,77.25791,94312.484,4.410208,-1.5078579
延边朝鲜族自治州,2013-01-15,47.49421,51.91853,10.068928,11.588311,0.446549,42.40229,253.57323,64.06665,94660.695,2.3837636,-1.4530212
