city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
德宏傣族景颇族自治州,2013-01-01,23.683277,25.773045,7.3068366,2.6842003,0.28508016,63.59671,284.83142,82.09087,85888.67,0.31498548,1.3731375
德宏傣族景颇族自治州,2013-01-02,22.800709,25.307894,5.9891458,2.9963264,0.2802139,71.33955,285.0973,71.34358,85930.14,0.3859086,0.93997985
德宏傣族景颇族自治州,2013-01-03,20.411394,22.646788,5.15641,2.8451638,0.2701918,71.9362,285.25873,73.47465,86077.2,-0.5770075,1.8230077
德宏傣族景颇族自治州,2013-01-04,20.48409,22.894314,5.0524797,2.5301561,0.26818526,70.613884,285.07867,74.03392,86029.836,2.1055682,0.6991231
德宏傣族景颇族自治州,2013-01-05,22.420408,25.295738,6.102167,2.705598,0.27906838,72.09104,284.95517,66.85305,85891.71,1.6922845,0.42307827
德宏傣族景颇族自治州,2013-01-06,21.043068,23.712328,5.769513,2.8966644,0.28488958,75.81416,284.95856,64.61552,85931.27,1.3943094,0.95530975
德宏傣族景颇族自治州,2013-01-07,20.858566,23.207815,5.0162935,2.4095416,0.28061906,71.22898,284.24496,73.257126,85889.69,2.911339,1.8399247
德宏傣族景颇族自治州,2013-01-08,34.96382,38.76822,8.927947,2.0359023,0.32671955,66.60258,283.06213,73.35592,85846.94,4.161253,1.0620906
德宏傣族景颇族自治州,2013-01-09,34.685673,38.584778,8.792372,2.416848,0.32951403,66.76224,282.69254,65.80994,85817.41,1.6339525,0.74324197
德宏傣族景颇族自治州,2013-01-10,28.416193,31.504711,6.757194,2.467719,0.31003332,73.43418,282.646,78.03472,85723.164,1.7894517,1.5629207
德宏傣族景颇族自治州,2013-01-11,21.74492,24.131666,4.94203,2.489518,0.27635404,71.334885,282.15295,72.840164,85765.234,0.33493018,1.0048747
德宏傣族景颇族自治州,2013-01-12,20.388786,22.693329,4.938969,2.8626554,0.27414778,72.445076,282.9314,63.243217,85952.555,-0.72714376,-0.3421914
德宏傣族景颇族自治州,2013-01-13,19.767082,22.211277,5.0507474,3.1273475,0.26720318,74.52362,283.69107,55.276516,85902.5,-0.7123004,0.5766644
德宏傣族景颇族自治州,2013-01-14,23.28248,25.922169,5.2038856,2.7983642,0.28302807,73.6661,283.3416,70.4127,85878.04,1.06442,0.93670976
德宏傣族景颇族自治州,2013-01-15,17.320904,19.461586,4.089361,2.8967302,0.23857936,70.271416,283.6535,67.4216,86100.52,0.7662435,0.193821
德宏傣族景颇族自治州,2013-01-16,16.26384,18.403448,4.057094,2.9500833,0.24125613,72.62734,284.98682,60.650436,86248.02,1.1382048,0.33176628
德宏傣族景颇族自治州,2013-01-17,15.615608,17.692375,3.9516442,2.998465,0.24182859,76.255936,285.6636,59.0607,86367.14,-0.5000143,0.60309917
