city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
成都市,2013-01-01,147.02687,197.04865,56.376484,58.269135,1.7964293,43.35693,276.4836,30.87034,93914.805,-0.6990914,0.16557996
成都市,2013-01-02,140.18935,183.28188,52.775402,61.207184,1.4924865,32.708702,276.71762,38.285168,94277.195,-3.8913925,-5.6353683
成都市,2013-01-03,60.14802,67.20219,22.513468,23.887917,0.77609944,52.908936,271.72073,69.03011,95082.56,-3.9704673,-4.996651
成都市,2013-01-04,79.02749,80.00637,23.672338,25.839073,0.9787716,32.77991,271.8843,79.14237,94294.13,-2.1419866,-2.5711079
成都市,2013-01-05,80.381966,76.46323,25.40666,24.321474,1.1084728,25.830133,273.915,66.46461,94147.305,-2.0835073,-2.897048
成都市,2013-01-06,99.12552,97.13915,25.548582,34.234406,1.3578728,32.99609,275.41245,54.675323,94161.24,-1.4242868,-2.050051
成都市,2013-01-07,100.86799,121.53851,24.886366,31.787483,1.35647,45.9789,275.97073,50.784786,94126.6,-0.9116266,-2.0827801
成都市,2013-01-08,160.96098,190.75037,27.51696,51.47406,1.8520814,39.202393,276.04507,48.558765,94363.84,-1.3500971,-3.6344156
成都市,2013-01-09,150.45549,178.69342,25.597628,44.697613,1.6668223,53.17166,276.46762,48.539062,94414.336,-0.87765,-1.6365896
成都市,2013-01-10,125.03961,138.39043,41.06404,46.058308,1.4469887,30.00016,275.64285,71.98554,94251.82,-1.6531801,-1.4995574
成都市,2013-01-11,132.70325,166.04254,39.04097,41.918697,1.6974591,21.541964,276.61453,74.807396,94519.15,0.03134251,-0.4483417
成都市,2013-01-12,196.2395,239.09947,43.737366,46.11385,1.9628335,29.257423,278.14343,56.136505,94099.414,-0.30624878,0.31892407
成都市,2013-01-13,241.44899,276.18185,51.66746,43.902103,2.134517,25.42347,278.81302,54.29683,93732.586,-1.0539821,-0.5964543
成都市,2013-01-14,203.80281,256.46527,49.72061,48.294495,2.0729253,20.119413,279.54123,55.683594,93932.445,-1.1140493,-1.636448
成都市,2013-01-15,172.34563,205.24834,36.27565,46.60492,1.7423581,34.04629,279.82178,51.54105,94283.31,-1.0445874,-2.731164
成都市,2013-01-16,149.5651,188.77307,30.432787,44.375874,1.5209008,31.165586,279.40366,57.541916,94450.47,-1.2197505,-2.971097
成都市,2013-01-17,195.7675,248.55779,29.83211,59.26726,2.024084,35.355732,279.56134,58.22818,94900.37,-1.5069127,-2.3380344
成都市,2013-01-18,131.88895,155.06212,29.53663,40.320873,1.5285825,17.973728,279.9982,66.2609,94501.51,-1.282923,-0.7635843
成都市,2013-01-19,137.9276,170.55962,38.594624,39.38664,1.7453378,17.73714,280.00403,59.726364,93565.65,-1.8966312,-1.2919475
成都市,2013-01-20,85.93851,92.82822,35.263233,34.230156,1.2788723,33.67541,279.58328,53.171555,93826.68,-3.3596594,-4.7097526
成都市,2013-01-21,64.58947,88.90243,19.56781,37.612556,1.1897928,36.884933,278.25082,37.428185,94379.195,-1.567419,-2.6229951
成都市,2013-01-22,96.24271,146.26451,24.978455,50.250126,1.394147,53.745407,279.25345,38.12749,94365.29,-1.3378891,-1.7233933
成都市,2013-01-23,127.31403,168.27,26.371164,64.65116,1.4689664,64.10616,280.6164,44.159424,94049.6,-0.7244251,-0.77319795
成都市,2013-01-24,129.51927,179.5356,24.248116,66.64602,1.6470593,52.087173,281.07974,33.698383,94478.875,-1.0854288,-1.8632525
成都市,2013-01-25,128.63187,192.64745,40.447132,55.839306,1.6278086,41.880863,280.88818,34.67772,94090.46,-1.4455281,-2.7232645
成都市,2013-01-26,119.31422,165.2795,22.521742,53.205887,1.4321113,48.48528,282.46716,38.36211,94194.9,-0.70551705,-2.0471668
成都市,2013-01-27,136.98857,197.18352,32.22453,62.2096,1.7444791,56.38918,283.14798,40.23688,94311.32,-0.55297333,-1.4979101
成都市,2013-01-28,144.99889,198.63411,49.548183,59.19932,1.6693358,56.312923,283.73016,49.89642,93860.195,-1.5970927,-2.629664
成都市,2013-01-29,158.63635,200.24202,51.51591,55.33611,1.726015,25.493963,282.6304,59.81721,93833.9,-2.29114,-2.322951
成都市,2013-01-30,124.17185,148.3939,37.4941,41.305637,1.2690957,46.76529,284.0622,51.89751,93753.06,-0.78253204,-1.9871365
成都市,2013-01-31,162.36874,206.6764,37.657227,58.56135,1.7191025,30.673683,283.87488,55.867752,93597.6,-0.6465741,-1.4553932
成都市,2013-02-01,185.00294,242.75655,29.828295,63.879913,2.0767128,22.844131,284.3871,55.31857,93938.914,-0.9496171,-2.0277941
成都市,2013-02-02,171.97816,204.01823,28.88487,50.3817,1.7198054,39.832695,284.1438,59.95521,94136.76,-1.7741393,-2.4492595
成都市,2013-02-03,118.74268,142.75142,32.078773,43.77065,1.4128052,39.417797,284.24362,69.47345,93293.37,-1.5721887,-2.3903139
成都市,2013-02-04,189.62444,231.64227,30.939451,57.381657,2.0765316,40.866734,284.56894,66.45383,93480.16,-0.9712418,-1.9543561
成都市,2013-02-05,196.54883,237.21574,30.246344,55.905605,2.4304473,22.939577,285.16504,66.37217,93826.91,-2.0364854,-2.6245887
成都市,2013-02-06,162.9692,186.35692,24.243013,44.659817,1.9190823,36.806393,285.45685,64.39617,93550.41,-1.5264672,-2.49094
成都市,2013-02-07,80.63453,82.644646,26.800112,27.666306,1.3684074,39.78748,281.45804,75.79102,93879.65,-4.530226,-4.83878
成都市,2013-02-08,33.90517,38.333706,19.959822,14.340598,0.9013572,51.835983,275.19635,80.136024,94730.35,-3.769179,-3.870312
