city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
文山壮族苗族自治州,2013-01-01,27.368984,30.912878,9.890538,4.18529,0.32970524,59.1661,279.968,68.976395,86708.25,1.9927243,2.4711845
文山壮族苗族自治州,2013-01-02,26.127075,29.774614,8.8362255,3.8667135,0.32576165,61.01099,284.2062,77.40105,86641.734,4.04655,3.6527581
文山壮族苗族自治州,2013-01-03,64.196785,69.710785,21.001268,5.24985,0.5640875,51.994057,276.8853,86.09702,87229.984,-3.5424051,-2.7540736
文山壮族苗族自治州,2013-01-04,52.332745,57.336998,12.234473,4.3571787,0.48186418,51.570087,277.36554,85.41959,86840.88,0.2516376,2.643253
文山壮族苗族自治州,2013-01-05,32.94976,36.369522,8.140678,3.6454186,0.35376176,57.378296,281.7564,83.38173,86534.04,4.503824,3.6454744
文山壮族苗族自治州,2013-01-06,36.49146,40.825108,8.746232,3.7638917,0.37529367,58.765827,279.8456,79.27412,86711.21,1.8097739,2.5862975
文山壮族苗族自治州,2013-01-07,33.862915,37.922554,8.076501,3.5573277,0.36718,64.693214,281.26697,79.92066,86605.71,3.3718538,4.057923
文山壮族苗族自治州,2013-01-08,39.01965,42.94134,8.190477,3.525049,0.37222114,57.64301,279.67114,87.57807,86623.516,1.5081155,3.3317595
文山壮族苗族自治州,2013-01-09,82.833855,91.29915,26.183474,3.9352217,0.68684536,59.95709,276.23428,82.170235,86857.93,-2.7758915,-1.3932763
文山壮族苗族自治州,2013-01-10,93.69954,102.18728,19.540272,3.3038363,0.6665226,63.269024,277.10245,75.33252,86786.22,-2.1317227,2.2364354
文山壮族苗族自治州,2013-01-11,96.246346,105.147,16.18109,3.5873706,0.6913552,59.55883,276.0283,82.380295,86905.42,-1.7540075,0.14179409
文山壮族苗族自治州,2013-01-12,104.29307,117.14908,27.771397,4.145319,0.89879453,58.68304,277.07178,85.656624,86859.5,-0.3637583,-1.2455523
