city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
新乡市,2013-01-01,70.599754,208.96765,49.97124,32.68414,3.0133324,33.740158,270.77682,38.99468,100566.23,-1.3118471,-4.0450473
新乡市,2013-01-02,50.965725,87.29277,38.615997,30.024193,3.7112346,30.41557,265.14865,42.336437,101930.69,-3.6671479,-5.6010427
新乡市,2013-01-03,51.247406,88.97394,53.217445,37.63722,2.877512,25.977453,264.76422,36.00343,102345.555,-1.3104097,-2.089943
新乡市,2013-01-04,86.645966,153.12923,61.0813,44.428173,2.8022256,24.192785,266.44785,35.068775,101460.58,0.149535,2.2682161
新乡市,2013-01-05,137.76668,243.8152,87.48198,53.77935,3.5708497,19.669659,269.22168,30.89394,100933.664,-0.59556144,0.3025037
新乡市,2013-01-06,185.69046,308.2244,95.36262,68.13413,3.9679477,57.234547,270.1163,35.369366,100924.016,-0.99388796,-0.18779585
新乡市,2013-01-07,214.34145,349.17038,95.579666,65.19681,3.935976,17.3071,272.31674,40.226818,100589.33,-1.2184298,-0.7356556
新乡市,2013-01-08,354.19302,490.95554,152.03183,93.82132,5.5634913,16.508677,270.65323,49.715614,101058.22,-3.363017,-6.584529
新乡市,2013-01-09,202.91283,262.2634,101.39001,75.42896,3.6917818,19.859217,269.72314,58.25825,101278.31,-1.9636415,-1.4456264
新乡市,2013-01-10,374.9205,533.443,83.87283,79.183784,4.637144,12.863426,273.1388,58.150906,100872.02,1.4040726,4.7308426
新乡市,2013-01-11,338.76,473.53772,88.608025,65.07714,3.9846516,20.02986,276.69635,40.436764,100627.19,1.9393295,1.3685235
新乡市,2013-01-12,381.12753,491.8373,78.39629,82.63064,4.5672507,20.893265,275.94867,37.58123,100551.86,1.358646,3.9617076
新乡市,2013-01-13,321.54623,429.7173,88.13135,74.94024,5.2027545,13.492774,274.15768,52.007008,100333.8,-2.0477417,-2.6236
新乡市,2013-01-14,312.99,474.05093,83.965965,76.919235,4.734712,21.861061,274.23337,53.986866,100710.71,-1.480298,-0.38808498
新乡市,2013-01-15,235.67192,437.78342,90.267105,69.66392,3.6462796,23.9479,274.61972,55.46337,100647.98,-0.7667462,-0.15798597
新乡市,2013-01-16,241.59735,421.07605,109.47142,74.534966,4.8565736,23.683336,272.6745,58.789886,101209.06,-3.479461,-4.788194
新乡市,2013-01-17,155.44595,214.2754,72.18193,54.85808,4.184045,24.278591,271.4475,54.90082,101961.68,-1.6041634,-1.7952675
新乡市,2013-01-18,202.38031,287.21582,81.21361,64.32001,4.665642,18.672855,274.05264,54.342926,101213.87,3.0974953,6.083453
新乡市,2013-01-19,252.57605,347.60318,70.94838,57.7026,4.915619,24.827335,274.65442,62.01711,100699.62,-1.7791953,-1.551909
新乡市,2013-01-20,209.0587,247.6973,84.76043,57.695057,5.005342,16.26385,272.2133,80.99996,100804.86,-2.9005206,-7.325868
新乡市,2013-01-21,167.71068,215.23337,107.28789,53.1313,4.144052,14.25804,272.9674,78.10526,100947.414,-1.3068684,-4.2918816
新乡市,2013-01-22,212.943,296.37598,83.76792,59.431904,4.5168977,11.145726,271.37134,85.62769,101055.08,-0.8920708,-1.2827209
新乡市,2013-01-23,192.39603,269.3534,79.381195,58.885593,4.4198546,21.62593,276.55765,58.941845,100097.43,4.727175,3.1560688
新乡市,2013-01-24,107.7551,153.15692,55.986828,43.16342,4.3947635,28.862474,275.063,42.634205,100616.664,1.2944697,-4.06184
新乡市,2013-01-25,72.54813,165.11069,61.832924,45.537453,4.1868787,26.330925,273.25137,48.735794,100437.69,-0.6776433,-2.664825
新乡市,2013-01-26,145.01526,194.29378,78.66726,48.49,3.7972062,25.777512,271.61353,69.529465,100796.06,-2.500966,-3.843467
新乡市,2013-01-27,186.16914,273.22195,68.55409,52.251747,3.8213232,19.095417,274.90823,60.187347,100922.46,0.4982354,1.674954
新乡市,2013-01-28,218.09322,322.6694,56.730198,50.346077,4.866362,13.441002,279.8468,46.45725,100242.5,3.1974864,4.445208
新乡市,2013-01-29,201.43893,312.05676,62.519382,49.715427,4.8583565,13.173737,277.75732,64.97251,100414.59,-1.8637736,-3.9883275
新乡市,2013-01-30,186.66025,270.03506,60.236515,50.420338,4.3466263,21.301893,277.8101,73.490906,100491.914,-0.34047765,1.5482731
新乡市,2013-01-31,148.73126,214.63742,77.642395,53.97535,4.5782504,19.391264,276.4874,86.27911,100212.086,-0.80823946,-1.5703872
新乡市,2013-02-01,154.87665,219.32787,82.51077,54.284718,3.314186,16.988655,276.14685,61.463493,100706.414,-2.5579064,-4.9792314
新乡市,2013-02-02,86.61533,117.91738,56.603767,41.811234,2.2013786,24.73996,274.36993,56.98172,101323.76,-3.358731,-2.8117101
新乡市,2013-02-03,78.92553,79.29103,31.28841,30.217106,1.6801606,17.916899,274.9174,83.37077,100172.59,-1.1157929,2.1910179
新乡市,2013-02-04,71.5118,102.34921,52.17568,30.423792,2.2809591,23.531986,273.97513,67.6999,100668.79,-3.7767928,-6.9304
新乡市,2013-02-05,88.11738,108.523735,47.590042,32.916176,2.3418326,31.093359,271.73184,87.716286,100558.95,-0.5298639,-0.8864729
新乡市,2013-02-06,131.96086,188.91469,51.444973,34.879284,1.6264791,15.758378,274.14914,71.27651,100640.63,-2.9816291,-4.506496
新乡市,2013-02-07,46.474,67.008896,25.486877,18.392921,2.1152284,47.36542,265.48495,47.857365,101776.11,-5.6908417,-8.788911
新乡市,2013-02-08,44.759254,71.59249,37.77646,24.183279,1.6417087,37.28575,266.47098,43.34489,101766.1,-0.6084385,1.19165
新乡市,2013-02-09,87.52938,120.46997,47.335155,29.423668,1.9035938,33.019947,273.69244,50.401962,100729.234,2.7657452,5.5325084
新乡市,2013-02-10,207.73186,286.36923,57.53816,35.72853,2.9552517,30.599136,270.69135,78.87954,100912.52,-3.7319002,-9.920368
新乡市,2013-02-11,107.91406,131.3241,47.22492,25.646748,2.8082194,39.74818,270.04385,81.75024,101259.88,-2.5011415,-5.868674
新乡市,2013-02-12,75.07349,95.41822,51.43765,25.084799,1.1059852,36.074207,275.12723,46.277184,101004.055,2.4082937,0.52059704
新乡市,2013-02-13,61.860992,107.98879,59.964752,31.01163,1.5559891,35.74358,277.50546,34.647144,100456.32,3.6613886,4.433221
新乡市,2013-02-14,121.22164,182.8339,45.372234,33.284664,2.0317216,37.123604,275.10013,49.649704,100535.625,-1.3436985,-5.0153065
新乡市,2013-02-15,143.45354,192.64597,46.72767,33.310177,2.160011,39.706497,273.71295,59.899593,100948.64,-2.0887656,-3.2722776
新乡市,2013-02-16,188.35832,260.9971,33.384617,28.796728,2.0131404,42.138023,277.94922,57.299324,100183.625,0.09974562,4.79469
新乡市,2013-02-17,190.79861,298.82742,44.181953,37.03444,2.098756,26.063398,278.31393,56.888878,99971.94,-2.2781568,-3.4920826
新乡市,2013-02-18,79.420845,125.81122,39.303486,29.229736,1.5559611,39.443554,272.6835,64.98079,100762.47,-4.005935,-7.235876
新乡市,2013-02-19,92.91323,142.52144,58.00633,31.10723,1.4993283,33.977108,273.90863,71.44039,101060.37,-1.3801526,-0.087345585
新乡市,2013-02-20,102.48436,146.63197,50.04399,34.80658,1.5813175,29.193642,276.79352,66.74033,100892.945,0.86393297,2.5430262
新乡市,2013-02-21,135.13206,197.1011,52.521458,41.64463,1.6214716,21.274591,276.99542,67.99191,100997.35,-0.4690551,-1.7295083
新乡市,2013-02-22,179.50316,254.36636,61.294933,45.976208,1.8139493,30.879128,278.52277,36.759224,101155.5,-2.6615229,-3.8863583
新乡市,2013-02-23,189.07089,234.19746,51.860878,46.590015,1.7660886,40.1166,278.53757,47.006023,101048.336,-1.2388659,0.034053467
新乡市,2013-02-24,210.36304,249.98238,53.67492,52.3926,2.4077446,37.26489,280.14453,61.75311,100587.445,-3.3471515,-3.4409566
新乡市,2013-02-25,290.05307,352.50763,67.7713,53.430023,3.3782039,20.697025,278.16205,74.19846,100527.52,-2.5463717,-6.064796
新乡市,2013-02-26,193.90866,262.9527,64.85219,42.961525,2.0962045,21.3712,280.1616,59.004272,100303.77,-1.5399698,-1.9522016
新乡市,2013-02-27,308.08145,449.22647,84.475555,55.783596,2.8243656,26.789936,281.7762,50.658806,100074.59,-0.321143,0.29394135
新乡市,2013-02-28,214.00418,290.43857,60.393097,42.493526,2.1371672,23.809381,282.84448,56.592747,99503.37,-0.8253638,-2.0935378
新乡市,2013-03-01,46.037304,113.449196,23.47101,19.27642,1.242543,48.994965,275.01566,24.345833,101159.37,-5.4124126,-8.687255
新乡市,2013-03-02,41.206715,73.34373,42.649815,32.03006,1.3494556,35.8592,276.05597,24.195496,101460.54,0.50117844,1.9738579
新乡市,2013-03-03,61.751453,206.44405,58.554367,35.07791,1.4513928,29.95433,283.15424,19.42189,100514.15,4.4975843,0.512482
新乡市,2013-03-04,57.560894,149.71037,45.940445,36.774155,1.6802461,39.60227,283.6726,20.8408,100694.92,-1.9721967,-4.1562257
新乡市,2013-03-05,101.734276,168.64479,62.01816,49.092503,1.729955,35.11581,285.39743,31.961782,100171.76,2.353749,5.3877654
新乡市,2013-03-06,134.68555,251.53061,67.904915,51.074074,2.1570177,25.27867,289.7431,29.03302,99658.09,2.9189467,1.4213794
新乡市,2013-03-07,83.54768,150.28494,60.595272,37.301006,1.7635639,38.56095,290.39215,20.649359,99610.98,4.6582856,1.2969741
新乡市,2013-03-08,85.62746,160.56807,42.234142,34.491055,1.2644951,34.561543,294.77988,17.098038,99037.5,3.3562675,2.4403782
新乡市,2013-03-09,96.54761,238.9281,40.58303,33.329254,1.7969372,51.843685,293.6547,20.298895,98933.59,1.610685,-1.7180662
新乡市,2013-03-10,30.434973,115.40787,24.683561,21.433968,1.659749,53.00655,278.69006,18.587324,100975.26,-5.2664967,-5.477876
新乡市,2013-03-11,34.655952,44.734978,24.939814,24.071346,1.4355031,40.71196,280.6733,34.2758,100367.23,-1.3366795,4.149133
新乡市,2013-03-12,85.04867,123.44552,49.407745,41.02381,2.0058563,19.097054,283.80734,55.18163,99439.61,-0.06304284,0.13478506
新乡市,2013-03-13,61.79311,77.286354,31.149874,25.647612,1.7986441,42.994354,278.1546,50.26106,100904.0,-6.1779757,-7.840439
