city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
日喀则地区,2013-01-01,0.7786619,1.0450566,0.10760914,0.36707664,0.11348896,81.88977,266.89026,28.826305,55246.816,7.47766,-1.604138
日喀则地区,2013-01-02,2.9968486,3.4167922,0.28326386,0.49898392,0.123798914,79.447365,265.65427,22.83856,55065.566,11.495835,4.283174
日喀则地区,2013-01-03,2.7201123,3.2000556,0.3126447,0.37602264,0.13944738,84.087,261.8535,26.68174,54914.535,12.481362,0.17476405
日喀则地区,2013-01-04,2.1081867,2.65775,0.25336027,0.33342937,0.12434512,82.0334,263.1412,27.33324,54959.027,14.256176,1.5715855
日喀则地区,2013-01-05,2.0917857,2.6546512,0.2414048,0.34096283,0.124600306,83.636536,261.07428,28.54394,54734.766,15.293986,4.068375
日喀则地区,2013-01-06,1.7100052,2.1747847,0.19610238,0.314211,0.11823284,83.14309,260.183,24.54943,54689.88,15.353859,1.2411697
日喀则地区,2013-01-07,1.4223442,1.8893355,0.16520052,0.32053632,0.11417366,81.26103,260.6301,25.781776,54581.53,15.752295,-0.34349552
日喀则地区,2013-01-08,1.4476373,1.9702836,0.17888598,0.30334464,0.113891855,78.51612,263.37958,28.147118,54639.72,13.7153425,-3.304088
日喀则地区,2013-01-09,1.2533532,1.7551162,0.18983756,0.3134212,0.1078802,74.52872,263.54684,33.9381,54807.91,12.002566,-3.6862552
日喀则地区,2013-01-10,0.5636654,1.0360503,0.09207681,0.2334873,0.108471826,75.291115,261.36835,36.711304,54752.6,9.901624,-5.457173
日喀则地区,2013-01-11,0.1901707,0.67347807,0.039046023,0.22726896,0.10720261,75.95135,261.33026,35.920322,54940.582,6.381125,-7.8726563
日喀则地区,2013-01-12,0.32187304,0.68411934,0.045879725,0.2728181,0.11362861,76.336555,264.50302,38.003456,55241.332,7.442995,-4.24326
日喀则地区,2013-01-13,1.4156722,1.8543196,0.14673622,0.2970486,0.13212544,80.257774,265.22333,36.715485,55026.77,11.908414,-1.3902863
日喀则地区,2013-01-14,1.0336863,1.4462012,0.11168095,0.28598034,0.121335015,80.75686,262.68826,31.23292,54975.637,10.974175,-3.165683
日喀则地区,2013-01-15,1.2612925,1.6228261,0.13327415,0.33381668,0.12404619,82.72141,263.29095,28.905563,55121.457,11.881163,1.0314
