city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
昌吉回族自治州,2013-01-01,19.420797,22.076998,4.2774615,9.273735,0.46621963,62.02205,263.05154,45.554104,90377.88,-2.425947,0.75274026
昌吉回族自治州,2013-01-02,27.585865,30.116655,8.33937,15.197287,0.76894134,52.761,260.5934,52.292904,91284.78,-2.6078887,1.1361216
昌吉回族自治州,2013-01-03,25.614702,25.66903,3.7309868,11.028812,0.5148504,53.259327,260.52673,51.56505,90874.125,-3.1160223,1.6324704
昌吉回族自治州,2013-01-04,22.292809,22.847464,5.8163424,12.45675,0.50992036,50.723133,258.96677,53.055485,90706.43,-1.2913299,1.0737877
昌吉回族自治州,2013-01-05,34.54247,37.832554,11.841873,17.769033,0.75765854,44.49458,257.56003,58.854515,90798.93,1.6841396,0.72606415
昌吉回族自治州,2013-01-06,28.283062,29.033422,9.6865835,13.935687,0.7596784,45.61031,258.28873,65.88829,90996.24,-0.16988426,0.7627497
昌吉回族自治州,2013-01-07,18.212563,19.59023,3.5780172,8.787355,0.37961724,56.421505,259.82065,53.413967,90929.82,-0.5425698,0.44183466
昌吉回族自治州,2013-01-08,18.043226,25.444532,11.821517,11.403011,0.47133887,58.277245,261.80038,47.66287,90745.49,-1.9706051,1.2869334
昌吉回族自治州,2013-01-09,30.03866,46.651318,36.04768,12.476587,0.77027124,54.73766,262.21844,51.406895,90461.68,-0.13401698,0.8732517
昌吉回族自治州,2013-01-10,23.876265,26.779472,8.3547535,10.551738,0.6474944,53.5044,264.01697,65.092316,90719.47,-0.15670234,0.5174183
昌吉回族自治州,2013-01-11,20.293852,22.036556,2.6878257,6.253397,0.43853158,59.784073,264.91492,44.344284,90369.34,-0.8373764,1.4195788
昌吉回族自治州,2013-01-12,22.369606,25.950079,4.3499203,5.9004335,0.5948528,61.017345,266.41425,39.509613,89741.16,-1.3733763,1.7670784
昌吉回族自治州,2013-01-13,20.31963,17.752295,7.337235,12.565426,0.5834491,48.43384,264.89648,75.2207,90618.87,2.936164,-0.03187408
昌吉回族自治州,2013-01-14,13.543407,11.314281,3.422906,6.7900376,0.4088075,54.589367,265.08203,67.220894,90943.68,-0.85129565,1.2411441
昌吉回族自治州,2013-01-15,18.30226,18.620192,3.2689636,4.6711254,0.5117399,58.94125,266.28885,50.203785,90524.41,-2.199121,2.1209393
昌吉回族自治州,2013-01-16,23.680206,21.056108,3.7643106,8.3458395,0.55001366,56.942753,264.70328,52.591564,90707.74,0.24607962,1.9132518
昌吉回族自治州,2013-01-17,21.06175,19.991714,6.36348,11.822822,0.5423898,52.79511,263.5022,57.27745,91209.57,-0.069834374,0.8031245
昌吉回族自治州,2013-01-18,19.881485,21.019041,5.3050256,11.689521,0.43455783,55.269604,262.78345,62.43052,90949.32,-0.31950414,0.6467231
昌吉回族自治州,2013-01-19,23.398668,25.965338,8.071252,13.174695,0.44324887,56.796036,261.8585,62.42317,90793.88,1.4616799,-0.16092569
昌吉回族自治州,2013-01-20,18.520033,21.539244,7.2243876,12.37467,0.3954319,55.484848,262.9282,58.038845,90893.81,-0.9646677,1.144906
昌吉回族自治州,2013-01-21,31.379286,36.3882,7.950403,12.365405,0.52831584,49.170254,262.5986,60.14746,90705.695,0.6957189,1.3575662
昌吉回族自治州,2013-01-22,29.444054,34.573746,6.112714,9.097855,0.6103813,52.80143,265.93976,51.597816,90535.3,-0.43158057,1.0975499
昌吉回族自治州,2013-01-23,18.441063,22.724516,5.5993543,11.128089,0.42006558,57.197903,265.77023,50.596684,90844.86,-1.1437596,1.0931497
昌吉回族自治州,2013-01-24,39.841873,47.258884,9.892008,17.02296,0.7314928,52.305885,266.56946,48.473145,90896.32,-0.51281,1.0130419
昌吉回族自治州,2013-01-25,31.282316,40.089817,6.2755985,12.930868,0.5440778,59.884094,268.05847,42.26549,90716.375,-0.8825624,1.1994866
昌吉回族自治州,2013-01-26,31.253021,37.616207,11.719025,14.405193,0.590833,60.90659,267.90353,42.79343,90795.46,-0.36858603,1.2415141
昌吉回族自治州,2013-01-27,46.805466,55.56057,17.679415,12.011648,0.8389563,59.240307,269.71252,52.990295,90680.22,-0.98804057,1.5561241
昌吉回族自治州,2013-01-28,57.55056,67.38184,8.76066,8.484702,1.1369934,54.292053,269.7884,54.76386,90125.51,0.5649772,1.522305
昌吉回族自治州,2013-01-29,21.298046,21.585075,8.696559,11.855091,0.62777394,49.28918,267.22702,81.36032,90467.87,1.46119,-0.5536365
昌吉回族自治州,2013-01-30,15.351104,14.559397,7.377838,10.032781,0.5135627,48.7896,262.11823,83.21996,90498.51,4.00145,-1.0157095
昌吉回族自治州,2013-01-31,14.343564,15.218963,4.939407,8.397387,0.4381835,56.650406,260.80374,63.36488,90815.85,0.38495648,-0.105754405
昌吉回族自治州,2013-02-01,12.683234,13.36744,3.9618857,7.0441895,0.40819463,60.541843,262.27594,51.954628,91069.09,-1.0231131,0.61714405
昌吉回族自治州,2013-02-02,13.045838,12.682879,5.412664,10.039338,0.4706172,59.017723,266.03864,50.199806,90018.85,-1.0822135,0.99646354
昌吉回族自治州,2013-02-03,22.381508,24.992693,7.800836,15.950669,0.60452914,57.325924,267.254,53.900013,90203.484,-0.04103328,0.44754127
昌吉回族自治州,2013-02-04,17.835299,19.348951,6.145517,9.143938,0.45732734,56.53546,268.61304,69.78295,90423.07,-1.8962349,0.56261927
昌吉回族自治州,2013-02-05,26.970037,29.642927,6.695429,14.754806,0.5592847,58.507584,266.68533,73.72771,90813.02,0.028049301,0.34990433
昌吉回族自治州,2013-02-06,41.566315,42.462917,14.351624,23.592293,0.90854037,54.07483,263.58163,85.27539,91095.21,1.8054326,-0.19054542
昌吉回族自治州,2013-02-07,26.370787,23.37804,9.571499,11.932191,0.703779,50.607548,264.3834,83.46773,91425.305,1.5351491,0.047337625
昌吉回族自治州,2013-02-08,14.078,13.469007,5.5455346,5.8528295,0.44343922,58.930237,264.6552,66.01749,90691.86,-0.12295313,0.7551432
昌吉回族自治州,2013-02-09,19.348228,17.81323,8.866298,9.039145,0.6913783,51.64136,260.66098,79.51146,90706.34,4.071815,-0.7650112
昌吉回族自治州,2013-02-10,16.679707,17.236462,7.4844775,7.8034863,0.6789479,52.856216,257.52597,77.33178,91512.68,2.4695656,-0.42821836
昌吉回族自治州,2013-02-11,19.522535,21.241552,7.7011447,7.9320755,0.52684903,58.20559,257.55945,66.91362,91813.945,0.6701756,0.31305012
昌吉回族自治州,2013-02-12,27.78964,31.42314,7.3411593,9.314149,0.5711553,66.82431,259.6087,56.990025,91166.95,0.74947923,0.47880027
昌吉回族自治州,2013-02-13,22.343445,23.106396,7.7390685,8.549513,0.49822712,59.927025,258.28934,80.04249,91204.57,1.9284546,-0.8721401
昌吉回族自治州,2013-02-14,13.161535,14.195209,4.293938,6.040346,0.42121103,66.02454,259.79913,56.00738,90885.734,-1.5395404,0.8729913
昌吉回族自治州,2013-02-15,20.942366,24.403831,5.8975835,8.164239,0.5305105,66.162865,261.06198,56.91202,90384.82,1.3203206,0.061533604
昌吉回族自治州,2013-02-16,14.808264,14.470249,6.0588994,5.752027,0.60925984,60.1954,256.53455,75.176575,91154.25,3.4412286,-1.4699283
昌吉回族自治州,2013-02-17,12.568656,13.492981,4.7319164,7.220378,0.5119199,63.80699,253.15585,65.773056,91437.78,-0.06783729,-0.24386083
昌吉回族自治州,2013-02-18,9.262571,10.626354,3.283551,4.6740184,0.44753978,73.80476,255.73276,49.03967,90967.94,-1.3846183,0.3747649
昌吉回族自治州,2013-02-19,15.198901,18.34443,2.901689,5.197693,0.4299184,76.91674,258.42197,49.96843,90950.43,-0.27774146,0.09472239
昌吉回族自治州,2013-02-20,18.461071,22.829199,3.4176972,5.710214,0.445888,77.567955,261.4049,50.32954,91043.164,-0.21713752,0.16161443
