city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
昭通市,2013-01-01,58.674458,67.84058,31.128,9.554578,0.51977473,51.21454,276.91116,55.415596,83998.72,0.49477026,1.2315427
昭通市,2013-01-02,99.45797,113.96793,47.75702,11.454231,0.7764594,48.943417,275.9079,40.958485,84138.59,0.19587749,-1.979546
昭通市,2013-01-03,91.11584,100.85012,31.436888,11.038855,0.7277269,44.366394,270.23642,75.17588,84726.1,-1.3599852,-1.8399981
昭通市,2013-01-04,87.10395,96.71393,28.582855,10.973026,0.75064546,49.51985,273.34235,79.39975,84018.7,0.77829003,0.54269016
昭通市,2013-01-05,107.09264,118.83617,33.175102,9.05012,0.8495235,54.264683,273.80417,63.625908,83926.664,0.26756898,-0.0031796547
昭通市,2013-01-06,98.41545,110.28806,35.071655,8.354599,0.8071055,56.57255,274.6011,59.81253,83993.04,0.62883604,0.46892497
昭通市,2013-01-07,105.308586,117.62365,38.52571,7.855751,0.8198147,60.36079,274.11194,66.74026,83967.91,0.79290026,-0.024285188
昭通市,2013-01-08,131.3168,145.74782,42.742188,7.108194,0.94873047,59.052013,271.51123,79.77976,84175.44,-1.3307747,-2.5991788
昭通市,2013-01-09,128.59796,142.86807,36.98224,8.242231,0.95077187,59.061535,271.36212,77.842384,84299.18,-1.5646815,-0.9780222
昭通市,2013-01-10,136.57162,151.58736,45.791435,9.006189,1.015396,59.13688,272.77618,83.92871,84103.86,-1.008719,-0.7024499
昭通市,2013-01-11,187.18767,204.65207,49.862118,8.620258,1.251236,51.629665,271.7925,86.9306,84433.15,-1.4692659,-2.2521799
昭通市,2013-01-12,144.2675,158.51479,40.052406,7.427632,1.0259609,61.07808,275.63623,63.736015,84175.32,1.1057354,0.90283674
昭通市,2013-01-13,119.41315,132.72684,34.622627,7.396592,0.9371938,60.388706,279.16983,48.341377,83858.15,1.5864401,1.3397028
昭通市,2013-01-14,149.57489,164.91399,48.26871,8.257229,1.0744468,56.852646,277.12088,68.30157,83952.28,0.41892123,0.23161542
昭通市,2013-01-15,159.25748,174.83977,44.113262,6.82668,1.1118761,58.005966,275.4367,78.738144,84308.33,-0.60189176,-1.4849485
昭通市,2013-01-16,149.03757,163.8482,43.117294,7.912592,1.0863959,54.71533,275.676,80.48687,84405.055,-0.8258118,-1.6630971
昭通市,2013-01-17,153.69595,169.95815,44.532085,7.1352654,1.118107,57.529568,275.41138,78.624374,84872.7,-1.2351327,-0.69227916
昭通市,2013-01-18,135.24475,150.61479,44.3669,9.06397,1.0373703,53.85596,278.62,76.92949,84505.61,0.16961905,0.8486456
