city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
晋城市,2013-01-01,47.47592,96.88943,46.592815,20.642864,1.2288882,38.905132,266.2449,42.54202,90589.305,4.6799135,-5.1085715
晋城市,2013-01-02,52.1143,74.03864,55.333973,25.729015,1.3221166,33.04267,261.09424,40.378605,91623.14,0.64376414,-4.817019
晋城市,2013-01-03,53.16275,75.017105,67.48296,29.927038,1.2895637,33.478764,259.80573,32.417137,91958.39,-0.013267611,-3.5576081
晋城市,2013-01-04,109.794754,156.99876,111.05827,39.32134,1.1017759,22.641088,262.3161,34.67945,91221.31,0.82850754,-0.7265197
晋城市,2013-01-05,122.71991,169.47722,114.111694,35.362213,1.6415573,27.38797,265.97537,31.863073,90877.31,0.56650925,-2.517301
晋城市,2013-01-06,134.96823,166.66028,125.48927,41.30904,1.4015379,29.853586,267.0444,32.064972,90880.77,1.2205762,-0.60861325
晋城市,2013-01-07,138.52603,172.51996,89.6642,40.217365,2.2469137,19.366272,270.18512,27.035303,90696.86,1.3877635,-2.3096385
晋城市,2013-01-08,154.77081,191.01854,117.64815,44.11907,2.9626756,21.132057,268.89352,38.36715,91052.57,1.8537369,-2.3175535
晋城市,2013-01-09,146.1246,184.30109,105.062965,44.868164,2.3610988,20.848179,266.30972,45.22035,91166.484,1.2101289,0.040611662
晋城市,2013-01-10,321.0028,423.49365,106.60809,56.845295,4.3438325,12.6309595,269.50006,51.931313,90919.8,1.4493673,2.1584754
晋城市,2013-01-11,178.8298,235.32585,80.06184,32.747902,2.5444496,37.121227,271.30923,39.649704,90900.46,5.0879283,-5.1128087
晋城市,2013-01-12,140.4891,182.31265,70.097176,42.309456,3.0841315,32.28965,272.45294,28.66986,90752.44,2.0471127,1.3321888
晋城市,2013-01-13,194.01364,237.93893,115.70386,52.440697,3.6428344,20.48011,273.07608,39.698772,90519.53,0.33539557,0.3699536
晋城市,2013-01-14,223.87187,299.74274,102.88591,52.543053,4.2144427,30.825954,273.0741,33.51273,90872.305,-0.7308701,0.26782504
晋城市,2013-01-15,108.05409,146.01865,51.075417,33.795567,2.9760747,26.226599,272.09592,42.605083,90858.18,4.2541914,-3.3019738
晋城市,2013-01-16,138.56921,202.3786,90.44232,41.043354,4.1531053,21.38212,270.86484,47.79606,91252.52,1.1625865,-2.1529443
晋城市,2013-01-17,189.62137,240.76143,140.13516,55.257904,4.4685893,18.548733,267.84323,74.618164,91849.02,0.6269348,0.43775854
晋城市,2013-01-18,198.18707,256.70258,130.10318,55.06806,3.7757697,27.26006,270.91022,58.33037,91280.48,1.6063858,1.4312881
晋城市,2013-01-19,189.92159,245.23816,91.273056,43.56745,3.2391765,35.290436,272.16287,63.415974,90780.8,-4.018173,1.7375218
晋城市,2013-01-20,167.33371,188.69968,90.99855,47.31267,3.7848537,24.60989,269.1822,91.862305,90859.08,-1.2581879,1.3699806
晋城市,2013-01-21,182.32755,212.12769,127.79335,42.717613,4.2163286,20.828163,270.19827,84.07392,91010.42,1.7227722,-1.5965312
晋城市,2013-01-22,247.96133,322.50284,157.21985,59.664215,5.1784124,8.98476,268.575,91.68986,91062.164,1.4574819,1.2659898
晋城市,2013-01-23,136.20094,175.91383,86.303986,40.3071,3.7628014,36.473473,271.87238,52.03608,90464.766,5.1370173,-4.8885837
晋城市,2013-01-24,65.36021,84.5394,53.58843,23.743462,2.5454845,39.35811,268.11154,45.743885,90876.18,5.5832057,-8.466987
晋城市,2013-01-25,53.70865,84.80762,72.75839,25.989233,2.144629,39.002155,270.14966,40.293358,90666.29,4.5082626,-4.4089317
晋城市,2013-01-26,88.443214,113.77745,97.23307,34.488422,2.800198,25.826136,271.5803,45.080307,90878.47,1.5657728,-2.7924242
晋城市,2013-01-27,110.46178,156.06245,82.62563,37.539307,2.9716542,21.138828,273.63742,44.04641,91091.92,1.6910536,-0.6214117
晋城市,2013-01-28,120.97117,181.88231,72.04033,34.4894,3.863707,26.792276,277.26736,30.869205,90644.125,2.9017968,-1.5252917
晋城市,2013-01-29,146.71538,198.18321,78.256004,39.865196,3.8430698,24.280386,276.81927,38.802425,90730.14,0.81253415,-0.036226727
晋城市,2013-01-30,159.53706,231.31255,73.44549,46.77383,4.1862235,20.665115,276.04828,70.266266,90773.32,-0.3575794,3.9368732
晋城市,2013-01-31,106.51807,138.43297,68.10091,41.414124,3.1621299,23.966011,275.2443,93.68202,90506.79,-0.5428154,1.5744498
晋城市,2013-02-01,93.894775,127.54285,87.59671,43.273037,2.9588864,22.502363,275.87115,47.482933,90959.81,0.09796122,-1.6355222
晋城市,2013-02-02,99.82735,130.0876,73.83062,44.25385,1.8806795,21.789066,271.60443,65.19993,91351.3,-0.71958286,3.6947289
晋城市,2013-02-03,90.49675,95.241325,47.067955,33.498524,0.9079014,21.175287,271.83344,89.93349,90359.5,-0.27403286,2.467743
晋城市,2013-02-04,82.43907,118.54735,66.68898,31.867031,1.7309942,26.743343,272.48566,69.43371,90793.734,-1.2751766,-0.97470033
晋城市,2013-02-05,68.663155,80.597176,51.429882,27.817957,1.1643116,34.88146,270.7873,80.157425,90661.06,2.4535923,-0.7105598
晋城市,2013-02-06,87.78256,129.53384,66.16382,34.95732,1.3170668,22.621258,273.28662,48.57001,90781.36,-0.7272357,-2.2499504
晋城市,2013-02-07,82.464615,110.51515,47.55464,27.551544,1.9380802,31.221836,264.00308,70.445755,91431.36,-1.3508103,0.5170184
晋城市,2013-02-08,60.2865,84.01582,67.79088,33.227844,1.1719695,24.616976,263.47134,68.31224,91480.39,1.060376,1.9278272
晋城市,2013-02-09,91.91134,107.17649,70.025,27.879694,0.39078513,38.528446,271.29327,57.34032,90839.15,2.5907645,-0.94088125
晋城市,2013-02-10,160.78723,216.64641,58.00461,33.257744,2.154452,31.836554,270.0447,76.42874,90852.805,-3.7902439,2.4996147
晋城市,2013-02-11,122.993614,144.86455,62.511833,27.725962,2.2572901,28.756199,267.41544,89.906525,91201.99,-0.46782652,1.350632
晋城市,2013-02-12,57.233532,69.18827,45.103783,18.64082,0.81957704,41.867226,270.1168,41.454773,91162.664,5.087031,-4.525786
晋城市,2013-02-13,59.090515,84.85603,71.81485,22.174038,0.39401543,41.836765,272.7914,32.235546,90724.09,2.632318,-2.0423496
晋城市,2013-02-14,79.76474,115.18034,62.75249,28.221487,0.7810368,36.719875,272.19882,38.34391,90768.016,-0.0452453,-4.470694
晋城市,2013-02-15,114.78676,154.4998,74.7133,35.383755,1.1739275,36.31829,270.2644,51.423363,91008.125,-0.2409822,0.7340776
晋城市,2013-02-16,153.96022,214.80576,51.69341,34.26624,1.3767375,25.361698,273.10342,67.56914,90422.05,-1.2887901,5.5015864
晋城市,2013-02-17,134.72975,193.51593,57.469536,28.902594,1.4683775,28.482838,274.9852,55.44695,90326.27,-1.1608979,-3.2107327
晋城市,2013-02-18,78.89293,116.948975,59.04937,29.518787,1.3377985,32.358555,269.8927,68.739365,90822.305,-0.5057646,-0.7218851
晋城市,2013-02-19,87.09398,126.33693,70.78395,33.11723,1.3284512,28.395147,269.55423,57.90684,91081.91,-0.47394878,0.8620408
晋城市,2013-02-20,109.51851,136.79018,73.44205,32.968334,1.4139655,28.852707,272.73322,63.741325,91062.67,0.9685909,0.20382997
晋城市,2013-02-21,90.62017,120.300125,56.80705,33.807083,1.3456004,27.40028,273.94315,48.239296,91222.09,1.8131669,-0.6291707
晋城市,2013-02-22,133.33846,170.4659,70.9582,36.12656,1.7911497,34.430164,274.45355,33.758873,91371.24,-0.102338,-0.9585999
晋城市,2013-02-23,158.35583,192.13426,63.516197,41.582623,1.8729336,33.996624,275.3326,51.41382,91281.83,-1.4362714,1.9335089
晋城市,2013-02-24,158.34848,181.25511,55.284107,42.875206,1.8292935,44.192913,276.87305,59.657013,90886.516,-4.001717,3.7721927
晋城市,2013-02-25,268.02704,312.11813,74.91161,48.46435,2.7334504,34.803295,276.20062,72.15982,90844.8,-1.0150957,2.094954
晋城市,2013-02-26,154.6165,194.65361,74.24293,37.50373,1.8298349,38.09202,279.51697,49.56028,90718.47,-0.11861016,-1.1378727
晋城市,2013-02-27,215.49484,291.9195,92.36973,45.394196,2.2208276,25.457664,279.59003,40.198616,90534.42,-1.2244346,1.3598162
晋城市,2013-02-28,144.79285,187.36734,55.49243,29.177181,1.516174,31.31925,279.47882,55.26751,90040.04,-0.39738217,-2.8917558
晋城市,2013-03-01,36.71125,73.5427,36.475185,19.311466,0.91764086,52.383636,272.1186,28.727066,91243.58,-1.5718817,-3.068478
晋城市,2013-03-02,50.174942,71.1064,56.766216,31.577927,1.0725725,31.131403,272.53308,35.135094,91526.12,2.6071334,2.8017366
晋城市,2013-03-03,47.813755,95.99297,50.31121,18.663519,0.8976631,38.234577,278.47534,20.888556,90999.46,7.5460334,-6.1218176
晋城市,2013-03-04,67.2696,140.32701,71.926765,35.33349,1.944309,30.222576,278.97244,24.53422,91114.05,0.473303,-1.222872
晋城市,2013-03-05,94.191216,151.1741,85.1606,43.677074,1.632562,31.132166,282.17255,30.725622,90710.74,2.0306118,3.7523308
晋城市,2013-03-06,94.920425,139.17773,65.50123,30.261526,1.7260809,36.33587,284.43616,28.14956,90463.05,5.8575697,-5.199342
晋城市,2013-03-07,59.61312,94.68587,65.78363,23.350508,1.7177147,45.04924,285.34503,23.502028,90391.766,6.0439343,-1.95228
晋城市,2013-03-08,77.2944,117.40995,41.7749,20.927853,1.0541238,45.27125,290.28644,18.573788,89970.766,5.489423,-1.4278119
晋城市,2013-03-09,72.28437,151.00046,37.38459,18.402927,1.0969738,50.936462,288.89563,20.671223,89835.7,4.7535214,-4.7725573
晋城市,2013-03-10,36.894203,102.9635,34.652157,22.211277,1.1808285,48.603077,274.1436,22.318903,91176.05,-2.9325368,0.1777941
晋城市,2013-03-11,49.022026,58.238777,45.80559,33.536407,1.265167,36.49531,275.8559,41.456635,90652.766,-1.8278515,5.065036
晋城市,2013-03-12,72.24208,87.82536,53.026592,29.868948,1.4280938,28.311977,280.29532,56.666607,89994.74,2.2050555,-2.1542294
晋城市,2013-03-13,74.926254,88.555435,41.240925,27.017752,1.6487963,38.414852,274.6844,63.775196,91076.97,-4.168455,0.120455205
晋城市,2013-03-14,62.480125,80.21965,46.255314,32.321003,0.9956541,39.07016,273.76935,48.92411,91235.17,-1.4830072,5.12239
晋城市,2013-03-15,88.585754,125.565895,72.06287,41.430237,1.0047793,33.036877,278.89557,46.37304,90755.734,-0.22325905,2.7730987
晋城市,2013-03-16,111.60176,145.54283,56.415527,41.679333,1.1717651,33.330166,279.5844,62.453724,90772.22,-2.7658803,1.8867075
晋城市,2013-03-17,86.468155,107.04205,49.389996,21.892714,1.0683435,51.519737,282.87607,50.1167,90087.42,4.4980817,-4.194457
晋城市,2013-03-18,77.90048,115.73403,30.078808,13.116785,0.9008918,57.314728,285.96835,17.931957,89662.58,8.500452,-4.6959524
晋城市,2013-03-19,90.11473,108.23666,47.635185,28.04745,1.5136517,47.287197,286.2096,24.989143,89532.766,4.07364,0.8617551
晋城市,2013-03-20,64.56452,103.15216,47.74522,31.048502,1.9014686,33.428127,276.924,44.425835,90615.1,-0.032266315,-0.4093771
晋城市,2013-03-21,86.33794,120.813095,51.89731,38.797802,1.3644446,36.200073,279.73578,49.337177,89935.83,1.4248023,5.999099
晋城市,2013-03-22,99.60338,168.24547,56.45582,31.504215,1.6827828,41.334236,280.7818,46.800224,90191.72,-0.5905169,-1.2561841
晋城市,2013-03-23,65.358505,100.53987,39.215916,27.63825,1.0200126,42.87817,282.80722,33.370956,90085.92,3.6642995,0.052784253
晋城市,2013-03-24,65.5768,100.14691,51.638012,29.92919,1.6346089,38.7012,275.6474,35.51104,90594.67,-2.3031914,-1.0481726
晋城市,2013-03-25,62.311127,97.80373,47.830635,39.98593,1.2840292,29.62226,273.94647,49.646538,90602.46,-1.5731157,4.5510893
晋城市,2013-03-26,85.04197,108.30768,46.94022,28.957302,1.2902157,35.91108,277.5737,75.14378,90306.055,2.808848,0.8250473
晋城市,2013-03-27,68.94279,91.68091,49.86505,22.97331,1.2617804,49.388206,286.92145,26.910458,89956.016,5.080065,-0.99566853
晋城市,2013-03-28,68.6814,118.400475,45.993378,24.346302,1.8362315,46.41115,281.48154,40.93678,90376.734,-3.1940353,-1.647239
晋城市,2013-03-29,63.535267,82.2776,46.218597,29.86095,1.2210588,38.01891,277.24496,71.45025,90501.64,-2.358089,4.560731
晋城市,2013-03-30,93.812836,113.20532,48.989708,35.28251,1.7161939,28.961325,279.54028,76.94332,90501.42,-1.4551289,2.5534115
晋城市,2013-03-31,99.27289,135.0759,44.472763,32.568943,1.3598886,39.906567,281.02914,57.95384,90573.55,-0.33870536,6.7144165
晋城市,2013-04-01,72.99309,107.71517,41.74751,22.569569,1.2319075,50.439804,284.1272,40.173195,90459.32,1.9853071,-4.766803
晋城市,2013-04-02,58.517525,88.17597,42.25988,29.551952,1.1184496,50.960438,280.59454,31.20306,90827.48,0.79412735,2.5756042
晋城市,2013-04-03,71.518364,86.47738,42.649574,29.22411,1.0749387,58.41279,283.97162,52.118965,90125.8,0.6704496,2.796438
晋城市,2013-04-04,94.63907,124.19552,41.84402,35.58545,1.494518,51.27525,283.57224,70.10388,89894.38,-3.4420152,5.1816583
晋城市,2013-04-05,70.12945,74.20029,22.912443,13.217857,0.8317815,58.0012,279.99704,43.314964,90308.17,2.669277,-9.530289
晋城市,2013-04-06,28.932892,35.784122,24.037388,12.509717,0.7234811,59.075764,277.36774,22.916296,90408.2,3.2949047,-5.1242523
晋城市,2013-04-07,58.18224,93.312454,53.524895,26.116816,0.9213869,51.328663,282.92426,27.9423,89707.58,4.4739213,2.8104007
晋城市,2013-04-08,58.26905,69.1313,16.180786,9.000719,0.48235908,66.15327,280.33365,21.893265,90180.2,7.386519,-8.110086
晋城市,2013-04-09,25.868801,33.814907,11.508539,6.287062,0.5077934,73.58806,275.46143,15.2263,90784.79,7.7775583,-8.950129
晋城市,2013-04-10,23.615118,34.68543,20.93123,10.257525,0.73863053,62.2134,276.8281,16.47347,90789.42,5.366334,-6.8077135
晋城市,2013-04-11,30.849813,44.778618,34.078465,17.118713,0.8279809,56.551643,282.9464,25.260302,90672.2,5.0572357,-4.1252093
晋城市,2013-04-12,36.51542,51.191887,36.616085,22.86178,0.8741048,56.555767,286.86526,23.329412,90607.42,4.706433,-0.1715487
晋城市,2013-04-13,38.28224,54.66645,31.323505,16.4755,1.1477003,61.66564,290.92776,15.866895,90019.65,7.875655,-2.5264943
晋城市,2013-04-14,53.188774,95.94313,41.56841,29.317041,1.5527774,45.980278,286.50296,38.5747,90004.65,0.03165645,2.643491
晋城市,2013-04-15,70.831635,96.760796,48.016457,25.963308,1.3457818,50.7174,293.4892,19.343307,89391.36,6.9221525,0.5404814
晋城市,2013-04-16,83.52917,110.1082,35.79353,22.416897,1.4216037,49.82043,290.979,26.798767,89424.234,0.9182297,-1.1054552
晋城市,2013-04-17,80.3629,107.11617,41.84102,30.459133,1.5215333,48.49721,286.44357,49.48414,89609.75,-1.0981572,5.1029096
晋城市,2013-04-18,70.0032,123.93431,37.77371,23.509443,1.6920239,49.89326,281.49966,44.398212,90340.484,-6.3429656,-2.2730474
晋城市,2013-04-19,29.053247,36.603577,30.384546,21.36465,1.0191752,54.98414,272.9171,69.818085,90617.664,-4.8682127,0.10326681
晋城市,2013-04-20,59.463997,72.28837,46.138054,24.663677,1.1271977,44.7053,273.05807,86.96962,90707.16,0.36297068,-1.2608922
晋城市,2013-04-21,90.72592,117.098526,51.279274,28.047937,1.2825825,50.354828,280.13727,57.27599,90628.125,-0.4311704,2.0884852
晋城市,2013-04-22,97.86131,115.2916,52.069298,40.846664,1.5296495,32.564964,278.91217,75.126236,90235.484,0.08554368,2.315487
晋城市,2013-04-23,91.78858,103.60101,29.469402,18.734653,0.90575445,50.662468,286.54626,45.314583,90096.83,5.244955,-4.5788946
晋城市,2013-04-24,68.03908,82.13258,24.980274,13.693669,1.1406887,60.351856,288.23746,14.613281,90350.02,4.392975,-4.7712436
晋城市,2013-04-25,40.60221,64.65101,28.823282,15.190573,0.9780092,59.909992,288.46622,15.634661,90487.22,3.0364842,-4.5617065
晋城市,2013-04-26,54.861103,91.24493,42.99361,23.919027,1.1102227,63.012215,291.21323,23.269287,90142.17,3.0845652,1.9393017
晋城市,2013-04-27,82.305756,130.37148,47.547653,31.650333,1.8348923,68.56258,293.122,39.99763,89805.56,-0.20322852,3.3168018
晋城市,2013-04-28,74.579025,98.95809,41.43752,28.086605,1.328296,69.32207,292.4677,37.416153,89977.59,1.3967539,0.036136985
晋城市,2013-04-29,64.68565,82.43631,29.700413,21.577309,0.73322374,56.04836,288.15128,29.63821,90535.75,-2.11406,-3.3066144
晋城市,2013-04-30,56.085278,86.64186,45.46778,28.117285,1.0585141,56.882862,290.37238,24.07046,90458.08,1.0081952,-0.9149982
晋城市,2013-05-01,92.03864,137.25337,51.440987,35.552822,1.2856089,55.018738,290.87134,25.140347,90308.625,-0.12509385,3.1125305
晋城市,2013-05-02,87.492485,121.73407,41.08459,34.364067,1.3572074,65.12805,289.49844,30.111614,90074.95,-0.45528597,3.4182823
晋城市,2013-05-03,91.09472,133.93784,44.69877,31.497232,1.3028218,74.16369,289.81253,40.152435,90306.93,-2.4812853,-0.027096266
晋城市,2013-05-04,104.846596,139.35419,51.317432,35.887337,1.2032509,80.73601,287.61792,50.67018,90726.42,-0.66626495,3.1374784
晋城市,2013-05-05,101.00908,140.0416,46.231346,35.082058,1.1326435,89.136345,288.96857,49.97181,90678.41,-1.2758133,3.501105
晋城市,2013-05-06,75.05712,96.68721,27.194355,27.266003,0.8755838,82.7985,287.075,82.20546,90526.31,-3.619461,3.2245183
晋城市,2013-05-07,84.7271,104.99042,32.67843,29.937458,1.0871246,64.43629,287.72113,68.03118,90532.64,-3.195897,0.8822198
晋城市,2013-05-08,77.52449,88.96746,37.153137,25.892279,1.148476,57.283367,287.6911,82.97044,90289.14,-1.4177135,0.42212588
晋城市,2013-05-09,71.60906,83.20827,23.21281,16.433178,0.6318009,66.5119,289.64087,55.082092,90056.016,4.332896,-4.7604384
晋城市,2013-05-10,50.173004,67.44269,21.348852,12.707456,0.6760081,77.22533,290.11707,16.049366,89986.08,5.646874,-5.5444155
晋城市,2013-05-11,31.273584,56.217285,32.573677,16.90067,0.63088185,82.129745,293.90646,14.436129,89551.45,6.5603004,-1.8474013
晋城市,2013-05-12,40.71218,63.59458,32.301476,17.906395,0.6383062,80.6611,297.3257,14.243869,89410.85,6.496483,-0.16467029
晋城市,2013-05-13,49.329704,84.63923,42.13438,25.51189,0.7507322,92.87541,298.42084,20.589016,89500.28,2.4233642,3.3611095
晋城市,2013-05-14,75.3508,114.3374,35.043266,27.202692,1.0098183,68.267365,294.34174,32.49279,89869.08,-3.974324,-0.5093886
晋城市,2013-05-15,43.96395,72.51842,31.480038,20.006845,0.81237495,86.22918,291.99902,26.031403,90312.234,-8.036908,-1.6334698
晋城市,2013-05-16,43.864918,70.82493,41.977043,24.828009,0.8034323,72.48156,288.87323,43.098885,90502.64,-4.093945,0.40869746
晋城市,2013-05-17,68.8635,96.40266,47.709812,28.120905,0.7977045,85.14777,289.39752,50.380497,90312.68,0.45298728,-0.13960057
晋城市,2013-05-18,85.254074,93.466866,40.69889,20.176483,0.8297766,83.07346,291.21573,55.060432,89806.02,1.745994,-0.1734992
晋城市,2013-05-19,83.32336,101.84999,29.844015,16.347467,0.63484883,74.21105,294.52475,29.012716,89586.17,6.60586,-4.616279
晋城市,2013-05-20,74.178825,139.5387,43.78332,28.348352,0.6325158,65.07119,292.40924,15.304889,89719.586,1.2420094,0.78679466
晋城市,2013-05-21,69.34865,120.15468,32.883995,30.237219,0.7843527,84.602036,297.4625,30.045582,89406.984,3.35049,4.298244
晋城市,2013-05-22,110.66414,151.30446,42.96337,40.46354,1.0065563,84.04789,296.83786,44.641685,89792.48,-2.1569552,2.8747396
晋城市,2013-05-23,85.99962,100.860825,34.203724,25.186184,0.8806931,93.23744,292.62003,63.538055,90230.984,-2.3171124,-0.2680831
晋城市,2013-05-24,142.39334,161.1409,37.796944,27.14011,1.2608945,78.107056,293.45538,57.620735,90261.016,-1.0105188,-0.055218022
晋城市,2013-05-25,104.86073,108.05813,35.11162,32.65024,1.1392214,66.273735,291.9493,71.932205,90149.35,-3.4363842,1.3518362
晋城市,2013-05-26,74.61662,66.15785,29.82489,22.228695,1.1300461,70.50872,290.3371,84.66806,89582.47,-5.002101,-3.688041
晋城市,2013-05-27,76.44394,76.471115,34.193108,23.07348,1.090791,73.30259,292.23297,66.02678,89634.77,-1.1149671,-3.1610982
晋城市,2013-05-28,55.938465,72.28038,27.98869,25.088844,0.6470955,57.146057,290.72397,72.53078,89929.56,2.5012553,-1.6531919
晋城市,2013-05-29,48.117443,58.777508,20.436298,14.570059,0.43908015,63.761536,290.21567,23.136442,90421.14,3.2141347,-6.236155
晋城市,2013-05-30,58.319996,87.7939,36.384045,27.577612,0.620264,66.61037,291.3698,32.648705,90195.2,1.9979872,-0.74887604
晋城市,2013-05-31,62.85901,83.13617,36.18757,23.979134,0.46356973,64.34843,292.8734,33.518272,89683.734,3.8752499,-2.2689435
晋城市,2013-06-01,79.018814,116.758766,37.152287,30.484783,0.7525841,74.3062,295.14655,32.569252,89739.98,-0.10561659,-0.7574566
晋城市,2013-06-02,86.42262,130.66385,34.34118,37.48784,0.7598548,89.01085,294.91623,43.96884,89820.66,1.1781315,4.6570587
晋城市,2013-06-03,69.629654,132.40225,44.90175,29.06756,0.665386,92.201614,297.4871,38.15088,89877.69,0.8858787,2.8527212
晋城市,2013-06-04,78.55027,121.90945,31.197638,31.775604,0.7662294,86.54445,296.77985,39.542213,90169.39,-1.1874627,7.0478487
