city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
普洱市,2013-01-01,27.281342,29.392841,9.985825,2.1070151,0.29468998,58.511845,282.5229,94.54134,86060.336,-0.3649101,3.0276816
普洱市,2013-01-02,22.915445,25.342087,7.958809,1.9405692,0.27218652,65.06237,285.91055,84.61145,86048.09,1.4673647,3.0582774
普洱市,2013-01-03,29.37498,32.009087,9.010006,2.3488898,0.30643073,62.326714,284.5631,94.802734,86266.4,-2.283008,3.6499043
普洱市,2013-01-04,35.2971,37.821583,9.70643,2.0385337,0.3487653,61.630245,284.89996,90.14659,86123.98,0.64317226,3.5023997
普洱市,2013-01-05,26.181416,28.715927,6.967452,2.0110075,0.30017367,69.283485,286.57666,79.43761,85958.87,2.4903438,2.4562562
普洱市,2013-01-06,24.581705,27.11183,6.3651266,2.0185344,0.2982889,72.08904,285.60947,76.56356,86033.14,1.1226012,2.8824372
普洱市,2013-01-07,23.870285,26.216106,5.949121,1.6653978,0.28920767,72.69426,286.1306,76.21529,85972.79,3.0594022,3.8622577
普洱市,2013-01-08,18.764406,20.407562,3.9628832,1.665146,0.25852862,73.39068,286.08908,68.22442,85907.164,4.4746532,2.7558475
普洱市,2013-01-09,25.486393,27.672106,5.9109206,1.9995958,0.2973576,71.05421,283.12177,78.799446,85965.07,-0.2941235,2.570855
普洱市,2013-01-10,38.86138,41.522846,8.4684305,1.8024682,0.36753824,64.3496,281.6298,90.38795,85933.06,-1.3419632,4.5352526
普洱市,2013-01-11,48.799507,52.269814,10.206784,1.826511,0.43010074,64.33303,281.75223,92.39374,85985.734,-1.8460054,4.0503755
普洱市,2013-01-12,57.453384,61.63678,10.402714,1.9290979,0.488477,64.68014,281.52072,90.093124,86100.195,-1.8315207,2.9375765
普洱市,2013-01-13,47.83788,51.558445,8.508196,1.9850658,0.43689385,69.51163,281.96194,85.25266,86032.836,0.074507944,1.7842407
普洱市,2013-01-14,37.54127,41.07188,7.429085,1.9953907,0.3897512,73.956795,283.82098,83.64942,85984.54,1.1032418,3.097271
普洱市,2013-01-15,29.175604,32.15879,6.187587,1.9802788,0.33976173,75.90552,284.77753,75.481636,86187.305,0.757251,2.4610567
普洱市,2013-01-16,31.84215,35.269413,6.7293534,1.9487965,0.36623594,76.785194,285.59445,76.24342,86324.76,1.2641618,2.8218536
普洱市,2013-01-17,32.751274,36.09021,6.855731,2.037672,0.3702778,76.81836,285.36313,77.85391,86511.2,-1.4805526,2.3511813
普洱市,2013-01-18,48.512203,52.477818,11.248406,1.8763613,0.45856184,68.1791,283.71448,91.80847,86639.52,-1.7298217,3.4620776
普洱市,2013-01-19,42.959023,46.534534,9.635244,2.0474234,0.4155907,72.48456,285.41748,81.489395,86319.9,2.0069892,1.941546
普洱市,2013-01-20,26.395836,28.811922,5.865949,1.9365016,0.3125778,77.084435,286.97104,69.03486,86227.89,2.9859426,1.5271256
普洱市,2013-01-21,22.051218,24.466713,5.1710534,2.0542846,0.2787568,80.11029,287.4601,61.51763,86305.04,2.3766549,1.3765233
普洱市,2013-01-22,25.531488,28.594452,6.251733,1.965955,0.29576966,81.188805,287.53088,62.34385,86306.11,1.4036545,1.4926687
普洱市,2013-01-23,23.126703,25.814224,5.7131596,1.8546072,0.27660784,81.00861,287.4285,64.53137,86184.6,2.2958977,2.1696599
普洱市,2013-01-24,13.413823,14.968957,3.4413795,2.0364287,0.21688358,79.69875,287.1857,53.89369,86139.24,1.9415259,0.6909691
普洱市,2013-01-25,24.557526,26.767483,5.8945885,1.7359442,0.29026252,77.99551,286.7195,63.43751,86100.14,0.7705332,2.9868073
普洱市,2013-01-26,24.04608,26.345222,5.970634,1.796309,0.2955622,76.47503,286.35635,61.32954,86071.36,0.6082813,1.9250633
普洱市,2013-01-27,35.74058,38.55106,7.541886,1.7686,0.37121803,73.72921,285.23785,72.68588,86264.07,-2.1652668,3.3067741
普洱市,2013-01-28,41.373352,44.738888,9.95138,1.5683757,0.41355705,73.40507,284.9493,79.303444,86257.09,-0.65519845,3.5205505
普洱市,2013-01-29,43.838524,47.845844,9.1249895,1.8557918,0.4248164,71.20626,285.26587,84.245125,86252.19,0.004580404,3.0489445
普洱市,2013-01-30,40.469143,44.09331,7.7332416,1.8449987,0.41060117,71.24534,286.1478,90.11627,86269.98,0.12247472,2.411978
普洱市,2013-01-31,21.544163,23.418564,4.1039057,1.8784581,0.2884301,77.32368,287.0439,71.66095,86329.61,2.7428346,0.5045182
普洱市,2013-02-01,13.154272,14.618161,2.9288979,2.1672995,0.22660019,82.83694,286.86795,51.0724,86374.09,1.5850646,1.0445067
普洱市,2013-02-02,21.96706,24.666569,3.377712,2.453109,0.26637346,90.96829,286.97192,60.75609,86395.93,0.18453898,1.9973298
普洱市,2013-02-03,29.51483,33.313515,3.9355793,2.5739007,0.30201763,87.21342,286.1579,76.647095,86325.71,0.22504915,1.7497035
普洱市,2013-02-04,25.600668,28.487658,3.3439121,2.2968185,0.26960152,90.92905,287.86548,65.52189,86323.69,2.9219017,1.2070708
普洱市,2013-02-05,16.736774,18.78489,2.4033391,2.4069796,0.22656918,83.52961,288.7701,46.72253,86405.5,3.240997,-0.8824714
普洱市,2013-02-06,13.94878,15.708702,2.169884,2.393185,0.20396908,80.391884,289.924,40.856262,86185.49,4.1310306,-0.6631831
普洱市,2013-02-07,12.49432,13.995479,2.168913,2.165321,0.18282387,78.831375,291.12186,38.59099,85914.98,4.879798,-1.8038874
普洱市,2013-02-08,17.478233,19.819887,3.1019511,2.505268,0.21933612,85.510544,290.36786,44.51004,86034.875,1.3456547,0.3935342
普洱市,2013-02-09,39.96194,44.211773,7.5736327,2.750819,0.38597578,90.302246,288.5669,69.58109,86197.555,-0.5756381,4.305154
普洱市,2013-02-10,35.0545,38.897423,5.8288274,2.5286436,0.34832218,87.260666,289.1147,69.591675,86156.83,1.8822298,3.0792935
普洱市,2013-02-11,26.536295,29.698854,3.620404,2.329576,0.27696168,87.80989,290.3779,61.492153,86101.81,3.3549428,1.4101083
普洱市,2013-02-12,30.446606,34.316437,4.5496025,2.5467012,0.31177148,91.052536,289.8016,66.47195,86223.58,-0.073721275,2.2277532
普洱市,2013-02-13,40.41342,44.5623,6.5142493,2.5840132,0.38000944,87.23625,288.79373,86.75571,86144.59,0.014769895,3.9730885
普洱市,2013-02-14,33.244335,36.862316,4.589672,2.3912778,0.32128286,91.40383,290.63818,75.19334,86055.11,2.9517791,2.7023106
普洱市,2013-02-15,26.503752,29.54606,3.4140577,2.300226,0.2753095,93.424576,291.11438,62.545177,86098.3,1.9524369,1.5920111
普洱市,2013-02-16,38.055992,42.45165,5.3506284,2.3993175,0.35877618,97.24768,290.78168,72.715164,86055.34,1.2000271,3.0708907
普洱市,2013-02-17,34.88729,39.334614,5.1780276,2.449287,0.32637662,101.99823,291.8001,66.54074,85912.945,3.1236727,2.4157224
普洱市,2013-02-18,23.12964,25.55611,2.366438,1.9840058,0.25466752,86.27128,291.50647,61.730385,85804.19,5.614874,1.9180136
普洱市,2013-02-19,14.17794,15.738461,2.2870793,2.1764379,0.20486774,75.82771,290.47238,54.43193,85906.266,2.8792422,0.57399184
普洱市,2013-02-20,26.106941,28.824354,4.4265304,2.4814403,0.29510313,83.48473,290.09653,61.991215,86032.2,0.98881274,2.808195
普洱市,2013-02-21,37.224136,40.74505,6.413853,2.576254,0.37018374,80.145134,289.1277,74.03318,86150.01,-0.4736341,3.4782887
普洱市,2013-02-22,42.479446,46.411682,6.664732,2.6507916,0.4041009,79.74666,287.89786,85.8919,86408.01,-2.5210192,3.27517
普洱市,2013-02-23,37.584354,41.700443,5.7409306,2.323049,0.35855576,85.84916,287.45728,79.28606,86491.375,-1.8552911,2.854093
普洱市,2013-02-24,35.12608,39.34904,5.2670774,2.5034442,0.34655035,95.61713,290.12576,65.84354,86306.43,0.85126793,2.3027792
普洱市,2013-02-25,30.17912,33.692818,3.8833892,2.3712103,0.30564678,98.36786,291.75934,55.12583,86186.766,2.4543352,1.8992225
普洱市,2013-02-26,18.499786,20.742779,2.5768538,2.1565235,0.2253299,89.94894,292.43576,41.53378,86140.3,3.899745,-0.6727099
普洱市,2013-02-27,13.838964,15.548003,2.5439599,2.1671567,0.1955328,85.859024,292.58856,34.21312,86004.24,4.5991178,-0.9704357
普洱市,2013-02-28,13.391194,14.934661,2.5221605,2.0951016,0.19236696,84.290794,292.75037,31.476252,85840.57,5.5144944,-0.7563101
普洱市,2013-03-01,17.677572,20.090033,2.3838518,2.480612,0.22319363,93.9319,293.17615,29.924688,85943.836,4.6331825,-0.37985346
普洱市,2013-03-02,38.14588,45.025963,3.6241374,3.4167402,0.36423,117.884766,293.17517,29.715733,86248.48,0.1685254,0.897536
普洱市,2013-03-03,53.183258,58.53439,9.573937,3.6163359,0.4869945,98.19997,287.5598,77.99119,86499.24,-4.361541,3.3620737
普洱市,2013-03-04,58.803024,65.74005,9.876422,3.3353498,0.50583935,98.10588,285.91592,85.25807,86559.89,-2.9345329,3.2492108
普洱市,2013-03-05,63.005253,71.260635,8.991665,2.9886944,0.5277605,107.484604,288.1706,75.575806,86496.73,-0.6163019,2.4463427
普洱市,2013-03-06,72.36979,85.0332,8.072236,3.5970004,0.6349576,126.143234,290.38293,64.52567,86366.234,0.67355627,2.8211162
普洱市,2013-03-07,82.94685,96.98317,7.4883804,3.3587437,0.68163806,136.19217,291.25333,56.89219,86390.3,-0.6999971,1.9044336
普洱市,2013-03-08,99.923935,118.16067,8.433295,3.6036267,0.8293129,135.652,290.61487,66.312,86236.46,0.3120218,2.1098583
普洱市,2013-03-09,86.5288,99.546265,6.550382,3.047945,0.73054767,132.36157,290.9282,59.979546,85956.08,3.3699198,1.6026145
普洱市,2013-03-10,58.33098,69.21672,4.3323555,2.9691975,0.50270975,125.47153,292.0445,37.11668,85971.96,2.5151298,0.3555551
普洱市,2013-03-11,69.16629,83.14982,4.9079127,3.658541,0.58817464,138.4164,292.32852,35.628883,86009.0,2.757767,2.267691
普洱市,2013-03-12,64.699005,77.19476,5.0379877,3.4795055,0.555872,125.41249,291.39163,42.013763,85910.555,4.162827,0.32097137
普洱市,2013-03-13,46.056915,54.035454,5.8017726,2.406082,0.4060125,111.25153,291.09158,41.360855,86031.29,3.1373587,-1.9529119
普洱市,2013-03-14,51.492725,61.368217,5.9838967,3.1120443,0.45799494,126.043396,292.51697,35.73246,86188.98,2.1606405,0.9203878
普洱市,2013-03-15,62.71074,73.97907,6.1573167,3.5604196,0.54892987,130.68298,293.14038,39.413544,86259.766,2.5213494,1.7018403
普洱市,2013-03-16,54.442524,63.50281,4.4098754,3.0850527,0.48016837,128.81857,294.40576,34.678566,86226.83,5.942017,-0.22752242
普洱市,2013-03-17,51.366898,58.11803,4.5610766,2.7821188,0.44120902,120.45094,294.52054,34.844578,85985.6,6.6164017,-1.8480622
普洱市,2013-03-18,38.92239,44.10561,4.396494,2.994968,0.36759213,111.85241,293.80942,32.384453,85691.164,4.8456573,0.26689523
普洱市,2013-03-19,40.374744,45.385323,4.6060066,2.698162,0.37094337,112.1139,292.50256,40.179596,85648.8,6.1733394,-0.30004063
普洱市,2013-03-20,24.910206,28.086548,3.5969303,2.3100939,0.2632115,98.44974,291.62473,32.486507,85887.27,3.0039032,-1.9923177
普洱市,2013-03-21,38.638596,44.963367,4.213065,3.024186,0.36688262,123.50116,293.0779,29.868942,85810.2,3.6903577,0.5347367
