city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
林芝地区,2013-01-01,1.1052666,1.2192625,0.11351398,0.54167414,0.11405508,82.00956,266.87253,39.549946,60858.74,2.7317548,-2.7355254
林芝地区,2013-01-02,2.6423059,2.8815892,0.22009884,0.7389236,0.11373165,80.943665,269.50787,51.624664,60821.387,4.1704574,3.6720335
林芝地区,2013-01-03,8.340594,8.986788,0.89755905,0.6761995,0.1555283,86.26025,265.75995,71.70848,60628.66,4.758154,6.923029
林芝地区,2013-01-04,9.213207,10.023398,1.1542656,0.5877785,0.16179538,84.04985,265.4391,67.61891,60647.027,4.9611464,3.5608516
林芝地区,2013-01-05,9.2131605,9.981028,1.1727514,0.59735113,0.15190674,85.89738,266.22937,61.221752,60503.566,6.790449,4.838187
林芝地区,2013-01-06,8.804545,9.539007,1.1947328,0.565611,0.16022119,88.1155,264.7389,58.520714,60444.777,7.6583414,6.5658913
林芝地区,2013-01-07,10.363959,11.191213,1.3663871,0.6154273,0.1785119,87.19879,263.02933,64.08433,60303.35,5.429728,6.529714
林芝地区,2013-01-08,16.378998,17.751753,2.1967227,0.62804216,0.20618871,87.18143,261.5722,73.60319,60310.633,2.4896584,2.8643827
林芝地区,2013-01-09,9.5654955,10.421754,1.1848474,0.6415486,0.15309207,78.66709,263.33636,66.51918,60414.16,1.9104773,0.9901432
林芝地区,2013-01-10,7.4753447,8.135608,0.8222633,0.6714822,0.14049844,78.58809,261.9026,78.75098,60322.004,0.43813866,1.1321362
林芝地区,2013-01-11,3.9733243,4.363009,0.41605216,0.58908045,0.124189116,76.06405,262.0073,68.95461,60488.887,0.38172832,-0.49161196
林芝地区,2013-01-12,0.81974167,0.90846497,0.08340966,0.41299343,0.11542837,78.27367,263.8484,36.32093,60809.426,2.7435732,-5.1030836
林芝地区,2013-01-13,1.5167167,1.7375029,0.11049365,0.69811726,0.112057164,73.36713,265.68887,52.3732,60714.574,2.5980978,1.7089053
林芝地区,2013-01-14,3.08243,3.4224262,0.2323966,0.71016943,0.117383145,78.12738,263.96436,66.78311,60597.113,1.9203297,1.2950543
林芝地区,2013-01-15,1.8862041,2.155334,0.13188139,0.62348294,0.11312522,78.89304,265.93063,51.562103,60843.14,3.688685,0.67662114
林芝地区,2013-01-16,2.322555,2.5975363,0.165491,0.6219724,0.10998071,73.085335,266.91034,53.706936,61037.69,4.4403915,0.7675987
林芝地区,2013-01-17,1.2617279,1.4276828,0.08144333,0.6604254,0.10246077,67.26688,269.14557,42.44889,61273.914,4.1345253,0.4527416
林芝地区,2013-01-18,1.5467981,1.7428434,0.11765749,0.69496477,0.09609476,74.77505,269.60562,50.53438,61378.63,3.6487393,1.6453983
林芝地区,2013-01-19,3.0152333,3.3457448,0.3269345,0.6111886,0.10707527,82.46599,267.81372,58.724747,61031.547,5.6582036,5.1988587
林芝地区,2013-01-20,6.8863435,7.535396,0.8161685,0.5942316,0.13905399,86.66679,265.1261,68.28382,60679.88,7.1858892,7.651156
林芝地区,2013-01-21,8.026737,8.773717,1.0355701,0.576578,0.15096663,86.33391,263.24072,65.5897,60765.496,5.5036855,5.8407826
林芝地区,2013-01-22,2.9937246,3.3192356,0.34846982,0.5772422,0.12030719,80.34584,262.49323,56.998642,60964.434,0.93994975,0.656336
林芝地区,2013-01-23,2.2034752,2.454426,0.20883928,0.59094524,0.10626316,80.38241,262.83322,59.20452,60885.484,1.2092725,0.5515381
林芝地区,2013-01-24,2.2112007,2.4541717,0.16886581,0.5966526,0.105289295,80.72672,263.0275,56.55393,60777.848,0.5828613,2.5854268
林芝地区,2013-01-25,2.5554721,2.8432121,0.19526634,0.5743924,0.116090134,86.38614,262.05106,56.48144,60756.92,1.9290452,0.18292902
林芝地区,2013-01-26,1.008407,1.1267432,0.059193872,0.5672626,0.11552532,83.44584,263.1817,46.298355,60802.375,0.50567806,-0.9373837
林芝地区,2013-01-27,1.9774746,2.228714,0.13471337,0.6096739,0.1095809,78.66106,263.01633,63.06893,60839.74,1.2673094,1.2522082
林芝地区,2013-01-28,0.7913434,0.88240737,0.05233635,0.51580435,0.11504913,80.507774,264.1646,39.823803,60972.715,2.0179846,-1.7719855
林芝地区,2013-01-29,1.9252801,2.1626856,0.12288817,0.6651345,0.10248058,81.134575,265.27878,51.210922,60876.652,2.6370192,3.6673849
林芝地区,2013-01-30,3.486051,3.860344,0.24091214,0.6704634,0.11124517,85.796974,262.95703,72.870026,60896.484,1.0843363,2.9899304
林芝地区,2013-01-31,1.7675458,1.9854856,0.116807275,0.62485945,0.11300668,80.76633,264.60693,57.860443,61073.96,2.025119,0.5371241
林芝地区,2013-02-01,2.752974,3.0540898,0.16589029,0.65531874,0.114884734,85.29977,264.8706,70.40448,61070.902,0.5937661,3.1909769
林芝地区,2013-02-02,3.4129944,3.755042,0.22269537,0.66428447,0.117979735,88.00464,263.90112,76.840866,60956.098,1.0786076,4.78125
林芝地区,2013-02-03,4.3244953,4.785398,0.2695326,0.69001234,0.1258814,83.510895,262.90433,79.42418,60909.586,1.1756743,2.462246
林芝地区,2013-02-04,2.2995462,2.5568714,0.15943198,0.6212402,0.11670612,74.498726,264.38843,67.00874,61087.34,2.2063718,-0.2916937
林芝地区,2013-02-05,1.05978,1.2060633,0.066057734,0.676115,0.098568104,71.06795,269.15353,51.057148,61437.934,2.0958362,-0.117540486
林芝地区,2013-02-06,1.9850323,2.2231672,0.23547193,0.6682886,0.09051291,74.32837,271.04193,49.478676,61335.812,5.494273,0.76546276
林芝地区,2013-02-07,3.711767,4.1206055,0.48856214,0.6240056,0.100407176,79.80757,270.21448,59.78182,61007.375,5.9461737,3.475826
林芝地区,2013-02-08,8.364982,9.135333,1.1528076,0.5665942,0.12295069,82.93344,267.8955,67.797165,60801.45,7.094871,6.660872
林芝地区,2013-02-09,7.0261292,7.712029,0.8396014,0.6133077,0.13197283,90.1448,264.78955,65.23396,60916.066,3.9381607,2.6717284
林芝地区,2013-02-10,2.7372503,3.0328867,0.24177545,0.61601686,0.10722666,90.83452,265.83997,55.205986,60964.703,3.0536456,2.210152
林芝地区,2013-02-11,2.9494362,3.2566648,0.22939739,0.5453447,0.10528096,79.60033,267.43124,62.207806,60967.203,4.779021,2.3086305
林芝地区,2013-02-12,3.457582,3.7803698,0.23034498,0.58984727,0.10056903,77.48399,268.54675,57.86719,61055.453,5.3794394,3.405855
林芝地区,2013-02-13,3.7255394,4.071345,0.28562286,0.50801307,0.10504218,81.17133,268.0556,59.212395,60876.434,7.0549707,5.063943
林芝地区,2013-02-14,5.5216875,6.057666,0.4720156,0.4935047,0.122599274,83.87287,266.9243,65.28915,60784.74,7.1061907,4.9944
