city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
枣庄市,2013-01-01,84.182976,191.72101,79.66395,54.719803,2.2761316,16.91064,268.6105,57.794437,101165.3,3.0007322,-4.924983
枣庄市,2013-01-02,30.370628,71.88142,64.97385,37.058056,2.049417,34.972458,263.29666,45.121826,102508.54,0.48956302,-7.292026
枣庄市,2013-01-03,39.397873,73.55041,89.42508,45.264725,2.482573,32.344856,262.65506,46.51575,102963.51,0.47943035,-6.0212936
枣庄市,2013-01-04,71.82127,120.20938,105.00111,57.582455,2.3898704,26.721937,263.89148,43.46903,102222.28,-0.7024889,-1.8029842
枣庄市,2013-01-05,124.58956,188.62039,114.1075,74.54497,2.6973186,19.511232,266.48566,41.279655,101699.72,0.0983696,-1.9554181
枣庄市,2013-01-06,130.794,210.99022,149.26956,92.13763,3.2570689,12.807119,268.17273,46.011917,101653.336,-0.40329832,-1.5442079
枣庄市,2013-01-07,152.31886,237.46426,152.1568,96.467445,3.1956713,16.628803,270.45923,50.83494,101395.625,-0.8183415,0.856982
枣庄市,2013-01-08,188.98148,285.07434,129.26454,104.47392,3.5961964,13.379348,270.5609,56.717075,101635.66,-0.8673533,-3.782044
枣庄市,2013-01-09,122.62772,206.0587,120.683075,76.188995,3.3785338,15.170997,268.61813,66.20997,101946.86,-0.8913566,-3.167436
枣庄市,2013-01-10,123.61268,184.9409,104.74616,67.81297,2.619938,20.988272,270.62396,68.937706,101794.01,-2.6294954,3.4466379
枣庄市,2013-01-11,121.92427,192.39674,85.95068,69.42108,2.3709464,17.412949,273.46167,71.46264,101445.66,1.1118102,3.3762012
枣庄市,2013-01-12,180.30502,281.83887,123.533936,89.80164,3.4378142,21.597347,273.71442,56.740547,101400.875,-2.7868958,1.6000284
枣庄市,2013-01-13,160.71693,256.20706,83.88008,78.96155,2.9021127,18.240702,274.35037,79.477165,101069.234,-3.4594164,1.6803353
枣庄市,2013-01-14,259.201,406.49908,69.43199,98.408775,5.5714116,15.231446,273.28058,80.283775,101412.22,-2.3243282,-1.2644337
枣庄市,2013-01-15,154.21954,230.40794,62.738308,57.7528,2.3806422,20.693928,273.21466,86.463585,101374.125,-1.7391117,0.68025076
枣庄市,2013-01-16,176.02882,303.8545,133.42233,82.89132,3.9840126,11.793804,271.79037,70.583206,101820.875,-2.1136255,-4.2141805
枣庄市,2013-01-17,136.48068,223.41934,107.676544,73.48435,3.115494,18.904984,269.37625,62.498814,102598.38,-0.121936515,-4.603977
枣庄市,2013-01-18,134.3726,221.71043,98.9082,70.79554,2.743587,23.133932,271.04877,50.481426,102106.51,0.83014923,3.3870885
枣庄市,2013-01-19,109.53455,195.00119,93.65889,72.952835,2.1808472,22.633614,273.6012,54.67132,101592.836,-3.665839,3.0909793
枣庄市,2013-01-20,141.98846,204.53754,56.97253,57.768356,2.449624,19.666517,273.80652,88.04086,101395.33,-4.9077635,-1.7769337
枣庄市,2013-01-21,115.10184,151.8057,70.83174,54.551914,2.832944,7.8301992,273.14362,89.743614,101404.914,0.50941056,-5.678217
枣庄市,2013-01-22,147.4654,205.83078,100.93327,61.266087,3.32347,11.130303,271.31247,71.24073,101682.695,-0.649634,-3.205858
枣庄市,2013-01-23,145.85294,187.56473,73.10123,51.88202,2.5864055,22.28055,273.71097,74.70916,100946.09,2.0719197,3.8292089
枣庄市,2013-01-24,141.59297,202.3578,87.68692,59.52623,2.772111,18.630972,272.79666,62.51703,101154.78,2.6993482,-4.9218225
枣庄市,2013-01-25,148.03966,200.60121,76.06247,72.735825,2.5288355,23.66791,272.9715,62.314735,101135.36,1.7205588,-0.7905356
