city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
梅州市,2013-01-01,34.65041,42.253555,14.178918,15.007507,0.38894597,49.374676,281.4775,47.115257,98450.914,-1.1583254,-2.5619545
梅州市,2013-01-02,47.04109,56.503864,13.753799,16.638954,0.46512932,44.4609,283.55612,60.743534,98515.9,-0.779055,-3.4288013
梅州市,2013-01-03,42.87738,49.416504,14.709763,13.723685,0.4783846,38.36636,282.5525,75.501526,98862.52,0.38193834,-6.874893
梅州市,2013-01-04,38.345566,43.441364,11.804441,12.198705,0.43963447,33.77847,277.5234,77.20965,98712.64,0.9023065,-5.9049916
梅州市,2013-01-05,47.685223,55.252068,12.494618,13.63351,0.52418774,35.354206,278.86194,79.2113,98388.9,1.0087562,-5.005327
梅州市,2013-01-06,50.38013,59.27411,12.254367,11.526395,0.5225743,41.490353,279.7477,79.9896,98443.68,1.2429353,-4.944617
梅州市,2013-01-07,49.395424,61.67378,12.787739,11.900498,0.5610179,46.21128,282.4036,79.012375,98340.125,0.8348505,-3.8685966
梅州市,2013-01-08,50.573547,67.4447,13.375926,11.497329,0.5898175,52.68334,282.95078,77.97969,98317.48,0.7377013,-4.5744753
梅州市,2013-01-09,59.042126,76.95654,17.48745,10.315742,0.67997634,55.762375,281.11792,73.19,98457.805,0.34644112,-6.097776
梅州市,2013-01-10,59.47099,69.874344,17.638721,12.88379,0.62262946,48.059143,282.2534,73.00235,98518.11,-2.0911381,-4.0406604
梅州市,2013-01-11,33.40925,37.62457,10.301229,10.626467,0.4037179,52.150074,283.93134,75.762856,98562.25,-1.5580008,-3.9064057
梅州市,2013-01-12,40.056248,43.916885,10.592351,11.291821,0.44064018,49.72313,284.76703,77.10025,98356.37,-0.15093976,-4.1781673
梅州市,2013-01-13,50.775536,55.987907,10.9480095,10.583462,0.52671933,50.11268,284.23502,78.27174,98048.266,0.8729254,-5.6321225
梅州市,2013-01-14,45.20297,50.445942,11.923472,12.0547285,0.47316918,54.285225,283.53378,63.87293,98357.14,-1.7712045,-2.9633553
梅州市,2013-01-15,49.24944,53.12221,12.465978,16.25538,0.5056536,55.621532,285.07806,54.929527,98599.69,-2.3931708,-1.2754408
梅州市,2013-01-16,61.36638,67.72355,13.739492,12.829427,0.5674604,57.39737,285.57645,65.538536,98624.3,-0.329236,-3.5129094
梅州市,2013-01-17,79.034035,96.8825,22.236542,13.8047085,0.8391697,49.980293,283.82053,75.74635,98956.25,-0.9103824,-5.832114
梅州市,2013-01-18,49.971832,54.114265,15.349685,13.366658,0.5513062,52.078312,281.75934,58.430084,99097.16,-3.0087042,-4.1219945
梅州市,2013-01-19,30.124355,32.324707,8.956752,14.442041,0.3906868,53.535156,283.43265,59.514824,98754.96,-4.4782333,-0.48390815
梅州市,2013-01-20,29.320686,31.98153,7.728656,13.735519,0.4017902,56.24637,288.17502,75.91107,98570.72,-4.1521754,2.1290753
梅州市,2013-01-21,35.715775,40.151855,8.470435,16.107101,0.47845978,58.06269,290.24487,80.119606,98502.445,-2.1535356,0.5740789
梅州市,2013-01-22,52.995705,63.44175,13.866524,12.095632,0.607138,52.15722,287.70087,82.78609,98529.07,0.38041976,-4.887361
