city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
榆林市,2013-01-01,10.482463,13.2427845,13.37179,9.083849,0.35261196,42.91948,259.79984,54.406593,88094.47,2.1844409,-4.559342
榆林市,2013-01-02,17.121035,21.18836,16.846704,14.040212,0.41266516,40.388107,254.3967,56.811306,89181.36,-0.7935325,-3.8498695
榆林市,2013-01-03,23.406048,28.922707,22.505566,16.93053,0.4283513,38.63625,254.59375,54.786263,89330.35,-1.120341,-1.1771673
榆林市,2013-01-04,47.466927,57.826283,33.59719,21.45948,0.58286965,28.349503,258.44412,51.442623,88499.35,-0.76381797,0.8875476
榆林市,2013-01-05,64.112526,77.94934,52.20716,27.22726,0.729901,20.592749,260.0335,48.952217,88357.63,0.4396556,-2.0208585
榆林市,2013-01-06,62.574173,73.482895,52.67931,25.150362,0.7314109,22.29352,262.58728,40.977352,88277.914,1.6178014,-0.048732605
榆林市,2013-01-07,31.084625,34.575924,27.83619,14.474553,0.44166175,29.246588,264.5669,45.7974,88205.88,3.0116217,-1.9969258
榆林市,2013-01-08,17.191387,20.84424,20.907246,12.130493,0.34789118,36.442066,262.38544,53.37579,88602.74,2.067198,-3.674224
榆林市,2013-01-09,32.65283,38.86587,26.430214,13.532333,0.47536188,36.23781,262.92886,55.486584,88416.4,-0.1501662,2.1409748
榆林市,2013-01-10,51.44513,59.041645,35.815987,15.186964,0.6225976,29.78026,266.50797,45.202175,88126.04,3.1752424,2.2302165
榆林市,2013-01-11,12.944659,15.392278,15.411471,8.578973,0.41818342,41.764965,266.58643,45.98986,88374.26,5.598379,-2.276615
榆林市,2013-01-12,37.508934,43.65777,24.299603,12.013281,0.5461946,37.132183,268.65387,43.28697,87955.83,2.4083219,3.4166684
榆林市,2013-01-13,41.643585,50.17239,37.248158,19.559387,0.5694471,28.032175,268.33206,41.025803,87943.516,0.2426184,-1.0506768
榆林市,2013-01-14,46.712383,56.648857,35.221294,16.470278,0.6352341,27.754086,267.68097,39.87754,88196.41,3.2170544,1.3127626
榆林市,2013-01-15,15.252753,20.157215,17.935215,10.1150055,0.40979522,35.6328,267.30148,51.226234,88379.54,4.3719435,-2.5470521
榆林市,2013-01-16,23.873903,29.415268,28.87006,17.501976,0.45231396,29.974005,266.7245,55.737587,88761.79,1.6369193,-3.8227613
榆林市,2013-01-17,34.84994,41.566013,29.745369,22.677675,0.4822244,28.219473,265.2824,63.465515,89134.18,-1.1553668,1.4745646
榆林市,2013-01-18,85.59123,98.60633,43.277317,18.292557,0.7846844,28.463556,268.42615,58.000607,88518.695,0.40986612,3.159429
榆林市,2013-01-19,121.51582,138.62277,58.404747,21.122776,1.0178393,28.041136,269.4131,70.68863,87932.02,-2.3878431,2.4233522
榆林市,2013-01-20,87.06393,95.505035,37.214077,20.883965,0.72876066,23.208242,267.574,83.380165,88167.445,3.0308955,-0.21597233
榆林市,2013-01-21,37.83887,41.028778,24.864141,18.400513,0.450172,32.248436,266.8776,65.14257,88524.99,1.7545385,-4.0461698
榆林市,2013-01-22,51.044933,56.13528,33.991207,21.122435,0.5048732,30.993486,266.05386,68.49462,88389.37,2.042969,0.39802912
榆林市,2013-01-23,27.311045,31.077093,17.559353,11.462132,0.37356463,43.115116,267.84772,59.95189,87996.67,5.127167,-1.9403998
榆林市,2013-01-24,11.21259,13.779534,13.430701,8.863571,0.28614438,47.602886,265.40927,54.1946,88441.54,4.559405,-2.3785222
榆林市,2013-01-25,14.433232,17.479698,19.258356,11.005639,0.27809292,44.564003,268.92056,40.48598,88111.05,5.9650702,-2.6045485
榆林市,2013-01-26,17.016172,21.79655,20.31276,13.350288,0.30276796,35.685226,268.50208,48.325428,88402.17,2.3672502,-2.9635994
榆林市,2013-01-27,29.080982,34.836136,29.244982,14.721515,0.3901606,36.099613,270.35797,46.27792,88435.64,2.4525561,1.4518961
榆林市,2013-01-28,25.100004,30.637516,28.319263,16.16028,0.39563876,33.841133,271.67157,37.948414,88109.52,2.6495037,-1.1995806
榆林市,2013-01-29,37.50826,44.136852,36.85515,17.307253,0.4613645,34.501427,272.5409,38.838852,88092.64,1.7055309,1.2388242
榆林市,2013-01-30,53.078327,60.68473,31.869265,13.28349,0.49754703,37.142776,274.90152,49.530216,87923.836,1.069255,4.189249
榆林市,2013-01-31,63.691307,72.73181,34.25987,11.999562,0.5349179,40.07026,274.9223,59.91975,87843.195,3.5732512,1.5107459
榆林市,2013-02-01,16.297445,20.14461,17.869072,11.149949,0.2855045,43.520226,270.8537,47.635582,88463.51,-0.42033547,-2.445748
榆林市,2013-02-02,37.050465,44.215504,29.87385,16.4529,0.4321944,33.44612,271.07608,47.738483,88469.54,-0.1733068,3.4965346
榆林市,2013-02-03,66.53312,73.6079,28.415024,15.100131,0.5655502,34.540134,273.80627,69.06619,87594.8,2.792727,2.8041425
榆林市,2013-02-04,32.29868,37.141155,22.515146,16.158823,0.36876187,37.890305,270.76483,54.53757,88053.48,-1.9519926,0.23999332
榆林市,2013-02-05,39.940067,44.714428,23.58209,14.169467,0.4344081,33.302643,271.89285,55.632526,88066.59,3.6266632,-1.7283024
榆林市,2013-02-06,21.60302,24.057259,21.003473,14.579815,0.34537345,39.70954,268.9316,45.52136,88300.875,-1.4237415,-4.0811267
榆林市,2013-02-07,15.022885,18.5357,17.071295,15.199193,0.27757806,49.469925,262.83905,44.64419,88808.39,-2.7026653,-3.9113085
榆林市,2013-02-08,27.319628,32.017403,24.807518,14.4158,0.35957867,35.00987,266.4201,49.38527,88629.13,2.5151024,1.4237028
榆林市,2013-02-09,25.630075,29.477217,20.212214,11.698111,0.3551241,36.480194,271.31967,52.578186,88059.74,1.5637437,1.0450988
榆林市,2013-02-10,59.77045,67.364586,36.383503,21.012737,0.5327314,30.917162,270.26318,64.83456,87997.9,-1.6812574,-1.2900735
榆林市,2013-02-11,53.28039,59.92963,32.235428,18.175402,0.5031445,28.416456,267.76328,58.10021,88496.81,2.2061582,-2.1545634
榆林市,2013-02-12,9.200518,11.12853,12.307553,6.6045246,0.24513793,50.122116,267.46524,30.856676,88531.984,5.579067,-1.1387415
榆林市,2013-02-13,16.601738,20.091648,18.629099,10.084171,0.29483747,42.624992,270.337,25.611156,88077.49,3.2657123,-0.19566765
榆林市,2013-02-14,11.350762,13.811652,13.959638,7.8704524,0.25177833,49.188965,268.85312,40.885517,88329.27,3.41616,-4.570457
榆林市,2013-02-15,26.215197,31.137104,19.774017,9.701663,0.34607178,44.208435,270.4703,44.026325,88056.96,1.07151,4.734422
榆林市,2013-02-16,61.598103,68.83474,32.34866,14.114402,0.52387476,35.3143,273.66092,53.19474,87610.61,2.3525474,2.2686896
榆林市,2013-02-17,11.7132,15.95058,12.147578,7.511674,0.23012945,49.61231,269.07782,32.312187,87989.51,1.2095526,-4.790558
榆林市,2013-02-18,9.039432,11.462488,11.185035,6.785761,0.2275657,56.103046,265.79913,42.390522,88362.24,1.7550007,-4.1459303
榆林市,2013-02-19,24.806826,29.775885,20.696674,10.148906,0.3407521,48.90145,267.7282,42.625385,88282.234,1.2583467,2.868312
榆林市,2013-02-20,12.4191065,15.186154,13.767419,8.163608,0.25074238,51.797604,269.63214,32.152214,88447.445,3.035686,-1.8124197
榆林市,2013-02-21,18.697504,22.478464,17.375286,9.647334,0.2971999,50.11025,271.13806,29.981691,88625.29,4.1919827,-1.1379315
榆林市,2013-02-22,19.67597,24.170963,19.197618,11.6869135,0.31184274,46.247433,271.74106,32.926296,88673.79,-0.7971523,-0.4352023
榆林市,2013-02-23,52.796726,60.77041,31.385439,14.955714,0.5052065,37.991386,274.3555,42.84104,88482.766,-1.2571487,1.9681319
榆林市,2013-02-24,107.04436,119.50629,44.01702,16.958736,0.76808643,42.471752,276.88876,57.228344,88037.49,-1.2642084,5.3223786
榆林市,2013-02-25,56.962967,62.542767,24.274302,10.990898,0.44088614,37.98407,277.92413,43.77523,88127.42,3.4050443,0.10941065
榆林市,2013-02-26,23.807877,27.495672,18.797895,10.950256,0.31878006,36.138878,276.92493,27.568733,88208.64,0.32735813,-1.0329497
榆林市,2013-02-27,63.122944,72.88793,36.36111,12.546738,0.5420308,42.090073,278.49054,32.672527,87778.71,0.08207281,4.11434
榆林市,2013-02-28,51.819576,62.02783,19.438993,8.713633,0.3737583,56.986023,273.31976,35.593998,87877.58,1.8315841,-5.960875
榆林市,2013-03-01,14.02567,17.233917,16.889732,12.410674,0.25999925,54.01843,268.46045,31.28777,88783.984,-1.9528134,-3.9419403
榆林市,2013-03-02,27.889471,33.269314,20.864265,13.43466,0.29641664,41.530853,272.30713,25.003872,88816.38,2.8188744,-0.2179644
榆林市,2013-03-03,26.436855,29.523268,10.951897,6.97006,0.20889446,44.007607,276.21317,21.554226,88583.305,6.3568935,-5.04005
榆林市,2013-03-04,22.581541,27.517752,16.996862,10.134168,0.27401757,43.93919,277.56555,25.144537,88451.61,0.79060763,1.4124773
榆林市,2013-03-05,35.29774,41.407883,21.176369,11.3427305,0.35003442,42.02446,281.6207,24.670267,87932.125,2.9169338,4.0880938
榆林市,2013-03-06,37.473465,39.70985,8.468529,5.4794188,0.19410126,51.34159,280.35654,30.260714,88201.17,7.433764,-6.345588
榆林市,2013-03-07,59.03141,62.235355,11.501023,7.2219367,0.2102111,48.209545,282.85336,23.128275,87810.055,8.589491,-1.1998156
榆林市,2013-03-08,68.9661,73.83347,12.238449,7.0163965,0.21596901,48.74054,288.05914,17.870241,87312.84,5.565688,2.813952
榆林市,2013-03-09,81.4874,85.97822,9.710302,6.1332107,0.20654088,60.50734,280.1776,25.506197,87808.14,4.5128922,-8.559804
榆林市,2013-03-10,36.257446,41.671837,18.105751,11.759443,0.28695762,50.461784,274.38272,27.020058,88355.055,-2.2243593,3.6275053
榆林市,2013-03-11,40.573246,50.590256,23.636152,10.793024,0.36790133,56.45702,278.59665,48.364025,87685.48,0.3023722,7.995205
榆林市,2013-03-12,41.45807,50.86149,16.114346,8.836893,0.255949,40.15099,279.10147,26.679108,87624.99,4.097793,-5.32002
