city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
江门市,2013-01-01,46.964893,73.04809,32.000572,58.385593,1.1320304,20.59834,283.53796,45.00227,101271.98,-1.3895218,-5.971324
江门市,2013-01-02,57.09985,85.65706,35.134163,66.49783,1.2380029,26.27708,286.29654,57.353786,101245.69,-2.065355,-6.1041694
江门市,2013-01-03,48.215855,67.776405,27.547705,40.08954,1.2617248,25.10307,283.1378,71.111015,101661.49,-3.00799,-11.419016
江门市,2013-01-04,34.063633,44.80347,19.67375,26.682575,1.1764853,20.60711,279.62222,71.4823,101517.88,-2.5190585,-10.155635
江门市,2013-01-05,33.226746,43.56717,18.185423,28.130493,1.1681118,16.780767,280.9672,72.52548,101196.555,-1.6272415,-8.102494
江门市,2013-01-06,35.55739,49.033695,20.575655,27.252533,1.1808318,19.713762,282.2803,73.78816,101259.47,-1.8713464,-9.052324
江门市,2013-01-07,50.813625,64.15831,21.19024,33.59337,1.2679996,28.695576,283.41544,72.47281,101154.14,-1.526304,-7.586038
江门市,2013-01-08,61.25201,78.069305,26.085932,41.821407,1.3483762,30.9838,285.0312,69.522804,101110.35,-1.6508287,-7.5053887
江门市,2013-01-09,51.102493,62.71288,23.108019,32.574635,1.2297767,27.801926,283.88132,60.94449,101267.91,-2.9252012,-9.833259
江门市,2013-01-10,87.6012,101.05747,31.312414,46.128693,1.2882012,40.733368,283.58624,60.18091,101319.42,-2.8075073,-7.8544984
江门市,2013-01-11,94.08298,111.21365,28.093884,53.50393,1.3226823,34.716335,285.51852,69.549484,101338.88,-1.9781553,-7.9593654
江门市,2013-01-12,77.81733,90.26556,22.266586,38.112926,1.2527448,40.70532,286.63382,66.22621,101173.47,-1.8263692,-7.4169765
江门市,2013-01-13,49.10005,63.483425,16.724497,27.177212,1.1625465,47.00797,287.839,65.144135,100862.734,-0.37583262,-6.838148
江门市,2013-01-14,60.87499,79.78963,19.57353,43.102364,1.2928282,53.33373,287.56512,57.089916,101124.555,-4.784388,-4.3637257
江门市,2013-01-15,80.4478,99.29425,22.329018,59.230026,1.4501576,46.413258,289.1803,68.97082,101322.48,-4.8146305,-2.9842484
江门市,2013-01-16,102.516396,130.9223,29.161587,83.879684,1.649453,50.38157,289.1332,62.20679,101387.375,-2.5692084,-5.064543
江门市,2013-01-17,92.062775,118.79973,28.532831,64.287544,1.5164748,42.24403,287.88913,64.24047,101701.59,-4.1800632,-8.443406
江门市,2013-01-18,91.479935,119.135376,25.588549,40.25157,1.4366838,63.97226,285.55206,60.795784,101870.02,-4.3551087,-7.1535482
江门市,2013-01-19,74.77632,96.93597,25.14437,46.705273,1.1996485,58.472805,287.8129,66.05599,101465.266,-5.300876,-2.9469235
江门市,2013-01-20,44.34431,56.798958,15.06939,30.115635,0.80589336,53.788635,291.71567,87.71025,101224.91,-6.0092483,0.6802911
江门市,2013-01-21,77.34442,94.43326,20.499285,51.186115,1.291305,52.76317,293.12305,86.52645,101170.555,-4.119453,-1.7355281
江门市,2013-01-22,97.97226,118.42107,23.310211,48.233715,1.6232142,43.594624,289.95026,78.19537,101259.01,-2.2583933,-7.1544447
江门市,2013-01-23,86.38866,107.68675,24.48217,45.10875,1.6673923,45.808865,288.74,69.35608,101223.74,-3.4687955,-6.2988033
江门市,2013-01-24,97.36202,123.5532,26.520159,40.890064,1.6457806,69.05254,290.41946,72.06397,101110.234,-1.6274602,-4.582486
江门市,2013-01-25,59.37466,78.82592,22.720062,30.182964,1.5559548,69.732735,288.0282,64.68527,101228.93,-2.9981089,-6.1622725
江门市,2013-01-26,88.507614,106.970795,21.798138,45.229034,1.5556958,46.478676,289.124,75.774055,101120.625,-2.184205,-4.6543517
江门市,2013-01-27,64.385864,77.98314,19.638891,32.508198,1.3723974,54.01014,289.0284,66.9752,101382.05,-3.5320618,-6.551249
江门市,2013-01-28,62.903793,82.72238,20.048725,36.243237,1.1823869,67.059395,289.31982,65.05567,101387.33,-5.666466,-2.699421
江门市,2013-01-29,48.223392,62.178535,15.783636,32.012,0.8482809,64.8655,291.1994,83.358826,101319.28,-5.0774,-0.8811825
江门市,2013-01-30,33.561806,41.848648,11.517873,18.246246,0.7008997,68.02222,292.06076,82.14097,101374.03,-5.801798,0.6630769
江门市,2013-01-31,30.705818,38.313248,7.101906,15.549782,0.61525047,74.60935,292.43552,85.91674,101305.57,-5.5590067,2.21205
江门市,2013-02-01,34.001835,46.011513,10.979509,20.506746,0.733711,74.28838,293.2277,82.23289,101234.91,-3.8382356,-0.022278521
江门市,2013-02-02,64.35103,82.22415,18.15235,43.87322,0.9743827,74.38406,293.89465,73.36489,101235.79,-3.4884267,-2.3883915
江门市,2013-02-03,41.0603,57.470516,9.986604,19.189533,0.8086963,53.770645,293.3039,90.48373,101067.85,-4.703665,-0.52580214
江门市,2013-02-04,49.62537,69.357765,9.488952,26.401009,0.86822695,34.951344,293.60635,94.28781,101115.93,-2.6988,-0.92111295
江门市,2013-02-05,38.011856,60.308514,11.071859,32.415688,0.87224376,40.860634,294.4962,89.53559,101040.625,-2.319243,1.5413873
江门市,2013-02-06,17.23595,25.92363,4.5429683,8.56671,0.48221532,58.63065,293.38507,93.87709,100871.33,-2.881465,2.2920458
江门市,2013-02-07,24.87904,31.359718,3.6190412,7.4431953,0.6953143,64.1198,293.73105,90.99903,100593.125,-3.4857724,3.7468886
江门市,2013-02-08,22.311083,28.885416,10.277147,20.895884,1.2055829,23.709635,284.6397,84.66818,101229.69,-3.3720284,-10.286659
江门市,2013-02-09,20.333405,26.326584,9.463187,14.124838,0.9573045,38.072845,282.48663,72.18159,101566.49,-2.515143,-8.411997
