city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
河池市,2013-01-01,33.99947,39.23657,11.767295,6.302357,0.371425,57.677895,279.7622,41.514282,95567.41,-1.7020028,-0.3059121
河池市,2013-01-02,56.296192,64.16481,21.821924,10.232583,0.47744045,47.559475,282.07257,52.25627,95502.8,-3.793952,1.0786905
河池市,2013-01-03,50.865917,57.894485,19.34415,9.416206,0.5900581,42.991913,276.98315,66.701035,96251.33,-4.599374,-7.206089
河池市,2013-01-04,48.722256,52.669476,13.966171,5.816158,0.49659792,50.37895,274.9102,66.74211,95874.984,-3.3171968,-2.633445
河池市,2013-01-05,50.65365,57.17406,11.90501,4.858408,0.5234655,52.069553,276.73804,69.365555,95506.375,-3.3646078,-1.1092126
河池市,2013-01-06,64.02554,74.169945,15.877976,4.8029194,0.63977027,56.191833,276.6479,60.06946,95657.25,-3.0305786,-2.8687985
河池市,2013-01-07,72.88257,84.03648,15.667687,4.8332844,0.66987026,66.977875,277.3851,64.58958,95508.52,-2.9378734,-1.0532365
河池市,2013-01-08,74.36128,84.26603,16.197277,4.1886516,0.66967624,65.461845,279.13248,60.7545,95530.55,-3.5185287,-2.7852538
河池市,2013-01-09,98.220894,115.69229,33.136635,5.4694085,0.9386785,58.678745,278.37863,50.6235,95793.625,-3.5359213,-5.7791967
河池市,2013-01-10,149.83057,172.97356,32.649845,10.522489,1.1607485,50.330345,278.3899,49.352177,95728.05,-3.4948928,-2.7460904
河池市,2013-01-11,139.99826,151.67749,24.78292,7.450473,1.0107417,49.820454,279.01733,53.723877,95815.516,-2.6165175,-3.856782
河池市,2013-01-12,111.554016,122.43917,23.981466,4.7274766,0.8584592,54.586815,280.35574,54.204506,95659.266,-1.3104296,-2.6121206
河池市,2013-01-13,102.69514,113.66394,19.882471,5.3319993,0.7872738,62.95762,281.85104,63.682545,95297.11,-1.316611,0.5998518
河池市,2013-01-14,98.5664,112.45291,23.182758,8.787289,0.826605,58.101944,283.00665,56.555103,95432.04,-3.1458173,0.6802882
河池市,2013-01-15,96.5487,110.90638,22.693617,9.192716,0.85494614,46.734722,281.85672,78.3061,95687.086,-2.1768632,-0.48491254
河池市,2013-01-16,80.71257,91.39667,14.792603,6.9711084,0.76175195,43.06885,282.4712,87.27725,95761.16,-2.4283926,-0.43958184
河池市,2013-01-17,90.80942,111.38714,29.173903,6.6775427,1.0660084,45.669956,281.9167,73.56991,96227.414,-4.2994995,-5.333937
河池市,2013-01-18,115.73674,137.26833,24.0265,10.659707,0.9968696,48.260754,280.4568,60.554207,96229.61,-3.238248,-1.789887
河池市,2013-01-19,94.35709,113.34499,24.911573,11.506771,0.81601226,44.847588,281.3501,78.84732,95592.84,-1.6880234,4.663752
河池市,2013-01-20,56.044716,65.04616,12.087771,5.935926,0.53458595,63.08736,287.9163,84.98904,95302.46,0.7224294,8.567727
河池市,2013-01-21,47.176285,55.72829,11.736699,6.3975677,0.5178153,50.16534,285.9929,84.54568,95599.25,-1.5609971,0.61689353
河池市,2013-01-22,85.33952,99.37052,14.0416975,7.411667,0.7895529,37.823418,281.8249,85.83893,95747.516,-3.3322823,-2.262355
河池市,2013-01-23,90.19921,104.192215,16.326385,6.0512576,0.8234594,44.843304,281.7957,79.53905,95618.625,-1.5172644,-1.1658889
河池市,2013-01-24,92.46879,102.05941,23.311028,6.5129275,0.79666054,54.209896,283.97647,69.99196,95603.86,-1.4622653,-2.6426935
河池市,2013-01-25,59.24463,67.22282,16.573952,5.8952613,0.6015466,47.778664,281.638,58.48184,95658.13,-2.5640976,-2.1314871
河池市,2013-01-26,62.2281,67.138855,16.691717,5.157792,0.5614982,58.40428,284.6924,56.468918,95528.63,-2.3481622,-1.6471647
河池市,2013-01-27,68.34175,78.45028,20.585062,6.9024677,0.65946347,53.39997,284.72708,43.772526,95863.22,-4.39381,-2.8838475
河池市,2013-01-28,78.56218,88.39892,21.308865,10.443435,0.67970246,48.509274,283.77264,62.59905,95658.95,-2.488162,2.393957
河池市,2013-01-29,91.09005,102.36044,21.388699,10.759005,0.72078705,48.209312,285.79144,89.14346,95572.19,-1.6580678,3.4636285
河池市,2013-01-30,61.6935,69.61673,15.440827,9.517936,0.5705919,48.89336,287.80774,93.59035,95542.125,-0.9142868,5.6928988
河池市,2013-01-31,24.88235,28.877712,6.7233887,5.842948,0.31642962,59.30774,290.15628,90.360214,95397.06,0.6791153,8.63253
河池市,2013-02-01,23.508312,29.264086,6.4638615,5.1006837,0.3071342,61.35532,290.51974,85.745674,95465.65,-0.0926939,6.2619076
河池市,2013-02-02,41.437065,50.931515,12.972843,8.236697,0.42436376,57.608425,289.01804,91.976944,95663.45,-2.3580823,2.3162339
河池市,2013-02-03,50.303444,60.83481,15.620788,7.352024,0.48900276,63.956356,290.90613,79.17075,95362.836,0.20903848,5.566224
河池市,2013-02-04,34.008667,39.980816,8.756257,6.032922,0.39654452,62.567055,291.97278,79.243904,95286.05,1.4829496,6.9265966
河池市,2013-02-05,25.418076,31.162664,6.115754,4.907583,0.3408628,62.21092,292.48297,74.17223,95263.54,1.0873027,5.977418
河池市,2013-02-06,37.834454,44.452686,10.22202,6.2687397,0.40474263,55.176575,291.0153,88.43047,95017.54,-2.6555948,5.606013
河池市,2013-02-07,43.83131,50.903904,13.384768,7.402437,0.4721511,44.66178,288.46793,85.84959,94899.67,-2.7848227,1.3744253
河池市,2013-02-08,46.558952,56.273632,17.178696,9.640056,0.6338615,36.732597,276.64917,78.70629,95857.21,-3.4224665,-7.6422195
河池市,2013-02-09,46.070854,53.82351,11.700066,4.611563,0.49582514,54.727848,277.29016,65.96577,95933.57,-2.0860898,-2.296704
河池市,2013-02-10,60.393112,67.60421,14.015167,5.3030157,0.5202126,58.311817,281.66483,66.13313,95483.25,-1.355255,3.0587163
河池市,2013-02-11,53.302635,65.432,16.875883,9.431174,0.6142829,40.04736,281.9418,90.73868,95397.03,-2.9147544,2.2384079
河池市,2013-02-12,64.94518,76.40705,16.490314,5.6980596,0.6467698,47.7058,281.026,78.948715,95852.1,-3.4527206,-4.051672
河池市,2013-02-13,73.43961,85.96524,16.380764,5.4705343,0.70586795,57.042553,280.63776,71.27375,95544.164,-1.9366785,1.0499923
河池市,2013-02-14,71.24372,82.964005,15.725395,6.9649186,0.63779217,53.522667,282.97733,89.78052,95207.0,-1.4648963,3.2376342
河池市,2013-02-15,66.72806,78.486275,15.649288,4.1979384,0.6389325,60.918385,284.84503,67.42802,95550.82,-3.1003184,-3.2852445
河池市,2013-02-16,64.971664,77.35937,17.91732,5.5166407,0.65898067,63.79654,284.96933,63.307438,95267.336,-2.0463374,3.6326983
河池市,2013-02-17,51.917152,59.587387,11.404879,5.7800474,0.5472132,61.07236,289.6647,86.884224,94785.664,0.05455549,8.369675
