city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
河源市,2013-01-01,43.59856,56.426132,12.429221,14.194974,0.47944692,44.612118,280.35773,48.234177,98697.68,-1.379914,-4.2951403
河源市,2013-01-02,59.679543,77.18771,11.096765,17.807371,0.62543666,43.228226,282.57227,58.33152,98760.836,-1.6495887,-5.0455985
河源市,2013-01-03,47.92444,60.870983,13.984136,16.903103,0.6544324,33.13759,278.57446,76.97927,99174.016,-0.70815337,-10.635743
河源市,2013-01-04,34.304287,44.310143,10.375025,13.220255,0.5647735,29.047165,275.23975,76.67433,98993.84,-1.13661,-8.294929
河源市,2013-01-05,36.940094,50.010895,11.183911,14.72854,0.68795174,29.89226,277.13925,77.25955,98662.11,-1.0698994,-7.1610484
河源市,2013-01-06,49.039192,60.248745,12.067619,14.501671,0.7518985,33.98372,277.7264,79.51963,98723.96,-0.89021134,-7.5424714
河源市,2013-01-07,54.115192,69.24408,12.1420355,16.349827,0.8473938,40.441765,280.36127,77.011284,98607.06,-0.94062513,-6.0901027
河源市,2013-01-08,64.51951,87.75413,13.82566,16.11315,0.948572,44.874825,280.7293,75.32331,98595.266,-0.7995289,-6.988007
河源市,2013-01-09,64.33838,81.39149,20.170254,15.667901,1.0636991,47.862606,279.3646,71.46258,98744.914,-1.3112279,-8.946912
河源市,2013-01-10,81.89463,92.99555,19.794987,17.060623,1.0206909,50.10974,280.36234,71.69698,98778.08,-1.6975319,-6.536722
河源市,2013-01-11,69.924194,78.303154,12.022113,16.07623,0.7772805,45.24604,282.0907,77.983765,98832.4,-1.308736,-5.7321806
河源市,2013-01-12,63.63155,69.69854,10.154407,11.262886,0.6786576,45.52117,282.94666,77.92885,98628.984,-1.0596403,-6.3858924
河源市,2013-01-13,68.78898,77.8149,11.17638,12.118602,0.8199502,48.67691,283.65475,75.01284,98313.24,-0.7394208,-6.58875
河源市,2013-01-14,55.290253,60.361774,9.934904,11.198553,0.671798,57.946938,283.44006,64.45974,98601.95,-2.5636342,-5.205483
河源市,2013-01-15,72.70577,77.146545,10.649909,21.7431,0.75273377,56.021034,284.93713,60.43729,98834.59,-2.321327,-1.9754801
河源市,2013-01-16,81.920944,95.12867,11.963084,16.538723,0.8259549,53.813633,285.1636,68.14657,98874.37,-1.4013557,-4.8964353
河源市,2013-01-17,85.95085,107.444466,21.89774,18.277903,1.2770029,56.014202,282.75375,74.02878,99222.164,-1.7622072,-8.339416
河源市,2013-01-18,62.82451,66.046394,12.955151,12.646771,0.8077273,60.98237,281.19766,61.84695,99347.65,-2.7298276,-6.5125556
河源市,2013-01-19,59.973152,60.954468,7.97732,16.991161,0.72560465,58.12503,283.27634,58.019985,98974.945,-3.2845051,-1.6969063
河源市,2013-01-20,56.30276,55.67211,6.11504,19.453808,0.73393095,54.338642,287.78918,79.38326,98776.11,-3.3038223,1.2732201
河源市,2013-01-21,65.60473,68.00705,6.5774984,21.032993,0.8252413,53.586266,289.69492,87.54269,98726.84,-1.9130782,-1.4813261
河源市,2013-01-22,75.80021,93.90822,16.71375,19.71976,0.97500646,49.46065,286.00217,80.71978,98797.51,-1.082076,-6.869796
河源市,2013-01-23,80.865074,94.93836,16.38413,12.559255,1.1458558,60.81978,284.46075,72.17179,98719.02,-1.4659576,-5.7705894
河源市,2013-01-24,112.225204,117.30931,16.277164,16.232353,1.1085275,65.14057,285.9432,75.77752,98616.17,-0.6462074,-3.931969
河源市,2013-01-25,61.131916,81.13856,24.136896,10.107493,1.203258,59.1451,283.40353,76.7231,98705.734,-2.2917085,-5.4014378
