city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
海北藏族自治州,2013-01-01,1.4110504,1.7821853,0.49031332,0.54614395,0.1535451,73.41169,259.5809,35.13352,64146.4,8.96204,-3.7234406
海北藏族自治州,2013-01-02,2.1002698,2.8554318,0.91667604,1.2256082,0.15089452,69.30838,258.42032,33.967323,64434.324,2.9413145,-1.6991261
海北藏族自治州,2013-01-03,4.965134,6.3325825,2.4404247,2.1472924,0.20049727,68.84983,257.44675,54.730614,64508.57,1.7772237,0.16554508
海北藏族自治州,2013-01-04,3.538228,4.12852,1.5121046,1.3057199,0.172493,71.491066,257.8824,66.6474,64200.85,2.9563012,-1.1473076
海北藏族自治州,2013-01-05,2.8119216,3.3673103,0.9830632,1.1191899,0.1589144,69.34293,257.61563,55.0352,64256.83,4.261258,-1.73744
海北藏族自治州,2013-01-06,6.234457,7.3458934,2.1629655,2.4147687,0.23329079,65.70463,257.37454,51.64167,64320.09,1.6557332,-0.8462911
海北藏族自治州,2013-01-07,4.618387,5.416423,1.5865662,1.8176001,0.19581963,62.925415,257.56738,42.497234,64302.12,3.846896,-1.6443167
海北藏族自治州,2013-01-08,6.016479,6.961869,2.3621366,2.3312082,0.21846205,61.623856,256.3017,45.52427,64434.543,2.8763266,-1.0849063
海北藏族自治州,2013-01-09,2.977461,3.579016,1.3830266,1.4717845,0.1841177,67.86008,256.6917,36.39295,64343.008,3.9960198,-1.364534
海北藏族自治州,2013-01-10,1.4117441,1.7529099,0.8377667,0.88319075,0.14767657,72.481735,256.59772,36.88921,64376.812,7.4344387,-2.5016603
海北藏族自治州,2013-01-11,0.8180332,1.0044705,0.6945296,0.568593,0.16369766,80.58152,257.09302,25.529758,64626.113,5.3517156,-1.7776107
海北藏族自治州,2013-01-12,0.8743459,1.0879157,0.90804106,0.8516999,0.15472123,74.361984,258.50348,28.39004,64421.633,6.7053533,-1.8097067
海北藏族自治州,2013-01-13,0.85566145,1.061898,0.7684442,0.83822876,0.13896264,69.438705,261.23795,29.101364,64320.94,3.4356098,-0.93332595
海北藏族自治州,2013-01-14,3.4519186,4.3445773,1.9272203,1.7963655,0.18782908,65.34342,259.3408,48.508053,64477.03,4.951362,-1.0549767
海北藏族自治州,2013-01-15,1.4313962,2.07464,1.0294964,0.9847528,0.14728886,69.08003,258.75742,41.84663,64642.145,5.0036693,-2.001757
海北藏族自治州,2013-01-16,1.3641351,1.8377752,0.94868386,0.9267219,0.15516376,73.53596,259.40424,24.443884,64895.887,2.1895442,-1.0595951
海北藏族自治州,2013-01-17,2.406569,3.0286243,1.8639785,1.3568062,0.16320314,69.38896,262.1456,27.84676,64992.87,4.3698583,0.20649701
海北藏族自治州,2013-01-18,2.403971,2.8200142,1.2583011,1.021815,0.1499469,65.899345,265.26877,23.72853,64880.105,5.9826484,0.6168269
海北藏族自治州,2013-01-19,8.8946705,10.279322,3.1632085,2.109885,0.2095895,66.56635,266.81577,41.27825,64230.09,2.6352212,1.6829321
海北藏族自治州,2013-01-20,11.433216,13.317621,4.168897,2.7215645,0.2179419,56.489185,258.31006,71.20393,64400.535,1.7114329,-1.4234993
海北藏族自治州,2013-01-21,6.4654512,7.255832,1.8567106,1.2217172,0.18641357,69.587265,257.27948,67.68259,64585.52,2.437753,-1.4967325
海北藏族自治州,2013-01-22,2.2454987,2.5474324,0.74968183,0.68975455,0.15404475,73.94356,257.46497,46.100513,64661.09,8.534736,-2.4449816
海北藏族自治州,2013-01-23,0.66143376,0.81962395,0.46982634,0.5381919,0.14004071,71.26924,259.5875,29.04157,64644.617,6.9252815,-3.8159332
海北藏族自治州,2013-01-24,0.7804368,0.9989357,0.56104076,0.6200939,0.13768162,70.15358,260.01248,31.638807,64813.953,3.5450706,-2.7732086
海北藏族自治州,2013-01-25,1.5359131,1.8210164,0.9804215,0.9672254,0.15361547,72.21405,260.21356,31.881712,64794.855,1.8439677,-2.3706708
海北藏族自治州,2013-01-26,1.523837,1.7953359,0.89897984,0.8519459,0.15604992,77.01343,260.32846,34.37449,64871.992,2.3056798,-2.1762846
海北藏族自治州,2013-01-27,1.8349779,2.2163074,1.0168492,1.0691406,0.16488561,74.849525,260.69348,37.87176,64872.18,2.8899465,-1.2576406
海北藏族自治州,2013-01-28,1.258083,1.5204859,0.66996795,0.7581516,0.15380622,69.525925,261.08832,34.663746,64693.984,5.0683684,-2.24025
海北藏族自治州,2013-01-29,1.5012952,1.8591039,1.1517771,1.0336207,0.1610724,65.506874,261.1392,39.613724,64627.324,4.3358154,-0.35716265
海北藏族自治州,2013-01-30,0.8396147,1.1298794,0.71429235,0.6851054,0.13794643,67.29055,263.03625,32.580696,64510.543,7.9941454,1.1040621
海北藏族自治州,2013-01-31,0.8730733,1.2641689,0.6986512,0.636848,0.14519276,70.15351,263.30484,31.833632,64574.35,10.433276,-0.019728197
海北藏族自治州,2013-02-01,1.0403122,1.518155,0.8780733,0.7177062,0.14059159,63.449947,264.33066,35.710094,64869.156,8.164808,-2.1494236
海北藏族自治州,2013-02-02,3.1506035,4.22275,2.437412,1.8270559,0.17674462,62.80672,264.85992,35.896248,64754.25,3.6677403,0.726386
海北藏族自治州,2013-02-03,1.4344374,1.7914255,1.3036873,0.9864668,0.1553808,64.77945,266.0349,33.63666,64572.73,4.1994557,-1.3784403
海北藏族自治州,2013-02-04,5.0499415,5.996937,2.8553703,2.4267766,0.1986467,60.23784,265.378,37.25361,64576.082,4.7202797,-0.8186352
海北藏族自治州,2013-02-05,1.4941822,1.8698071,1.1087291,0.94442576,0.14034079,56.550392,266.6241,22.394348,64917.04,5.258143,-1.0995595
海北藏族自治州,2013-02-06,5.0867896,6.197425,2.4887605,1.7692951,0.16164789,54.75092,268.7765,33.544666,64679.74,4.782187,-0.35170138
海北藏族自治州,2013-02-07,5.913606,7.1183314,1.9188461,1.4548937,0.16400398,59.855427,263.00845,64.397644,64644.13,2.7446918,-2.6741037
海北藏族自治州,2013-02-08,6.472001,8.077649,2.6528258,1.9177331,0.18926218,72.50057,257.78186,70.40917,64712.09,3.365476,-0.9159322
海北藏族自治州,2013-02-09,1.6501751,2.0024924,0.8821283,0.6269811,0.15444171,83.92108,261.60492,29.680016,64484.188,9.236223,-0.020229155
海北藏族自治州,2013-02-10,1.2172972,1.6798446,0.9575454,0.81602126,0.13777472,69.4071,262.9678,33.39917,64409.562,7.3642287,-0.5290232
海北藏族自治州,2013-02-11,2.4318588,4.288383,1.4983261,1.0544392,0.14100036,61.979015,259.7333,50.24602,64552.332,7.4365416,-1.4466144
海北藏族自治州,2013-02-12,2.2570443,3.3852477,1.1556963,1.0683622,0.1387284,59.304085,260.0081,44.83484,64595.79,6.9550233,-0.199494
海北藏族自治州,2013-02-13,2.6209443,3.7130322,1.413276,1.1664531,0.13835135,59.608833,261.61914,42.97052,64275.21,8.634339,0.114246435
海北藏族自治州,2013-02-14,2.3602617,3.344505,1.1013159,0.9927552,0.14689536,66.94427,259.913,41.840893,64399.023,9.053686,-1.5917598
海北藏族自治州,2013-02-15,1.0075021,1.3765591,0.7253271,0.64520735,0.12952586,67.2824,262.03586,32.259975,64387.285,8.059002,0.32907557
海北藏族自治州,2013-02-16,2.4727519,3.6716845,1.7316369,1.3051761,0.13734941,62.259537,263.8612,35.168488,64214.25,5.443291,0.8058813
海北藏族自治州,2013-02-17,5.957718,8.476536,3.4516532,2.5207152,0.15576562,55.648655,262.09348,56.77207,64036.773,2.1686804,0.68235916
海北藏族自治州,2013-02-18,5.774528,7.04854,2.833686,2.0399976,0.17178708,64.01841,258.00922,63.988613,64168.934,4.594111,-0.48319107
海北藏族自治州,2013-02-19,1.0192394,1.284898,0.5885163,0.4976383,0.13289882,67.183395,260.65405,36.6685,64435.445,9.964482,-2.1509724
海北藏族自治州,2013-02-20,1.8380767,2.3513348,0.988955,0.9726591,0.14641838,62.192135,260.33072,47.811443,64682.887,6.4298086,-1.4357251
