city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
海口市,2013-01-01,36.787075,55.95534,13.174281,22.382826,0.33152032,54.41421,290.2701,77.22408,101376.09,-3.3800716,-3.9183903
海口市,2013-01-02,44.349625,63.720623,10.646689,29.763319,0.33245903,48.655533,292.53543,86.243324,101298.13,-5.3483243,-2.0141828
海口市,2013-01-03,43.87032,62.629704,10.405582,21.740602,0.40707424,53.761044,291.57117,85.34948,101592.12,-6.910233,-6.3600755
海口市,2013-01-04,42.30471,50.429523,9.045771,23.381067,0.37575033,28.63141,289.6097,87.04885,101500.85,-5.336611,-6.7580495
海口市,2013-01-05,41.974213,53.138397,8.975434,29.046114,0.379644,21.902884,290.11267,87.16001,101259.78,-4.541932,-4.8616176
海口市,2013-01-06,45.040844,56.948627,9.455398,19.232,0.41228437,33.936466,289.92203,86.22034,101347.9,-3.6851418,-5.3956566
海口市,2013-01-07,44.392216,52.11439,8.970392,20.095388,0.43517268,37.07384,290.35092,85.16193,101286.1,-3.7321117,-4.2553225
海口市,2013-01-08,59.006176,70.40243,10.940036,21.394194,0.7344126,48.37787,291.07086,84.8281,101241.164,-3.3597782,-4.074001
海口市,2013-01-09,50.64064,63.736904,11.123343,17.472925,0.8380363,36.311268,290.34067,80.60247,101336.52,-4.367612,-5.868376
海口市,2013-01-10,56.484974,72.8102,12.46434,18.032696,0.7913537,43.892727,290.14932,81.23409,101377.02,-5.4477367,-5.0551634
海口市,2013-01-11,90.90395,107.56012,15.1334305,24.53881,1.0635484,51.028454,291.28354,84.86763,101394.914,-4.967542,-5.2881904
海口市,2013-01-12,101.83546,117.74433,12.740056,25.871147,1.2278198,41.08912,291.19122,80.252266,101336.99,-4.050448,-5.734587
海口市,2013-01-13,59.790756,73.315674,10.302119,21.119738,1.0409285,50.12999,290.46582,77.56788,101124.34,0.79723334,-3.6850138
海口市,2013-01-14,58.794308,76.6069,10.041492,34.452106,1.0923014,65.51557,291.69986,73.33591,101233.03,-4.232447,-1.4505652
海口市,2013-01-15,28.739168,45.284084,3.8973525,13.536666,0.30025122,71.71045,292.51706,77.66406,101413.29,-6.0584064,-1.5395933
海口市,2013-01-16,33.033817,54.165436,5.0595765,11.404361,0.3070798,68.04485,292.42,83.85412,101526.72,-5.5680923,-2.5254185
海口市,2013-01-17,39.895653,59.784866,9.642854,13.258419,0.47404143,84.43351,292.24118,78.49798,101738.84,-6.22442,-5.0388613
海口市,2013-01-18,69.684685,92.90097,15.069865,15.519839,0.7741406,67.10999,290.6098,77.97144,101930.164,-6.048284,-6.266453
海口市,2013-01-19,37.68823,58.5311,6.1214886,11.231299,0.36662376,77.63445,291.349,80.32081,101572.99,-6.270662,-2.0471523
海口市,2013-01-20,24.353117,46.413517,2.443932,17.377356,0.22755198,49.294476,293.3582,87.933685,101377.32,-4.8506675,-0.6961141
海口市,2013-01-21,22.083544,42.381077,2.9228935,11.427354,0.21634062,59.742786,293.52792,92.80487,101373.37,-2.9089108,-2.0665104
海口市,2013-01-22,22.18843,38.072735,6.083662,16.226992,0.4221175,56.65099,293.00528,91.884705,101394.54,-3.826823,-3.0975065
海口市,2013-01-23,37.68019,59.97223,10.672809,18.278147,0.6246571,62.327312,292.4585,87.00152,101361.6,-5.251722,-3.8086445
海口市,2013-01-24,33.439365,54.70075,5.9905763,21.7871,0.7524263,56.331757,293.03857,88.28289,101279.1,-4.2357655,-1.9212323
海口市,2013-01-25,80.25283,99.08898,12.537482,18.14392,1.0902448,75.69278,291.82858,86.43191,101366.54,-5.027264,-3.8688118
海口市,2013-01-26,52.46335,74.74633,6.578966,17.159613,0.8567744,76.176544,293.0079,85.44715,101244.5,-4.463612,0.6056604
海口市,2013-01-27,45.707935,54.94755,7.1911597,20.01859,1.1354719,67.67628,292.0919,89.32978,101482.875,-5.149511,-3.766637
海口市,2013-01-28,39.917397,60.982815,5.832281,12.772096,0.6948231,80.44169,292.3223,82.25168,101491.02,-6.2651324,-1.5095906
海口市,2013-01-29,24.662256,51.531555,2.827793,11.956868,0.4721451,58.511005,293.3306,86.069305,101446.31,-5.6078343,-0.3802394
海口市,2013-01-30,16.446371,33.52908,2.307635,12.474004,0.39248875,55.333004,293.79617,84.64734,101494.19,-6.4759917,-0.015090498
海口市,2013-01-31,17.868523,33.798115,2.4078667,11.268886,0.3920177,57.750126,294.2345,82.470116,101441.29,-5.4905353,1.3037065
海口市,2013-02-01,19.854803,35.493595,2.42459,12.731556,0.4237843,58.456844,293.87302,87.79855,101416.47,-4.3977365,-0.9661234
海口市,2013-02-02,23.632566,33.043056,4.5373483,16.38093,0.44869068,60.59902,293.5378,88.15606,101429.99,-4.0955887,-2.3774703
海口市,2013-02-03,19.004892,30.058968,4.4835076,17.108349,0.5328813,54.816227,294.41092,93.125305,101223.23,-3.020898,-0.92145276
海口市,2013-02-04,15.168658,24.146284,3.053818,13.879878,0.58379275,46.327225,294.6149,96.53892,101313.32,-3.0331535,-1.0367652
海口市,2013-02-05,11.992764,19.187231,2.9322517,13.640442,0.4532529,40.780758,294.86105,92.80135,101294.31,-2.515334,-0.05365135
海口市,2013-02-06,12.308503,17.385048,2.774863,9.348971,0.33832732,41.235233,294.0707,93.66403,101089.47,-2.5969603,0.82221323
海口市,2013-02-07,8.050575,13.395336,1.8661785,6.3908677,0.23239481,37.996548,295.23825,87.3924,100726.1,-3.065816,3.804261
海口市,2013-02-08,9.506599,19.898397,4.498178,8.408795,0.3803903,46.20168,293.13376,92.15515,101150.6,-5.3645706,-3.5009537
海口市,2013-02-09,16.446192,25.20536,8.242942,11.469966,0.8423202,38.719944,290.67856,89.26736,101551.336,-6.169697,-6.382913
海口市,2013-02-10,24.724466,37.710896,8.696885,8.61782,0.6094825,48.45633,291.76907,86.3449,101432.945,-5.7223206,-3.1930459
海口市,2013-02-11,18.050201,26.557884,4.4904847,7.634857,0.34319437,50.418896,293.3377,86.47827,101269.66,-5.642015,-0.74609774
海口市,2013-02-12,16.802244,29.897156,4.752225,7.605307,0.34882107,57.517303,293.50912,86.724434,101381.586,-5.931706,-3.3595216
