city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
淮南市,2013-01-01,63.763355,97.30165,28.02579,38.38058,1.437404,17.905441,273.47247,61.504395,102178.586,3.5711164,-2.2098267
淮南市,2013-01-02,47.530308,73.70009,26.660458,27.03057,1.3218186,25.030352,268.60684,48.85359,103359.055,-3.3120122,-8.529892
淮南市,2013-01-03,49.330738,63.66053,51.72251,31.583033,1.6286955,24.261066,265.3841,48.048058,103951.2,-0.71516585,-6.776684
淮南市,2013-01-04,66.095,81.06898,35.271,33.19774,1.609281,17.727655,267.46124,47.355087,103197.805,-1.5606399,-3.0066426
淮南市,2013-01-05,87.96903,83.56867,32.0728,33.61306,1.777208,20.985744,270.1025,40.425457,102678.93,-1.5633049,-2.4404342
淮南市,2013-01-06,110.72521,121.77416,59.092514,41.507442,1.9664859,18.120342,271.1662,37.488728,102638.52,-1.4288274,-2.389256
淮南市,2013-01-07,131.83026,143.72615,72.400185,49.284435,1.9606434,11.433357,273.1268,45.468304,102381.51,-1.3268398,-0.18869206
淮南市,2013-01-08,182.10297,199.65228,68.872604,49.520775,2.5278761,19.77726,274.04785,45.91455,102545.5,-2.3274355,-2.6450558
淮南市,2013-01-09,149.71104,168.45186,68.71962,48.76499,1.7651072,13.478116,273.03003,62.019302,102858.875,-2.222153,-3.956382
淮南市,2013-01-10,145.60355,160.63614,44.31981,44.942238,1.8804569,13.486813,274.3724,67.815125,102784.88,-3.6670456,2.5524404
淮南市,2013-01-11,153.68823,178.95924,50.203903,52.234467,2.0580146,14.196191,276.61804,64.85315,102492.26,0.016332857,3.209106
淮南市,2013-01-12,196.39926,240.43091,48.625786,59.6276,2.3593397,18.592987,276.57544,61.222767,102377.0,-2.0110862,-1.0293758
淮南市,2013-01-13,189.88124,213.68674,51.83916,56.768536,2.3382206,16.69974,278.07852,67.677,101945.36,-2.1085653,0.828467
淮南市,2013-01-14,134.57553,154.42184,34.2241,58.048992,2.352222,24.53554,277.6269,74.741356,102334.484,-2.568395,-1.6217123
淮南市,2013-01-15,133.11035,125.74912,36.234505,40.593693,1.9720507,21.78293,277.6956,75.01027,102289.23,-1.9799346,0.80179787
淮南市,2013-01-16,169.79826,228.12895,48.01432,37.4547,2.783777,21.57092,275.6817,73.41345,102681.39,-1.6345859,-4.379737
淮南市,2013-01-17,157.21184,181.59773,36.07819,40.246616,2.0318744,17.176643,273.08,53.957417,103541.07,-2.5073235,-4.9775662
淮南市,2013-01-18,121.08114,130.4642,44.77726,48.655277,2.0349638,18.45531,273.31717,47.045437,103191.14,-1.5716281,1.933096
淮南市,2013-01-19,95.03327,112.76251,46.630165,49.382343,1.9304966,20.902676,276.97916,51.98284,102466.766,-4.5230036,3.3138154
淮南市,2013-01-20,123.35018,146.03625,35.28559,46.856636,2.0583773,4.1463456,277.2362,83.86949,102181.38,-3.24267,-1.3536849
淮南市,2013-01-21,128.7406,104.80381,54.240044,36.74704,2.3512883,10.082861,275.0378,83.84682,102430.95,3.5320055,-5.482291
淮南市,2013-01-22,134.87671,138.14159,54.082787,36.73201,2.58436,8.00158,274.20477,81.70689,102661.67,-0.42359775,-3.0008209
