city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
淮安市,2013-01-01,67.01807,118.930695,40.28906,41.643234,1.5954772,36.157593,272.53757,67.56073,102263.33,4.6995234,-1.6085219
淮安市,2013-01-02,30.079609,64.52015,22.110405,19.051945,1.1474646,63.47714,268.1195,56.161648,103432.42,0.988871,-8.879996
淮安市,2013-01-03,38.400883,59.898987,33.271404,21.26826,1.2982379,59.20323,265.849,64.122284,103958.555,2.230949,-6.9394755
淮安市,2013-01-04,62.795628,81.95618,34.120533,29.000837,1.2605854,55.523685,268.2505,67.7024,103292.28,0.5945949,-4.1597505
淮安市,2013-01-05,89.36746,118.3018,49.6438,40.424156,1.4038736,48.36356,269.54172,52.284714,102806.055,0.98360467,-3.9459288
淮安市,2013-01-06,129.17963,187.89247,84.84456,61.510715,1.8154362,28.339025,270.97116,54.754765,102754.83,0.5378367,-3.5588844
淮安市,2013-01-07,136.92194,205.59471,68.69819,67.84533,1.821619,29.385592,272.4198,50.738224,102548.0,0.17093429,-2.1223068
淮安市,2013-01-08,187.85951,255.23189,79.20994,74.84663,2.324856,30.419842,273.4434,52.026424,102667.45,0.15393601,-4.117886
淮安市,2013-01-09,117.47265,156.02542,50.166847,48.953808,1.5592824,32.13089,272.72867,65.39027,102978.07,-0.66847926,-5.5722866
淮安市,2013-01-10,65.97181,108.63521,30.544056,35.93349,1.1809613,42.059753,272.87378,51.833694,103037.72,-2.1184561,0.2621398
淮安市,2013-01-11,94.69913,153.25075,50.264725,59.37576,1.44656,27.220478,275.24887,68.534904,102694.3,-0.5246391,4.766271
淮安市,2013-01-12,170.8287,258.28577,47.280884,64.097015,1.9392657,35.8887,275.89215,71.46527,102563.74,-1.2552559,-1.287988
淮安市,2013-01-13,128.42354,184.01385,29.61474,48.352627,1.5580548,36.69392,276.34412,83.51907,102180.33,-3.3701456,-0.10949497
淮安市,2013-01-14,134.83116,190.40532,24.512299,44.42156,1.8084302,35.929386,276.0388,78.82032,102509.42,-1.4318819,-2.7416856
淮安市,2013-01-15,187.32602,249.85101,42.103626,43.32819,1.8425629,46.182526,276.0195,77.32261,102504.3,-2.1605277,0.84310395
淮安市,2013-01-16,169.65862,241.1398,41.69456,40.66756,1.9133663,48.572693,274.89883,76.07329,102819.0,-1.3007538,-4.8684263
淮安市,2013-01-17,72.76379,107.24715,27.0714,27.33034,1.1888446,55.877087,272.1097,59.25622,103622.02,0.0323528,-6.4764223
淮安市,2013-01-18,126.369316,184.61586,41.974274,48.94447,1.4454554,42.882362,272.23007,51.554127,103367.43,0.6794523,0.5482427
淮安市,2013-01-19,131.027,184.45317,46.31749,55.87516,1.5290227,43.636932,275.20663,52.159042,102797.75,-2.9457095,2.736213
淮安市,2013-01-20,86.11503,124.672554,25.071894,39.175095,1.3605968,25.571253,277.5948,92.96699,102408.85,-4.099194,0.6319178
淮安市,2013-01-21,109.034004,131.27734,24.431633,33.809654,1.9289254,21.292082,276.5333,91.44142,102375.52,3.6318662,-4.4143195
淮安市,2013-01-22,109.26108,137.31056,25.855297,23.291534,1.2007883,48.194702,273.25616,72.1124,102738.7,0.527133,-5.201605
淮安市,2013-01-23,134.3836,178.79494,40.42314,29.726881,1.5117298,51.337963,274.95782,64.490616,102235.01,2.88063,1.7913893
淮安市,2013-01-24,142.00076,204.25523,38.017586,37.359554,1.6651788,44.931107,276.05432,62.82782,102194.41,3.3582602,-3.105733
淮安市,2013-01-25,117.354095,168.71918,26.427221,43.452152,1.5391407,35.908024,276.4757,50.845642,102320.25,3.0349035,0.76397115
淮安市,2013-01-26,106.76868,148.57692,21.057415,32.27365,1.3122336,41.83394,275.95105,74.70336,102364.91,-2.941366,-4.777769
淮安市,2013-01-27,64.844635,93.87509,15.976803,28.563799,0.9287644,52.662815,275.202,70.00402,102861.85,-1.3075716,-0.65166575
淮安市,2013-01-28,136.38905,189.06078,37.337257,59.395985,1.5256703,41.97894,279.18436,61.306553,102440.18,0.286836,6.03216
淮安市,2013-01-29,175.159,242.91695,39.08652,72.18948,1.9436314,31.160736,281.27127,60.571823,102294.75,-0.722362,2.9937677
淮安市,2013-01-30,176.03687,229.75488,40.75383,52.663414,1.8512073,40.373703,282.62244,57.880116,102496.05,-3.0439947,4.108263
淮安市,2013-01-31,91.71165,115.67812,25.85457,42.864773,1.1356235,28.406658,283.57648,82.71758,102029.4,-3.9925857,5.1578937
淮安市,2013-02-01,99.38916,123.55705,28.291044,40.20841,1.9153752,20.679707,282.019,85.644745,102176.12,0.39269608,-4.32866
淮安市,2013-02-02,37.395443,65.0547,16.345858,15.959488,0.7867802,53.35516,275.77576,62.827663,103133.52,-4.7068477,-4.2559114
淮安市,2013-02-03,29.153522,53.05211,14.8824005,24.557467,0.69687545,42.807117,277.95584,84.552345,102137.93,-4.8141437,3.51585
淮安市,2013-02-04,52.7538,71.32504,19.09779,19.615631,0.797983,41.20421,277.84097,83.803185,102303.93,-1.468588,-4.666449
淮安市,2013-02-05,39.910526,48.79652,9.505956,13.401593,0.6912357,59.698997,274.8875,91.21546,102269.93,-3.811339,-3.6742752
淮安市,2013-02-06,73.08344,85.557144,14.449914,15.389622,0.890435,57.703453,274.95804,83.79527,102394.02,0.282921,-2.1645744
淮安市,2013-02-07,67.2864,85.81412,16.728188,12.549984,0.81413865,58.98981,270.41058,62.618423,103145.16,-2.6118948,-10.199494
淮安市,2013-02-08,30.411898,48.206608,15.103055,10.434448,0.60532624,59.64862,268.66772,65.561005,103532.875,-0.36764973,-6.3077655
淮安市,2013-02-09,62.312645,83.82685,16.037947,11.219093,0.6865806,65.91651,270.84933,63.90576,102985.37,0.9615093,1.2875727
淮安市,2013-02-10,145.38695,179.92827,29.483576,14.412955,1.0309116,66.87286,273.2584,71.22277,102765.23,-1.537808,-0.0895293
淮安市,2013-02-11,81.01427,100.485306,11.620197,9.926778,0.74203485,68.50502,275.23383,82.01191,102943.95,-6.2586975,-2.2474642
淮安市,2013-02-12,66.02854,88.64501,15.095169,14.595707,0.82691,56.876625,275.74054,70.55783,102792.375,1.1075505,-2.8733118
淮安市,2013-02-13,143.5817,181.92813,24.381178,23.496887,1.3073047,55.36262,275.83475,59.221664,102613.95,-1.28539,1.5845965
淮安市,2013-02-14,113.13542,143.51535,19.872868,18.448713,1.1005193,46.715103,276.37912,83.363556,102275.88,-2.6749115,0.049889732
淮安市,2013-02-15,138.08115,171.57498,21.994085,17.587784,1.2658831,57.09404,276.2866,77.94226,102673.57,-2.1455805,-3.8506997
淮安市,2013-02-16,107.948395,153.1349,24.349297,20.225163,1.1206862,69.29344,277.36945,67.48455,102445.28,-5.6233006,4.7414336
淮安市,2013-02-17,49.05326,78.294014,17.301714,17.978838,0.8134495,61.79005,279.85104,76.84257,101703.59,-2.5110216,1.3704175
淮安市,2013-02-18,52.820595,78.76097,16.16993,13.156173,0.8933014,57.178165,276.34726,71.74974,102206.3,-4.9123316,-7.6170087
淮安市,2013-02-19,35.494064,54.28804,14.932993,15.165691,0.62120205,60.470604,274.36807,59.24672,102901.34,-2.7007055,-4.3828387
淮安市,2013-02-20,57.114456,91.08694,18.961653,20.510668,0.8475969,73.51759,275.4993,56.192066,102978.47,-0.9242981,2.390343
淮安市,2013-02-21,89.243515,134.86441,24.195972,26.627474,0.9731615,75.33676,277.14157,67.29042,102908.0,-1.845506,1.9470127
淮安市,2013-02-22,131.53995,187.8821,25.823505,26.652641,1.0927593,74.60061,277.90936,76.97544,102879.34,0.18615112,-0.6373668
淮安市,2013-02-23,228.26915,290.527,24.899492,27.777466,1.7312948,73.55131,278.81967,74.66897,103018.9,-2.459175,1.4074165
淮安市,2013-02-24,148.43155,197.81386,32.49569,29.014372,1.305442,69.71785,281.36142,66.443855,102577.945,-5.404064,5.8153176
淮安市,2013-02-25,74.9899,109.535225,24.409815,27.187483,0.91413665,57.91044,283.8599,77.33216,102194.93,-3.998742,2.2487175
淮安市,2013-02-26,96.902885,125.96632,14.748093,21.793007,0.8821119,41.777706,281.27167,94.37275,101971.305,-1.1928153,-2.0461876
淮安市,2013-02-27,136.05176,176.71089,18.218685,21.353203,1.0094656,65.2305,279.83377,83.35281,102002.01,-2.4289777,0.42083693
淮安市,2013-02-28,107.34641,153.58983,22.43269,36.394768,1.1318187,33.615364,282.80157,82.63605,101334.33,-1.6586366,2.9285834
淮安市,2013-03-01,42.123997,120.97502,13.463282,14.480813,0.7528496,58.0395,276.31137,44.682552,102482.63,-2.0329926,-11.326051
淮安市,2013-03-02,22.481325,48.77753,13.760299,13.994895,0.61542517,63.769497,274.82385,42.822994,103246.99,-1.4765881,-5.392586
淮安市,2013-03-03,41.38019,79.15461,19.77689,30.432184,0.7424181,50.138134,278.43127,40.653194,102557.17,3.162647,4.154371
淮安市,2013-03-04,63.40818,139.0558,28.41209,33.198257,0.99287474,57.620102,281.97635,37.087105,102333.47,2.3960629,-2.3124542
淮安市,2013-03-05,83.035995,159.42574,38.11179,42.713257,1.2918668,65.53796,283.4678,48.6814,102378.93,-1.3418692,5.1293454
淮安市,2013-03-06,83.08741,163.60573,30.060484,37.630394,1.1634496,76.13288,289.26575,37.74935,101711.51,4.036207,8.150702
淮安市,2013-03-07,90.39008,202.6778,40.039585,39.81641,1.1979942,71.026375,289.44055,35.48719,101477.32,4.0148196,0.5558327
淮安市,2013-03-08,66.886765,165.58853,34.874504,37.173035,1.0138636,82.2568,292.34738,32.685993,101002.49,4.9586606,2.9785013
淮安市,2013-03-09,85.11542,179.58264,35.80877,32.974247,1.1849028,99.23284,293.23462,43.91362,100805.7,3.477604,5.510437
淮安市,2013-03-10,17.78933,92.328186,8.221043,9.852355,0.4250327,76.07554,277.64725,45.904823,102558.95,-6.6677155,-8.834418
