city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
温州市,2013-01-01,44.360584,66.8666,17.638304,37.491997,0.76168853,38.783936,278.71436,35.119133,98468.664,0.8862074,-1.9416009
温州市,2013-01-02,66.12267,93.91118,24.726456,48.404152,0.8873405,20.60853,279.0974,70.80422,98723.78,-0.28506568,-6.25948
温州市,2013-01-03,29.836239,42.48734,17.05157,20.841505,0.5872397,42.528652,274.6547,76.783005,99253.836,0.61147094,-8.948094
温州市,2013-01-04,46.308643,51.109413,21.62927,36.848095,0.83613765,19.642094,274.20172,86.64496,98853.43,1.204435,-7.250453
温州市,2013-01-05,47.63846,51.77457,23.472664,43.20652,1.0331314,17.061184,275.016,86.65849,98462.27,1.6933217,-6.1642227
温州市,2013-01-06,37.39306,44.201393,24.018497,49.01848,1.1276255,17.781176,275.92416,88.056335,98483.22,1.6420538,-5.8493037
温州市,2013-01-07,43.842823,52.106533,24.55743,48.531826,1.1621541,19.869154,277.65842,85.2601,98373.625,1.2496568,-4.6325383
温州市,2013-01-08,55.795692,68.714905,30.616158,47.784798,1.1485151,24.611094,277.16327,75.72608,98416.47,0.9255624,-5.7388325
温州市,2013-01-09,103.86335,118.58414,44.89485,61.44045,1.2695822,21.728374,276.2183,74.877075,98625.1,0.38173205,-7.416061
温州市,2013-01-10,93.5694,111.2043,32.244766,45.6857,1.0351087,32.535847,276.41415,71.69807,98834.01,-2.235208,-6.6244946
温州市,2013-01-11,98.43307,129.37653,26.702732,51.53009,1.2036809,22.195414,278.37137,84.330986,98723.92,-1.5195853,-4.5502806
温州市,2013-01-12,69.04484,88.108864,22.07494,45.870956,1.0922021,26.578354,280.18777,74.47056,98535.02,-0.752089,-4.7951126
温州市,2013-01-13,39.304523,50.26054,16.943247,39.55879,0.87544113,30.516022,280.52698,88.878,98008.26,1.0627161,-5.7566524
温州市,2013-01-14,45.962105,63.587704,21.848011,38.746284,1.0484143,53.30599,279.1099,67.59034,98410.89,1.3940008,-7.086505
温州市,2013-01-15,99.609344,134.79243,26.122515,55.051067,1.2222509,37.771557,279.5057,70.754425,98617.85,-0.7617079,-1.2731181
温州市,2013-01-16,105.30909,144.05879,25.142307,47.97427,1.129956,44.464436,281.1376,68.2005,98618.55,1.3265537,-4.330179
温州市,2013-01-17,131.06743,167.02876,35.98843,45.652733,1.2946924,40.856388,276.3118,65.1763,99196.836,0.32395977,-7.7136135
温州市,2013-01-18,62.654938,83.74636,21.777826,38.507835,0.99389976,50.741207,274.57773,57.405426,99313.625,-1.0797329,-4.9186163
温州市,2013-01-19,65.81358,91.626274,21.445684,52.679497,1.2668734,38.4203,278.14807,86.168846,98933.26,-1.7497547,-1.8867477
温州市,2013-01-20,59.91862,102.595406,20.93191,55.813282,1.7095137,31.556602,284.56104,95.59409,98632.375,-1.7892408,-0.6543503
温州市,2013-01-21,81.3931,128.63873,19.2196,52.763905,1.2037933,41.730362,286.82022,85.22916,98423.18,2.0759518,-0.54227173
温州市,2013-01-22,77.88667,95.83705,24.079145,57.04304,1.2049267,21.107347,280.6363,81.87251,98572.92,1.0498333,-4.376864
温州市,2013-01-23,82.55286,104.32664,24.500732,50.101223,1.2521273,33.841335,279.77362,71.27163,98443.26,0.8526932,-3.1683667
温州市,2013-01-24,106.77469,131.5177,25.07747,52.856075,1.4291229,24.518867,280.33322,81.97683,98295.234,1.8945156,-1.6832845
温州市,2013-01-25,117.42637,146.23164,26.36065,44.6031,1.1531545,55.2763,278.5746,63.810852,98529.47,-0.53315383,-3.4871144
温州市,2013-01-26,101.637596,132.8335,19.351992,45.57333,0.92139727,51.505615,281.04922,60.746223,98370.23,0.22981595,-2.124426
温州市,2013-01-27,96.232994,125.99453,24.518866,44.058117,0.88163495,59.922688,279.57858,64.32402,98801.12,-1.6540323,-4.5610976
温州市,2013-01-28,56.372036,81.05244,13.502232,37.60142,0.69227487,53.71738,279.38455,73.108864,98859.164,-2.2898731,-1.0625623
温州市,2013-01-29,45.554844,69.775345,10.474382,39.670452,0.602945,45.022137,282.89825,77.47824,98630.58,-0.08132587,-0.23942259
温州市,2013-01-30,69.51896,101.61975,12.917599,40.127304,0.7249849,55.568703,283.13446,77.29655,98830.305,-1.7615364,-0.78225887
温州市,2013-01-31,66.299416,92.30768,11.808754,48.023094,0.7241548,55.477325,284.32748,83.86721,98634.27,0.37575263,1.7624377
温州市,2013-02-01,70.83298,95.10324,13.383578,41.917408,0.7619253,53.37322,289.08545,72.37185,98431.28,1.6922385,0.7432645
温州市,2013-02-02,91.785866,114.59849,14.614432,44.055927,1.0707477,29.26492,284.4192,89.25699,98859.875,-3.126903,-3.5529242
温州市,2013-02-03,47.73028,66.22921,8.281616,29.71126,0.6856504,41.988605,282.7395,91.804344,98558.44,-0.5596172,-1.0442268
温州市,2013-02-04,65.31456,84.49896,10.171814,33.55623,0.7717499,39.860817,288.93253,85.13762,98321.836,0.44681472,-0.21963164
温州市,2013-02-05,57.48656,68.84548,9.281327,41.86666,1.1487147,25.875593,285.02722,93.87388,98186.62,1.0991489,0.42587122
温州市,2013-02-06,48.28422,60.355743,10.182621,27.663061,0.82838154,25.144194,282.684,83.35378,98294.19,-0.91294223,-3.0665376
温州市,2013-02-07,30.568819,39.126938,9.075065,20.76811,0.68583554,42.566944,278.20624,91.85112,98351.586,-2.8999565,-6.2689753
温州市,2013-02-08,14.44238,18.176477,8.644934,13.242768,0.47615623,57.56782,272.89737,85.56364,98951.08,0.08663168,-8.330884
温州市,2013-02-09,38.810795,43.26403,10.50648,13.201267,0.59543526,48.345398,274.12354,81.406845,98857.914,0.11719623,-5.41297
温州市,2013-02-10,81.1005,89.3056,12.73614,16.518482,0.6519441,31.55296,276.99057,80.87976,98645.695,-1.0989507,-3.7076507
温州市,2013-02-11,43.38922,47.49517,8.569096,15.592835,0.5674932,46.805027,279.31165,91.649345,98644.43,-1.9487958,-4.574232
温州市,2013-02-12,24.917637,29.763285,7.641411,12.893443,0.5354479,54.532948,281.28784,85.51398,98583.2,1.2564459,-5.183692
温州市,2013-02-13,48.300037,56.16361,8.950161,17.83339,0.6771564,54.965145,277.68607,81.94061,98683.28,-1.3845066,-3.6199412
温州市,2013-02-14,58.464718,72.87309,6.9611497,20.11027,0.67526454,49.088867,283.16867,90.45008,98249.58,-0.4663413,-1.4952044
温州市,2013-02-15,36.09165,44.18621,9.777718,20.812405,0.78734285,38.481255,281.3438,80.56003,98448.89,-0.056095507,-5.958446
温州市,2013-02-16,41.16575,49.813274,8.584876,18.410305,0.63938147,63.66991,279.28113,80.217064,98613.3,-3.8225665,-2.5137916
温州市,2013-02-17,32.884766,52.3271,6.6549134,21.02387,0.4774336,65.1304,286.18176,91.89463,97998.72,-0.84958893,1.4298123
温州市,2013-02-18,56.896133,75.60183,8.513395,30.691303,0.67247087,33.9345,286.03903,95.41282,97798.02,-1.2050331,-0.70018876
温州市,2013-02-19,13.196577,18.691868,8.578185,16.704212,0.5134674,56.91745,277.90622,88.882545,98397.97,-1.4430094,-7.012438
温州市,2013-02-20,24.810272,33.981373,7.5964684,14.465539,0.41638723,69.74896,277.72446,80.10169,98833.53,-3.262699,-5.027241
温州市,2013-02-21,45.817886,59.897575,8.194523,22.66369,0.45835096,58.431057,279.95673,89.12993,98792.48,-2.299009,-3.9492767
温州市,2013-02-22,36.566177,44.517544,9.543766,24.863289,0.5309973,48.01562,280.9221,87.07678,98784.18,-0.517927,-5.1857977
温州市,2013-02-23,63.804737,81.222496,15.628676,26.861412,0.6305739,73.43836,280.10205,71.27856,99070.27,-3.0290673,-4.305963
温州市,2013-02-24,129.45406,161.27306,16.608942,49.142498,0.92842543,51.71563,281.87833,86.898056,98831.84,-3.528446,-2.2726355
温州市,2013-02-25,81.57537,99.52367,17.454645,43.10092,0.7286341,49.2629,287.21518,91.286385,98427.48,-1.405558,-0.25612813
温州市,2013-02-26,82.26057,105.36689,16.214296,47.04335,0.9421747,41.07018,288.99283,92.376945,98015.46,1.333188,0.18478607
温州市,2013-02-27,48.478893,58.647457,18.68334,46.163692,0.7729239,26.61297,284.7271,91.36809,98035.34,-2.464573,-2.7750664
温州市,2013-02-28,43.09552,58.51697,19.973736,33.63151,0.52876467,59.723564,285.43436,89.27491,97810.266,-1.0544187,1.4485097
温州市,2013-03-01,48.092625,67.43736,16.512297,36.719646,0.8545186,32.43646,284.2124,91.17198,97920.92,1.0481144,-2.7686188
