city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
湛江市,2013-01-01,43.149845,51.809772,14.819224,17.05598,0.4150676,48.526325,286.98962,43.022343,101655.35,-2.3043518,-4.2845206
湛江市,2013-01-02,49.355865,60.548756,13.6675825,27.73964,0.43498367,38.87045,290.35574,64.15359,101543.555,-5.3590174,-2.7686489
湛江市,2013-01-03,55.258244,65.37691,13.932136,15.792733,0.4957765,38.798866,286.925,75.22358,101957.57,-5.2867746,-7.851132
湛江市,2013-01-04,53.106728,57.364647,10.498892,14.526421,0.46760875,33.694134,283.88507,73.4009,101856.516,-3.0814395,-7.0169935
湛江市,2013-01-05,62.415344,70.081985,9.827516,18.319258,0.5173441,30.356081,283.9416,76.959206,101577.94,-2.2850838,-5.5131164
湛江市,2013-01-06,68.198235,78.61273,10.676942,15.416946,0.56619984,36.33708,284.91577,72.83941,101655.375,-1.7214954,-6.2211485
湛江市,2013-01-07,66.561935,74.49341,10.227259,14.40536,0.57813215,45.233044,286.62738,71.009605,101552.15,-1.7318509,-4.819986
湛江市,2013-01-08,71.12893,80.02427,10.409414,14.635592,0.694841,51.73886,288.24875,67.09093,101495.25,-1.8714689,-5.027392
湛江市,2013-01-09,77.48639,91.22874,14.896462,12.670397,0.87706906,41.96436,286.59344,62.1422,101646.945,-2.4519877,-7.039787
湛江市,2013-01-10,78.3755,95.034874,16.371424,12.784743,0.768449,46.938805,286.95358,61.2544,101682.04,-3.8565202,-5.4448423
湛江市,2013-01-11,118.003044,125.85073,16.553816,16.433239,0.9426948,42.853676,287.02786,68.586555,101716.664,-3.0373893,-6.515301
湛江市,2013-01-12,114.801765,119.71893,13.756392,15.097885,0.9772068,45.418144,287.72385,68.12322,101615.69,-1.3778323,-6.085388
湛江市,2013-01-13,74.37534,88.43129,11.896798,14.791612,0.89875084,49.90449,288.1383,64.54815,101340.61,-0.13669105,-5.117654
湛江市,2013-01-14,62.575195,74.18927,13.606455,23.708141,0.80440027,57.96018,290.02463,64.01461,101471.234,-5.828567,-1.934494
湛江市,2013-01-15,37.5284,47.197643,7.914329,10.472005,0.40567762,65.23576,291.57358,73.71136,101649.945,-6.510994,-1.0062641
湛江市,2013-01-16,51.05729,66.01351,13.864917,16.235937,0.46827832,52.424843,291.41324,71.05648,101756.5,-4.7248297,-2.092649
湛江市,2013-01-17,58.09989,74.241646,15.170028,12.244028,0.59626627,62.136257,290.97495,66.41161,102026.4,-5.6558547,-5.288222
湛江市,2013-01-18,88.64817,109.08942,19.317097,13.058992,0.8418694,57.791534,288.92078,58.272556,102220.266,-5.173234,-5.119567
湛江市,2013-01-19,49.69648,62.607174,12.496898,12.191727,0.48628145,61.907,290.1104,70.06978,101804.914,-6.7042813,-0.7681165
湛江市,2013-01-20,14.872788,25.4112,2.6989248,6.355526,0.24752367,70.784966,293.22437,84.07496,101582.54,-5.436128,2.1635892
湛江市,2013-01-21,16.309,26.725725,3.4832866,6.683336,0.25559476,70.77126,294.1021,84.15759,101571.19,-3.5990465,-0.2510583
湛江市,2013-01-22,44.33667,57.307415,12.496047,14.4143305,0.5337706,49.82978,292.73325,83.26842,101618.51,-4.0118036,-2.585979
湛江市,2013-01-23,55.51187,73.76821,12.584175,13.594743,0.67174155,59.733364,291.47662,75.25383,101595.11,-4.6561484,-2.6773908
湛江市,2013-01-24,61.369785,79.63582,12.875183,15.211089,0.6994276,56.18793,291.8762,82.53118,101514.9,-3.9018312,-1.8590192
湛江市,2013-01-25,91.26441,106.47433,17.170675,11.998448,0.92858654,62.4484,290.24594,70.95343,101612.305,-3.9844646,-3.4857478
湛江市,2013-01-26,88.01533,108.16132,16.69168,15.3726225,0.8497625,56.732643,290.98383,84.410225,101482.625,-3.5434787,-1.377816
湛江市,2013-01-27,67.263214,79.369225,16.996248,15.386901,0.885802,49.52653,290.39514,79.196915,101748.44,-4.894249,-4.071799
湛江市,2013-01-28,46.181484,59.18692,11.054587,10.641116,0.57134116,65.47168,291.35645,70.98426,101724.08,-7.123323,-0.5664221
湛江市,2013-01-29,23.897032,36.177776,4.3023767,7.48009,0.34639326,68.17736,292.4081,86.15947,101672.26,-6.3338523,-0.08058243
湛江市,2013-01-30,14.072011,23.096163,2.8699448,5.6519136,0.27124125,72.926994,293.26544,85.2334,101708.305,-7.2776217,1.5687602
湛江市,2013-01-31,15.534865,25.465204,2.7781098,5.8421783,0.2760645,74.561714,293.28174,85.900085,101658.6,-6.216735,2.3672116
湛江市,2013-02-01,14.4512005,23.565771,2.7046936,6.022658,0.26446632,74.48584,293.83585,85.88584,101619.48,-4.865875,1.2609015
湛江市,2013-02-02,35.37961,44.19294,12.5939,15.794973,0.4164765,62.202522,293.9222,80.14372,101638.77,-4.094602,-1.1059871
湛江市,2013-02-03,33.597404,46.416534,6.671543,12.415757,0.4564074,54.781796,294.28082,88.40798,101441.234,-4.219798,-0.6830753
湛江市,2013-02-04,30.546835,44.086815,3.7196543,9.88387,0.47812298,46.45653,294.33423,94.9063,101501.11,-3.64417,0.4477333
湛江市,2013-02-05,21.111647,28.624735,5.2389717,8.219401,0.3193438,52.059242,294.98553,90.3086,101469.56,-2.121604,2.0524395
湛江市,2013-02-06,14.95452,19.854382,3.561069,6.797546,0.23810135,56.094048,293.55914,94.95545,101260.875,-3.212889,2.0268214
湛江市,2013-02-07,11.052909,17.25376,2.5474,4.9285016,0.20748313,59.597847,294.57236,89.111465,100920.33,-4.321924,3.6025186
湛江市,2013-02-08,37.82326,51.257843,12.032305,11.804162,0.5190343,38.17355,290.2298,86.80809,101466.695,-5.387478,-5.530315
湛江市,2013-02-09,38.956734,47.893105,10.578972,10.957988,0.59107774,40.23931,286.05295,79.07326,101892.836,-3.9598386,-6.3487396
湛江市,2013-02-10,47.090084,58.415188,11.367473,12.486075,0.53031474,46.295906,289.2018,75.45464,101681.1,-4.224957,-2.12819
湛江市,2013-02-11,41.62868,52.269855,12.702936,11.818572,0.43183216,53.245,292.51413,81.66307,101486.11,-6.232595,0.40271536
湛江市,2013-02-12,37.70295,49.89489,10.993724,9.113503,0.4347075,61.59412,292.8077,77.8778,101638.125,-5.204026,-3.6238995
湛江市,2013-02-13,46.271503,60.71262,11.150373,9.065368,0.57997507,61.08603,290.671,70.06269,101596.57,-4.534637,-3.0395892
湛江市,2013-02-14,33.212334,45.73948,6.9295135,7.788882,0.41212025,64.396736,293.75116,83.357864,101314.734,-3.7647636,1.045532
湛江市,2013-02-15,48.698708,63.997528,9.615182,10.826614,0.5182709,55.841545,292.41696,85.43971,101404.125,-2.9493287,-3.6897552
湛江市,2013-02-16,47.154625,63.970043,11.476956,11.806055,0.65717036,51.256927,292.3892,76.76197,101388.26,-5.393399,-1.2342275
湛江市,2013-02-17,21.767899,35.210434,2.9298909,5.3634768,0.3418292,68.79817,294.2683,86.86774,101092.914,-4.383158,3.1977608
湛江市,2013-02-18,20.97131,31.635729,3.1216772,5.969129,0.31502563,67.18832,294.0766,90.94696,100918.05,-3.1205163,3.4087467
湛江市,2013-02-19,29.4003,40.128387,7.0794873,9.625402,0.40119335,53.134678,292.74487,87.50393,101115.49,-4.316273,-1.6428858
湛江市,2013-02-20,40.773586,54.816326,11.987498,13.279826,0.5812622,41.996098,290.18164,71.3759,101561.71,-5.4406476,-5.0941567
湛江市,2013-02-21,38.771065,53.37277,11.761847,12.994851,0.47825354,54.46795,291.594,73.63849,101635.14,-5.473781,-3.5218449
湛江市,2013-02-22,59.13219,69.078354,11.349098,11.632311,0.6556529,55.288826,290.44922,68.10563,101837.555,-2.963178,-6.1998215
