city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
潮州市,2013-01-01,28.764647,38.487038,14.245594,18.868,0.39503467,43.323277,284.371,48.7451,99973.71,-3.853924,-4.432319
潮州市,2013-01-02,35.998276,47.08958,12.565464,18.056927,0.43732628,40.30233,287.31445,62.01533,100009.55,-2.037585,-5.3253145
潮州市,2013-01-03,33.62957,40.024544,13.589551,16.885067,0.41841617,40.946587,286.9089,74.00784,100317.31,-4.9891887,-6.7259245
潮州市,2013-01-04,35.592068,36.9919,11.542335,15.27921,0.40852076,34.437416,282.9753,73.11175,100159.06,-0.922862,-7.332402
潮州市,2013-01-05,46.780537,45.484047,11.506326,16.929825,0.45183018,36.750923,284.66544,74.45417,99838.91,0.2076665,-5.9512672
潮州市,2013-01-06,40.443615,50.526104,12.494323,15.873147,0.4732285,38.270573,285.7452,74.65892,99885.78,0.7193421,-6.023565
潮州市,2013-01-07,38.632065,55.521034,13.019979,17.117846,0.5412023,41.81849,287.15414,75.69111,99812.09,-0.40940088,-4.606192
潮州市,2013-01-08,42.569286,70.62017,15.207312,24.836706,0.6650068,40.13474,287.1617,79.71751,99796.15,-1.6962904,-4.3909283
潮州市,2013-01-09,45.932793,72.837975,17.655064,20.33808,0.6543464,44.43033,285.14203,73.02965,99937.375,-1.3217932,-5.6620564
潮州市,2013-01-10,42.046013,54.36541,14.332517,15.535165,0.4920323,43.790142,284.59445,70.507744,100034.805,-6.237505,-6.1848054
潮州市,2013-01-11,21.803556,26.423151,8.564438,11.473253,0.31541783,55.585136,286.60657,71.39127,100050.836,-5.2296853,-5.888184
潮州市,2013-01-12,28.099083,33.404984,10.575865,19.826513,0.40053046,42.01662,287.31116,75.1672,99845.67,-3.3919985,-5.4429226
潮州市,2013-01-13,36.532246,41.46003,11.164735,15.378655,0.49254265,47.970234,287.92645,70.333145,99493.15,0.8226778,-7.05261
潮州市,2013-01-14,38.034367,46.986164,11.87857,15.491258,0.44380772,51.112194,285.30255,57.138985,99895.05,-3.9713688,-5.0861855
潮州市,2013-01-15,35.991283,42.70421,11.407758,16.425123,0.43071315,57.007317,285.91867,58.011086,100150.38,-5.6354656,-3.664528
潮州市,2013-01-16,51.20521,60.12603,15.073101,20.778175,0.54320717,55.52844,287.119,64.91237,100155.57,-2.6934347,-2.631845
潮州市,2013-01-17,78.92762,95.83867,21.136787,25.317905,0.8497182,49.199776,285.66498,75.8838,100471.33,-5.013298,-5.626999
潮州市,2013-01-18,39.308212,44.210033,13.219871,14.742691,0.4574587,50.502525,282.47665,50.397514,100664.016,-6.810266,-6.345513
潮州市,2013-01-19,22.285082,27.852732,9.00178,16.66161,0.32596612,54.038937,284.33008,67.28439,100327.05,-6.8380857,-4.2446656
潮州市,2013-01-20,24.909914,32.437313,9.509832,17.961403,0.37065816,55.7764,288.8742,73.56566,100146.81,-5.426144,-1.8340129
潮州市,2013-01-21,29.257877,40.822178,11.123398,25.797037,0.4577116,56.1619,290.93958,73.78111,100038.266,-3.7143602,-1.1308192
潮州市,2013-01-22,45.336365,55.70737,13.954302,24.264563,0.583623,44.332497,290.21616,84.66138,100011.29,-1.663231,-4.0408664
潮州市,2013-01-23,52.474415,77.21704,17.136812,27.980606,0.8956973,48.218086,288.56882,78.96902,99967.516,-3.4672544,-2.7086625
潮州市,2013-01-24,63.372536,84.0154,16.392866,19.067652,0.80633736,53.67376,288.30734,75.736725,99854.86,-0.46136954,-4.5692587
潮州市,2013-01-25,77.35233,99.594124,20.794304,13.388989,0.8616542,57.114273,286.69797,71.8612,99958.69,-3.456665,-4.5561004
潮州市,2013-01-26,85.480896,101.16582,18.32487,18.168789,0.83199465,54.93587,287.28714,69.55929,99912.88,-2.2059221,-3.3319001
潮州市,2013-01-27,49.184246,65.75681,15.873112,14.072323,0.55626714,74.15398,286.90524,67.281265,100171.664,-5.525334,-4.6825438
潮州市,2013-01-28,28.825068,34.27593,10.647828,10.277351,0.36661112,63.483856,285.9196,57.604393,100233.99,-7.8686996,-5.3215327
