city,date,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
濮阳市,2013-01-01,85.459206,216.44266,62.349888,41.345406,2.3412993,20.060297,268.97787,43.794662,102043.555,0.5296478,-5.824457
濮阳市,2013-01-02,38.500652,81.28269,36.35751,28.309143,2.7507305,28.190908,263.83142,44.351223,103450.164,-1.0060986,-5.684068
濮阳市,2013-01-03,80.984634,141.33708,63.60306,43.76135,1.9505086,20.779163,263.75952,43.95332,103854.71,-0.3657718,-2.8459868
濮阳市,2013-01-04,100.94931,148.44336,66.9239,50.72593,1.6344588,25.084488,265.41312,42.245434,102965.92,-0.44173467,2.8141866
濮阳市,2013-01-05,148.28734,220.28125,83.94435,62.60124,2.7946386,17.909948,268.05276,38.09387,102424.59,-0.044480707,1.536871
濮阳市,2013-01-06,219.34341,316.14114,121.87462,87.53861,3.6264071,17.294779,269.14392,43.01878,102402.78,-1.6002688,-0.030807592
濮阳市,2013-01-07,306.21588,370.7599,94.66892,81.3908,4.116255,24.236614,271.6471,51.156536,102068.09,-0.6870744,0.7154107
濮阳市,2013-01-08,354.00638,448.4911,148.70143,115.37912,4.5283036,10.906047,269.10953,63.79229,102546.39,-1.3996326,-6.4121814
濮阳市,2013-01-09,177.74028,238.9273,79.68411,66.30422,2.6130402,16.900972,268.45618,64.348175,102759.37,-1.39301,-2.0932145
濮阳市,2013-01-10,317.10242,411.01627,79.68765,75.52426,2.5068388,15.313378,272.33203,67.58555,102343.22,-0.47786745,6.2549763
濮阳市,2013-01-11,373.51138,465.44714,88.844025,83.89404,3.0747483,14.284694,275.00085,55.58293,102061.92,1.2673316,2.9875255
濮阳市,2013-01-12,387.80264,480.64767,87.095184,92.12271,3.9035602,20.722216,274.8679,53.51409,101979.36,0.08011002,5.1974397
濮阳市,2013-01-13,334.36783,453.22006,68.35294,83.27726,4.994436,11.1158495,273.26947,64.89119,101793.33,0.07413426,-1.3962675
濮阳市,2013-01-14,261.19666,475.1429,107.369,101.40712,5.2127,8.637047,272.686,71.694305,102162.734,-1.9912915,-1.1269838
濮阳市,2013-01-15,239.49539,483.75476,130.38351,93.88511,5.1318927,14.85181,272.8628,72.17749,102099.625,-0.7083341,-0.12086826
濮阳市,2013-01-16,218.26456,364.8364,156.18674,92.57183,4.398762,7.737136,271.96558,65.28679,102689.74,-2.597449,-4.851038
濮阳市,2013-01-17,162.61942,228.58382,71.75246,65.019875,2.78942,19.857588,270.74695,57.112717,103429.42,-1.1554056,-2.494228
濮阳市,2013-01-18,186.58583,242.03058,53.731228,55.67096,2.2485104,24.460299,273.47424,56.02771,102642.516,2.429709,7.9217243
濮阳市,2013-01-19,227.03339,318.32187,64.02422,58.74848,3.468076,16.839733,274.21277,66.587776,102200.31,-1.4619195,1.81216
